cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.8503516E+002, 7.8771708E+002, 7.3382077E-003, 7.5918008E+001, 7.8449845E+001, 3.2399342E-004, 2.5394740E-003, 1.9736301E-002, 4.6304881E-002, 3.5566004E-001, 1.2489438E-001, 4.7736991E-002, 4.0153669E-001, 8.0468181E-004
 2.2806122E+000, 9.1672471E+002, 9.2290018E+002, 3.4400271E-001, 1.1105584E+002, 1.1650157E+002, 1.0745706E-001, 4.1568642E-003, 2.3332410E-002, 4.9969447E-002, 2.7644451E-001, 1.3894753E-001, 5.1514893E-002, 4.5391718E-001, 8.3923361E-004
 4.3112245E+000, 1.0120742E+003, 1.0219181E+003, 7.2367471E-001, 1.3399349E+002, 1.4226727E+002, 1.9350298E-001, 7.6230635E-003, 2.6368282E-002, 5.0505978E-002, 2.2295459E-001, 1.4617515E-001, 5.2068019E-002, 4.9256932E-001, 8.2801056E-004
 6.3418367E+000, 1.0810248E+003, 1.0941647E+003, 1.1276666E+000, 1.4396172E+002, 1.5428018E+002, 2.7003111E-001, 1.1892944E-002, 2.8837168E-002, 4.9619489E-002, 1.8463910E-001, 1.4966128E-001, 5.1154113E-002, 5.2249077E-001, 7.9882427E-004
 8.3724490E+000, 1.1331974E+003, 1.1491870E+003, 1.5224586E+000, 1.4790880E+002, 1.5976207E+002, 3.4239552E-001, 1.6388242E-002, 3.1021278E-002, 4.7888035E-002, 1.5598877E-001, 1.5102685E-001, 4.9369108E-002, 5.4667209E-001, 7.6021810E-004
 1.0403061E+001, 1.1722480E+003, 1.1905254E+003, 1.8970681E+000, 1.4803976E+002, 1.6103025E+002, 4.1215486E-001, 2.0788850E-002, 3.2865886E-002, 4.5881881E-002, 1.3388750E-001, 1.5119703E-001, 4.7300909E-002, 5.6650125E-001, 7.2030750E-004
 1.2433673E+001, 1.2018103E+003, 1.2219181E+003, 2.2389050E+000, 1.4866620E+002, 1.6273389E+002, 4.8269055E-001, 2.5014043E-002, 3.4435568E-002, 4.3789741E-002, 1.1631148E-001, 1.5064686E-001, 4.5144063E-002, 5.8315344E-001, 6.8126873E-004
 1.4464286E+001, 1.2242565E+003, 1.2458089E+003, 2.5487472E+000, 1.4936826E+002, 1.6436721E+002, 5.5377328E-001, 2.9153737E-002, 3.5776966E-002, 4.1664114E-002, 1.0185859E-001, 1.4956896E-001, 4.2952695E-002, 5.9759318E-001, 6.4322078E-004
 1.6494898E+001, 1.2405238E+003, 1.2630827E+003, 2.8255504E+000, 1.4989944E+002, 1.6563773E+002, 6.2217234E-001, 3.3269202E-002, 3.6902227E-002, 3.9543891E-002, 8.9752043E-002, 1.4806028E-001, 4.0766898E-002, 6.1034656E-001, 6.0649476E-004
 1.8525510E+001, 1.2533919E+003, 1.2767506E+003, 3.0732704E+000, 1.5384919E+002, 1.7066874E+002, 6.9057178E-001, 3.7188676E-002, 3.7940718E-002, 3.7441477E-002, 7.9333603E-002, 1.4640384E-001, 3.8599461E-002, 6.2180557E-001, 5.7103189E-004
 2.0556122E+001, 1.2623817E+003, 1.2862765E+003, 3.2938603E+000, 1.6029732E+002, 1.7834714E+002, 7.5642119E-001, 4.1112474E-002, 3.8848930E-002, 3.5346605E-002, 7.0199837E-002, 1.4449593E-001, 3.6439799E-002, 6.3234177E-001, 5.3638307E-004
