cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 2.6500000E+001, 1.0632100E+003, 1.5205487E+002, 1.6948276E+001, 1.0199413E+003, 2.1311342E+002, 7.4374454E+002, 2.3390898E+002, 6.8701773E+002, 2.2634257E+002, 6.2225041E+002, 1.9000474E+002, 5.5684129E+002, 1.5389088E+002, 1.1024000E+002, 2.6870000E+000, 1.1464293E+000, 4.1345044E+000, 3.9676359E+000, 3.6576019E+000, 5.8500000E+001, 1.1804718E+000
 2.8500000E+001, 1.0796461E+003, 1.5059453E+002, 1.8982759E+001, 9.5179346E+002, 2.2517338E+002, 6.9220856E+002, 2.3032517E+002, 6.4878421E+002, 2.1944743E+002, 5.9610876E+002, 1.8073413E+002, 5.3965010E+002, 1.4599089E+002, 1.1472000E+002, 2.8860000E+000, 1.0596536E+000, 3.8747245E+000, 3.7348986E+000, 3.4582312E+000, 6.3000000E+001, 1.1804094E+000
 3.0500000E+001, 1.0938732E+003, 1.4921424E+002, 2.1017241E+001, 8.8367517E+002, 2.3526554E+002, 6.4782475E+002, 2.2267303E+002, 6.1295313E+002, 2.0895570E+002, 5.7047700E+002, 1.7098011E+002, 5.2106070E+002, 1.3645975E+002, 1.1920000E+002, 3.0850000E+000, 9.8117500E-001, 3.6358956E+000, 3.5195758E+000, 3.2723884E+000, 6.7500000E+001, 1.1820007E+000
 3.2500000E+001, 1.1064009E+003, 1.4802981E+002, 2.3051724E+001, 8.1480131E+002, 2.4432163E+002, 6.0365851E+002, 2.1461348E+002, 5.7827853E+002, 1.9133165E+002, 5.4492845E+002, 1.6109000E+002, 5.0145278E+002, 1.2552738E+002, 1.2368000E+002, 3.2840000E+000, 9.1000880E-001, 3.4158864E+000, 3.3201539E+000, 3.0989352E+000, 7.2000000E+001, 1.1786032E+000
 3.4500000E+001, 1.1181958E+003, 1.4556673E+002, 2.5086207E+001, 7.5226765E+002, 2.4651539E+002, 5.6810697E+002, 2.0190183E+002, 5.4377103E+002, 1.7450582E+002, 5.2224552E+002, 1.5379485E+002, 4.8429760E+002, 1.1875352E+002, 1.2816000E+002, 3.4830000E+000, 7.8634964E-001, 3.0250665E+000, 2.9636489E+000, 2.7851983E+000, 7.6500000E+001, 1.1614366E+000
 3.6500000E+001, 1.1290349E+003, 1.4279728E+002, 2.7120690E+001, 6.9252854E+002, 2.3976202E+002, 5.3824143E+002, 1.8531356E+002, 5.1527154E+002, 1.6268736E+002, 5.0077380E+002, 1.4665154E+002, 4.6944745E+002, 1.1342125E+002, 1.3264000E+002, 3.6820000E+000, 7.3249783E-001, 2.8511637E+000, 2.8041856E+000, 2.6431610E+000, 8.1000000E+001, 1.1503757E+000
 3.8500000E+001, 1.1389382E+003, 1.4040047E+002, 2.9155172E+001, 6.4358486E+002, 2.4255172E+002, 5.1143908E+002, 1.6976549E+002, 4.9053242E+002, 1.5066159E+002, 4.8065892E+002, 1.4039883E+002, 4.5509068E+002, 1.0632377E+002, 1.3712000E+002, 3.8810000E+000, 6.8320745E-001, 2.6898417E+000, 2.6558365E+000, 2.5099869E+000, 8.5500000E+001, 1.1391383E+000
 4.0500000E+001, 1.1480816E+003, 1.3865108E+002, 3.1189655E+001, 5.9593322E+002, 2.3275451E+002, 4.8774975E+002, 1.5712968E+002, 4.6711675E+002, 1.3851405E+002, 4.6119457E+002, 1.3465298E+002, 4.4066253E+002, 9.9803630E+001, 1.4160000E+002, 4.0800000E+000, 6.3902266E-001, 2.5196386E+000, 2.4947740E+000, 2.3637789E+000, 9.0000000E+001, 1.1281876E+000
 4.2500000E+001, 1.1563005E+003, 1.3714843E+002, 3.3224138E+001, 5.4948752E+002, 2.1785387E+002, 4.6311513E+002, 1.4725482E+002, 4.4513285E+002, 1.2824152E+002, 4.4351989E+002, 1.2816949E+002, 4.2771328E+002, 9.4457982E+001, 1.4608000E+002, 4.2790000E+000, 5.9803434E-001, 2.3826830E+000, 2.3685712E+000, 2.2490020E+000, 9.4500000E+001, 1.1175113E+000
 4.4500000E+001, 1.1628527E+003, 1.3544465E+002, 3.5258621E+001, 5.2212400E+002, 2.1499348E+002, 4.3842162E+002, 1.3702048E+002, 4.2510811E+002, 1.1808090E+002, 4.2756820E+002, 1.2138706E+002, 4.1690748E+002, 9.0047647E+001, 1.5056000E+002, 4.4780000E+000, 5.6029778E-001, 2.2551824E+000, 2.2507590E+000, 2.1411346E+000, 9.9000000E+001, 1.1068929E+000
 4.6500000E+001, 1.1678076E+003, 1.3360564E+002, 3.7293103E+001, 4.9461764E+002, 2.0827725E+002, 4.1173195E+002, 1.2066925E+002, 4.0460767E+002, 1.0597253E+002, 4.1146292E+002, 1.1490068E+002, 4.0545082E+002, 8.5253673E+001, 1.5504000E+002, 4.6770000E+000, 5.2549576E-001, 2.1363605E+000, 2.1406263E+000, 2.0396916E+000, 1.0350000E+002, 1.0960410E+000
 4.8500000E+001, 1.1716664E+003, 1.3191619E+002, 3.9327586E+001, 4.7724718E+002, 2.0003623E+002, 3.9147250E+002, 1.0910326E+002, 3.8795566E+002, 9.4715638E+001, 3.9559689E+002, 1.0513413E+002, 3.9440135E+002, 7.9628277E+001, 1.5952000E+002, 4.8760000E+000, 4.9334899E-001, 2.0255245E+000, 2.0375223E+000, 1.9442333E+000, 1.0800000E+002, 1.0846220E+000
 5.0500000E+001, 1.1748396E+003, 1.3083173E+002, 4.1362069E+001, 4.4879499E+002, 1.7927764E+002, 3.7799860E+002, 1.0042602E+002, 3.7312609E+002, 8.4921021E+001, 3.8048686E+002, 9.0527414E+001, 3.8360384E+002, 7.5290558E+001, 1.6400000E+002, 5.0750000E+000, 4.6360929E-001, 1.9220540E+000, 1.9408522E+000, 1.8543599E+000, 1.1250000E+002, 1.0591251E+000
