cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 4.2554023E+002, 4.0022403E+002, 4.8754360E-003, 3.6402034E+001, 4.4966547E+001, 3.2757849E-002, 3.4037438E-005, 1.1343687E-002, 2.0060900E-002, 8.0198389E-001, 3.2434862E-002, 1.1800530E-002, 1.1840858E-001, 8.4376026E-004
 7.5000000E-001, 5.6992404E+002, 5.5351960E+002,-8.0474346E-003, 7.3782293E+001, 9.2761577E+001, 5.6445742E-002, 1.4011820E-004, 2.3255932E-002, 3.5609447E-002, 6.2615610E-001, 6.0779961E-002, 2.0946733E-002, 2.2612946E-001, 1.6890802E-003
 1.2500000E+000, 6.9575736E+002, 6.8769533E+002,-2.0181184E-002, 1.0513196E+002, 1.2848019E+002, 7.7623193E-002, 3.1837169E-004, 3.3515601E-002, 4.7028023E-002, 4.8590781E-001, 8.3150428E-002, 2.7663543E-002, 3.1319505E-001, 2.4683846E-003
 1.7500000E+000, 7.6616376E+002, 7.6285405E+002,-1.9389921E-002, 1.1351389E+002, 1.3844057E+002, 1.0041486E-001, 7.9838133E-004, 3.9644859E-002, 5.2924947E-002, 4.0577366E-001, 9.5564356E-002, 3.1132322E-002, 3.6378403E-001, 2.9443934E-003
 2.2500000E+000, 8.1268443E+002, 8.1173723E+002,-1.9389921E-002, 1.2409136E+002, 1.5190882E+002, 1.0041486E-001, 1.1401208E-003, 4.3608946E-002, 5.6078539E-002, 3.5768015E-001, 1.0290963E-001, 3.2987376E-002, 3.9459945E-001, 3.2400692E-003
 2.7500000E+000, 8.5142900E+002, 8.5268869E+002, 3.0783746E-002, 1.3672799E+002, 1.6706684E+002, 1.3809820E-001, 1.3729685E-003, 4.6831507E-002, 5.7832458E-002, 3.2356010E-001, 1.0804101E-001, 3.4019093E-002, 4.1700317E-001, 3.4330991E-003
 3.2500000E+000, 8.8378610E+002, 8.8709838E+002, 7.8724017E-002, 1.4645781E+002, 1.7868597E+002, 1.5402704E-001, 1.5036573E-003, 4.9519580E-002, 5.8965655E-002, 2.9734254E-001, 1.1197830E-001, 3.4685679E-002, 4.3444269E-001, 3.5745207E-003
 3.7500000E+000, 9.1105755E+002, 9.1631184E+002, 1.3937683E-001, 1.5369620E+002, 1.8728914E+002, 1.6841368E-001, 1.5314500E-003, 5.1804725E-002, 5.9752448E-002, 2.7649140E-001, 1.1514083E-001, 3.5148499E-002, 4.4841448E-001, 3.6831482E-003
 4.2500000E+000, 9.3337445E+002, 9.4024278E+002, 2.1003986E-001, 1.5671937E+002, 1.9107916E+002, 1.8382366E-001, 1.6635824E-003, 5.3661190E-002, 6.0350058E-002, 2.5927257E-001, 1.1766921E-001, 3.5500034E-002, 4.6005002E-001, 3.7721161E-003
 4.7500000E+000, 9.5197155E+002, 9.5995644E+002, 2.8839237E-001, 1.5540451E+002, 1.9033082E+002, 2.0102167E-001, 1.9613477E-003, 5.5197560E-002, 6.0798156E-002, 2.4439506E-001, 1.1971730E-001, 3.5763621E-002, 4.7024575E-001, 3.8470832E-003
 5.2500000E+000, 9.6855686E+002, 9.7750864E+002, 3.7295022E-001, 1.5312450E+002, 1.8881080E+002, 2.1943821E-001, 2.3450290E-003, 5.6568974E-002, 6.1089448E-002, 2.3119048E-001, 1.2143527E-001, 3.5934969E-002, 4.7945751E-001, 3.9081382E-003
 5.7500000E+000, 9.8382118E+002, 9.9365416E+002, 4.6168852E-001, 1.5207202E+002, 1.8889686E+002, 2.3855662E-001, 2.7717473E-003, 5.7823308E-002, 6.1248250E-002, 2.1938372E-001, 1.2289660E-001, 3.6028382E-002, 4.8783853E-001, 3.9569244E-003
 6.2500000E+000, 9.9846881E+002, 1.0091784E+003, 5.5269226E-001, 1.5331729E+002, 1.9180584E+002, 2.5871005E-001, 3.1695077E-003, 5.9006597E-002, 6.1316127E-002, 2.0875041E-001, 1.2419018E-001, 3.6068310E-002, 4.9547610E-001, 3.9965166E-003
