cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.6242794E+002, 7.4894183E+002, 1.4529666E-002, 2.2540824E+002, 2.8590301E+002, 1.0176756E-001, 5.7526993E-003, 5.3265589E-002, 3.8805841E-002, 2.0985658E-001, 1.2665450E-001, 3.0435954E-002, 5.2761985E-001, 2.7716429E-003
 7.5000000E-001, 9.4485464E+002, 9.4983922E+002, 5.6846556E-002, 2.0702438E+002, 2.8432395E+002, 1.6807757E-001, 1.4582793E-002, 5.9053137E-002, 3.7121214E-002, 1.3086566E-001, 1.3239863E-001, 2.9114677E-002, 5.8958522E-001, 2.7428710E-003
 1.2500000E+000, 1.0252528E+003, 1.0398937E+003, 1.1547477E-001, 2.1246820E+002, 2.9880802E+002, 2.1241071E-001, 1.8563249E-002, 6.1467928E-002, 3.5851593E-002, 1.0091655E-001, 1.3401568E-001, 2.8118897E-002, 6.1403639E-001, 2.6894534E-003
 1.7500000E+000, 1.0749806E+003, 1.0957815E+003, 1.8251071E-001, 2.0978128E+002, 3.0069604E+002, 2.3658374E-001, 2.0586593E-002, 6.3290641E-002, 3.4678214E-002, 8.4677707E-002, 1.3491897E-001, 2.7198599E-002, 6.2784962E-001, 2.6233072E-003
 2.2500000E+000, 1.1089854E+003, 1.1337367E+003, 1.8251071E-001, 2.0448944E+002, 2.9862489E+002, 2.3658374E-001, 2.2379108E-002, 6.4463105E-002, 3.3700666E-002, 7.3625022E-002, 1.3520091E-001, 2.6431895E-002, 6.3759133E-001, 2.5647256E-003
 2.7500000E+000, 1.1342703E+003, 1.1618335E+003, 3.2794831E-001, 1.9881787E+002, 2.9573802E+002, 2.6788739E-001, 2.4251300E-002, 6.5266902E-002, 3.2733616E-002, 6.5291428E-002, 1.3499535E-001, 2.5673425E-002, 6.4536962E-001, 2.5021466E-003
 3.2500000E+000, 1.1540773E+003, 1.1837878E+003, 4.0684672E-001, 1.9471074E+002, 2.9444547E+002, 2.8625918E-001, 2.6109737E-002, 6.5911688E-002, 3.1720105E-002, 5.8758627E-002, 1.3450793E-001, 2.4878513E-002, 6.5189377E-001, 2.4325257E-003
 3.7500000E+000, 1.1691228E+003, 1.2001077E+003, 4.9035277E-001, 1.9148136E+002, 2.9400690E+002, 3.0633334E-001, 2.8134783E-002, 6.6321459E-002, 3.0721759E-002, 5.3339612E-002, 1.3372376E-001, 2.4095498E-002, 6.5763925E-001, 2.3620653E-003
 4.2500000E+000, 1.1816484E+003, 1.2136126E+003, 5.7530977E-001, 1.9040923E+002, 2.9550345E+002, 3.3042369E-001, 3.0133347E-002, 6.6558036E-002, 2.9837105E-002, 4.8654346E-002, 1.3286005E-001, 2.3401651E-002, 6.6270505E-001, 2.2995768E-003
