cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 5.0000000E-001, 6.8113735E+002, 6.8124526E+002, 5.2957948E-002, 1.9974539E+002, 2.0963024E+002, 1.1746931E-001, 3.6250974E-003, 2.6095079E-002, 3.9121653E-002, 4.7427075E-001, 1.2412527E-001, 4.0331601E-002, 2.9108616E-001, 5.2541451E-004,-4.0000000E+000, 2.4758370E+001, 1.7227683E+001, 0.0000000E+000, 6.8521066E-001, 1.6155494E+001, 2.5677808E+000,-4.0000000E+000, 1.1201370E+003, 8.2897617E+002, 6.9532495E+002, 5.8315966E+002, 5.0849867E+002, 1.4527160E+002, 2.2463915E+002, 1.8793931E+002, 1.4599301E+002, 1.0373287E+002
 1.5000000E+000, 8.6616948E+002, 8.7221807E+002, 1.8950135E-001, 2.0503079E+002, 2.1865385E+002, 1.5694643E-001, 6.7097160E-003, 3.4584093E-002, 4.8120415E-002, 3.2103534E-001, 1.5775967E-001, 4.9608675E-002, 3.8052847E-001, 6.7047967E-004,-3.0000000E+000, 2.3852455E+001, 1.7120409E+001, 1.3761468E+000, 6.4505123E-001, 1.7279331E+001, 2.5677808E+000,-3.0000000E+000, 1.0761301E+003, 8.8785715E+002, 7.3177408E+002, 5.9929720E+002, 5.1863006E+002, 1.4681761E+002, 2.2519209E+002, 1.9744949E+002, 1.5017991E+002, 1.0828724E+002
 2.5000000E+000, 9.6602153E+002, 9.7572064E+002, 1.8950135E-001, 2.0180748E+002, 2.1713699E+002, 1.5694643E-001, 1.0157629E-002, 3.9471103E-002, 5.0652715E-002, 2.4393439E-001, 1.7233709E-001, 5.2219294E-002, 4.2948713E-001, 7.1821529E-004,-2.0000000E+000, 2.3852455E+001, 1.7120409E+001, 2.7522936E+000, 6.3903264E-001, 1.8403416E+001, 2.1238602E+000,-2.0000000E+000, 1.0761301E+003, 8.8785715E+002, 7.3177408E+002, 5.9929720E+002, 5.1863006E+002, 1.4681761E+002, 2.2519209E+002, 1.9744949E+002, 1.5017991E+002, 1.0828724E+002
 3.5000000E+000, 1.0360444E+003, 1.0485759E+003, 5.9512088E-001, 1.9963714E+002, 2.1630439E+002, 2.4131024E-001, 1.3566359E-002, 4.3160457E-002, 5.0831708E-002, 1.9437845E-001, 1.8020559E-001, 5.2403823E-002, 4.6370681E-001, 7.2786681E-004,-1.0000000E+000, 2.3489961E+001, 1.7041442E+001, 4.1284404E+000, 7.7000692E-001, 1.9527708E+001, 1.9248191E+000,-1.0000000E+000, 1.0404199E+003, 9.2238821E+002, 7.5861644E+002, 6.1082310E+002, 5.2629298E+002, 1.4874006E+002, 2.1798937E+002, 2.0213651E+002, 1.5328026E+002, 1.1248165E+002
 4.5000000E+000, 1.0917348E+003, 1.1068455E+003, 8.1406692E-001, 1.9830987E+002, 2.1609016E+002, 2.9628480E-001, 1.6673959E-002, 4.6349864E-002, 4.9852020E-002, 1.5895359E-001, 1.8494763E-001, 5.1393835E-002, 4.9011598E-001, 7.1779386E-004,-1.0000000E-002, 2.3620014E+001, 1.7067052E+001, 5.5045872E+000, 8.4068491E-001, 2.0652171E+001, 1.6458514E+000,-1.0000000E-002, 1.0198341E+003, 9.3243620E+002, 7.6657786E+002, 6.1295508E+002, 5.2714087E+002, 1.4843685E+002, 2.2314693E+002, 2.0863316E+002, 1.5767732E+002, 1.1566710E+002
 5.5000000E+000, 1.1389154E+003, 1.1565449E+003, 1.0315542E+000, 1.9835880E+002, 2.1741359E+002, 3.5804641E-001, 1.9746452E-002, 4.9310091E-002, 4.7949223E-002, 1.3234239E-001, 1.8754551E-001, 4.9432188E-002, 5.1202641E-001, 6.9226880E-004, 1.0000000E+000, 2.3832621E+001, 1.7132670E+001, 6.8807339E+000, 8.7879957E-001, 2.1776780E+001, 1.5117252E+000, 1.0000000E+000, 1.0707396E+003, 8.5920780E+002, 7.2075233E+002, 5.8811393E+002, 5.1399072E+002, 1.4502879E+002, 2.2709379E+002, 2.0969242E+002, 1.5341926E+002, 1.1162842E+002
 6.5000000E+000, 1.1746705E+003, 1.1942708E+003, 1.2424184E+000, 1.9753874E+002, 2.1801354E+002, 4.2254156E-001, 2.3268011E-002, 5.1699837E-002, 4.5615400E-002, 1.1163951E-001, 1.8821106E-001, 4.7026185E-002, 5.3097246E-001, 6.5950849E-004, 2.0000000E+000, 2.5048217E+001, 1.7431299E+001, 8.2568807E+000, 8.6255835E-001, 2.2901513E+001, 1.3192086E+000, 2.0000000E+000, 1.1380836E+003, 7.9480370E+002, 6.7855342E+002, 5.6961724E+002, 5.0342971E+002, 1.4149556E+002, 2.2040626E+002, 1.9673310E+002, 1.4987757E+002, 1.0897225E+002
 7.5000000E+000, 1.2000073E+003, 1.2208454E+003, 1.4421928E+000, 1.9763094E+002, 2.2002527E+002, 4.8980644E-001, 2.7262904E-002, 5.3536384E-002, 4.3052999E-002, 9.5118714E-002, 1.8734796E-001, 4.4384535E-002, 5.4781702E-001, 6.2281912E-004, 3.0000000E+000, 2.6412283E+001, 1.7548205E+001, 9.6330275E+000, 8.3550876E-001, 2.4026353E+001, 1.2222672E+000, 3.0000000E+000, 1.1759961E+003, 7.3045647E+002, 6.3573940E+002, 5.5071327E+002, 4.9269996E+002, 1.4930781E+002, 2.0982738E+002, 1.8158539E+002, 1.4246819E+002, 1.0613542E+002
 8.5000000E+000, 1.2158897E+003, 1.2373401E+003, 1.6269402E+000, 1.9915697E+002, 2.2353952E+002, 5.5407988E-001, 3.1736644E-002, 5.4841779E-002, 4.0379891E-002, 8.1712223E-002, 1.8521537E-001, 4.1628754E-002, 5.6309771E-001, 5.8415469E-004, 4.0000000E+000, 2.8155388E+001, 1.7496938E+001, 1.1009174E+001, 7.9952523E-001, 2.5151285E+001, 1.0815944E+000, 4.0000000E+000, 1.1662146E+003, 6.7070131E+002, 5.9827793E+002, 5.3051635E+002, 4.8011763E+002, 1.7104948E+002, 1.9756033E+002, 1.6841472E+002, 1.3204206E+002, 1.0229564E+002
