cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 8.7663274E+002, 9.2456555E+001,-9.5000000E+000, 1.1332732E+003, 1.8280235E+002, 9.3879833E+002, 2.5304908E+002, 7.9610771E+002, 2.4137617E+002, 6.5662364E+002, 1.9829224E+002, 5.3661072E+002, 1.3087739E+002, 5.2000000E+001, 1.0000000E-001, 4.2035843E+000, 1.0057821E+001, 8.1179111E+000, 6.4236320E+000, 0.0000000E+000, 7.2849574E-001
 4.4622642E+000, 9.8768928E+002, 9.7508845E+001,-5.2857143E+000, 1.1894159E+003, 1.1782055E+002, 1.0686521E+003, 2.1266827E+002, 8.9382819E+002, 2.4619626E+002, 7.0686134E+002, 2.1391250E+002, 5.6106007E+002, 1.3846521E+002, 5.6480000E+001, 2.9900000E-001, 3.5768590E+000, 9.1622440E+000, 7.4863957E+000, 5.9723093E+000, 4.5000000E+000, 6.9579263E-001
 8.4245283E+000, 1.0526383E+003, 9.7255197E+001,-1.0714286E+000, 1.1628727E+003, 9.5183925E+001, 1.1445724E+003, 1.7377733E+002, 9.5725081E+002, 2.3507424E+002, 7.4250811E+002, 2.2219276E+002, 5.7667648E+002, 1.4659425E+002, 6.0960000E+001, 4.9800000E-001, 3.0354669E+000, 8.1760199E+000, 6.6898093E+000, 5.3940418E+000, 9.0000000E+000, 7.3934224E-001
 1.2386792E+001, 1.1001625E+003, 9.7118582E+001, 3.1428571E+000, 1.1616628E+003, 9.3413954E+001, 1.1516995E+003, 1.6800184E+002, 9.7181758E+002, 2.3069302E+002, 7.5288856E+002, 2.2507128E+002, 5.8370917E+002, 1.5351005E+002, 6.5440000E+001, 6.9700000E-001, 2.6354181E+000, 7.4884018E+000, 6.2078282E+000, 5.0485827E+000, 1.3500000E+001, 8.2829239E-001
 1.6349057E+001, 1.1352409E+003, 9.5531267E+001, 7.3571429E+000, 1.2228773E+003, 1.0190965E+002, 1.1069199E+003, 1.9647482E+002, 9.2143612E+002, 2.3245153E+002, 7.3475961E+002, 2.1914564E+002, 5.8197437E+002, 1.5194523E+002, 6.9920000E+001, 8.9600000E-001, 2.3074321E+000, 6.8720330E+000, 5.7691689E+000, 4.7322675E+000, 1.8000000E+001, 9.1396378E-001
 2.0311321E+001, 1.1616628E+003, 9.3413954E+001, 1.1571429E+001, 1.2273158E+003, 1.3391183E+002, 9.8194110E+002, 2.2823725E+002, 8.2678088E+002, 2.3263181E+002, 6.8932693E+002, 2.0200471E+002, 5.6730234E+002, 1.4111429E+002, 7.4400000E+001, 1.0950000E+000, 2.0348018E+000, 6.3186899E+000, 5.3689454E+000, 4.4415706E+000, 2.2500000E+001, 9.6240067E-001
 2.4273585E+001, 1.1807738E+003, 9.1327980E+001, 1.5785714E+001, 1.1017483E+003, 1.9551249E+002, 8.2404001E+002, 2.4289546E+002, 7.2145123E+002, 2.2098094E+002, 6.3445189E+002, 1.8513727E+002, 5.4554131E+002, 1.3171077E+002, 7.8880000E+001, 1.2940000E+000, 1.8055688E+000, 5.8211384E+000, 5.0030367E+000, 4.1736155E+000, 2.7000000E+001, 9.6684494E-001
 2.8235849E+001, 1.1931384E+003, 9.0187117E+001, 2.0000000E+001, 7.5119260E+002, 2.2830540E+002, 5.8477598E+002, 1.9198532E+002, 5.5455614E+002, 1.7274584E+002, 5.2886584E+002, 1.4673750E+002, 4.8945149E+002, 1.1021644E+002, 8.3360000E+001, 1.4930000E+000, 1.6109290E+000, 5.3730001E+000, 4.6679081E+000, 3.9260101E+000, 3.1500000E+001, 9.4097658E-001
 3.2198113E+001, 1.1996683E+003, 9.2413180E+001, 2.4214286E+001, 6.0731392E+002, 1.8246171E+002, 5.0665340E+002, 1.5239360E+002, 4.8874751E+002, 1.4070318E+002, 4.8225663E+002, 1.2412781E+002, 4.5656372E+002, 9.6722060E+001, 8.7840000E+001, 1.6920000E+000, 1.4442507E+000, 4.9686501E+000, 4.3604910E+000, 3.6967336E+000, 3.6000000E+001, 8.7410020E-001
 3.6160377E+001, 1.2013443E+003, 9.8811106E+001, 2.8428571E+001, 5.0701094E+002, 1.4274979E+002, 4.4627013E+002, 1.1818582E+002, 4.3708979E+002, 1.1089115E+002, 4.4246292E+002, 1.0285505E+002, 4.2733411E+002, 8.3489058E+001, 9.2320000E+001, 1.8910000E+000, 1.1755378E+000, 4.2720662E+000, 3.8183541E+000, 3.2864725E+000, 4.0500000E+001, 8.5614633E-001
 4.0122642E+001, 1.1993573E+003, 1.0728842E+002, 3.2642857E+001, 4.3636492E+002, 1.0808480E+002, 4.0081224E+002, 9.5230197E+001, 3.9841934E+002, 8.8984767E+001, 4.0367249E+002, 7.9699282E+001, 4.0102097E+002, 7.1949682E+001, 9.6800000E+001, 2.0900000E+000, 1.0663955E+000, 3.9716136E+000, 3.5791545E+000, 3.1026702E+000, 4.5000000E+001, 8.5109544E-001
 4.4084906E+001, 1.1941964E+003, 1.1808742E+002, 3.6857143E+001, 3.8217806E+002, 7.2477309E+001, 3.6598743E+002, 7.6504146E+001, 3.6777945E+002, 7.3494886E+001, 3.7218300E+002, 6.2488355E+001, 3.7704327E+002, 5.9436271E+001, 1.0128000E+002, 2.2890000E+000, 9.7050852E-001, 3.6983829E+000, 3.3586190E+000, 2.9314819E+000, 4.9500000E+001, 8.5494551E-001
 4.8047170E+001, 1.1869610E+003, 1.3058747E+002, 4.1071429E+001, 3.4736440E+002, 4.7332834E+001, 3.3866162E+002, 5.6832452E+001, 3.4342300E+002, 5.5768581E+001, 3.4811505E+002, 5.3256760E+001, 3.5744363E+002, 5.1281176E+001, 1.0576000E+002, 2.4880000E+000, 8.8585023E-001, 3.4493935E+000, 3.1550650E+000, 2.7718671E+000, 5.4000000E+001, 8.6254663E-001
