cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.2362009E+002, 7.2307247E+002, 3.0758692E-003, 1.4053756E+002, 1.6799300E+002, 2.2960639E-004, 2.0360088E-003, 4.5369866E-002, 5.2200298E-002, 1.9119334E-001, 1.3435947E-001, 4.0941410E-002, 5.2366425E-001, 3.8182138E-003
 1.2550505E+000, 8.9201450E+002, 9.0365472E+002, 5.6483867E-004, 1.2756747E+002, 1.6229467E+002, 9.2782454E-002, 3.3002569E-003, 5.0806108E-002, 5.4735602E-002, 1.1844246E-001, 1.4532383E-001, 4.2929884E-002, 5.7372939E-001, 4.1843731E-003
 2.2601010E+000, 9.7721236E+002, 9.9623830E+002, 1.2182444E-001, 1.2969027E+002, 1.7008940E+002, 1.1799052E-001, 4.2788001E-003, 5.3653057E-002, 5.4511670E-002, 9.0944246E-002, 1.4892159E-001, 4.2754251E-002, 5.9424782E-001, 4.2325264E-003
 3.2651515E+000, 1.0376600E+003, 1.0628152E+003, 3.0498844E-001, 1.3124313E+002, 1.7519941E+002, 1.4356973E-001, 5.4540935E-003, 5.5959387E-002, 5.3375317E-002, 7.4294733E-002, 1.5052020E-001, 4.1862994E-002, 6.0806753E-001, 4.1778008E-003
 4.2702020E+000, 1.0830738E+003, 1.1131970E+003, 5.1415219E-001, 1.2804376E+002, 1.7434233E+002, 1.7808619E-001, 7.5540521E-003, 5.7879005E-002, 5.1479713E-002, 6.2491679E-002, 1.5055644E-001, 4.0376245E-002, 6.1956881E-001, 4.0480143E-003
 5.2752525E+000, 1.1180302E+003, 1.1517487E+003, 7.3285997E-001, 1.2490553E+002, 1.7517869E+002, 2.2088730E-001, 1.0249032E-002, 5.9285880E-002, 4.9434664E-002, 5.3437333E-002, 1.4969682E-001, 3.8772285E-002, 6.2943092E-001, 3.8986044E-003
 6.2803030E+000, 1.1470309E+003, 1.1836548E+003, 9.5279884E-001, 1.2448827E+002, 1.7991567E+002, 2.6923534E-001, 1.3276574E-002, 6.0492413E-002, 4.7178332E-002, 4.6172383E-002, 1.4827723E-001, 3.7002613E-002, 6.3834980E-001, 3.7273546E-003
 7.2853535E+000, 1.1702743E+003, 1.2089901E+003, 1.1696748E+000, 1.2288214E+002, 1.8355965E+002, 3.1920389E-001, 1.6685021E-002, 6.1408348E-002, 4.4845384E-002, 4.0193481E-002, 1.4636197E-001, 3.5172850E-002, 6.4653973E-001, 3.5468879E-003
 8.2904040E+000, 1.1887151E+003, 1.2288263E+003, 1.3786700E+000, 1.2072676E+002, 1.8717321E+002, 3.7125780E-001, 2.0294145E-002, 6.2152391E-002, 4.2448166E-002, 3.5240941E-002, 1.4412676E-001, 3.3292679E-002, 6.5412174E-001, 3.3590709E-003
 9.2954545E+000, 1.2017284E+003, 1.2422429E+003, 1.5770906E+000, 1.1997329E+002, 1.9276340E+002, 4.2442525E-001, 2.4205275E-002, 6.2680027E-002, 3.9996650E-002, 3.1136914E-002, 1.4152662E-001, 3.1369922E-002, 6.6124212E-001, 3.1657198E-003
 1.0300505E+001, 1.2098471E+003, 1.2497191E+003, 1.7620219E+000, 1.2082526E+002, 2.0066208E+002, 4.8161550E-001, 2.8303719E-002, 6.2901200E-002, 3.7680565E-002, 2.7725501E-002, 1.3869920E-001, 2.9553384E-002, 6.6774808E-001, 2.9828274E-003
 1.1305556E+001, 1.2147104E+003, 1.2531636E+003, 1.9324847E+000, 1.2268412E+002, 2.1024899E+002, 5.3932541E-001, 3.2388842E-002, 6.2909010E-002, 3.5545770E-002, 2.4803890E-002, 1.3583133E-001, 2.7879035E-002, 6.7367237E-001, 2.8140263E-003
 1.2310606E+001, 1.2172742E+003, 1.2538483E+003, 2.0901700E+000, 1.2578798E+002, 2.2110770E+002, 5.9436832E-001, 3.6502966E-002, 6.2781884E-002, 3.3493173E-002, 2.2266574E-002, 1.3289362E-001, 2.6269155E-002, 6.7922534E-001, 2.6512694E-003
 1.3315657E+001, 1.2172281E+003, 1.2514237E+003, 2.2342801E+000, 1.3069792E+002, 2.3320264E+002, 6.4789835E-001, 4.0692716E-002, 6.2520634E-002, 3.1501426E-002, 2.0050404E-002, 1.2985851E-001, 2.4707001E-002, 6.8449256E-001, 2.4931454E-003
 1.4320707E+001, 1.2150145E+003, 1.2464303E+003, 2.3664138E+000, 1.3709504E+002, 2.4639200E+002, 6.9821772E-001, 4.4959522E-002, 6.2083259E-002, 2.9624125E-002, 1.8092645E-002, 1.2674293E-001, 2.3234608E-002, 6.8945426E-001, 2.3441675E-003
 1.5325758E+001, 1.2103366E+003, 1.2385908E+003, 2.4854361E+000, 1.4458946E+002, 2.5977723E+002, 7.4829068E-001, 4.9160167E-002, 6.1504564E-002, 2.7912454E-002, 1.6377663E-002, 1.2366256E-001, 2.1892120E-002, 6.9401744E-001, 2.2084089E-003
