s,kW,kW
Time,HRR,HRR_rad_loss
4.437090E+00,1.655251E+01,6.305375E+00
4.451540E+00,1.583858E+01,5.367347E+00
4.465430E+00,1.562166E+01,8.403850E+00
4.479170E+00,1.544702E+01,7.735452E+00
4.492140E+00,1.538896E+01,6.851055E+00
4.505170E+00,1.520667E+01,5.587663E+00
4.517460E+00,1.461743E+01,4.431361E+00
4.529480E+00,1.365677E+01,7.021404E+00
4.541450E+00,1.307289E+01,6.214243E+00
4.553330E+00,1.334902E+01,5.420924E+00
4.565360E+00,1.385290E+01,4.537417E+00
4.577070E+00,1.423407E+01,3.863857E+00
4.588510E+00,1.487463E+01,7.794054E+00
4.599920E+00,1.562212E+01,7.016560E+00
4.610990E+00,1.667624E+01,6.432107E+00
4.621490E+00,1.705168E+01,5.641779E+00
4.631590E+00,1.741658E+01,4.891157E+00
4.640760E+00,1.778157E+01,8.944442E+00
4.649340E+00,1.812622E+01,8.190870E+00
4.657470E+00,1.844218E+01,7.658718E+00
4.665810E+00,1.814997E+01,6.733771E+00
4.674390E+00,1.778064E+01,5.644506E+00
4.683350E+00,1.736214E+01,8.352452E+00
4.693370E+00,1.626794E+01,7.378554E+00
4.704570E+00,1.458964E+01,5.772896E+00
4.715700E+00,1.311059E+01,4.496121E+00
4.725970E+00,1.234857E+01,3.591690E+00
4.735880E+00,1.214915E+01,6.507639E+00
4.745810E+00,1.205942E+01,6.003481E+00
4.755710E+00,1.212794E+01,5.609921E+00
4.767190E+00,1.223717E+01,4.867191E+00
4.779370E+00,1.261670E+01,4.069522E+00
4.791000E+00,1.308684E+01,7.490206E+00
4.802560E+00,1.358431E+01,6.695290E+00
4.814360E+00,1.412933E+01,6.149786E+00
4.826000E+00,1.478684E+01,5.272158E+00
4.836950E+00,1.526334E+01,4.413588E+00
4.847090E+00,1.547504E+01,8.552381E+00
4.857070E+00,1.573081E+01,7.702236E+00
4.867050E+00,1.599772E+01,7.152686E+00
4.876420E+00,1.616875E+01,6.247933E+00
4.885210E+00,1.631259E+01,5.329385E+00
4.893790E+00,1.640190E+01,9.104282E+00
4.902900E+00,1.655629E+01,7.976831E+00
4.912160E+00,1.695029E+01,7.293591E+00
4.921840E+00,1.725036E+01,6.163544E+00
4.932170E+00,1.720342E+01,4.937092E+00
4.942360E+00,1.704894E+01,8.754865E+00
4.952710E+00,1.579038E+01,7.582046E+00
4.962650E+00,1.390526E+01,6.251998E+00
4.972420E+00,1.338395E+01,5.077613E+00
4.982860E+00,1.375849E+01,4.082017E+00
4.993730E+00,1.401082E+01,7.772604E+00
5.003920E+00,1.451834E+01,7.056279E+00
5.013370E+00,1.484055E+01,6.555109E+00
5.022610E+00,1.508381E+01,5.767696E+00
5.032050E+00,1.507915E+01,4.896216E+00
