D,m,cm,ppm,ppm
height_over_D,z,radius,sootVF_mean,sootVF_rms
1.500000E+00,4.600000E-01,6.000000E-01,2.035240E+00,1.747793E+00
1.500000E+00,4.600000E-01,1.000000E+00,1.648410E+00,1.739701E+00
1.500000E+00,4.600000E-01,1.400000E+00,1.380610E+00,1.578699E+00
1.500000E+00,4.600000E-01,1.800000E+00,1.102180E+00,1.412423E+00
1.500000E+00,4.600000E-01,2.200000E+00,8.141030E-01,1.285819E+00
1.500000E+00,4.600000E-01,2.600000E+00,5.769300E-01,1.134310E+00
1.500000E+00,4.600000E-01,3.000000E+00,4.266040E-01,9.735523E-01
1.500000E+00,4.600000E-01,3.400000E+00,3.264860E-01,8.276980E-01
1.500000E+00,4.600000E-01,3.800000E+00,2.648350E-01,7.176977E-01
1.500000E+00,4.600000E-01,4.200000E+00,2.294040E-01,6.429230E-01
1.500000E+00,4.600000E-01,4.600000E+00,2.242140E-01,6.354998E-01
1.500000E+00,4.600000E-01,5.000000E+00,2.557180E-01,7.992778E-01
1.500000E+00,4.600000E-01,5.400000E+00,3.088890E-01,1.050505E+00
1.500000E+00,4.600000E-01,5.800000E+00,3.132830E-01,1.174704E+00
1.500000E+00,4.600000E-01,6.200000E+00,2.875490E-01,1.192300E+00
1.500000E+00,4.600000E-01,6.600000E+00,2.576100E-01,1.114154E+00
1.500000E+00,4.600000E-01,7.000000E+00,1.778990E-01,7.682623E-01
1.500000E+00,4.600000E-01,7.400000E+00,1.154830E-01,5.548315E-01
1.500000E+00,4.600000E-01,7.800000E+00,7.746050E-02,3.427346E-01
1.500000E+00,4.600000E-01,8.200000E+00,5.204770E-02,1.830511E-01
1.500000E+00,4.600000E-01,8.600000E+00,3.966940E-02,1.505756E-01
1.500000E+00,4.600000E-01,9.000000E+00,2.846130E-02,1.312589E-01
1.500000E+00,4.600000E-01,9.400000E+00,1.103970E-02,6.737099E-02
1.500000E+00,4.600000E-01,9.800000E+00,3.512840E-03,2.329008E-02
1.500000E+00,4.600000E-01,1.020000E+01,1.171240E-03,7.828320E-03
1.500000E+00,4.600000E-01,1.060000E+01,6.077940E-04,5.120840E-03
1.500000E+00,4.600000E-01,1.100000E+01,4.096500E-04,4.259026E-03
1.500000E+00,4.600000E-01,1.140000E+01,2.597640E-04,3.174256E-03
1.500000E+00,4.600000E-01,1.180000E+01,8.988140E-05,9.662779E-04
1.500000E+00,4.600000E-01,1.220000E+01,4.257670E-05,3.944515E-04
1.500000E+00,4.600000E-01,1.260000E+01,2.769060E-05,2.925753E-04
1.500000E+00,4.600000E-01,1.300000E+01,1.956700E-05,2.228347E-04
1.500000E+00,4.600000E-01,1.340000E+01,2.148730E-05,2.571982E-04
1.500000E+00,4.600000E-01,1.380000E+01,1.566050E-05,2.267576E-04
1.500000E+00,4.600000E-01,1.420000E+01,4.894270E-06,8.138151E-05
1.500000E+00,4.600000E-01,1.460000E+01,1.463360E-06,2.328190E-05
1.500000E+00,4.600000E-01,1.500000E+01,1.101240E-06,1.658367E-05
2.000000E+00,5.300000E-01,2.000000E-01,2.534290E+00,2.057690E+00
2.000000E+00,5.300000E-01,6.000000E-01,2.277320E+00,2.020587E+00
2.000000E+00,5.300000E-01,1.000000E+00,1.750120E+00,1.874100E+00
2.000000E+00,5.300000E-01,1.400000E+00,1.373690E+00,1.667768E+00
2.000000E+00,5.300000E-01,1.800000E+00,1.023970E+00,1.412314E+00
2.000000E+00,5.300000E-01,2.200000E+00,7.111400E-01,1.190458E+00
2.000000E+00,5.300000E-01,2.600000E+00,4.990840E-01,1.037415E+00
2.000000E+00,5.300000E-01,3.000000E+00,3.852740E-01,9.074652E-01
2.000000E+00,5.300000E-01,3.400000E+00,3.229780E-01,8.374396E-01
2.000000E+00,5.300000E-01,3.800000E+00,2.982610E-01,8.225612E-01
2.000000E+00,5.300000E-01,4.200000E+00,2.830530E-01,8.114321E-01
2.000000E+00,5.300000E-01,4.600000E+00,2.812220E-01,8.663954E-01
2.000000E+00,5.300000E-01,5.000000E+00,2.988060E-01,9.796137E-01
2.000000E+00,5.300000E-01,5.400000E+00,3.335440E-01,1.188402E+00
2.000000E+00,5.300000E-01,5.800000E+00,3.815630E-01,1.441784E+00
2.000000E+00,5.300000E-01,6.200000E+00,4.138650E-01,1.681936E+00
2.000000E+00,5.300000E-01,6.600000E+00,3.975080E-01,1.747367E+00
2.000000E+00,5.300000E-01,7.000000E+00,3.247240E-01,1.485799E+00
2.000000E+00,5.300000E-01,7.400000E+00,2.506620E-01,1.226083E+00
2.000000E+00,5.300000E-01,7.800000E+00,2.051600E-01,1.160366E+00
2.000000E+00,5.300000E-01,8.200000E+00,1.711650E-01,1.008578E+00
2.000000E+00,5.300000E-01,8.600000E+00,1.238130E-01,7.022863E-01
2.000000E+00,5.300000E-01,9.000000E+00,7.623710E-02,4.585226E-01
2.000000E+00,5.300000E-01,9.400000E+00,6.698140E-02,4.473533E-01
2.000000E+00,5.300000E-01,9.800000E+00,5.603120E-02,4.767861E-01
2.000000E+00,5.300000E-01,1.020000E+01,3.936650E-02,4.196034E-01
2.000000E+00,5.300000E-01,1.060000E+01,1.904650E-02,2.144069E-01
2.000000E+00,5.300000E-01,1.100000E+01,5.247270E-03,4.189033E-02
2.000000E+00,5.300000E-01,1.140000E+01,2.563420E-03,3.200734E-02
2.000000E+00,5.300000E-01,1.180000E+01,2.869260E-03,4.512272E-02
2.000000E+00,5.300000E-01,1.220000E+01,1.725000E-03,2.742224E-02
2.000000E+00,5.300000E-01,1.260000E+01,9.888320E-04,1.100350E-02
2.000000E+00,5.300000E-01,1.300000E+01,6.972350E-04,7.005262E-03
2.000000E+00,5.300000E-01,1.340000E+01,5.812270E-04,6.473322E-03
2.000000E+00,5.300000E-01,1.380000E+01,4.573780E-04,5.945940E-03
2.000000E+00,5.300000E-01,1.420000E+01,2.794860E-04,4.305264E-03
2.000000E+00,5.300000E-01,1.460000E+01,5.823030E-05,1.021284E-03
2.000000E+00,5.300000E-01,1.500000E+01,5.803310E-06,9.413496E-05
2.500000E+00,6.000000E-01,2.000000E-01,2.457340E+00,2.280362E+00
2.500000E+00,6.000000E-01,6.000000E-01,2.184730E+00,2.236553E+00
2.500000E+00,6.000000E-01,1.000000E+00,1.625570E+00,1.908112E+00
2.500000E+00,6.000000E-01,1.400000E+00,1.221080E+00,1.634714E+00
2.500000E+00,6.000000E-01,1.800000E+00,9.269010E-01,1.422340E+00
2.500000E+00,6.000000E-01,2.200000E+00,6.946370E-01,1.237942E+00
2.500000E+00,6.000000E-01,2.600000E+00,5.091450E-01,1.077316E+00
2.500000E+00,6.000000E-01,3.000000E+00,4.095110E-01,9.877646E-01
2.500000E+00,6.000000E-01,3.400000E+00,3.474540E-01,9.130164E-01
2.500000E+00,6.000000E-01,3.800000E+00,3.079280E-01,8.926589E-01
2.500000E+00,6.000000E-01,4.200000E+00,2.915820E-01,9.017400E-01
2.500000E+00,6.000000E-01,4.600000E+00,2.874640E-01,9.688478E-01
2.500000E+00,6.000000E-01,5.000000E+00,2.786040E-01,1.017379E+00
2.500000E+00,6.000000E-01,5.400000E+00,2.658390E-01,1.017005E+00
2.500000E+00,6.000000E-01,5.800000E+00,2.808220E-01,1.161848E+00
2.500000E+00,6.000000E-01,6.200000E+00,3.038050E-01,1.397723E+00
2.500000E+00,6.000000E-01,6.600000E+00,2.919940E-01,1.387350E+00
2.500000E+00,6.000000E-01,7.000000E+00,2.532080E-01,1.184804E+00
2.500000E+00,6.000000E-01,7.400000E+00,2.066530E-01,1.007765E+00
2.500000E+00,6.000000E-01,7.800000E+00,1.875180E-01,1.054547E+00
2.500000E+00,6.000000E-01,8.200000E+00,1.546220E-01,9.991456E-01
2.500000E+00,6.000000E-01,8.600000E+00,1.316750E-01,7.403492E-01
2.500000E+00,6.000000E-01,9.000000E+00,9.084660E-02,4.727758E-01
2.500000E+00,6.000000E-01,9.400000E+00,7.580600E-02,4.280491E-01
2.500000E+00,6.000000E-01,9.601600E+00,6.524240E-02,3.597805E-01
2.500000E+00,6.000000E-01,9.801600E+00,6.724460E-02,3.535704E-01
2.500000E+00,6.000000E-01,1.019690E+01,5.288670E-02,3.040245E-01
2.500000E+00,6.000000E-01,1.039690E+01,5.139010E-02,3.373737E-01
2.500000E+00,6.000000E-01,1.060000E+01,5.256290E-02,5.181911E-01
2.500000E+00,6.000000E-01,1.100000E+01,6.205830E-02,8.333061E-01
2.500000E+00,6.000000E-01,1.140000E+01,5.841440E-02,9.183028E-01
2.500000E+00,6.000000E-01,1.180000E+01,4.095430E-02,7.890241E-01
2.500000E+00,6.000000E-01,1.220000E+01,1.291250E-02,2.681356E-01
2.500000E+00,6.000000E-01,1.260000E+01,2.397710E-03,3.410586E-02
2.500000E+00,6.000000E-01,1.300000E+01,2.431260E-03,3.860492E-02
2.500000E+00,6.000000E-01,1.340000E+01,2.668990E-03,4.524168E-02
2.500000E+00,6.000000E-01,1.380000E+01,1.065350E-03,1.761687E-02
2.500000E+00,6.000000E-01,1.420000E+01,4.400440E-04,5.989157E-03
2.500000E+00,6.000000E-01,1.460000E+01,2.649320E-04,3.299015E-03
2.500000E+00,6.000000E-01,1.500000E+01,2.234040E-04,3.163210E-03
3.000000E+00,6.700000E-01,2.000000E-01,2.088930E+00,2.303491E+00
3.000000E+00,6.700000E-01,6.000000E-01,1.826810E+00,2.218732E+00
3.000000E+00,6.700000E-01,1.000000E+00,1.520230E+00,1.988987E+00
3.000000E+00,6.700000E-01,1.400000E+00,1.152310E+00,1.756408E+00
3.000000E+00,6.700000E-01,1.800000E+00,8.750680E-01,1.492223E+00
3.000000E+00,6.700000E-01,2.200000E+00,6.856430E-01,1.315435E+00
3.000000E+00,6.700000E-01,2.600000E+00,5.308270E-01,1.186819E+00
3.000000E+00,6.700000E-01,3.000000E+00,4.231200E-01,1.078953E+00
3.000000E+00,6.700000E-01,3.400000E+00,3.434790E-01,1.000740E+00
3.000000E+00,6.700000E-01,3.800000E+00,2.937470E-01,9.852411E-01
3.000000E+00,6.700000E-01,4.200000E+00,2.753270E-01,1.003135E+00
3.000000E+00,6.700000E-01,4.600000E+00,2.611560E-01,1.039793E+00
3.000000E+00,6.700000E-01,5.000000E+00,2.292020E-01,9.771939E-01
3.000000E+00,6.700000E-01,5.400000E+00,2.049840E-01,9.571066E-01
3.000000E+00,6.700000E-01,5.800000E+00,1.912610E-01,9.526972E-01
3.000000E+00,6.700000E-01,6.200000E+00,1.777580E-01,9.221339E-01
3.000000E+00,6.700000E-01,6.600000E+00,1.813670E-01,9.583079E-01
3.000000E+00,6.700000E-01,7.000000E+00,1.859430E-01,1.075439E+00
3.000000E+00,6.700000E-01,7.400000E+00,1.712010E-01,9.857114E-01
3.000000E+00,6.700000E-01,7.800000E+00,1.386830E-01,7.955872E-01
3.000000E+00,6.700000E-01,8.200000E+00,1.636330E-01,9.857829E-01
3.000000E+00,6.700000E-01,8.600000E+00,1.442100E-01,8.629287E-01
3.000000E+00,6.700000E-01,9.000000E+00,1.166840E-01,6.867780E-01
3.000000E+00,6.700000E-01,9.400000E+00,9.973140E-02,5.609848E-01
3.000000E+00,6.700000E-01,9.800000E+00,7.400910E-02,4.556227E-01
3.000000E+00,6.700000E-01,1.020000E+01,7.852790E-02,6.909566E-01
3.000000E+00,6.700000E-01,1.060000E+01,8.358450E-02,9.394466E-01
3.000000E+00,6.700000E-01,1.100000E+01,7.491790E-02,9.562238E-01
3.000000E+00,6.700000E-01,1.140000E+01,5.689780E-02,7.616600E-01
3.000000E+00,6.700000E-01,1.180000E+01,3.404010E-02,4.884209E-01
3.000000E+00,6.700000E-01,1.220000E+01,4.271580E-02,6.925410E-01
3.000000E+00,6.700000E-01,1.260000E+01,3.899200E-02,6.770118E-01
3.000000E+00,6.700000E-01,1.300000E+01,2.372940E-02,4.922215E-01
3.000000E+00,6.700000E-01,1.340000E+01,6.396270E-03,1.131539E-01
3.000000E+00,6.700000E-01,1.380000E+01,3.832810E-03,6.076701E-02
3.000000E+00,6.700000E-01,1.420000E+01,1.910530E-03,3.182782E-02
3.000000E+00,6.700000E-01,1.460000E+01,8.116830E-04,1.058508E-02
3.000000E+00,6.700000E-01,1.500000E+01,4.255110E-04,4.178445E-03
3.500000E+00,7.400000E-01,2.000000E-01,1.645670E+00,2.273568E+00
3.500000E+00,7.400000E-01,6.000000E-01,1.438010E+00,2.098583E+00
3.500000E+00,7.400000E-01,1.000000E+00,1.237400E+00,1.906513E+00
3.500000E+00,7.400000E-01,1.400000E+00,9.981380E-01,1.737035E+00
3.500000E+00,7.400000E-01,1.800000E+00,7.983410E-01,1.551451E+00
3.500000E+00,7.400000E-01,2.200000E+00,6.356960E-01,1.379141E+00
3.500000E+00,7.400000E-01,2.600000E+00,5.086250E-01,1.230553E+00
3.500000E+00,7.400000E-01,3.000000E+00,3.977540E-01,1.103182E+00
3.500000E+00,7.400000E-01,3.400000E+00,3.126580E-01,9.911912E-01
3.500000E+00,7.400000E-01,3.800000E+00,2.325710E-01,7.944929E-01
3.500000E+00,7.400000E-01,4.200000E+00,1.936930E-01,7.207038E-01
3.500000E+00,7.400000E-01,4.600000E+00,1.700540E-01,6.806886E-01
3.500000E+00,7.400000E-01,5.000000E+00,1.630580E-01,7.186021E-01
3.500000E+00,7.400000E-01,5.400000E+00,1.457710E-01,7.567179E-01
3.500000E+00,7.400000E-01,5.800000E+00,1.285770E-01,7.013316E-01
3.500000E+00,7.400000E-01,6.200000E+00,1.127780E-01,5.462609E-01
3.500000E+00,7.400000E-01,6.600000E+00,1.109090E-01,5.364066E-01
3.500000E+00,7.400000E-01,7.000000E+00,1.133060E-01,5.858114E-01
3.500000E+00,7.400000E-01,7.400000E+00,1.083970E-01,5.689446E-01
3.500000E+00,7.400000E-01,7.800000E+00,8.325680E-02,3.951708E-01
3.500000E+00,7.400000E-01,8.200000E+00,6.563100E-02,3.111744E-01
3.500000E+00,7.400000E-01,8.600000E+00,6.518280E-02,2.934014E-01
3.500000E+00,7.400000E-01,9.000000E+00,5.821990E-02,2.447317E-01
3.500000E+00,7.400000E-01,9.400000E+00,4.770280E-02,1.994106E-01
3.500000E+00,7.400000E-01,9.800000E+00,4.641830E-02,2.308582E-01
3.500000E+00,7.400000E-01,1.020000E+01,4.631700E-02,2.832654E-01
3.500000E+00,7.400000E-01,1.060000E+01,3.624420E-02,2.454528E-01
3.500000E+00,7.400000E-01,1.100000E+01,2.571210E-02,1.715815E-01
3.500000E+00,7.400000E-01,1.140000E+01,2.548570E-02,2.176251E-01
3.500000E+00,7.400000E-01,1.180000E+01,3.240730E-02,3.474047E-01
3.500000E+00,7.400000E-01,1.220000E+01,4.954670E-02,5.659134E-01
3.500000E+00,7.400000E-01,1.260000E+01,5.025950E-02,5.999483E-01
3.500000E+00,7.400000E-01,1.300000E+01,3.903470E-02,4.882376E-01
3.500000E+00,7.400000E-01,1.340000E+01,2.199490E-02,3.018851E-01
3.500000E+00,7.400000E-01,1.380000E+01,9.471130E-03,1.340306E-01
3.500000E+00,7.400000E-01,1.420000E+01,2.494170E-03,2.254664E-02
3.500000E+00,7.400000E-01,1.460000E+01,1.268900E-03,1.200716E-02
3.500000E+00,7.400000E-01,1.500000E+01,7.182670E-04,5.864708E-03
