D,m,cm,m/s,m/s
height_over_D,z,x,UMean_x,UMean_z
5.000000E-01,3.200000E-01,7.400000E+00,-7.143600E-02,7.042370E-02
5.000000E-01,3.200000E-01,7.800000E+00,-6.880570E-02,7.020960E-02
5.000000E-01,3.200000E-01,8.200000E+00,-6.492200E-02,6.882280E-02
5.000000E-01,3.200000E-01,8.600000E+00,-6.204150E-02,6.708240E-02
5.000000E-01,3.200000E-01,9.000000E+00,-5.940450E-02,6.623170E-02
5.000000E-01,3.200000E-01,9.400000E+00,-5.718930E-02,6.618870E-02
5.000000E-01,3.200000E-01,9.800000E+00,-5.540120E-02,6.617840E-02
5.000000E-01,3.200000E-01,1.020000E+01,-5.381180E-02,6.722300E-02
5.000000E-01,3.200000E-01,1.060000E+01,-5.231700E-02,6.715900E-02
5.000000E-01,3.200000E-01,1.100000E+01,-5.069500E-02,6.878550E-02
5.000000E-01,3.200000E-01,1.140000E+01,-4.956520E-02,6.850520E-02
5.000000E-01,3.200000E-01,1.180000E+01,-4.744540E-02,6.853450E-02
5.000000E-01,3.200000E-01,1.220000E+01,-4.634630E-02,6.641780E-02
5.000000E-01,3.200000E-01,1.260000E+01,-4.386160E-02,6.494090E-02
5.000000E-01,3.200000E-01,1.300000E+01,-4.312570E-02,6.364210E-02
5.000000E-01,3.200000E-01,1.340000E+01,-4.137520E-02,6.320640E-02
5.000000E-01,3.200000E-01,1.380000E+01,-4.067810E-02,6.269800E-02
5.000000E-01,3.200000E-01,1.420000E+01,-3.958260E-02,6.251230E-02
5.000000E-01,3.200000E-01,1.480000E+01,-3.967090E-02,6.247780E-02
1.000000E+00,3.900000E-01,-1.490000E+01,4.183880E-02,6.371500E-02
1.000000E+00,3.900000E-01,-1.460000E+01,4.221630E-02,6.416210E-02
1.000000E+00,3.900000E-01,-1.420000E+01,4.330750E-02,6.486210E-02
1.000000E+00,3.900000E-01,-1.380000E+01,4.447440E-02,6.557970E-02
1.000000E+00,3.900000E-01,-1.340000E+01,4.573000E-02,6.620760E-02
1.000000E+00,3.900000E-01,-1.302000E+01,4.696520E-02,6.663660E-02
1.000000E+00,3.900000E-01,-1.282000E+01,4.700180E-02,6.661640E-02
1.000000E+00,3.900000E-01,-1.260000E+01,4.818420E-02,6.705090E-02
1.000000E+00,3.900000E-01,-1.220000E+01,4.937120E-02,6.749000E-02
1.000000E+00,3.900000E-01,-1.180000E+01,5.053790E-02,6.812820E-02
1.000000E+00,3.900000E-01,-1.140000E+01,5.177880E-02,6.899650E-02
1.000000E+00,3.900000E-01,-1.100000E+01,5.302500E-02,7.044370E-02
1.000000E+00,3.900000E-01,-1.060000E+01,5.420520E-02,7.219550E-02
1.000000E+00,3.900000E-01,-1.020000E+01,5.542240E-02,7.445550E-02
1.000000E+00,3.900000E-01,-9.800000E+00,5.669300E-02,7.641530E-02
1.000000E+00,3.900000E-01,-9.400000E+00,5.804520E-02,7.863270E-02
1.000000E+00,3.900000E-01,-9.000000E+00,5.997740E-02,8.092350E-02
1.000000E+00,3.900000E-01,-8.600000E+00,6.117050E-02,8.352160E-02
1.000000E+00,3.900000E-01,-8.200000E+00,6.336730E-02,8.656700E-02
1.000000E+00,3.900000E-01,-7.800000E+00,6.387460E-02,9.132170E-02
1.000000E+00,3.900000E-01,-7.400000E+00,6.578470E-02,9.976970E-02
1.000000E+00,3.900000E-01,-7.000000E+00,6.589720E-02,1.149130E-01
1.000000E+00,3.900000E-01,-6.600000E+00,6.668860E-02,1.417120E-01
1.000000E+00,3.900000E-01,-6.302920E+00,6.603090E-02,1.923810E-01
1.000000E+00,3.900000E-01,-6.102920E+00,6.531440E-02,1.949230E-01
1.000000E+00,3.900000E-01,-5.800000E+00,5.860440E-02,2.789880E-01
1.000000E+00,3.900000E-01,-5.400000E+00,4.995270E-02,3.971920E-01
1.000000E+00,3.900000E-01,-5.000000E+00,3.772250E-02,5.447510E-01
1.000000E+00,3.900000E-01,-4.600000E+00,2.768570E-02,7.029280E-01
1.000000E+00,3.900000E-01,-4.200000E+00,1.721950E-02,8.631880E-01
1.000000E+00,3.900000E-01,-3.800000E+00,1.030440E-02,1.014840E+00
1.000000E+00,3.900000E-01,-3.400000E+00,7.038780E-03,1.156240E+00
1.000000E+00,3.900000E-01,-3.000000E+00,7.818080E-03,1.291340E+00
1.000000E+00,3.900000E-01,-2.600000E+00,1.791790E-02,1.426430E+00
1.000000E+00,3.900000E-01,-2.200000E+00,3.376880E-02,1.592910E+00
1.000000E+00,3.900000E-01,-1.800000E+00,5.242440E-02,1.797690E+00
1.000000E+00,3.900000E-01,-1.400000E+00,5.915820E-02,1.975590E+00
1.000000E+00,3.900000E-01,-1.000000E+00,4.762730E-02,2.045130E+00
1.000000E+00,3.900000E-01,-6.000000E-01,2.806120E-02,2.003360E+00
1.000000E+00,3.900000E-01,-2.000000E-01,1.156280E-02,1.935010E+00
1.000000E+00,3.900000E-01,2.000000E-01,-9.878890E-03,1.938880E+00
1.000000E+00,3.900000E-01,6.000000E-01,-2.998970E-02,2.017240E+00
1.000000E+00,3.900000E-01,1.000000E+00,-5.072690E-02,2.068250E+00
1.000000E+00,3.900000E-01,1.400000E+00,-6.103070E-02,1.995390E+00
1.000000E+00,3.900000E-01,1.800000E+00,-5.153990E-02,1.800400E+00
1.000000E+00,3.900000E-01,2.200000E+00,-3.253800E-02,1.583180E+00
1.000000E+00,3.900000E-01,2.600000E+00,-1.579400E-02,1.416050E+00
1.000000E+00,3.900000E-01,3.000000E+00,-6.124840E-03,1.284460E+00
1.000000E+00,3.900000E-01,3.400000E+00,-4.598870E-03,1.156480E+00
1.000000E+00,3.900000E-01,3.800000E+00,-1.001330E-02,1.015070E+00
1.000000E+00,3.900000E-01,4.200000E+00,-1.910660E-02,8.620380E-01
1.000000E+00,3.900000E-01,4.600000E+00,-3.058860E-02,7.021900E-01
1.000000E+00,3.900000E-01,5.000000E+00,-3.972430E-02,5.479780E-01
1.000000E+00,3.900000E-01,5.400000E+00,-5.017970E-02,4.049140E-01
1.000000E+00,3.900000E-01,5.800000E+00,-5.745000E-02,2.905820E-01
1.000000E+00,3.900000E-01,6.200000E+00,-6.383870E-02,2.076310E-01
1.000000E+00,3.900000E-01,6.600000E+00,-6.537780E-02,1.506370E-01
1.000000E+00,3.900000E-01,7.000000E+00,-6.550040E-02,1.189120E-01
1.000000E+00,3.900000E-01,7.400000E+00,-6.581230E-02,9.886880E-02
1.000000E+00,3.900000E-01,7.800000E+00,-6.421190E-02,8.967370E-02
1.000000E+00,3.900000E-01,8.200000E+00,-6.384320E-02,8.367840E-02
1.000000E+00,3.900000E-01,8.600000E+00,-6.168500E-02,8.013130E-02
1.000000E+00,3.900000E-01,9.000000E+00,-6.090010E-02,7.778430E-02
1.000000E+00,3.900000E-01,9.400000E+00,-5.873390E-02,7.509380E-02
1.000000E+00,3.900000E-01,9.800000E+00,-5.747670E-02,7.339600E-02
1.000000E+00,3.900000E-01,1.020000E+01,-5.562350E-02,7.197210E-02
1.000000E+00,3.900000E-01,1.060000E+01,-5.418050E-02,7.070100E-02
1.000000E+00,3.900000E-01,1.100000E+01,-5.243700E-02,6.997000E-02
1.000000E+00,3.900000E-01,1.140000E+01,-5.115350E-02,6.948180E-02
1.000000E+00,3.900000E-01,1.180000E+01,-4.971170E-02,6.892000E-02
1.000000E+00,3.900000E-01,1.220000E+01,-4.855300E-02,6.859510E-02
1.000000E+00,3.900000E-01,1.260000E+01,-4.736390E-02,6.822820E-02
1.000000E+00,3.900000E-01,1.300000E+01,-4.618690E-02,6.781080E-02
1.000000E+00,3.900000E-01,1.340000E+01,-4.495250E-02,6.733740E-02
1.000000E+00,3.900000E-01,1.380000E+01,-4.370420E-02,6.669460E-02
1.000000E+00,3.900000E-01,1.420000E+01,-4.251130E-02,6.594400E-02
1.000000E+00,3.900000E-01,1.460000E+01,-4.145770E-02,6.522680E-02
1.000000E+00,3.900000E-01,1.500000E+01,-4.104250E-02,6.472370E-02
1.500000E+00,4.600000E-01,-1.490000E+01,4.636670E-02,6.965140E-02
1.500000E+00,4.600000E-01,-1.460000E+01,4.646570E-02,7.145330E-02
1.500000E+00,4.600000E-01,-1.420000E+01,4.648520E-02,7.391270E-02
1.500000E+00,4.600000E-01,-1.380000E+01,4.717870E-02,7.615390E-02
1.500000E+00,4.600000E-01,-1.340000E+01,4.767320E-02,7.814180E-02
1.500000E+00,4.600000E-01,-1.305430E+01,4.844770E-02,7.949800E-02
1.500000E+00,4.600000E-01,-1.285430E+01,4.809890E-02,7.942900E-02
1.500000E+00,4.600000E-01,-1.260000E+01,4.899130E-02,8.046730E-02
1.500000E+00,4.600000E-01,-1.220000E+01,4.992900E-02,8.158810E-02
1.500000E+00,4.600000E-01,-1.180000E+01,5.082400E-02,8.354490E-02
1.500000E+00,4.600000E-01,-1.140000E+01,5.188160E-02,8.576820E-02
1.500000E+00,4.600000E-01,-1.100000E+01,5.339140E-02,8.757880E-02
1.500000E+00,4.600000E-01,-1.060000E+01,5.489080E-02,8.934860E-02
1.500000E+00,4.600000E-01,-1.020000E+01,5.666710E-02,9.161900E-02
1.500000E+00,4.600000E-01,-9.800000E+00,5.812050E-02,9.447830E-02
1.500000E+00,4.600000E-01,-9.400000E+00,5.994650E-02,9.928040E-02
1.500000E+00,4.600000E-01,-9.000000E+00,6.184870E-02,1.058260E-01
1.500000E+00,4.600000E-01,-8.600000E+00,6.384860E-02,1.174660E-01
1.500000E+00,4.600000E-01,-8.200000E+00,6.600210E-02,1.344080E-01
1.500000E+00,4.600000E-01,-7.800000E+00,6.699910E-02,1.608960E-01
1.500000E+00,4.600000E-01,-7.400000E+00,6.854380E-02,1.974520E-01
1.500000E+00,4.600000E-01,-7.000000E+00,6.741360E-02,2.496720E-01
1.500000E+00,4.600000E-01,-6.600000E+00,6.346900E-02,3.228990E-01
1.500000E+00,4.600000E-01,-6.200000E+00,5.709090E-02,4.230840E-01
1.500000E+00,4.600000E-01,-5.800000E+00,4.672110E-02,5.514180E-01
1.500000E+00,4.600000E-01,-5.400000E+00,3.344970E-02,6.974020E-01
1.500000E+00,4.600000E-01,-5.000000E+00,1.972940E-02,8.536090E-01
1.500000E+00,4.600000E-01,-4.740000E+00,6.597930E-03,1.014030E+00
1.500000E+00,4.600000E-01,-4.540000E+00,4.734530E-03,1.015550E+00
1.500000E+00,4.600000E-01,-4.200000E+00,-4.026030E-03,1.164430E+00
1.500000E+00,4.600000E-01,-3.800000E+00,-8.771930E-03,1.292680E+00
1.500000E+00,4.600000E-01,-3.400000E+00,-7.626290E-03,1.411950E+00
1.500000E+00,4.600000E-01,-3.000000E+00,-3.642190E-03,1.532790E+00
1.500000E+00,4.600000E-01,-2.600000E+00,3.931440E-03,1.677240E+00
1.500000E+00,4.600000E-01,-2.200000E+00,1.360300E-02,1.857330E+00
1.500000E+00,4.600000E-01,-1.800000E+00,2.450220E-02,2.094410E+00
1.500000E+00,4.600000E-01,-1.400000E+00,3.367550E-02,2.356610E+00
1.500000E+00,4.600000E-01,-1.000000E+00,3.294810E-02,2.536600E+00
1.500000E+00,4.600000E-01,-6.000000E-01,2.241950E-02,2.592960E+00
1.500000E+00,4.600000E-01,-2.000000E-01,1.057070E-02,2.584830E+00
1.500000E+00,4.600000E-01,1.733140E-01,-3.499270E-03,2.592170E+00
1.500000E+00,4.600000E-01,3.733140E-01,-6.186680E-03,2.595640E+00
1.500000E+00,4.600000E-01,6.000000E-01,-2.142340E-02,2.604980E+00
1.500000E+00,4.600000E-01,1.000000E+00,-3.430800E-02,2.538750E+00
1.500000E+00,4.600000E-01,1.400000E+00,-3.748540E-02,2.349370E+00
1.500000E+00,4.600000E-01,1.800000E+00,-2.742990E-02,2.088500E+00
1.500000E+00,4.600000E-01,2.200000E+00,-1.504490E-02,1.848500E+00
1.500000E+00,4.600000E-01,2.600000E+00,-6.100120E-03,1.674000E+00
1.500000E+00,4.600000E-01,3.000000E+00,-2.114250E-05,1.544140E+00
1.500000E+00,4.600000E-01,3.400000E+00,3.261090E-03,1.421650E+00
1.500000E+00,4.600000E-01,3.800000E+00,3.093630E-03,1.293090E+00
1.500000E+00,4.600000E-01,4.200000E+00,1.232380E-03,1.158650E+00
1.500000E+00,4.600000E-01,4.600000E+00,-4.644930E-03,1.015030E+00
1.500000E+00,4.600000E-01,5.000000E+00,-1.255150E-02,8.632760E-01
1.500000E+00,4.600000E-01,5.400000E+00,-1.977170E-02,7.152100E-01
1.500000E+00,4.600000E-01,5.800000E+00,-2.842260E-02,5.764880E-01
1.500000E+00,4.600000E-01,6.200000E+00,-3.857290E-02,4.538080E-01
1.500000E+00,4.600000E-01,6.600000E+00,-4.719550E-02,3.532170E-01
1.500000E+00,4.600000E-01,7.000000E+00,-5.543520E-02,2.776000E-01
1.500000E+00,4.600000E-01,7.400000E+00,-6.065330E-02,2.197360E-01
1.500000E+00,4.600000E-01,7.800000E+00,-6.488240E-02,1.776810E-01
1.500000E+00,4.600000E-01,8.200000E+00,-6.547360E-02,1.444760E-01
1.500000E+00,4.600000E-01,8.600000E+00,-6.497420E-02,1.230920E-01
1.500000E+00,4.600000E-01,9.000000E+00,-6.270480E-02,1.070170E-01
1.500000E+00,4.600000E-01,9.400000E+00,-6.073960E-02,9.870830E-02
1.500000E+00,4.600000E-01,9.800000E+00,-5.905740E-02,9.306640E-02
1.500000E+00,4.600000E-01,1.020000E+01,-5.785830E-02,8.890780E-02
1.500000E+00,4.600000E-01,1.060000E+01,-5.765470E-02,8.556610E-02
1.500000E+00,4.600000E-01,1.100000E+01,-5.699760E-02,8.266870E-02
1.500000E+00,4.600000E-01,1.140000E+01,-5.627460E-02,8.035620E-02
1.500000E+00,4.600000E-01,1.180000E+01,-5.560540E-02,7.852310E-02
1.500000E+00,4.600000E-01,1.220000E+01,-5.458450E-02,7.680370E-02
1.500000E+00,4.600000E-01,1.260000E+01,-5.354950E-02,7.559930E-02
1.500000E+00,4.600000E-01,1.300000E+01,-5.261290E-02,7.450330E-02
1.500000E+00,4.600000E-01,1.340000E+01,-5.150790E-02,7.274240E-02
1.500000E+00,4.600000E-01,1.380000E+01,-5.025800E-02,7.112440E-02
1.500000E+00,4.600000E-01,1.420000E+01,-4.879250E-02,6.944460E-02
1.500000E+00,4.600000E-01,1.460000E+01,-4.781440E-02,6.841690E-02
1.500000E+00,4.600000E-01,1.500000E+01,-4.710110E-02,6.800380E-02
2.000000E+00,5.300000E-01,-1.490000E+01,4.365050E-02,8.330430E-02
2.000000E+00,5.300000E-01,-1.460000E+01,4.523650E-02,8.439040E-02
2.000000E+00,5.300000E-01,-1.420000E+01,4.660570E-02,8.566000E-02
2.000000E+00,5.300000E-01,-1.380000E+01,4.815950E-02,8.714750E-02
2.000000E+00,5.300000E-01,-1.340000E+01,4.963970E-02,8.871950E-02
2.000000E+00,5.300000E-01,-1.312000E+01,5.121040E-02,9.045530E-02
