x1,Yp4,x2,Wp4,x3,Yp4_rms,x4,Wp4_rms
-0.496309677,0.008142377,-0.494482925,-0.000451867,-0.498676144,0.002859059,-0.499665262,0.18581767
-0.460131195,0.009817444,-0.459996901,0.005465433,-0.463092068,0.005554455,-0.465540201,0.206103871
-0.413133188,0.007291902,-0.408933832,0.057279462,-0.429719267,0.029750383,-0.43139331,0.239357522
-0.375161313,0.006903641,-0.363370623,0.140595044,-0.413065599,0.039699506,-0.392167136,0.28970463
-0.333499114,0.016702596,-0.32607442,0.239962646,-0.385010042,0.048161514,-0.366843496,0.331947082
-0.282707248,0.038678139,-0.272145226,0.486627978,-0.360707834,0.060223108,-0.340264588,0.369817932
-0.244631837,0.052603749,-0.23477156,0.726396967,-0.319959266,0.068624499,-0.308562738,0.450717139
-0.206526844,0.070619035,-0.204302845,0.950942357,-0.286968346,0.067750617,-0.275598344,0.531567228
-0.16667283,0.080436479,-0.176571151,1.214638754,-0.26154959,0.069778226,-0.251479032,0.608438667
-0.135918902,0.082167011,-0.141947416,1.470158519,-0.233439479,0.081821635,-0.229943022,0.650828476
-0.110559946,0.088042686,-0.115620811,1.687129765,-0.211741339,0.089597671,-0.204612104,0.697393411
-0.077657643,0.136786017,-0.100319749,1.920303654,-0.191356144,0.094514647,-0.178055028,0.722296811
-0.0665423,0.173482179,-0.080936827,2.051850609,-0.163322409,0.101544094,-0.162868121,0.743319798
-0.060792347,0.218413161,-0.054623133,2.245421624,-0.140191304,0.120058272,-0.136223721,0.820092999
-0.03681264,0.283607642,-0.031106707,2.368942568,-0.120813549,0.142172037,-0.130984347,0.932281092
-0.020257953,0.322293177,-0.003521331,2.367436346,-0.110364545,0.161463111,-0.12198645,1.027031895
-0.000190433,0.346627865,0.026874224,2.459380426,-0.096042173,0.185033682,-0.101545615,1.168887943
0.01437858,0.360793826,0.051791436,2.621826445,-0.083021834,0.206461474,-0.100101149,1.27690091
0.032416053,0.354474425,0.068381393,2.691123405,-0.071248975,0.229327889,-0.096124319,1.389138123
0.052187755,0.337912342,0.089044604,2.643193276,-0.046772193,0.252849967,-0.087126422,1.483888925
0.064608393,0.305065505,0.105509759,2.486288003,-0.018607527,0.268474778,-0.071764869,1.608651516
0.076999449,0.268128991,0.124686114,2.243431259,-0.004547016,0.274854622,-0.055184433,1.707430087
0.089360923,0.2271028,0.136987643,2.039951457,0.006854873,0.273367507,-0.037312347,1.823449473
0.101737188,0.188121448,0.154836371,1.890770949,0.025796193,0.266830061,-0.015747229,1.883129216
0.114113453,0.149140095,0.186404627,1.608236021,0.048349019,0.247381384,0.006956724,1.869277621
0.137294453,0.103913296,0.21249454,1.39620303,0.051993259,0.236618995,0.021976263,1.790883489
0.178631252,0.068725803,0.237192274,1.16084512,0.06317693,0.220806275,0.040725217,1.677762132
0.223687957,0.047815203,0.256368628,0.917988376,0.07183291,0.205721958,0.049381099,1.569356212
0.281461117,0.034954537,0.286596348,0.705729452,0.080510711,0.192070202,0.054263904,1.469742616
0.337485255,0.030291713,0.315444798,0.49354584,0.095360444,0.166927653,0.061700905,1.387320715
0.386276656,0.025702844,0.341556228,0.320513234,0.117880538,0.145330135,0.077924771,1.274297596
0.427746573,0.008918898,0.375964789,0.186029148,0.144197625,0.122998153,0.087806813,1.144230139
0.480139552,0.002248213,0.413144797,0.07479467,0.168052485,0.105692256,0.101571084,1.07020761
0.507247529,-7.40E-05,0.45035493,0.018160731,0.188197641,0.094851066,0.114007321,0.957331849
,,0.493103656,0.000225933,0.209623008,0.084720095,0.140360644,0.861205711
,,,,0.231092019,0.077454245,0.164188879,0.765177811
,,,,0.264039295,0.073715242,0.176712438,0.704171851
,,,,0.280594765,0.077217842,0.193038182,0.651663501
,,,,0.291996654,0.075730727,0.219442443,0.585794748
,,,,0.30587168,0.069933807,0.25218853,0.536970332
,,,,0.32984656,0.060506993,0.27864373,0.501358963
,,,,0.347507668,0.053259328,0.297545499,0.479009758
,,,,0.366427166,0.045289321,0.299961432,0.414074268
,,,,0.387874355,0.03659091,0.338991129,0.347714323
,,,,0.41440966,0.028584533,0.378079042,0.315934246
,,,,0.438450006,0.023455401,0.409562585,0.26715895
,,,,0.461231962,0.01904861,0.444833759,0.218236296
,,,,,,0.491438718,0.151581636
