Z/Q^0.4, dT (C), V/Q^0.2
0.001764, 601.262070, 0.102746
0.005292, 648.764100, 0.231424
0.008820, 695.561370, 0.383260
0.012348, 733.569200, 0.536575
0.015876, 763.294490, 0.684268
0.019404, 787.239990, 0.819424
0.022932, 806.200960, 0.940796
0.026460, 821.476320, 1.048127
0.029988, 832.904040, 1.143728
0.033516, 841.398640, 1.227958
0.037044, 847.341970, 1.302834
0.040572, 851.328600, 1.369594
0.044100, 853.972610, 1.430068
0.047628, 855.166800, 1.485581
0.051156, 855.461020, 1.536273
0.054684, 854.637100, 1.582432
0.058212, 852.823630, 1.625220
0.061740, 850.233600, 1.663579
0.065268, 847.057190, 1.699253
0.068796, 843.629410, 1.732082
0.072324, 838.949990, 1.761831
0.075852, 833.065450, 1.784680
0.079380, 825.830000, 1.804359
0.082908, 817.170520, 1.822731
0.086436, 807.575880, 1.838268
0.089964, 798.132140, 1.851070
0.093492, 788.084730, 1.864539
0.097020, 777.223600, 1.878336
0.100548, 764.574980, 1.884298
0.104076, 754.741130, 1.902149
0.107605, 742.013310, 1.905754
0.111133, 728.517870, 1.908035
0.114661, 714.221100, 1.906300
0.118189, 700.421630, 1.902076
0.121717, 686.643620, 1.897340
0.125245, 671.749180, 1.892071
0.128773, 656.293980, 1.884881
0.132301, 639.615830, 1.877791
0.135829, 622.556490, 1.868221
0.139357, 604.438710, 1.860830
0.142885, 587.329340, 1.851852
0.146413, 571.392760, 1.847047
0.149941, 556.169950, 1.841807
0.153469, 541.483770, 1.836857
0.156997, 527.104850, 1.835973
0.160525, 512.459450, 1.835327
0.164053, 497.220990, 1.832990
0.167581, 482.210050, 1.830705
0.171109, 468.385780, 1.826902
0.174637, 454.249730, 1.822355
0.178165, 441.330490, 1.816323
0.181693, 427.243120, 1.808465
0.185221, 413.839050, 1.799331
0.188749, 400.255100, 1.790495
0.192277, 387.827510, 1.782420
0.195805, 375.897320, 1.775211
0.199333, 363.895270, 1.765751
0.202861, 352.950540, 1.754001
0.206389, 342.946730, 1.743465
0.209917, 334.345440, 1.734308
0.213445, 325.285910, 1.727746
0.216973, 316.797140, 1.721118
0.220501, 307.863390, 1.713098
0.224029, 300.106550, 1.702819
0.227557, 292.279480, 1.690509
0.231085, 284.603280, 1.677127
0.234613, 276.809020, 1.664909
0.238141, 269.415790, 1.654255
0.241669, 261.995100, 1.646437
0.245197, 254.952340, 1.639240
0.248725, 247.697300, 1.631363
0.252253, 241.015120, 1.623332
0.255781, 234.306890, 1.614632
0.259309, 228.087870, 1.604892
0.262837, 221.897890, 1.595140
0.266365, 215.951290, 1.585781
0.269893, 210.101600, 1.577147
0.273421, 203.850890, 1.565767
0.276950, 198.957830, 1.562261
0.280478, 193.653430, 1.554802
0.284006, 188.758270, 1.547918
0.287534, 184.336820, 1.542021
0.291062, 180.453890, 1.537012
0.294590, 176.797170, 1.531606
0.298118, 173.464280, 1.525558
0.301646, 170.238020, 1.520133
0.305174, 167.156060, 1.514962
0.308702, 164.151890, 1.509271
0.312230, 161.092030, 1.504119
0.315758, 158.070400, 1.497843
0.319286, 155.344540, 1.488806
0.322814, 152.997100, 1.478455
0.326342, 150.873920, 1.470138
0.329870, 148.871340, 1.464292
0.333398, 146.854470, 1.460016
0.336926, 144.913960, 1.456658
0.340454, 142.855760, 1.452227
0.343982, 140.820190, 1.446240
0.347510, 138.670490, 1.439785
0.351038, 136.628480, 1.432815
0.354566, 134.643030, 1.424756
0.358094, 132.812840, 1.415442
0.361622, 131.034790, 1.406729
0.365150, 129.361000, 1.398753
0.368678, 127.718530, 1.390685
0.372206, 126.060020, 1.381326
0.375734, 124.338320, 1.370639
0.379262, 122.601270, 1.361526
0.382790, 120.873840, 1.354786
0.386318, 119.240210, 1.350660
0.389846, 117.696860, 1.346348
0.393374, 116.199520, 1.341184
0.396902, 114.762160, 1.334671
0.400430, 113.336550, 1.327596
0.403958, 111.951480, 1.322326
0.407486, 110.567820, 1.317710
0.411014, 109.245450, 1.311992
0.414542, 107.902570, 1.305232
0.418070, 106.600170, 1.298907
0.421598, 105.278370, 1.292401
0.425126, 104.009060, 1.285481
0.428654, 102.719300, 1.279783
0.432182, 101.515530, 1.274882
0.435710, 100.366890, 1.270984
0.439238, 99.304165, 1.266785
0.442766, 98.277200, 1.262754
