Z/Q^0.4, dT (C), V/Q^0.2
0.001413, 558.965820, 0.060730
0.004238, 591.415960, 0.163742
0.007063, 628.712730, 0.296346
0.009889, 665.564810, 0.436321
0.012714, 696.828650, 0.571172
0.015539, 722.692920, 0.695459
0.018365, 744.886380, 0.807937
0.021190, 763.493590, 0.908971
0.024015, 778.108400, 0.999068
0.026841, 790.965380, 1.079948
0.029666, 801.871800, 1.152992
0.032491, 810.872310, 1.219970
0.035317, 818.617090, 1.281577
0.038142, 825.365060, 1.337908
0.040967, 831.095490, 1.390225
0.043793, 835.873440, 1.438132
0.046618, 839.665980, 1.482738
0.049443, 842.558760, 1.522479
0.052269, 844.760560, 1.559163
0.055094, 846.279390, 1.594217
0.057919, 847.113120, 1.627085
0.060745, 846.892810, 1.657825
0.063570, 845.805470, 1.686497
0.066395, 844.038090, 1.711500
0.069221, 840.791690, 1.733185
0.072046, 836.963450, 1.752803
0.074871, 832.771850, 1.772993
0.077697, 827.766000, 1.792794
0.080522, 821.649060, 1.808173
0.083347, 817.119230, 1.830111
0.086173, 810.738520, 1.844644
0.088998, 803.935350, 1.856562
0.091823, 796.380230, 1.866144
0.094649, 788.130660, 1.873526
0.097474, 779.259700, 1.878677
0.100299, 769.599250, 1.882339
0.103125, 758.880510, 1.882046
0.105950, 747.680010, 1.881811
0.108775, 735.843910, 1.881649
0.111601, 724.253070, 1.881635
0.114426, 712.637110, 1.880984
0.117251, 700.456490, 1.877913
0.120077, 688.049340, 1.871529
0.122902, 675.838020, 1.866343
0.125727, 663.585970, 1.863476
0.128553, 651.262230, 1.862255
0.131378, 639.042270, 1.859374
0.134203, 627.260590, 1.854122
0.137029, 616.347000, 1.846353
0.139854, 606.615880, 1.841780
0.142679, 597.421250, 1.839791
0.145505, 588.214880, 1.837206
0.148330, 578.668880, 1.832534
0.151155, 568.671960, 1.827992
0.153981, 558.481420, 1.823025
0.156806, 546.938390, 1.816577
0.159631, 535.967010, 1.808459
0.162457, 524.198310, 1.801227
0.165282, 512.852510, 1.795264
0.168107, 500.509580, 1.790501
0.170933, 488.789000, 1.785375
0.173758, 476.878730, 1.779360
0.176583, 466.233290, 1.771962
0.179409, 455.875580, 1.764024
0.182234, 446.610950, 1.756866
0.185059, 437.436910, 1.749492
0.187885, 429.013420, 1.741016
0.190710, 420.063810, 1.734146
0.193535, 411.711190, 1.728227
0.196361, 403.468010, 1.722896
0.199186, 395.532500, 1.715964
0.202011, 386.820590, 1.709940
0.204836, 378.017430, 1.702070
0.207662, 368.154780, 1.692712
0.210487, 358.405450, 1.680846
0.213313, 349.536010, 1.669774
0.216138, 342.328930, 1.659693
0.218963, 335.870540, 1.647954
0.221789, 332.643490, 1.647114
0.224614, 328.814680, 1.643430
0.227439, 324.435840, 1.640827
0.230264, 319.923450, 1.639303
0.233090, 314.769660, 1.638054
0.235915, 309.843020, 1.635682
0.238740, 303.553550, 1.632163
0.241566, 296.701060, 1.626330
0.244391, 289.192780, 1.618890
0.247216, 281.927120, 1.611853
0.250042, 274.792850, 1.606626
0.252867, 268.179540, 1.601245
0.255692, 262.120480, 1.596341
0.258518, 256.338580, 1.592937
0.261343, 250.650870, 1.591132
0.264168, 244.550350, 1.590779
0.266994, 238.736400, 1.588736
0.269819, 233.052580, 1.583601
0.272644, 228.138430, 1.576516
0.275470, 223.495300, 1.568401
0.278295, 219.327400, 1.559211
0.281120, 215.261420, 1.550616
0.283946, 211.420690, 1.541550
0.286771, 207.764020, 1.531506
0.289596, 204.173140, 1.520813
0.292422, 200.663330, 1.511316
0.295247, 196.694670, 1.502368
0.298072, 192.775940, 1.494380
0.300898, 189.061130, 1.486344
0.303723, 185.537380, 1.476622
0.306548, 182.230920, 1.465422
0.309374, 178.965590, 1.455678
0.312199, 175.833440, 1.447198
0.315024, 172.693600, 1.440013
0.317850, 169.830010, 1.432813
0.320675, 166.923870, 1.425768
0.323500, 164.094340, 1.419424
0.326326, 161.338680, 1.413043
0.329151, 158.757820, 1.409573
0.331976, 156.386510, 1.408274
0.334802, 154.358550, 1.406894
0.337627, 152.392580, 1.405527
0.340452, 150.533470, 1.402710
0.343278, 148.676180, 1.399052
0.346103, 146.745500, 1.395072
0.348928, 144.798520, 1.390185
0.351754, 142.844290, 1.384873
0.354579, 140.887220, 1.377409
