s,kW
Time,HRR
0,0
0.102949655,0.000436943
0.202943744,0.002166923
0.302937833,0.005772967
0.402931922,0.012413283
0.502926011,0.023996876
0.6029201,0.044724139
0.702914189,0.076518346
0.802908277,0.117662125
0.902902366,0.165704994
1.002896455,0.218193874
1.102890544,0.275577345
1.202884633,0.344050769
1.302878722,0.434686446
1.402872811,0.579403424
1.5028669,0.829237577
1.602860988,1.15390305
1.702855077,1.764161696
1.802849166,2.824536716
1.902843255,4.112871514
2.002837344,5.850848516
2.102831433,6.696850485
2.202825522,5.907183
2.30281961,4.367887202
2.402813699,3.741571413
2.502807788,3.346029379
2.602801877,3.567386662
2.702795966,3.658290094
2.802790055,4.143889409
2.902784144,4.987626233
3.002778233,5.315126718
3.102772321,5.282761576
3.20276641,5.187607067
3.302760499,4.891873306
3.402137556,4.706811059
3.501653938,4.512731891
3.599092264,4.36298032
3.699867679,5.426145091
3.799321631,6.23451345
3.901978282,6.487223719
3.997400526,6.288716782
4.096647122,6.234542696
4.198725524,6.313773218
4.2981355,6.555055592
4.399498738,6.538941315
4.498497978,6.397844997
4.602996433,6.616033968
4.701129184,6.989778943
4.799145148,7.48204725
4.900521482,7.767712581
5.001913819,7.617332209
5.102972741,7.489516362
5.200717755,7.881186635
5.302858219,7.968667429
5.397931902,8.04843061
5.497767888,8.280095492
5.601376012,8.241393218
5.701746971,8.511022785
5.798737438,9.072137537
5.902890954,9.273482662
5.998759882,9.286339251
6.100728246,9.211360852
6.200137842,9.294214149
6.30277902,9.488610959
6.399849386,9.575307389
6.501105734,9.403957917
6.597648513,9.949789108
6.701667181,10.27066729
6.801771124,10.54641156
6.89764343,10.4444678
7.001765134,10.51712283
7.098786889,10.88679543
7.200955911,11.2175771
7.302401006,11.20736015
7.397834087,11.10195074
7.500153141,11.28703912
7.599308724,11.38054357
7.699210536,11.54310729
7.799968033,11.53951412
7.898368749,12.1526685
7.99982017,12.33491201
8.099189617,12.23776482
8.200466269,12.39687413
8.298557237,12.76200485
8.401809755,12.4093046
8.499781957,12.39713931
8.601820092,12.94754347
8.699135776,13.31903081
8.797513177,13.7454968
8.899589903,13.6904274
8.999136427,13.71309293
9.099930367,13.27429027
9.199795561,13.62279215
9.301714251,14.00183239
9.399829289,14.00622767
9.500011969,14.47357596
9.598534591,14.75746653
9.698718322,14.72250968
9.797561406,15.0947533
9.898991895,15.21212461
10.00056675,15.19624857
10.09855607,14.42703258
10.20125977,15.11500987
10.29854338,15.96753378
10.40088453,16.20497339
10.50130992,15.82027096
10.59780506,15.98308158
10.69960534,16.52898556
10.80148052,16.62645831
10.90080967,15.85628416
10.99848452,16.04376382
11.09851793,16.9162833
11.19862821,17.2985507
11.3017191,17.46534395
11.40187841,18.36669842
11.49950415,18.093025
11.59926219,16.77246484
11.69992947,16.16228776
11.79910159,17.750465
11.89985075,18.55823077
11.99893476,18.55424158
12.09964974,18.6670195
12.19969444,19.38270886
12.30048737,19.20869107
12.39965994,17.7683842
12.49895413,17.74195339
12.59926816,19.23008357
12.70125419,20.04233157
12.79900838,20.39322857
12.89908561,19.93562208
13.00059056,19.95811061
13.098171,19.93574907
13.19974854,18.60559283
13.29989521,18.67254969
13.40009716,19.91663305
13.50147945,21.37015466
13.5989783,21.47778235
13.69917088,21.92958415
13.79966699,21.61087586
13.900045,19.82205857
14.00026283,19.60637857
14.10077899,22.07859225
14.20066677,22.67942783
14.29850088,21.88439869
14.39909269,21.82578991
14.50176991,22.82849415
14.59966941,22.25048984
14.69847079,19.2451932
14.8013108,21.28915151
14.90039226,23.16670182
14.99800986,24.4145292
15.09947509,23.60309422
15.20126067,25.054087
15.30022469,22.68448076
15.40082218,20.13436026
15.49873225,22.31465832
15.5994829,24.48409213
15.70056261,25.68411723
15.80102068,26.14178237
15.89856971,25.2117539
16.00141496,23.53866851
16.09878486,22.09274986
16.19877375,23.3538892
16.30149729,25.24713843
16.40018882,25.92705213
16.49799719,26.19549486
16.60068197,26.06399338
16.70158714,26.69536676
16.80095691,24.26692049
16.90011178,24.56522511
17.0000255,25.44962808
17.09958485,26.34198076
17.19855288,26.44971605
17.29886323,26.14538571
17.3998827,26.65190609
17.49943816,26.83417226
17.60114013,25.49739147
17.6992648,25.64432677
17.79866076,27.6208747
17.89910419,27.71565544
17.99899373,28.37517284
18.09975029,29.57683605
18.19989711,25.29160827
18.30089638,25.06774267
18.40040984,28.17732946
18.49962476,29.90747652
18.60038267,29.17725114
18.70063352,29.19056608
18.80017066,29.47577612
18.90028777,26.57335984
19.00053597,27.10282839
19.09889953,29.04358973
19.20001353,29.62552783
19.30148649,30.37853444
19.39878885,33.06533374
19.49860812,29.75073167
19.59926866,27.20289784
19.70048654,28.07448301
19.7996084,31.66987766
19.89988213,31.36380491
19.99898399,31.00727536
20.09884015,32.55458172
20.19960501,28.87960744
20.30059449,27.0814731
20.39893259,29.96282615
20.49889374,33.0271003
20.59947416,31.86610262
20.70115155,34.51229896
20.7988663,32.1869866
20.89932417,25.93194702
21.00007661,28.39995118
21.10033032,31.79935513
21.19884696,34.98269172
21.30123839,34.80759717
21.40068306,33.14601268
21.50121072,30.37722203
21.60001183,26.34187087
21.70077707,28.92298162
21.80111799,33.13606849
21.90007096,35.58750432
21.99988119,35.88260041
22.10093111,33.99589006
22.20074876,30.08336078
22.29934709,31.59229862
22.3999352,33.00299185
22.49999173,33.05226738
22.59964883,34.05400162
22.70203508,36.03796743
22.79900986,32.68371437
22.89986726,29.61979805
23.00062779,33.75134709
23.09985538,34.79230647
23.20117617,35.04330106
23.29939092,35.52652149
23.40063469,36.02533126
23.4994628,29.62462619
23.60136699,30.79194054
23.70145638,34.12919482
23.80130205,36.25733939
23.90017241,37.6771739
24.00095083,37.35556009
24.10132268,34.977824
24.19897284,28.59671674
24.29910087,31.76610353
24.39908595,38.40045277
24.50084343,37.33435967
24.59992307,37.51055233
24.70152869,38.73814086
24.79989062,29.97777044
24.90009223,30.36265282
24.99962835,32.97289709
25.10043262,36.65020314
25.20125641,37.02512802
25.30054119,42.76701865
25.40093274,38.5340413
25.50029147,30.9507161
25.60096278,31.94309515
25.69945132,35.69448344
25.79979595,38.54393983
25.90123818,40.80250116
25.99883571,39.41113798
26.10009844,34.55975698
26.19881613,32.17719606
26.30017074,37.29022655
26.40099156,39.33935299
26.50084135,37.72272686
26.60127073,39.34163595
26.69972711,39.21461032
26.80111452,29.75542429
26.8993326,32.62207169
27.00105439,38.68690744
27.10116711,43.04542013
27.20010263,41.83780655
27.29876709,42.06888139
27.39885056,33.74893437
27.50104102,33.2597123
27.5988875,38.00782859
27.69896043,43.5811702
27.79976999,42.16899278
27.90095779,38.81249157
27.99909814,33.11222228
28.09968122,33.45231645
28.20021759,39.73936344
28.29851795,41.38488405
28.4003917,40.5336726
28.49842189,40.47353563
28.60021827,40.07054745
28.70015849,33.56768012
28.8010629,35.92854983
28.8992863,41.67255387
29.0009966,43.45641248
29.1001984,41.57226958
29.20055992,40.75577639
29.30105299,32.66672912
29.40082977,34.84768478
29.49884004,40.05176151
29.60149597,45.1285012
29.69964582,45.30614483
29.79974095,48.40453213
29.89892133,30.84744381
30.0000408,34.22062358
30.10029425,39.61045904
30.20023255,42.65426822
30.2993135,43.39262823
30.39904738,51.94966751
30.49922052,40.47094622
30.5997482,34.05983212
30.70136575,39.79714076
30.79921811,41.29009021
30.89919376,40.90632377
30.99930494,46.60299537
31.10044534,43.61294246
31.19992678,37.67683098
31.29892618,41.59427927
31.40055023,41.39489619
31.50037828,46.10310319
31.60114395,49.0325895
31.69924276,39.25318535
31.79968015,34.3919404
31.90132161,38.51486573
32.0012166,44.20878664
32.10079705,45.51682384
32.20067432,50.77019468
32.30077725,41.65715081
32.40003982,36.65601034
32.49991996,39.1784491
32.60112043,43.44520052
32.699122,45.49164917
32.79865949,53.50595048
32.9002212,42.27221762
33.00058291,35.57966618
33.09993193,35.81497775
33.20089531,40.90417739
33.29977329,45.70316415
33.40082135,52.05772602
33.49897272,51.6750116
33.60070089,38.8531819
33.70083049,40.78832432
33.79901711,45.3788465
