time,dNML
0.0,7.133781731777344e-9
0.38100422,7.134163341767705e-9
0.49669457,7.134691162974789e-9
0.58289994,7.135424296120026e-9
0.65082825,7.13625677436321e-9
0.71467702,7.137133753878909e-9
0.76476635,7.138069097742681e-9
0.81262158,7.139042010558415e-9
0.85986596,7.14006145306502e-9
0.90524666,7.141200103497929e-9
0.95570636,7.14260010714805e-9
1.0074544,7.143786775012232e-9
1.0509545,7.146152194777811e-9
1.0977953,7.148792213637121e-9
1.1463421,7.150236902417946e-9
1.1924444,7.151713371056469e-9
1.240938,7.1533432960763695e-9
1.2932701,7.155043474996551e-9
1.3472206,7.1571499252355804e-9
1.3975885,7.159015062845268e-9
1.4510717,7.161099112417337e-9
1.5129033,7.163800261976786e-9
1.5672318,7.166178163794977e-9
1.6197143,7.168255504010312e-9
1.6660524,7.1704222540136355e-9
1.7107553,7.173114380307791e-9
1.7569708,7.175326858375554e-9
1.8034173,7.177775660480536e-9
1.8517491,7.180020842711508e-9
1.8964529,7.182045016659785e-9
1.9407134,7.183981335269803e-9
1.9893028,7.186039123310461e-9
2.0325952,7.188891529668866e-9
2.0716547,7.191993597075036e-9
2.1147059,7.1942519828608606e-9
2.1637349,7.1971686904544415e-9
2.217726,7.19995014649444e-9
2.2607269,7.199959575719384e-9
2.2996129,7.195840063691886e-9
2.3380066,7.193722692531663e-9
2.3801625,7.1957130633453415e-9
2.4302969,7.198949296155249e-9
2.4884196,7.202215292144693e-9
2.5397028,7.2036735499094515e-9
2.5854997,7.204857187626137e-9
2.6339721,7.207431371325553e-9
2.6854152,7.210733225854273e-9
2.7417412,7.213707675702845e-9
2.7961344,7.216806355911275e-9
2.847277,7.219670089483805e-9
2.8865265,7.219362103332696e-9
2.9263258,7.221879149560492e-9
2.976693,7.225302170570777e-9
3.0354602,7.228746328762439e-9
3.0863615,7.232163099750417e-9
3.1328276,7.235447060319486e-9
3.1788544,7.238844392630223e-9
3.2283131,7.241951395242472e-9
3.2777719,7.24465400659547e-9
3.3255296,7.2476989890930626e-9
3.3699852,7.250911870676818e-9
3.4132965,7.254122296254651e-9
3.4583668,7.25679658175992e-9
3.502267,7.259860633707986e-9
3.5452136,7.263339816782975e-9
3.5910027,7.266399359127358e-9
3.6486576,7.268977205210535e-9
3.7015521,7.2719097163986835e-9
3.7505551,7.2750808905184e-9
3.7940712,7.276622431874146e-9
3.8364039,7.2801133831085346e-9
3.8780272,7.283395339878193e-9
3.9176678,7.285751988610061e-9
3.9641756,7.287973497295132e-9
4.0190631,7.290160313554645e-9
4.0708563,7.29296612013946e-9
4.1197276,7.296064484884945e-9
4.1710627,7.2994915168217725e-9
4.2162888,7.30267288498392e-9
4.2616107,7.305804391159566e-9
4.3078147,7.308749782228101e-9
4.3564536,7.311906163534447e-9
4.4131228,7.314741163391775e-9
4.4663621,7.3171926208231185e-9
4.5099585,7.31995535956693e-9
4.5527477,7.322953430682396e-9
4.5922337,7.307402266710642e-9
4.6351548,7.309447935449989e-9
4.6803609,7.312137036589948e-9
4.7250924,7.3147554723193615e-9
4.7711439,7.317314152519102e-9
4.8147892,7.319818225153377e-9
4.8534103,7.322863461709859e-9
4.891394,7.3255229658591615e-9
4.9334882,7.327474589421939e-9
4.9874866,7.32958850032812e-9
5.0407364,7.332480285317047e-9
5.0921783,7.331990969037011e-9
5.1394917,7.3321334625911905e-9
5.1871684,7.335603898937301e-9
5.2405342,7.338872787654644e-9
5.2994892,7.341753935911369e-9
5.3445101,7.3442644768716605e-9
5.3875933,7.34751721216272e-9
5.4316266,7.350839672401324e-9
5.4816338,7.3537177327991334e-9
5.5389214,7.357142143664694e-9
5.5816319,7.360045817433729e-9
5.6258178,7.348779401605853e-9
5.6741775,7.332065042859255e-9
5.7265809,7.332276971100377e-9
5.7863475,7.33570406709588e-9
5.8431222,7.339121244517769e-9
5.8882287,7.336987132686241e-9
5.9318673,7.3257130051742795e-9
5.9766448,7.3247572866443185e-9
6.03172,7.3278651904558184e-9
6.0840723,7.33049244437112e-9
6.1263788,7.333758943398831e-9
6.1715198,7.337257737978975e-9
6.220058,7.340023206911386e-9
6.2712489,7.342596329885533e-9
6.3223803,7.345733938081257e-9
6.3676292,7.3491442674227785e-9
6.4083708,7.351570312908497e-9
6.4484019,7.35491413031871e-9
6.4990441,7.357474765246848e-9
6.5518248,7.359533822147024e-9
6.6035315,7.362065699403906e-9
6.651678,7.365351704528908e-9
6.6934057,7.367993808610171e-9
6.7381448,7.3703649012090085e-9
6.790164,7.373149524635606e-9
6.8381645,7.373576980137453e-9
6.8849428,7.374460905483702e-9
6.9333027,7.37765254525222e-9
6.9870499,7.380154448382305e-9
7.045785,7.382527551670932e-9
7.1019722,7.3856088899317265e-9
7.1475781,7.389029945575089e-9
7.1926673,7.389628653569712e-9
7.2339465,7.267218091946523e-9
7.2750436,7.247571214331125e-9
7.3182285,7.2505832434934165e-9
7.3766981,7.252842487367891e-9
7.4269737,7.255506065035043e-9
7.4745874,7.258491836825007e-9
7.5230581,7.261404307542977e-9
7.5814877,7.26479437343325e-9
7.6319879,7.268011423187211e-9
7.6809666,7.2688337928618635e-9
7.7257086,7.261002404881175e-9
7.7697319,7.2624842738056745e-9
7.8178053,7.26520497460551e-9
7.8657143,7.267445448030967e-9
7.9069034,7.270181014618938e-9
7.9486744,7.273519852408875e-9
7.9929564,7.276668514270227e-9
8.0452783,7.279055699318131e-9
8.0940922,7.281588631613924e-9
8.1381019,7.281875694118463e-9
8.1848245,7.203557927414321e-9
8.228667,7.18599941366078e-9
8.2749645,7.188884597438606e-9
8.327194,7.191970844085382e-9
8.3785841,7.195167681064001e-9
8.4324578,7.197566525172893e-9
8.4832462,7.2009515134664695e-9
8.5263018,7.204295055843504e-9
8.5678923,7.207287668329707e-9
8.6094331,7.21020444439099e-9
8.6525158,7.213233333114554e-9
8.6956769,7.216364647816438e-9
8.737288,7.218146598091667e-9
8.7789899,7.2210937315178344e-9
8.8402463,7.224551792058203e-9
8.8870501,7.227720037286017e-9
8.929999,7.2180995655644694e-9
8.9736978,7.197191373764494e-9
9.0137455,7.2002973069444555e-9
9.0582819,7.202750331295757e-9
9.1127529,7.204798051494988e-9
9.1542798,7.2070172102950255e-9
9.1969473,7.210449167626883e-9
9.2397705,7.21364583160724e-9
9.2882301,7.216125695766777e-9
9.3452278,7.2187642588025055e-9
9.3907418,7.221900181839846e-9
9.4311401,7.221706414004476e-9
9.4715385,7.21841214171582e-9
9.5177138,7.221513176790745e-9
9.5665959,7.223823455029034e-9
9.6158721,7.226121359408794e-9
9.664699,7.228525768039223e-9
9.7095907,7.23182321842453e-9
9.7553676,7.234813306672084e-9
9.802308,7.238139366902647e-9
9.8549606,7.241047943221114e-9
9.9062835,7.242890626824363e-9
9.9503927,7.246109520208802e-9
9.9932373,7.2493486902881034e-9
10.040147,7.2521713726250625e-9
10.095738,7.2551235971073485e-9
10.152892,7.257867216121627e-9
10.197492,7.259950458332312e-9
10.236596,7.212659957613603e-9
10.27437,7.165839061471122e-9
10.31557,7.167244449710427e-9
10.365282,7.16962809504628e-9
10.421774,7.171918577827398e-9
10.470263,7.17453072367396e-9
10.514228,7.177746367347142e-9
10.55526,7.180526319204317e-9
10.599828,7.1825175351621076e-9
10.645853,7.185171305745503e-9
10.689802,7.188526933340702e-9
10.728403,7.191394142861553e-9
10.769969,7.194098153087776e-9
10.812316,7.196921585188618e-9
10.863472,7.199041895426068e-9
10.90897,7.202275203539109e-9
10.95267,7.205728966847343e-9
10.992545,7.208519075653759e-9
11.035818,7.210835888621467e-9
11.083512,7.213063303003994e-9
11.141265,7.2159033592975396e-9
11.197365,7.218812725417466e-9
11.250191,7.221424937713447e-9
11.294102,7.2241784681825256e-9
11.334922,7.227195897077245e-9
11.378869,7.230223921324127e-9
11.426847,7.233040121697512e-9
11.476755,7.235765255144459e-9
11.534246,7.238982568190591e-9
11.580903,7.24207036546515e-9
11.626903,7.245060737583131e-9
11.665509,7.245980140572977e-9
11.706461,7.245808216374882e-9
11.758814,7.248331183471808e-9
11.815768,7.250855430219028e-9
11.866617,7.253617816341409e-9
11.908152,7.257221957862436e-9
11.950917,7.2608321524778426e-9
11.999232,7.264446625178935e-9
12.050769,7.268059127841527e-9
12.09696,7.271587773229186e-9
12.1424,7.275033637793902e-9
12.183322,7.27866641119569e-9
12.226941,7.281813433804383e-9
12.27229,7.284579674139389e-9
12.317751,7.287527890147414e-9
12.362377,7.290788868757546e-9
12.405,7.294130872611224e-9
12.44961,7.297540745096141e-9
12.494219,7.300231063297465e-9
12.540212,7.302760131401196e-9
12.587334,7.306247243351926e-9
12.629372,7.309584260275346e-9
12.669869,7.312602388162207e-9
12.712435,7.315364705271174e-9
12.757216,7.318295092215105e-9
12.798844,7.321328884397751e-9
12.846561,7.323989163733897e-9
12.904785,7.327135429533731e-9
12.96135,7.3303830041486795e-9
13.006509,7.333421186804782e-9
13.044768,7.336964033140942e-9
13.083515,7.34059027443746e-9
13.134179,7.3430603829848115e-9
13.193497,7.345759948323426e-9
13.243823,7.34931918970006e-9
13.29025,7.352781975194567e-9
13.329854,7.3564114370867076e-9
13.374067,7.3599168821499836e-9
13.420725,7.363292007938095e-9
13.47129,7.366109614322853e-9
13.520873,7.369075009666931e-9
13.564997,7.372616971404193e-9
13.611871,7.376330934633576e-9
13.661425,7.3797694639520065e-9
13.71349,7.383441963240604e-9
13.766129,7.386693751691349e-9
13.809286,7.382934537750313e-9
13.853791,7.382424810194518e-9
13.89864,7.3858736296079856e-9
13.948849,7.3887364672748486e-9
13.999527,7.391722335700944e-9
14.044629,7.394251208940901e-9
14.0838,7.393817757401855e-9
14.124855,7.396393356489046e-9
14.171305,7.399668372840574e-9
14.226074,7.402626258156815e-9
14.274174,7.405809741043634e-9
14.321582,7.399888388533589e-9
14.361996,7.392303297342319e-9
14.406837,7.3959406041294e-9
14.455239,7.399396809327281e-9
14.504016,7.402696177596072e-9
14.550556,7.405958819175934e-9
14.590743,7.405392921170643e-9
