time,dNML
0.0,4.094066475835466e-9
0.38149231,4.093399243452828e-9
0.50142268,4.0927293668547906e-9
0.58675279,4.092057139847477e-9
0.65487599,4.091382558407237e-9
0.71759839,4.090705618508304e-9
0.77026359,4.09002631610536e-9
0.81612362,4.08934464715268e-9
0.86374675,4.088660607606012e-9
0.90823614,4.08797419340955e-9
0.95252772,4.087285400487383e-9
1.0061398,4.086626563197523e-9
1.0525489,4.085965385367183e-9
1.0984858,4.0853018629435205e-9
1.1473602,4.084635991923033e-9
1.2018594,4.083967768267926e-9
1.2495547,4.083297187929908e-9
1.295937,4.082624246866408e-9
1.3439892,4.081948941018114e-9
1.3950097,4.081271266333409e-9
1.4496783,4.0805912187325206e-9
1.51308,4.0798365225071725e-9
1.5749384,4.0790793414574644e-9
1.63202,4.078319671342573e-9
1.680839,4.0775575079097175e-9
1.7256289,4.076792846921655e-9
1.7639659,4.076025684102406e-9
1.8060398,4.075256015193998e-9
1.8508906,4.074483835917092e-9
1.9022536,4.073709141979676e-9
1.9581272,4.072931929111506e-9
2.0049713,4.072205563537739e-9
2.0568511,4.071476747221677e-9
2.10375,4.070745475964014e-9
2.1494672,4.070011745555031e-9
2.1997842,4.069275551775466e-9
2.2581296,4.06853689040407e-9
2.3111142,4.067795757204767e-9
2.3556314,4.0670521479459155e-9
2.4036401,4.066306058386962e-9
2.449431,4.065557484261231e-9
2.5014104,4.065300825841006e-9
2.5491048,4.065042387518176e-9
2.588122,4.0647821660514815e-9
2.6281474,4.0645201581968995e-9
2.6690649,4.064256360687626e-9
2.7109823,4.063990770268043e-9
2.7564708,4.063723383660463e-9
2.8135003,4.063454197598233e-9
2.8686978,4.063183208787961e-9
2.91358,4.062910413955198e-9
2.9596141,4.0632925436457014e-9
3.0115335,4.063673810370715e-9
3.0657703,4.06405421217627e-9
3.1125994,4.064433747146819e-9
3.1537933,4.064812413341578e-9
3.1964157,4.065190208810759e-9
3.2390768,4.0655671316168505e-9
3.2843403,4.065943179808468e-9
3.3345993,4.066318351428084e-9
3.3896042,4.066692644527207e-9
3.4394743,4.067298731415026e-9
3.4826131,4.0679042731148505e-9
3.5257518,4.068509268148626e-9
3.5701431,4.0691137150322314e-9
3.6244558,4.0697176122887726e-9
3.6795465,4.070320958432003e-9
3.7267757,4.070923751965126e-9
3.7741029,4.071525991388228e-9
3.818447,4.072127675215697e-9
3.8702501,4.072728801949158e-9
3.9246861,4.0737559999629735e-9
3.9728887,4.074783257756121e-9
4.0217067,4.0758105747494445e-9
4.0660478,4.076837950311264e-9
4.1135902,4.077865383842356e-9
4.1696266,4.078892874728828e-9
4.2252819,4.07992042236013e-9
4.2707695,4.080948026106581e-9
4.3185512,4.0819756853668345e-9
4.3694452,4.083003399527256e-9
4.4256262,4.084817784164528e-9
4.4773118,4.086633368190128e-9
4.5228816,4.088450152646443e-9
4.5659544,4.090268138589848e-9
4.6102226,4.092087327060467e-9
4.6594962,4.093907719111435e-9
4.7142072,4.095729315786592e-9
4.7629021,4.097552118143915e-9
4.8138904,4.0993761272445045e-9
4.8628396,4.101201344131369e-9
4.9101737,4.103043637753046e-9
4.9602415,4.1048871644493926e-9
5.0094533,4.1067319253065475e-9
5.0466123,4.108577921418056e-9
5.0845335,4.110425153878967e-9
5.1290442,4.112273623778719e-9
5.1824497,4.114123332224263e-9
5.2326743,4.115974280309762e-9
5.2833872,4.117826469123702e-9
5.3278849,4.119679899784513e-9
5.3698162,4.120918183381498e-9
5.4089993,4.122156808846172e-9
5.4571131,4.123395775959058e-9
5.5015005,4.124635084504918e-9
5.5490905,4.12587473425772e-9
5.6032452,4.127114725010266e-9
5.6511341,4.128355056529288e-9
5.6964201,4.129595728593644e-9
5.7378007,4.1308367409810595e-9
