Y,m=22.49,m=22.37,m=17.05,m=12.68,m=11.85,m=8.75
1.5,604.15,604.15,648.45,658.15,741.65,770.45
4.5,841.95,841.95,885.55,885.25,976.15,1018.15
7.5,1004.05,1004.05,993.75,1033.45,1108.75,1116.25
10.5,1083.25,1083.25,1031.15,1124.65,1154.75,1146.45
13.5,1087.15,1087.15,1057.45,1165.45,1170.15,1157.55
16.5,1054.65,1054.65,1083.85,1211.15,1156.35,1149.45
19.5,1032.45,1032.45,1106.55,1244.85,1118.85,1118.45
22.5,1020.05,1020.05,1108.65,1246.45,1062.85,1069.95
25.5,1019.85,1019.85,1075.85,1223.35,1007.15,1009.05
28.5,1024.45,1024.45,1025.95,1194.45,956.15,961.65
31.5,997.25,997.25,988.85,1151.55,909.95,908.35
34.5,979.35,979.35,948.45,1110.35,856.95,858.15
37.5,973.65,973.65,907.75,1065.95,817.15,802.55
40.5,961.25,961.25,870.45,1026.85,784.05,753.85
43.5,943.25,943.25,841.45,994.35,750.65,717.05
46.5,924.65,924.65,821.45,957.25,718.45,683.95
49.5,914.65,914.65,799.55,927.05,685.95,652.15
52.5,901.85,901.85,778.15,906.15,653.35,623.75
55.5,877.35,877.35,758.45,878.55,626.55,598.95
58.5,849.85,849.85,731.75,840.45,602.75,571.35
61.5,829.05,829.05,707.85,800.65,585.85,545.05
64.5,810.15,810.15,689.05,763.45,570.55,529.35
67.5,789.15,789.15,667.15,733.25,551.65,514.65
70.5,768.15,768.15,644.25,713.95,534.95,500.55
73.5,756.55,756.55,623.75,696.55,516.85,491.85
76.5,747.25,747.25,602.75,674.85,498.85,478.25
79.5,740.65,740.65,588.35,659.15,486.55,467.65
82.5,729.65,729.65,578.75,639.35,476.45,459.85
85.5,715.35,715.35,571.55,609.95,468.45,449.55
88.5,700.15,700.15,559.55,572.95,462.75,435.65
91.5,689.55,689.55,544.65,546.35,454.85,420.35
94.5,682.85,682.85,534.65,530.45,445.65,406.25
97.5,675.55,675.55,526.05,517.35,435.75,393.35
100.5,671.65,671.65,516.75,501.05,426.85,385.05
103.5,665.75,665.75,507.75,487.25,414.75,379.35
106.5,657.55,657.55,500.45,476.65,402.35,376.45
109.5,649.15,649.15,489.55,465.95,392.35,372.4
112.5,638.05,638.05,476.85,452.05,385.75,367.64
115.5,623.75,623.75,464.15,433.15,380.95,361.73
118.5,611.75,611.75,453.05,414.55,375.95,354.87
121.5,600.05,600.05,440.65,401.05,368.86,347.04
124.5,588.95,588.95,429.15,388.15,361.45,339.36
127.5,574.55,574.55,418.65,378.25,355.02,332.8
130.5,552.75,552.75,408.65,368.05,349.37,327.48
133.5,531.95,531.95,400.85,358.58,342.81,322.46
136.5,518.25,518.25,393.15,345.03,336.91,316.8
139.5,506.55,506.55,385.45,328.44,333.23,312.37
142.5,492.65,492.65,376.15,315.71,328.16,309.28
145.5,474.55,474.55,366.88,308.2,321.8,306.34
148.5,444.15,444.15,349.88,300.92,312.15,302.47
