Y,m=22.49,m=22.37,m=17.05,m=12.68,m=11.85,m=8.75
1.5,695.15,695.15,711.95,758.45,791.25,812.45
4.5,878.35,878.35,886.95,921.55,968.55,1006.65
7.5,981.65,981.65,981.45,1014.95,1054.45,1091.95
10.5,1032.35,1032.35,1013.95,1066.05,1081.05,1106.75
13.5,1053.95,1053.95,1026.15,1094.05,1092.25,1081.85
16.5,1056.45,1056.45,1045.75,1116.95,1085.55,1049.85
19.5,1057.65,1057.65,1068.15,1127.35,1068.45,1013.45
22.5,1057.35,1057.35,1075.35,1119.85,1039.75,963.35
25.5,1052.75,1052.75,1063.05,1103.05,1004.85,909.35
28.5,1047.05,1047.05,1047.65,1083.55,969.05,860.05
31.5,1031.15,1031.15,1036.65,1053.65,926.75,806.45
34.5,1016.95,1016.95,1024.35,1016.95,889.25,759.05
37.5,1002.35,1002.35,1000.35,982.25,850.25,713.55
40.5,986.65,986.65,976.25,949.95,812.85,670.85
43.5,973.65,973.65,959.95,921.95,781.35,635.85
46.5,962.15,962.15,940.85,893.45,752.05,607.25
49.5,951.65,951.65,920.75,866.65,722.45,582.95
52.5,940.85,940.85,906.85,842.95,697.15,562.85
55.5,926.85,926.85,895.45,815.55,671.85,544.35
58.5,907.35,907.35,880.45,782.15,644.15,527.35
61.5,887.55,887.55,858.85,752.25,619.65,510.95
64.5,867.35,867.35,837.65,723.35,601.15,495.55
67.5,848.25,848.25,822.05,696.55,579.95,480.65
70.5,832.25,832.25,809.15,675.05,562.05,469.25
73.5,821.35,821.35,795.45,651.95,545.15,459.45
76.5,808.75,808.75,777.95,626.35,526.55,447.25
79.5,797.15,797.15,763.55,608.55,513.05,435.75
82.5,784.85,784.85,750.15,592.95,502.35,426.25
85.5,772.15,772.15,735.35,573.95,491.55,417.95
88.5,755.65,755.65,713.75,552.35,480.75,409.65
91.5,739.55,739.55,691.65,535.05,469.55,402.25
94.5,728.05,728.05,675.75,521.85,458.45,395.45
97.5,716.45,716.45,661.95,509.25,447.45,387.75
100.5,705.75,705.75,645.85,497.25,439.35,381.75
103.5,695.55,695.55,630.85,485.95,430.85,377.25
106.5,685.45,685.45,618.75,475.95,422.95,373.55
