Z,CH4_m=10.6,C2H6_m=10.2,C2H4_m=11.5
0.025,15.01,20.28,26.07
0.075,13.41,18.36,24.57
0.125,13.59,18.58,24.83
0.175,14.69,19.63,27.24
0.225,15.58,20.54,28.52
0.275,16.82,21.67,29.28
0.325,18.06,23.13,29.61
0.375,19.15,24.88,30.28
0.425,20.28,26.49,31.84
0.475,21.41,27.95,33.56
0.525,22.46,29.55,35.62
0.575,23.24,30.64,37.34
0.625,24.00,31.62,39.25
0.675,24.58,32.60,41.11
0.725,25.28,33.89,42.63
0.775,25.73,34.83,44.04
0.825,26.32,35.91,45.19
0.875,27.00,36.53,46.63
0.925,27.68,37.10,48.20
0.975,28.49,37.54,49.45
1.025,29.27,38.01,50.08
