Z,m=12.68,m=17.05,m=22.37
0.03,26.71,26.18,26.06
0.08,24.69,23.31,22.31
0.13,23.94,24.03,23.74
0.18,24.47,25.80,25.05
0.23,25.51,27.58,26.62
0.28,26.71,29.43,27.55
0.33,26.99,31.21,28.30
0.38,26.88,32.39,29.19
0.43,27.31,33.53,30.45
0.48,28.26,34.24,31.89
0.53,29.54,35.25,33.90
0.58,31.67,36.89,35.21
0.63,34.16,38.70,36.63
0.68,36.21,40.70,37.59
0.73,38.23,42.37,38.90
0.78,40.39,43.74,41.16
0.83,41.82,44.67,43.63
0.88,44.45,45.85,45.48
0.93,46.03,47.16,47.05
0.98,47.21,48.38,48.69
1.03,48.19,49.75,49.94
