r(cm),TMean(K)_1.0D_21O2_fine,TRMS(K)_1.0D_21O2_fine,fvSootMean(ppm)_1.0D_21O2_fine,fvSootRMS(ppm)_1.0D_21O2_fine,TMean(K)_1.5D_21O2_fine,TRMS(K)_1.5D_21O2_fine,fvSootMean(ppm)_1.5D_21O2_fine,fvSootRMS(ppm)_1.5D_21O2_fine,TMean(K)_2.0D_21O2_fine,TRMS(K)_2.0D_21O2_fine,fvSootMean(ppm)_2.0D_21O2_fine,fvSootRMS(ppm)_2.0D_21O2_fine,TMean(K)_2.5D_21O2_fine,TRMS(K)_2.5D_21O2_fine,fvSootMean(ppm)_2.5D_21O2_fine,fvSootRMS(ppm)_2.5D_21O2_fine,TMean(K)_3.0D_21O2_fine,TRMS(K)_3.0D_21O2_fine,fvSootMean(ppm)_3.0D_21O2_fine,fvSootRMS(ppm)_3.0D_21O2_fine,TMean(K)_3.5D_21O2_fine,TRMS(K)_3.5D_21O2_fine,fvSootMean(ppm)_3.5D_21O2_fine,fvSootRMS(ppm)_3.5D_21O2_fine,TMean(K)_1.0D_21O2_medium,TRMS(K)_1.0D_21O2_medium,fvSootMean(ppm)_1.0D_21O2_medium,fvSootRMS(ppm)_1.0D_21O2_medium,TMean(K)_1.5D_21O2_medium,TRMS(K)_1.5D_21O2_medium,fvSootMean(ppm)_1.5D_21O2_medium,fvSootRMS(ppm)_1.5D_21O2_medium,TMean(K)_2.0D_21O2_medium,TRMS(K)_2.0D_21O2_medium,fvSootMean(ppm)_2.0D_21O2_medium,fvSootRMS(ppm)_2.0D_21O2_medium,TMean(K)_2.5D_21O2_medium,TRMS(K)_2.5D_21O2_medium,fvSootMean(ppm)_2.5D_21O2_medium,fvSootRMS(ppm)_2.5D_21O2_medium,TMean(K)_3.0D_21O2_medium,TRMS(K)_3.0D_21O2_medium,fvSootMean(ppm)_3.0D_21O2_medium,fvSootRMS(ppm)_3.0D_21O2_medium,TMean(K)_3.5D_21O2_medium,TRMS(K)_3.5D_21O2_medium,fvSootMean(ppm)_3.5D_21O2_medium,fvSootRMS(ppm)_3.5D_21O2_medium,TMean(K)_1.0D_21O2_coarse,TRMS(K)_1.0D_21O2_coarse,fvSootMean(ppm)_1.0D_21O2_coarse,fvSootRMS(ppm)_1.0D_21O2_coarse,TMean(K)_1.5D_21O2_coarse,TRMS(K)_1.5D_21O2_coarse,fvSootMean(ppm)_1.5D_21O2_coarse,fvSootRMS(ppm)_1.5D_21O2_coarse,TMean(K)_2.0D_21O2_coarse,TRMS(K)_2.0D_21O2_coarse,fvSootMean(ppm)_2.0D_21O2_coarse,fvSootRMS(ppm)_2.0D_21O2_coarse,TMean(K)_2.5D_21O2_coarse,TRMS(K)_2.5D_21O2_coarse,fvSootMean(ppm)_2.5D_21O2_coarse,fvSootRMS(ppm)_2.5D_21O2_coarse,TMean(K)_3.0D_21O2_coarse,TRMS(K)_3.0D_21O2_coarse,fvSootMean(ppm)_3.0D_21O2_coarse,fvSootRMS(ppm)_3.0D_21O2_coarse,TMean(K)_3.5D_21O2_coarse,TRMS(K)_3.5D_21O2_coarse,fvSootMean(ppm)_3.5D_21O2_coarse,fvSootRMS(ppm)_3.5D_21O2_coarse
-14.94187356,300.57,0.039962964,1.76E-08,4.61E-07,301.76,13.91642298,0.0001983,0.002690928,307.32,49.68843583,0.003083603,0.03011867,313.17,66.7891378,0.002112315,0.014646091,318.73,71.59856197,0.002405269,0.011248872,322.87,56.44641123,0.002390878,0.006074084,300.63,0.037227133,8.45E-09,6.41E-07,302.77,28.40633768,2.06E-05,0.000307451,313.72,84.24079196,0.000278054,0.002473428,323.44,96.33821512,0.000655977,0.005843313,321.57,67.06562618,0.000661067,0.003342797,316.97,45.09077678,0.00065342,0.002794018,301.32,6.563443217,1.27E-06,4.29E-05,304.38,25.03327096,2.06E-06,3.82E-05,312.83,55.27194578,9.22E-06,0.000179323,323.78,71.93749792,1.63E-05,0.000118041,330.77,70.86526809,2.31E-05,0.000149854,336.61,68.08065614,3.12E-05,0.000155405
-14.93411008,300.57,0.040042426,1.95E-08,5.18E-07,301.79,14.17973502,0.000201016,0.002712543,307.48,50.09562957,0.003113211,0.030302712,313.38,67.00594313,0.002126664,0.014747697,318.94,71.71959086,0.002414686,0.011277828,323.09,56.51563749,0.002401981,0.006095161,300.63,0.037283954,9.19E-09,7.06E-07,302.81,28.54217319,2.07E-05,0.000308809,313.94,84.58023739,0.000280351,0.002490561,323.78,96.6273397,0.000661921,0.005923985,321.74,67.14368232,0.0006621,0.003342322,317.14,45.19621829,0.000655458,0.002799561,301.34,6.601304212,1.28E-06,4.34E-05,304.54,25.24108186,2.08E-06,3.86E-05,313.12,55.47687894,9.25E-06,0.000179688,324.12,72.09165455,1.64E-05,0.000118321,331.1,70.97786414,2.32E-05,0.00015068,336.93,68.17547811,3.13E-05,0.000156918
-14.9193781,300.57,0.040194937,2.32E-08,6.23E-07,301.85,14.68398067,0.000206243,0.002753924,307.73,50.8759667,0.003170013,0.030654528,313.62,67.4189763,0.002154194,0.01494267,319.18,71.94953361,0.00243267,0.011333234,323.33,56.64701638,0.002423184,0.006135418,300.63,0.037392592,1.06E-08,8.25E-07,302.88,28.80080471,2.09E-05,0.000311398,314.3,85.22725443,0.000284737,0.002523194,324.18,97.17706866,0.000673325,0.006077908,321.94,67.29203111,0.000664067,0.00334143,317.38,45.39744989,0.000659342,0.002810146,301.36,6.672845249,1.32E-06,4.45E-05,304.69,25.6331069,2.11E-06,3.93E-05,313.41,55.86466965,9.30E-06,0.000180381,324.46,72.3836959,1.65E-05,0.000118851,331.42,71.1912598,2.33E-05,0.000152242,337.25,68.35521532,3.16E-05,0.00015977
-14.89903176,300.57,0.040409082,2.84E-08,7.65E-07,301.96,15.38832901,0.000213609,0.002811763,308.13,51.96829585,0.003249746,0.031145346,313.94,67.99252309,0.002192839,0.015216164,319.48,72.26760991,0.002457745,0.011410675,323.62,56.82846431,0.002452749,0.006191528,300.63,0.037544277,1.26E-08,9.85E-07,302.97,29.15955248,2.11E-05,0.000314998,314.72,86.1262737,0.000290852,0.002568475,324.62,97.93821087,0.000689333,0.006291853,322.16,67.49735369,0.000666796,0.003340221,317.65,45.67763426,0.000664741,0.002824905,301.38,6.77095293,1.36E-06,4.60E-05,304.84,26.16923891,2.16E-06,4.03E-05,313.7,56.39773442,9.38E-06,0.000181335,324.81,72.78590956,1.66E-05,0.000119581,331.75,71.48536257,2.35E-05,0.000154384,337.57,68.60299441,3.19E-05,0.000163664
-14.87462551,300.57,0.040670782,3.49E-08,9.28E-07,302.08,16.24068043,0.000222656,0.002881962,308.53,53.29624104,0.003347217,0.031740057,314.26,68.68428039,0.002240086,0.015549534,319.78,72.64968299,0.002488159,0.011504802,323.91,57.04604278,0.002488611,0.006259493,300.64,0.037728459,1.51E-08,1.17E-06,303.05,29.59147208,2.14E-05,0.000319343,315.14,87.21102121,0.000298268,0.002622981,325.05,98.85311225,0.0007089,0.006549504,322.38,67.74417664,0.000670087,0.003338802,317.92,46.01666742,0.000671267,0.002842792,301.39,6.887480917,1.42E-06,4.78E-05,305,26.80363465,2.22E-06,4.15E-05,313.99,57.03297785,9.46E-06,0.000182475,325.15,73.26649743,1.68E-05,0.000120452,332.07,71.83711286,2.37E-05,0.00015693,337.89,68.89945099,3.22E-05,0.000168263
-14.8475843,300.58,0.040965812,4.24E-08,1.10E-06,302.19,17.1865341,0.000232917,0.002960362,308.93,54.78157474,0.003457259,0.032403701,314.57,69.45371276,0.002293433,0.015923556,320.08,73.07324457,0.002522235,0.01161033,324.19,57.28688218,0.002528792,0.0063354,300.64,0.037934828,1.79E-08,1.36E-06,303.13,30.07066703,2.18E-05,0.000324177,315.56,88.41746176,0.000306575,0.002683389,325.49,99.86735436,0.000730984,0.006834458,322.59,68.01806976,0.000673753,0.003337264,318.19,46.39508957,0.000678554,0.002862792,301.41,7.01499206,1.48E-06,4.97E-05,305.15,27.49458098,2.28E-06,4.28E-05,314.28,57.73096888,9.56E-06,0.000183732,325.5,73.79633018,1.70E-05,0.000121412,332.4,72.22537869,2.39E-05,0.000159716,338.21,69.22683976,3.27E-05,0.000173259
-14.81900838,300.58,0.041281793,5.07E-08,1.27E-06,302.3,18.17722242,0.000243981,0.003043338,309.33,56.35543671,0.003575454,0.033106402,314.89,70.26768154,0.002350736,0.016321169,320.39,73.52051403,0.002558595,0.011722774,324.48,57.54094847,0.00257167,0.006415968,300.64,0.038154757,2.09E-08,1.54E-06,303.22,30.57592693,2.21E-05,0.000329287,315.98,89.69279422,0.000315436,0.002746941,325.93,100.9373188,0.000754694,0.007132659,322.81,68.30763713,0.000677644,0.003335671,318.46,46.79681078,0.000686305,0.00288406,301.43,7.147786097,1.54E-06,5.16E-05,305.31,28.21029094,2.35E-06,4.41E-05,314.57,58.46136719,9.67E-06,0.000185053,325.84,74.35294611,1.72E-05,0.00012242,332.72,72.63385495,2.42E-05,0.00016262,338.54,69.57146793,3.31E-05,0.00017842
-14.7896303,300.58,0.041609253,5.93E-08,1.42E-06,302.42,19.17534231,0.00025553,0.003128132,309.73,57.9648994,0.003698477,0.033825828,315.2,71.10253243,0.002410385,0.016729134,320.69,73.97930262,0.002596255,0.011838794,324.77,57.80147494,0.002616081,0.006498791,300.64,0.038381933,2.41E-08,1.72E-06,303.3,31.09212557,2.25E-05,0.000334519,316.4,90.99905021,0.000324609,0.00281165,326.37,102.0326241,0.000779361,0.0074337,323.03,68.60507312,0.000681659,0.003334057,318.73,47.21021044,0.000694313,0.002905983,301.44,7.282118853,1.61E-06,5.35E-05,305.46,28.93010385,2.42E-06,4.54E-05,314.86,59.20410075,9.77E-06,0.000186403,326.19,74.92142585,1.74E-05,0.00012345,333.05,73.05170023,2.45E-05,0.000165559,338.86,69.92422806,3.35E-05,0.000183594
-14.75987603,300.58,0.041941768,6.82E-08,1.57E-06,302.53,20.15641008,0.000267346,0.003212904,310.13,59.57437279,0.003824107,0.034547295,315.52,71.9433633,0.002471301,0.017138436,320.99,74.44226685,0.002634586,0.011956188,325.05,58.06446381,0.002661285,0.006582305,300.64,0.038612262,2.73E-08,1.88E-06,303.38,31.60979266,2.29E-05,0.000339775,316.82,92.31220716,0.000333944,0.002876264,326.8,103.1346796,0.000804539,0.007730963,323.25,68.90568105,0.000685735,0.00333244,318.99,47.62788013,0.000702451,0.002928166,301.46,7.415871525,1.68E-06,5.54E-05,305.62,29.64256805,2.49E-06,4.67E-05,315.15,59.94764875,9.88E-06,0.000187761,326.53,75.49313745,1.76E-05,0.000124484,333.37,73.47263069,2.47E-05,0.000168488,339.18,70.27983557,3.40E-05,0.0001887
-14.72996348,300.58,0.042275459,7.73E-08,1.70E-06,302.64,21.10731364,0.000279296,0.003296594,310.53,61.16314734,0.003951018,0.035262356,315.84,72.78186584,0.002532839,0.017543732,321.29,74.90549261,0.002673233,0.012073664,325.34,58.32783122,0.002706862,0.006665612,300.64,0.038843387,3.06E-08,2.03E-06,303.47,32.12373493,2.33E-05,0.000345,317.24,93.61889477,0.000343353,0.002940098,327.24,104.2334626,0.000829965,0.008020944,323.46,69.20696018,0.000689838,0.003330823,319.26,48.04563394,0.000710648,0.002950383,301.48,7.548023136,1.75E-06,5.73E-05,305.77,30.34241872,2.56E-06,4.79E-05,315.44,60.68628345,9.99E-06,0.000189116,326.87,76.06371342,1.78E-05,0.000125515,333.7,73.89345659,2.50E-05,0.000171383,339.5,70.63559941,3.45E-05,0.0001937
