cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.4086E+03,0.2681E+03,0.2785E+00,0.3757E+00,0.1142E+00,0.3648E+00
-0.1963E+02,0.4209E+03,0.2875E+03,0.3165E+00,0.3971E+00,0.1119E+00,0.3757E+00
-0.1921E+02,0.4323E+03,0.3009E+03,0.3543E+00,0.4158E+00,0.1099E+00,0.3850E+00
-0.1883E+02,0.4422E+03,0.3111E+03,0.3916E+00,0.4353E+00,0.1074E+00,0.3932E+00
-0.1817E+02,0.4574E+03,0.3297E+03,0.4571E+00,0.4713E+00,0.1045E+00,0.4036E+00
-0.1789E+02,0.4628E+03,0.3360E+03,0.4856E+00,0.4860E+00,0.1045E+00,0.4065E+00
-0.1738E+02,0.4729E+03,0.3449E+03,0.5362E+00,0.5094E+00,0.1047E+00,0.4110E+00
-0.1712E+02,0.4782E+03,0.3490E+03,0.5611E+00,0.5190E+00,0.1057E+00,0.4134E+00
-0.1662E+02,0.4878E+03,0.3558E+03,0.6124E+00,0.5359E+00,0.1081E+00,0.4203E+00
-0.1638E+02,0.4918E+03,0.3580E+03,0.6394E+00,0.5449E+00,0.1082E+00,0.4248E+00
-0.1588E+02,0.5015E+03,0.3647E+03,0.6949E+00,0.5615E+00,0.1092E+00,0.4346E+00
-0.1538E+02,0.5123E+03,0.3760E+03,0.7499E+00,0.5768E+00,0.1116E+00,0.4433E+00
-0.1512E+02,0.5168E+03,0.3792E+03,0.7759E+00,0.5828E+00,0.1125E+00,0.4472E+00
-0.1462E+02,0.5223E+03,0.3818E+03,0.8254E+00,0.5899E+00,0.1145E+00,0.4557E+00
-0.1437E+02,0.5251E+03,0.3834E+03,0.8516E+00,0.5929E+00,0.1148E+00,0.4609E+00
-0.1388E+02,0.5309E+03,0.3879E+03,0.9062E+00,0.6102E+00,0.1158E+00,0.4716E+00
-0.1338E+02,0.5402E+03,0.3937E+03,0.9597E+00,0.6336E+00,0.1154E+00,0.4818E+00
-0.1312E+02,0.5474E+03,0.4000E+03,0.9879E+00,0.6446E+00,0.1166E+00,0.4869E+00
-0.1262E+02,0.5625E+03,0.4124E+03,0.1052E+01,0.6626E+00,0.1186E+00,0.4951E+00
-0.1238E+02,0.5696E+03,0.4173E+03,0.1087E+01,0.6724E+00,0.1181E+00,0.4988E+00
-0.1188E+02,0.5817E+03,0.4255E+03,0.1156E+01,0.6969E+00,0.1131E+00,0.5067E+00
-0.1138E+02,0.5910E+03,0.4303E+03,0.1215E+01,0.7142E+00,0.1067E+00,0.5155E+00
-0.1112E+02,0.5964E+03,0.4321E+03,0.1241E+01,0.7178E+00,0.1042E+00,0.5204E+00
-0.1062E+02,0.6140E+03,0.4409E+03,0.1297E+01,0.7235E+00,0.1017E+00,0.5295E+00
-0.1038E+02,0.6232E+03,0.4482E+03,0.1327E+01,0.7304E+00,0.1020E+00,0.5338E+00
-0.9875E+01,0.6357E+03,0.4526E+03,0.1383E+01,0.7499E+00,0.1017E+00,0.5409E+00
-0.9375E+01,0.6459E+03,0.4535E+03,0.1441E+01,0.7701E+00,0.9933E-01,0.5460E+00
-0.9125E+01,0.6515E+03,0.4559E+03,0.1471E+01,0.7843E+00,0.9561E-01,0.5476E+00
-0.8625E+01,0.6651E+03,0.4607E+03,0.1532E+01,0.8141E+00,0.8734E-01,0.5542E+00
-0.8125E+01,0.6839E+03,0.4688E+03,0.1595E+01,0.8461E+00,0.7658E-01,0.5630E+00
-0.7875E+01,0.6945E+03,0.4731E+03,0.1631E+01,0.8661E+00,0.6945E-01,0.5660E+00
-0.7375E+01,0.7209E+03,0.4820E+03,0.1715E+01,0.9124E+00,0.5288E-01,0.5710E+00
-0.7125E+01,0.7356E+03,0.4870E+03,0.1761E+01,0.9356E+00,0.4380E-01,0.5743E+00
-0.6625E+01,0.7615E+03,0.4960E+03,0.1854E+01,0.9789E+00,0.2477E-01,0.5797E+00
-0.6125E+01,0.7844E+03,0.5040E+03,0.1949E+01,0.1016E+01,0.3279E-02,0.5796E+00
-0.5875E+01,0.7939E+03,0.5065E+03,0.1990E+01,0.1029E+01,-0.4916E-02,0.5774E+00
-0.5375E+01,0.8134E+03,0.5121E+03,0.2070E+01,0.1060E+01,-0.1554E-01,0.5690E+00
-0.5125E+01,0.8208E+03,0.5123E+03,0.2106E+01,0.1077E+01,-0.2066E-01,0.5630E+00
-0.4625E+01,0.8340E+03,0.5090E+03,0.2170E+01,0.1111E+01,-0.3305E-01,0.5470E+00
-0.4125E+01,0.8441E+03,0.5058E+03,0.2228E+01,0.1142E+01,-0.4382E-01,0.5250E+00
-0.3875E+01,0.8483E+03,0.5035E+03,0.2256E+01,0.1161E+01,-0.4654E-01,0.5126E+00
-0.3375E+01,0.8566E+03,0.4952E+03,0.2317E+01,0.1203E+01,-0.4780E-01,0.4896E+00
-0.3125E+01,0.8613E+03,0.4924E+03,0.2349E+01,0.1226E+01,-0.4567E-01,0.4797E+00
-0.2625E+01,0.8704E+03,0.4887E+03,0.2415E+01,0.1272E+01,-0.4107E-01,0.4597E+00
-0.2125E+01,0.8843E+03,0.4881E+03,0.2493E+01,0.1318E+01,-0.3204E-01,0.4356E+00
-0.1875E+01,0.8942E+03,0.4903E+03,0.2537E+01,0.1346E+01,-0.2322E-01,0.4210E+00
