cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3000E+03,-0.1444E-02,0.6401E-01,0.6584E-01,0.1440E+00,0.8799E-01
-0.1963E+02,0.3001E+03,-0.1034E+00,0.7499E-01,0.7297E-01,0.1525E+00,0.9415E-01
-0.1921E+02,0.3001E+03,0.1576E+01,0.6820E-01,0.7618E-01,0.1561E+00,0.1018E+00
-0.1883E+02,0.3003E+03,0.5365E+01,0.7932E-01,0.8400E-01,0.1638E+00,0.1066E+00
-0.1817E+02,0.3032E+03,0.5096E+02,0.8245E-01,0.9341E-01,0.1738E+00,0.1192E+00
-0.1789E+02,0.3047E+03,0.7081E+02,0.7785E-01,0.9535E-01,0.1798E+00,0.1264E+00
-0.1738E+02,0.3071E+03,0.9392E+02,0.8169E-01,0.1046E+00,0.1894E+00,0.1382E+00
-0.1712E+02,0.3082E+03,0.9950E+02,0.8883E-01,0.1121E+00,0.1921E+00,0.1439E+00
-0.1662E+02,0.3135E+03,0.1151E+03,0.9345E-01,0.1228E+00,0.2015E+00,0.1588E+00
-0.1638E+02,0.3189E+03,0.1340E+03,0.9250E-01,0.1258E+00,0.2091E+00,0.1676E+00
-0.1588E+02,0.3386E+03,0.1906E+03,0.1039E+00,0.1340E+00,0.2175E+00,0.1855E+00
-0.1538E+02,0.3746E+03,0.2769E+03,0.1256E+00,0.1481E+00,0.2228E+00,0.2061E+00
-0.1512E+02,0.3940E+03,0.3188E+03,0.1431E+00,0.1649E+00,0.2210E+00,0.2178E+00
-0.1462E+02,0.4290E+03,0.3660E+03,0.1790E+00,0.2095E+00,0.2195E+00,0.2451E+00
-0.1437E+02,0.4462E+03,0.3814E+03,0.1981E+00,0.2291E+00,0.2191E+00,0.2585E+00
-0.1388E+02,0.4831E+03,0.4086E+03,0.2456E+00,0.2584E+00,0.2109E+00,0.2812E+00
-0.1338E+02,0.5370E+03,0.4506E+03,0.3054E+00,0.2952E+00,0.1994E+00,0.3026E+00
-0.1312E+02,0.5705E+03,0.4801E+03,0.3407E+00,0.3185E+00,0.1930E+00,0.3120E+00
-0.1262E+02,0.6288E+03,0.5162E+03,0.4144E+00,0.3643E+00,0.1818E+00,0.3273E+00
-0.1238E+02,0.6596E+03,0.5311E+03,0.4543E+00,0.3877E+00,0.1754E+00,0.3343E+00
-0.1188E+02,0.7216E+03,0.5654E+03,0.5356E+00,0.4347E+00,0.1628E+00,0.3484E+00
-0.1138E+02,0.7797E+03,0.5748E+03,0.6105E+00,0.4639E+00,0.1545E+00,0.3586E+00
-0.1112E+02,0.8143E+03,0.5780E+03,0.6485E+00,0.4761E+00,0.1506E+00,0.3638E+00
-0.1062E+02,0.8930E+03,0.5853E+03,0.7238E+00,0.5006E+00,0.1420E+00,0.3765E+00
-0.1038E+02,0.9403E+03,0.5917E+03,0.7625E+00,0.5092E+00,0.1376E+00,0.3828E+00
-0.9875E+01,0.1008E+04,0.5913E+03,0.8285E+00,0.5257E+00,0.1239E+00,0.3919E+00
-0.9375E+01,0.1047E+04,0.5772E+03,0.8682E+00,0.5311E+00,0.1099E+00,0.3977E+00
-0.9125E+01,0.1066E+04,0.5695E+03,0.8831E+00,0.5314E+00,0.1041E+00,0.3996E+00
-0.8625E+01,0.1100E+04,0.5653E+03,0.9096E+00,0.5388E+00,0.9269E-01,0.3993E+00
-0.8125E+01,0.1113E+04,0.5562E+03,0.9286E+00,0.5430E+00,0.7656E-01,0.3943E+00
-0.7875E+01,0.1106E+04,0.5513E+03,0.9325E+00,0.5477E+00,0.6781E-01,0.3910E+00
-0.7375E+01,0.1100E+04,0.5459E+03,0.9356E+00,0.5538E+00,0.5640E-01,0.3870E+00
-0.7125E+01,0.1100E+04,0.5453E+03,0.9351E+00,0.5547E+00,0.5365E-01,0.3836E+00
-0.6625E+01,0.1093E+04,0.5430E+03,0.9307E+00,0.5527E+00,0.5047E-01,0.3743E+00
-0.6125E+01,0.1090E+04,0.5399E+03,0.9271E+00,0.5536E+00,0.4824E-01,0.3695E+00
-0.5875E+01,0.1092E+04,0.5385E+03,0.9269E+00,0.5573E+00,0.4543E-01,0.3680E+00
-0.5375E+01,0.1099E+04,0.5345E+03,0.9250E+00,0.5670E+00,0.3547E-01,0.3649E+00
-0.5125E+01,0.1105E+04,0.5330E+03,0.9226E+00,0.5750E+00,0.2762E-01,0.3626E+00
-0.4625E+01,0.1123E+04,0.5277E+03,0.9178E+00,0.5853E+00,0.8752E-02,0.3556E+00
-0.4125E+01,0.1168E+04,0.5179E+03,0.9222E+00,0.5850E+00,-0.3567E-02,0.3495E+00
-0.3875E+01,0.1196E+04,0.5124E+03,0.9308E+00,0.5794E+00,-0.5911E-02,0.3459E+00
