cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3003E+03,0.3610E+01,0.5552E-01,0.8330E-01,0.1530E+00,0.1100E+00
-0.1963E+02,0.3010E+03,0.1688E+02,0.6261E-01,0.9111E-01,0.1586E+00,0.1177E+00
-0.1921E+02,0.3033E+03,0.5083E+02,0.5995E-01,0.9559E-01,0.1651E+00,0.1273E+00
-0.1883E+02,0.3054E+03,0.7811E+02,0.6591E-01,0.1025E+00,0.1691E+00,0.1351E+00
-0.1817E+02,0.3089E+03,0.1025E+03,0.7003E-01,0.1151E+00,0.1784E+00,0.1523E+00
-0.1789E+02,0.3112E+03,0.1131E+03,0.6983E-01,0.1208E+00,0.1841E+00,0.1613E+00
-0.1738E+02,0.3184E+03,0.1408E+03,0.7523E-01,0.1331E+00,0.1917E+00,0.1782E+00
-0.1712E+02,0.3247E+03,0.1601E+03,0.8076E-01,0.1389E+00,0.1939E+00,0.1867E+00
-0.1662E+02,0.3464E+03,0.2129E+03,0.9214E-01,0.1463E+00,0.1996E+00,0.2056E+00
-0.1638E+02,0.3627E+03,0.2496E+03,0.9967E-01,0.1493E+00,0.2026E+00,0.2160E+00
-0.1588E+02,0.3980E+03,0.3210E+03,0.1250E+00,0.1673E+00,0.2023E+00,0.2390E+00
-0.1538E+02,0.4317E+03,0.3631E+03,0.1588E+00,0.2000E+00,0.1986E+00,0.2654E+00
-0.1512E+02,0.4507E+03,0.3853E+03,0.1796E+00,0.2191E+00,0.1948E+00,0.2784E+00
-0.1462E+02,0.4876E+03,0.4225E+03,0.2250E+00,0.2481E+00,0.1867E+00,0.3039E+00
-0.1437E+02,0.5056E+03,0.4360E+03,0.2501E+00,0.2631E+00,0.1825E+00,0.3169E+00
-0.1388E+02,0.5495E+03,0.4714E+03,0.3093E+00,0.2999E+00,0.1712E+00,0.3433E+00
-0.1338E+02,0.6065E+03,0.5143E+03,0.3794E+00,0.3457E+00,0.1579E+00,0.3660E+00
-0.1312E+02,0.6335E+03,0.5338E+03,0.4190E+00,0.3684E+00,0.1498E+00,0.3760E+00
-0.1262E+02,0.6747E+03,0.5566E+03,0.4991E+00,0.4079E+00,0.1331E+00,0.3949E+00
-0.1238E+02,0.6917E+03,0.5612E+03,0.5385E+00,0.4272E+00,0.1262E+00,0.4016E+00
-0.1188E+02,0.7223E+03,0.5642E+03,0.6139E+00,0.4648E+00,0.1140E+00,0.4084E+00
-0.1138E+02,0.7631E+03,0.5730E+03,0.6875E+00,0.4993E+00,0.1040E+00,0.4126E+00
-0.1112E+02,0.7885E+03,0.5776E+03,0.7268E+00,0.5149E+00,0.9989E-01,0.4142E+00
-0.1062E+02,0.8438E+03,0.5934E+03,0.8051E+00,0.5514E+00,0.9316E-01,0.4172E+00
-0.1038E+02,0.8772E+03,0.5989E+03,0.8434E+00,0.5677E+00,0.9021E-01,0.4187E+00
-0.9875E+01,0.9570E+03,0.6008E+03,0.9264E+00,0.5822E+00,0.8604E-01,0.4203E+00
-0.9375E+01,0.1002E+04,0.5968E+03,0.9833E+00,0.5933E+00,0.8253E-01,0.4179E+00
-0.9125E+01,0.1016E+04,0.5898E+03,0.1003E+01,0.5965E+00,0.7996E-01,0.4165E+00
-0.8625E+01,0.1051E+04,0.5833E+03,0.1047E+01,0.6024E+00,0.7520E-01,0.4133E+00
-0.8125E+01,0.1082E+04,0.5720E+03,0.1083E+01,0.6116E+00,0.6756E-01,0.4083E+00
