cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2081E+02,0.3004E+03,0.3550E+01,0.3609E-01,0.9157E-01,0.1314E+00,0.1171E+00
-0.2010E+02,0.3018E+03,0.1489E+02,0.5845E-01,0.1022E+00,0.1369E+00,0.1298E+00
-0.1944E+02,0.3065E+03,0.5007E+02,0.4476E-01,0.1106E+00,0.1477E+00,0.1473E+00
-0.1883E+02,0.3185E+03,0.1172E+03,0.6525E-01,0.1207E+00,0.1489E+00,0.1610E+00
-0.1827E+02,0.3322E+03,0.1717E+03,0.6159E-01,0.1265E+00,0.1581E+00,0.1794E+00
-0.1775E+02,0.3447E+03,0.2050E+03,0.8398E-01,0.1403E+00,0.1549E+00,0.1971E+00
-0.1725E+02,0.3611E+03,0.2349E+03,0.8858E-01,0.1540E+00,0.1621E+00,0.2186E+00
-0.1675E+02,0.3834E+03,0.2749E+03,0.1153E+00,0.1726E+00,0.1578E+00,0.2367E+00
-0.1625E+02,0.4105E+03,0.3183E+03,0.1315E+00,0.1915E+00,0.1626E+00,0.2587E+00
-0.1575E+02,0.4356E+03,0.3460E+03,0.1715E+00,0.2168E+00,0.1506E+00,0.2819E+00
-0.1525E+02,0.4644E+03,0.3686E+03,0.2068E+00,0.2455E+00,0.1485E+00,0.3091E+00
-0.1475E+02,0.4965E+03,0.3928E+03,0.2640E+00,0.2800E+00,0.1308E+00,0.3351E+00
-0.1425E+02,0.5283E+03,0.4203E+03,0.3143E+00,0.3141E+00,0.1246E+00,0.3614E+00
-0.1375E+02,0.5501E+03,0.4370E+03,0.3745E+00,0.3483E+00,0.1060E+00,0.3818E+00
-0.1325E+02,0.5673E+03,0.4496E+03,0.4214E+00,0.3809E+00,0.1045E+00,0.4000E+00
-0.1275E+02,0.5859E+03,0.4644E+03,0.4763E+00,0.4127E+00,0.9238E-01,0.4147E+00
-0.1225E+02,0.6094E+03,0.4790E+03,0.5221E+00,0.4415E+00,0.9220E-01,0.4279E+00
-0.1175E+02,0.6357E+03,0.4946E+03,0.5789E+00,0.4741E+00,0.8399E-01,0.4367E+00
-0.1125E+02,0.6641E+03,0.5140E+03,0.6299E+00,0.5119E+00,0.8485E-01,0.4405E+00
-0.1075E+02,0.6925E+03,0.5305E+03,0.6860E+00,0.5511E+00,0.7537E-01,0.4407E+00
-0.1025E+02,0.7182E+03,0.5408E+03,0.7373E+00,0.5909E+00,0.7580E-01,0.4371E+00
-0.9750E+01,0.7412E+03,0.5474E+03,0.7887E+00,0.6268E+00,0.7201E-01,0.4277E+00
-0.9250E+01,0.7586E+03,0.5476E+03,0.8364E+00,0.6551E+00,0.7480E-01,0.4136E+00
-0.8750E+01,0.7737E+03,0.5479E+03,0.8823E+00,0.6778E+00,0.7007E-01,0.3986E+00
-0.8250E+01,0.7899E+03,0.5462E+03,0.9259E+00,0.6901E+00,0.7340E-01,0.3812E+00
-0.7750E+01,0.8186E+03,0.5475E+03,0.9834E+00,0.6964E+00,0.7596E-01,0.3666E+00
-0.7250E+01,0.8664E+03,0.5523E+03,0.1054E+01,0.7119E+00,0.8327E-01,0.3525E+00
-0.6750E+01,0.9155E+03,0.5585E+03,0.1131E+01,0.7390E+00,0.7823E-01,0.3405E+00
-0.6250E+01,0.9625E+03,0.5528E+03,0.1214E+01,0.7575E+00,0.6980E-01,0.3352E+00
-0.5750E+01,0.1020E+04,0.5433E+03,0.1295E+01,0.7692E+00,0.5840E-01,0.3345E+00
-0.5250E+01,0.1087E+04,0.5426E+03,0.1371E+01,0.7784E+00,0.4914E-01,0.3322E+00
-0.4750E+01,0.1141E+04,0.5298E+03,0.1443E+01,0.7835E+00,0.4104E-01,0.3272E+00
-0.4250E+01,0.1191E+04,0.5037E+03,0.1510E+01,0.7795E+00,0.3825E-01,0.3215E+00
-0.3750E+01,0.1245E+04,0.4749E+03,0.1570E+01,0.7725E+00,0.3504E-01,0.3129E+00
-0.3250E+01,0.1299E+04,0.4480E+03,0.1619E+01,0.7654E+00,0.3858E-01,0.2885E+00
-0.2750E+01,0.1349E+04,0.4072E+03,0.1664E+01,0.7456E+00,0.5330E-01,0.2482E+00
-0.2250E+01,0.1390E+04,0.3544E+03,0.1709E+01,0.7028E+00,0.7930E-01,0.2053E+00
-0.1750E+01,0.1412E+04,0.3001E+03,0.1748E+01,0.6439E+00,0.1034E+00,0.1603E+00
-0.1250E+01,0.1375E+04,0.2876E+03,0.1766E+01,0.5904E+00,0.1024E+00,0.1212E+00
-0.7500E+00,0.1283E+04,0.2948E+03,0.1742E+01,0.5535E+00,0.6213E-01,0.9305E-01
-0.2500E+00,0.1195E+04,0.2786E+03,0.1708E+01,0.5438E+00,0.8354E-02,0.7769E-01
0.2500E+00,0.1193E+04,0.2778E+03,0.1713E+01,0.5423E+00,-0.1745E-01,0.7437E-01
0.7500E+00,0.1272E+04,0.2901E+03,0.1755E+01,0.5427E+00,-0.6489E-01,0.8573E-01
0.1250E+01,0.1363E+04,0.2847E+03,0.1782E+01,0.5638E+00,-0.1092E+00,0.1144E+00
0.1750E+01,0.1398E+04,0.2940E+03,0.1757E+01,0.6205E+00,-0.1134E+00,0.1573E+00
0.2250E+01,0.1379E+04,0.3542E+03,0.1707E+01,0.6880E+00,-0.8858E-01,0.2034E+00
0.2750E+01,0.1337E+04,0.4140E+03,0.1650E+01,0.7456E+00,-0.5442E-01,0.2452E+00
0.3250E+01,0.1289E+04,0.4538E+03,0.1601E+01,0.7749E+00,-0.3342E-01,0.2854E+00
0.3750E+01,0.1238E+04,0.4822E+03,0.1554E+01,0.7825E+00,-0.2633E-01,0.3145E+00
0.4250E+01,0.1190E+04,0.5048E+03,0.1496E+01,0.7864E+00,-0.2999E-01,0.3274E+00
0.4750E+01,0.1139E+04,0.5245E+03,0.1427E+01,0.7835E+00,-0.3403E-01,0.3326E+00
0.5250E+01,0.1082E+04,0.5394E+03,0.1353E+01,0.7819E+00,-0.4482E-01,0.3334E+00
0.5750E+01,0.1018E+04,0.5469E+03,0.1277E+01,0.7788E+00,-0.5551E-01,0.3326E+00
0.6250E+01,0.9560E+03,0.5549E+03,0.1198E+01,0.7667E+00,-0.6880E-01,0.3321E+00
0.6750E+01,0.9036E+03,0.5560E+03,0.1116E+01,0.7401E+00,-0.7619E-01,0.3402E+00
