cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3563E+03,0.2122E+03,0.7597E-01,0.1533E+00,0.1480E+00,0.2531E+00
-0.1963E+02,0.3739E+03,0.2516E+03,0.1011E+00,0.1695E+00,0.1424E+00,0.2787E+00
-0.1921E+02,0.3895E+03,0.2820E+03,0.1277E+00,0.1959E+00,0.1360E+00,0.3030E+00
-0.1883E+02,0.4043E+03,0.3043E+03,0.1539E+00,0.2229E+00,0.1295E+00,0.3232E+00
-0.1817E+02,0.4348E+03,0.3523E+03,0.2050E+00,0.2742E+00,0.1179E+00,0.3543E+00
-0.1789E+02,0.4496E+03,0.3751E+03,0.2303E+00,0.2996E+00,0.1125E+00,0.3670E+00
-0.1738E+02,0.4746E+03,0.4065E+03,0.2782E+00,0.3415E+00,0.1016E+00,0.3888E+00
-0.1712E+02,0.4876E+03,0.4204E+03,0.3023E+00,0.3590E+00,0.9650E-01,0.3987E+00
-0.1662E+02,0.5157E+03,0.4498E+03,0.3550E+00,0.3906E+00,0.8668E-01,0.4180E+00
-0.1638E+02,0.5310E+03,0.4637E+03,0.3833E+00,0.4056E+00,0.8203E-01,0.4272E+00
-0.1588E+02,0.5601E+03,0.4887E+03,0.4421E+00,0.4360E+00,0.7432E-01,0.4440E+00
-0.1538E+02,0.5869E+03,0.5071E+03,0.5043E+00,0.4625E+00,0.6849E-01,0.4578E+00
-0.1512E+02,0.5983E+03,0.5144E+03,0.5357E+00,0.4738E+00,0.6643E-01,0.4638E+00
-0.1462E+02,0.6182E+03,0.5224E+03,0.6007E+00,0.4939E+00,0.6463E-01,0.4740E+00
-0.1437E+02,0.6269E+03,0.5255E+03,0.6343E+00,0.5038E+00,0.6487E-01,0.4786E+00
-0.1388E+02,0.6434E+03,0.5303E+03,0.7029E+00,0.5222E+00,0.6570E-01,0.4876E+00
-0.1338E+02,0.6578E+03,0.5385E+03,0.7707E+00,0.5420E+00,0.6640E-01,0.4967E+00
-0.1312E+02,0.6631E+03,0.5408E+03,0.8032E+00,0.5545E+00,0.6712E-01,0.5013E+00
-0.1262E+02,0.6775E+03,0.5466E+03,0.8673E+00,0.5772E+00,0.6891E-01,0.5089E+00
-0.1238E+02,0.6860E+03,0.5512E+03,0.8995E+00,0.5873E+00,0.6932E-01,0.5116E+00
-0.1188E+02,0.7043E+03,0.5560E+03,0.9644E+00,0.6109E+00,0.6968E-01,0.5170E+00
-0.1138E+02,0.7262E+03,0.5583E+03,0.1033E+01,0.6388E+00,0.6863E-01,0.5234E+00
-0.1112E+02,0.7371E+03,0.5626E+03,0.1068E+01,0.6548E+00,0.6659E-01,0.5269E+00
-0.1062E+02,0.7559E+03,0.5678E+03,0.1128E+01,0.6766E+00,0.6255E-01,0.5329E+00
-0.1038E+02,0.7672E+03,0.5692E+03,0.1156E+01,0.6808E+00,0.6093E-01,0.5352E+00
-0.9875E+01,0.7939E+03,0.5765E+03,0.1215E+01,0.6866E+00,0.5811E-01,0.5381E+00
-0.9375E+01,0.8249E+03,0.5848E+03,0.1280E+01,0.7063E+00,0.5489E-01,0.5385E+00
-0.9125E+01,0.8407E+03,0.5891E+03,0.1316E+01,0.7229E+00,0.5082E-01,0.5377E+00
-0.8625E+01,0.8763E+03,0.5921E+03,0.1392E+01,0.7578E+00,0.3672E-01,0.5343E+00
-0.8125E+01,0.9203E+03,0.5907E+03,0.1466E+01,0.7822E+00,0.1861E-01,0.5319E+00
-0.7875E+01,0.9419E+03,0.5883E+03,0.1500E+01,0.7948E+00,0.1036E-01,0.5324E+00
-0.7375E+01,0.9820E+03,0.5805E+03,0.1566E+01,0.8200E+00,-0.8478E-02,0.5347E+00
-0.7125E+01,0.9999E+03,0.5766E+03,0.1599E+01,0.8276E+00,-0.2057E-01,0.5350E+00
-0.6625E+01,0.1031E+04,0.5618E+03,0.1661E+01,0.8462E+00,-0.4423E-01,0.5380E+00
-0.6125E+01,0.1057E+04,0.5562E+03,0.1723E+01,0.8952E+00,-0.6832E-01,0.5382E+00
-0.5875E+01,0.1062E+04,0.5529E+03,0.1748E+01,0.9239E+00,-0.7854E-01,0.5363E+00
-0.5375E+01,0.1066E+04,0.5461E+03,0.1779E+01,0.9766E+00,-0.9321E-01,0.5273E+00
-0.5125E+01,0.1069E+04,0.5447E+03,0.1791E+01,0.9962E+00,-0.9990E-01,0.5197E+00
-0.4625E+01,0.1081E+04,0.5415E+03,0.1806E+01,0.1018E+01,-0.1097E+00,0.5044E+00
-0.4125E+01,0.1088E+04,0.5384E+03,0.1829E+01,0.1049E+01,-0.1182E+00,0.4861E+00
-0.3875E+01,0.1092E+04,0.5368E+03,0.1845E+01,0.1068E+01,-0.1203E+00,0.4761E+00
-0.3375E+01,0.1106E+04,0.5356E+03,0.1872E+01,0.1101E+01,-0.1193E+00,0.4511E+00
-0.3125E+01,0.1113E+04,0.5332E+03,0.1887E+01,0.1111E+01,-0.1160E+00,0.4389E+00
-0.2625E+01,0.1136E+04,0.5280E+03,0.1931E+01,0.1129E+01,-0.1055E+00,0.4120E+00
-0.2125E+01,0.1173E+04,0.5128E+03,0.1997E+01,0.1144E+01,-0.8141E-01,0.3722E+00
-0.1875E+01,0.1196E+04,0.5060E+03,0.2038E+01,0.1149E+01,-0.6784E-01,0.3453E+00
-0.1375E+01,0.1242E+04,0.4801E+03,0.2125E+01,0.1150E+01,-0.3629E-01,0.2862E+00
-0.1125E+01,0.1260E+04,0.4660E+03,0.2164E+01,0.1152E+01,-0.1848E-01,0.2617E+00
-0.6250E+00,0.1269E+04,0.4440E+03,0.2219E+01,0.1148E+01,0.6843E-02,0.2275E+00
-0.1250E+00,0.1257E+04,0.4256E+03,0.2245E+01,0.1116E+01,0.7628E-02,0.2169E+00
0.1250E+00,0.1253E+04,0.4237E+03,0.2248E+01,0.1108E+01,0.3258E-02,0.2203E+00
0.6250E+00,0.1254E+04,0.4339E+03,0.2233E+01,0.1118E+01,-0.1865E-02,0.2327E+00
0.1125E+01,0.1251E+04,0.4598E+03,0.2181E+01,0.1130E+01,0.6805E-02,0.2552E+00
0.1375E+01,0.1232E+04,0.4764E+03,0.2138E+01,0.1136E+01,0.1574E-01,0.2747E+00
0.1875E+01,0.1180E+04,0.5099E+03,0.2043E+01,0.1147E+01,0.4369E-01,0.3256E+00
0.2125E+01,0.1155E+04,0.5198E+03,0.2002E+01,0.1147E+01,0.5818E-01,0.3531E+00
0.2625E+01,0.1107E+04,0.5311E+03,0.1922E+01,0.1142E+01,0.8027E-01,0.3991E+00
0.3125E+01,0.1076E+04,0.5328E+03,0.1867E+01,0.1119E+01,0.9501E-01,0.4350E+00
0.3375E+01,0.1068E+04,0.5316E+03,0.1847E+01,0.1099E+01,0.1009E+00,0.4493E+00
0.3875E+01,0.1066E+04,0.5323E+03,0.1822E+01,0.1057E+01,0.1068E+00,0.4745E+00
0.4125E+01,0.1069E+04,0.5344E+03,0.1814E+01,0.1037E+01,0.1058E+00,0.4850E+00
0.4625E+01,0.1073E+04,0.5412E+03,0.1801E+01,0.1002E+01,0.9821E-01,0.5028E+00
0.5125E+01,0.1073E+04,0.5478E+03,0.1784E+01,0.9733E+00,0.8822E-01,0.5163E+00
0.5375E+01,0.1070E+04,0.5521E+03,0.1773E+01,0.9596E+00,0.8155E-01,0.5226E+00
0.5875E+01,0.1053E+04,0.5545E+03,0.1737E+01,0.9167E+00,0.6517E-01,0.5333E+00
0.6125E+01,0.1042E+04,0.5538E+03,0.1715E+01,0.8926E+00,0.5798E-01,0.5366E+00
0.6625E+01,0.1014E+04,0.5572E+03,0.1666E+01,0.8537E+00,0.4624E-01,0.5404E+00
0.7125E+01,0.9917E+03,0.5644E+03,0.1613E+01,0.8168E+00,0.3082E-01,0.5439E+00
0.7375E+01,0.9805E+03,0.5678E+03,0.1586E+01,0.7997E+00,0.2249E-01,0.5448E+00
0.7875E+01,0.9575E+03,0.5781E+03,0.1523E+01,0.7715E+00,0.6555E-02,0.5480E+00
0.8125E+01,0.9409E+03,0.5798E+03,0.1489E+01,0.7538E+00,-0.7622E-03,0.5494E+00
0.8625E+01,0.9021E+03,0.5831E+03,0.1409E+01,0.7171E+00,-0.1322E-01,0.5495E+00
