cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3086E+03,0.7461E+02,0.4492E-01,0.1333E+00,0.1639E+00,0.1786E+00
-0.1963E+02,0.3154E+03,0.1043E+03,0.5098E-01,0.1418E+00,0.1669E+00,0.1950E+00
-0.1921E+02,0.3264E+03,0.1430E+03,0.5765E-01,0.1483E+00,0.1703E+00,0.2112E+00
-0.1883E+02,0.3416E+03,0.1876E+03,0.6903E-01,0.1530E+00,0.1700E+00,0.2266E+00
-0.1817E+02,0.3718E+03,0.2652E+03,0.9863E-01,0.1661E+00,0.1637E+00,0.2580E+00
-0.1789E+02,0.3859E+03,0.2886E+03,0.1148E+00,0.1792E+00,0.1598E+00,0.2742E+00
-0.1738E+02,0.4174E+03,0.3396E+03,0.1486E+00,0.2070E+00,0.1508E+00,0.3040E+00
-0.1712E+02,0.4326E+03,0.3647E+03,0.1668E+00,0.2215E+00,0.1459E+00,0.3172E+00
-0.1662E+02,0.4611E+03,0.4026E+03,0.2060E+00,0.2528E+00,0.1366E+00,0.3423E+00
-0.1638E+02,0.4752E+03,0.4176E+03,0.2281E+00,0.2699E+00,0.1318E+00,0.3544E+00
-0.1588E+02,0.5083E+03,0.4492E+03,0.2772E+00,0.3115E+00,0.1213E+00,0.3804E+00
-0.1538E+02,0.5521E+03,0.4913E+03,0.3314E+00,0.3505E+00,0.1104E+00,0.4069E+00
-0.1512E+02,0.5742E+03,0.5097E+03,0.3606E+00,0.3648E+00,0.1048E+00,0.4187E+00
-0.1462E+02,0.6124E+03,0.5348E+03,0.4239E+00,0.3887E+00,0.9392E-01,0.4396E+00
-0.1437E+02,0.6255E+03,0.5402E+03,0.4575E+00,0.4007E+00,0.8920E-01,0.4486E+00
-0.1388E+02,0.6486E+03,0.5450E+03,0.5272E+00,0.4248E+00,0.8037E-01,0.4637E+00
-0.1338E+02,0.6745E+03,0.5555E+03,0.6028E+00,0.4507E+00,0.7122E-01,0.4758E+00
-0.1312E+02,0.6860E+03,0.5606E+03,0.6419E+00,0.4660E+00,0.6679E-01,0.4811E+00
-0.1262E+02,0.7055E+03,0.5681E+03,0.7176E+00,0.4963E+00,0.6009E-01,0.4891E+00
-0.1238E+02,0.7123E+03,0.5675E+03,0.7521E+00,0.5096E+00,0.5768E-01,0.4914E+00
-0.1188E+02,0.7223E+03,0.5641E+03,0.8177E+00,0.5353E+00,0.5425E-01,0.4953E+00
-0.1138E+02,0.7395E+03,0.5674E+03,0.8816E+00,0.5665E+00,0.5073E-01,0.4989E+00
-0.1112E+02,0.7514E+03,0.5710E+03,0.9145E+00,0.5812E+00,0.4966E-01,0.4999E+00
-0.1062E+02,0.7826E+03,0.5810E+03,0.9855E+00,0.6116E+00,0.4914E-01,0.4997E+00
-0.1038E+02,0.8007E+03,0.5849E+03,0.1023E+01,0.6255E+00,0.4903E-01,0.4989E+00
-0.9875E+01,0.8452E+03,0.5924E+03,0.1096E+01,0.6547E+00,0.4545E-01,0.4965E+00
-0.9375E+01,0.8903E+03,0.5956E+03,0.1168E+01,0.6789E+00,0.3887E-01,0.4946E+00
-0.9125E+01,0.9132E+03,0.5923E+03,0.1202E+01,0.6877E+00,0.3568E-01,0.4929E+00
-0.8625E+01,0.9611E+03,0.5911E+03,0.1272E+01,0.7121E+00,0.2980E-01,0.4896E+00
-0.8125E+01,0.1008E+04,0.5881E+03,0.1340E+01,0.7356E+00,0.2193E-01,0.4852E+00
-0.7875E+01,0.1030E+04,0.5863E+03,0.1373E+01,0.7442E+00,0.1559E-01,0.4829E+00
-0.7375E+01,0.1056E+04,0.5755E+03,0.1423E+01,0.7560E+00,-0.4979E-03,0.4797E+00
-0.7125E+01,0.1071E+04,0.5675E+03,0.1446E+01,0.7595E+00,-0.9464E-02,0.4791E+00
-0.6625E+01,0.1100E+04,0.5584E+03,0.1489E+01,0.7758E+00,-0.2908E-01,0.4784E+00
-0.6125E+01,0.1097E+04,0.5486E+03,0.1511E+01,0.8091E+00,-0.5220E-01,0.4789E+00
-0.5875E+01,0.1097E+04,0.5430E+03,0.1518E+01,0.8235E+00,-0.6326E-01,0.4816E+00
-0.5375E+01,0.1111E+04,0.5345E+03,0.1533E+01,0.8482E+00,-0.8438E-01,0.4867E+00
-0.5125E+01,0.1119E+04,0.5319E+03,0.1539E+01,0.8607E+00,-0.9528E-01,0.4847E+00
-0.4625E+01,0.1126E+04,0.5305E+03,0.1549E+01,0.8847E+00,-0.1162E+00,0.4736E+00
