cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3765E+03,0.2490E+03,0.1083E+00,0.1778E+00,0.1344E+00,0.2869E+00
-0.1963E+02,0.3939E+03,0.2821E+03,0.1389E+00,0.2061E+00,0.1263E+00,0.3109E+00
-0.1921E+02,0.4112E+03,0.3111E+03,0.1693E+00,0.2364E+00,0.1190E+00,0.3331E+00
-0.1883E+02,0.4280E+03,0.3386E+03,0.1991E+00,0.2665E+00,0.1123E+00,0.3523E+00
-0.1817E+02,0.4591E+03,0.3825E+03,0.2581E+00,0.3244E+00,0.1017E+00,0.3803E+00
-0.1789E+02,0.4726E+03,0.4009E+03,0.2868E+00,0.3484E+00,0.9660E-01,0.3910E+00
-0.1738E+02,0.4920E+03,0.4245E+03,0.3406E+00,0.3892E+00,0.8674E-01,0.4097E+00
-0.1712E+02,0.4998E+03,0.4309E+03,0.3670E+00,0.4091E+00,0.8224E-01,0.4181E+00
-0.1662E+02,0.5217E+03,0.4450E+03,0.4205E+00,0.4433E+00,0.7458E-01,0.4335E+00
-0.1638E+02,0.5365E+03,0.4564E+03,0.4487E+00,0.4557E+00,0.7170E-01,0.4403E+00
-0.1588E+02,0.5609E+03,0.4742E+03,0.5091E+00,0.4731E+00,0.6678E-01,0.4518E+00
-0.1538E+02,0.5794E+03,0.4845E+03,0.5723E+00,0.4885E+00,0.6448E-01,0.4603E+00
-0.1512E+02,0.5878E+03,0.4897E+03,0.6037E+00,0.4974E+00,0.6457E-01,0.4639E+00
-0.1462E+02,0.6049E+03,0.4993E+03,0.6667E+00,0.5193E+00,0.6712E-01,0.4710E+00
-0.1437E+02,0.6139E+03,0.5057E+03,0.6987E+00,0.5304E+00,0.6878E-01,0.4744E+00
-0.1388E+02,0.6285E+03,0.5136E+03,0.7639E+00,0.5535E+00,0.7250E-01,0.4828E+00
-0.1338E+02,0.6434E+03,0.5227E+03,0.8287E+00,0.5739E+00,0.7702E-01,0.4916E+00
-0.1312E+02,0.6507E+03,0.5276E+03,0.8598E+00,0.5841E+00,0.7913E-01,0.4956E+00
-0.1262E+02,0.6684E+03,0.5372E+03,0.9236E+00,0.6082E+00,0.8196E-01,0.5055E+00
-0.1238E+02,0.6787E+03,0.5429E+03,0.9573E+00,0.6216E+00,0.8229E-01,0.5111E+00
-0.1188E+02,0.6969E+03,0.5512E+03,0.1026E+01,0.6477E+00,0.8052E-01,0.5225E+00
-0.1138E+02,0.7149E+03,0.5556E+03,0.1093E+01,0.6690E+00,0.7829E-01,0.5330E+00
-0.1112E+02,0.7240E+03,0.5563E+03,0.1123E+01,0.6776E+00,0.7735E-01,0.5373E+00
-0.1062E+02,0.7390E+03,0.5540E+03,0.1177E+01,0.6906E+00,0.7486E-01,0.5421E+00
