cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2081E+02,0.3543E+03,0.2173E+03,0.9911E-01,0.2055E+00,0.1183E+00,0.2409E+00
-0.2010E+02,0.3791E+03,0.2669E+03,0.1362E+00,0.2538E+00,0.1096E+00,0.2652E+00
-0.1944E+02,0.4018E+03,0.3088E+03,0.1701E+00,0.2907E+00,0.1106E+00,0.2861E+00
-0.1883E+02,0.4255E+03,0.3457E+03,0.2116E+00,0.3265E+00,0.1029E+00,0.3038E+00
-0.1827E+02,0.4416E+03,0.3673E+03,0.2496E+00,0.3654E+00,0.1002E+00,0.3240E+00
-0.1775E+02,0.4561E+03,0.3800E+03,0.2905E+00,0.4021E+00,0.9374E-01,0.3416E+00
-0.1725E+02,0.4716E+03,0.3898E+03,0.3285E+00,0.4360E+00,0.9238E-01,0.3580E+00
-0.1675E+02,0.4900E+03,0.3997E+03,0.3738E+00,0.4679E+00,0.8648E-01,0.3745E+00
-0.1625E+02,0.5090E+03,0.4160E+03,0.4191E+00,0.4955E+00,0.8374E-01,0.3910E+00
-0.1575E+02,0.5228E+03,0.4257E+03,0.4638E+00,0.5204E+00,0.7875E-01,0.4045E+00
-0.1525E+02,0.5342E+03,0.4289E+03,0.5059E+00,0.5439E+00,0.7777E-01,0.4201E+00
-0.1475E+02,0.5473E+03,0.4346E+03,0.5504E+00,0.5653E+00,0.7392E-01,0.4336E+00
-0.1425E+02,0.5597E+03,0.4457E+03,0.5963E+00,0.5827E+00,0.7558E-01,0.4479E+00
-0.1375E+02,0.5681E+03,0.4547E+03,0.6483E+00,0.6003E+00,0.7459E-01,0.4587E+00
-0.1325E+02,0.5755E+03,0.4606E+03,0.6933E+00,0.6168E+00,0.7552E-01,0.4698E+00
-0.1275E+02,0.5800E+03,0.4606E+03,0.7405E+00,0.6262E+00,0.7348E-01,0.4777E+00
-0.1225E+02,0.5867E+03,0.4627E+03,0.7816E+00,0.6370E+00,0.7687E-01,0.4830E+00
-0.1175E+02,0.5985E+03,0.4706E+03,0.8281E+00,0.6493E+00,0.7577E-01,0.4863E+00
-0.1125E+02,0.6098E+03,0.4766E+03,0.8768E+00,0.6671E+00,0.7607E-01,0.4887E+00
-0.1075E+02,0.6237E+03,0.4843E+03,0.9280E+00,0.6880E+00,0.7567E-01,0.4894E+00
-0.1025E+02,0.6386E+03,0.4936E+03,0.9762E+00,0.7108E+00,0.7411E-01,0.4891E+00
-0.9750E+01,0.6523E+03,0.4994E+03,0.1019E+01,0.7376E+00,0.7075E-01,0.4883E+00
-0.9250E+01,0.6664E+03,0.5009E+03,0.1062E+01,0.7613E+00,0.7329E-01,0.4895E+00
-0.8750E+01,0.6874E+03,0.5090E+03,0.1111E+01,0.7874E+00,0.7195E-01,0.4889E+00
-0.8250E+01,0.7137E+03,0.5182E+03,0.1169E+01,0.8122E+00,0.6567E-01,0.4881E+00
-0.7750E+01,0.7438E+03,0.5256E+03,0.1244E+01,0.8364E+00,0.5600E-01,0.4885E+00
-0.7250E+01,0.7721E+03,0.5346E+03,0.1332E+01,0.8697E+00,0.4101E-01,0.4906E+00
-0.6750E+01,0.7998E+03,0.5412E+03,0.1420E+01,0.9130E+00,0.2246E-01,0.4923E+00
-0.6250E+01,0.8384E+03,0.5543E+03,0.1516E+01,0.9552E+00,0.7774E-02,0.4920E+00
-0.5750E+01,0.8861E+03,0.5611E+03,0.1625E+01,0.9886E+00,-0.6941E-02,0.4833E+00
-0.5250E+01,0.9442E+03,0.5608E+03,0.1748E+01,0.1023E+01,-0.1666E-01,0.4665E+00
-0.4750E+01,0.9987E+03,0.5554E+03,0.1872E+01,0.1065E+01,-0.3046E-01,0.4426E+00
-0.4250E+01,0.1046E+04,0.5449E+03,0.1985E+01,0.1099E+01,-0.4318E-01,0.4160E+00
-0.3750E+01,0.1097E+04,0.5236E+03,0.2102E+01,0.1116E+01,-0.5404E-01,0.3856E+00
-0.3250E+01,0.1154E+04,0.4952E+03,0.2224E+01,0.1129E+01,-0.5820E-01,0.3536E+00
-0.2750E+01,0.1221E+04,0.4623E+03,0.2356E+01,0.1133E+01,-0.4958E-01,0.3102E+00
-0.2250E+01,0.1298E+04,0.4186E+03,0.2494E+01,0.1123E+01,-0.2944E-01,0.2574E+00
-0.1750E+01,0.1374E+04,0.3596E+03,0.2628E+01,0.1098E+01,0.3966E-02,0.2077E+00
-0.1250E+01,0.1427E+04,0.2967E+03,0.2746E+01,0.1054E+01,0.3424E-01,0.1694E+00
-0.7500E+00,0.1411E+04,0.2807E+03,0.2821E+01,0.9806E+00,0.3094E-01,0.1502E+00
-0.2500E+00,0.1371E+04,0.2947E+03,0.2847E+01,0.9333E+00,0.6294E-03,0.1385E+00
0.2500E+00,0.1367E+04,0.2989E+03,0.2854E+01,0.9254E+00,-0.1932E-01,0.1334E+00
0.7500E+00,0.1402E+04,0.2839E+03,0.2833E+01,0.9468E+00,-0.4604E-01,0.1432E+00
0.1250E+01,0.1418E+04,0.2878E+03,0.2754E+01,0.1011E+01,-0.5109E-01,0.1669E+00
0.1750E+01,0.1369E+04,0.3645E+03,0.2623E+01,0.1086E+01,-0.1639E-01,0.2096E+00
0.2250E+01,0.1304E+04,0.4299E+03,0.2495E+01,0.1129E+01,0.2454E-01,0.2611E+00
0.2750E+01,0.1238E+04,0.4692E+03,0.2369E+01,0.1144E+01,0.5267E-01,0.3098E+00
0.3250E+01,0.1171E+04,0.5032E+03,0.2237E+01,0.1141E+01,0.6735E-01,0.3505E+00
0.3750E+01,0.1111E+04,0.5251E+03,0.2107E+01,0.1119E+01,0.6863E-01,0.3865E+00
0.4250E+01,0.1059E+04,0.5448E+03,0.1984E+01,0.1089E+01,0.6239E-01,0.4259E+00
0.4750E+01,0.1010E+04,0.5565E+03,0.1864E+01,0.1051E+01,0.5265E-01,0.4577E+00
0.5250E+01,0.9545E+03,0.5591E+03,0.1745E+01,0.1009E+01,0.4222E-01,0.4807E+00
0.5750E+01,0.8974E+03,0.5581E+03,0.1629E+01,0.9744E+00,0.3128E-01,0.4970E+00
0.6250E+01,0.8512E+03,0.5535E+03,0.1525E+01,0.9426E+00,0.1585E-01,0.5045E+00
0.6750E+01,0.8183E+03,0.5483E+03,0.1438E+01,0.9094E+00,-0.4614E-02,0.5038E+00
0.7250E+01,0.7865E+03,0.5438E+03,0.1352E+01,0.8874E+00,-0.2666E-01,0.5017E+00
0.7750E+01,0.7559E+03,0.5368E+03,0.1272E+01,0.8664E+00,-0.4478E-01,0.4979E+00
0.8250E+01,0.7246E+03,0.5235E+03,0.1196E+01,0.8328E+00,-0.5744E-01,0.4932E+00
0.8750E+01,0.6919E+03,0.5107E+03,0.1125E+01,0.7969E+00,-0.6455E-01,0.4905E+00
0.9250E+01,0.6665E+03,0.5010E+03,0.1067E+01,0.7645E+00,-0.6823E-01,0.4895E+00
0.9750E+01,0.6482E+03,0.4948E+03,0.1026E+01,0.7328E+00,-0.6827E-01,0.4892E+00
0.1025E+02,0.6374E+03,0.4901E+03,0.9813E+00,0.7045E+00,-0.7312E-01,0.4905E+00
0.1075E+02,0.6298E+03,0.4852E+03,0.9376E+00,0.6752E+00,-0.7540E-01,0.4894E+00
0.1125E+02,0.6194E+03,0.4802E+03,0.8896E+00,0.6513E+00,-0.7607E-01,0.4886E+00
0.1175E+02,0.6100E+03,0.4768E+03,0.8457E+00,0.6303E+00,-0.7598E-01,0.4909E+00
0.1225E+02,0.6023E+03,0.4735E+03,0.7995E+00,0.6206E+00,-0.7740E-01,0.4911E+00
0.1275E+02,0.5951E+03,0.4702E+03,0.7582E+00,0.6173E+00,-0.7254E-01,0.4889E+00
0.1325E+02,0.5868E+03,0.4669E+03,0.7115E+00,0.6147E+00,-0.7411E-01,0.4856E+00
0.1375E+02,0.5774E+03,0.4629E+03,0.6659E+00,0.6047E+00,-0.6951E-01,0.4771E+00
0.1425E+02,0.5671E+03,0.4548E+03,0.6145E+00,0.5908E+00,-0.6940E-01,0.4697E+00
0.1475E+02,0.5564E+03,0.4451E+03,0.5694E+00,0.5731E+00,-0.6877E-01,0.4583E+00
0.1525E+02,0.5457E+03,0.4393E+03,0.5223E+00,0.5520E+00,-0.7231E-01,0.4445E+00
0.1575E+02,0.5341E+03,0.4339E+03,0.4783E+00,0.5291E+00,-0.7444E-01,0.4295E+00
0.1625E+02,0.5210E+03,0.4270E+03,0.4336E+00,0.5039E+00,-0.7926E-01,0.4132E+00
0.1675E+02,0.5040E+03,0.4167E+03,0.3901E+00,0.4749E+00,-0.8127E-01,0.3945E+00
0.1725E+02,0.4865E+03,0.4058E+03,0.3433E+00,0.4412E+00,-0.8908E-01,0.3761E+00
0.1775E+02,0.4676E+03,0.3926E+03,0.3003E+00,0.4072E+00,-0.9156E-01,0.3545E+00
0.1827E+02,0.4499E+03,0.3770E+03,0.2557E+00,0.3717E+00,-0.1008E+00,0.3317E+00
0.1883E+02,0.4289E+03,0.3476E+03,0.2147E+00,0.3355E+00,-0.1035E+00,0.3086E+00
0.1944E+02,0.4009E+03,0.3024E+03,0.1719E+00,0.3010E+00,-0.1100E+00,0.2878E+00
0.2010E+02,0.3739E+03,0.2517E+03,0.1377E+00,0.2660E+00,-0.1093E+00,0.2658E+00
0.2081E+02,0.3501E+03,0.2081E+03,0.1025E+00,0.2200E+00,-0.1155E+00,0.2403E+00
