cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3000E+03,-0.1007E+00,0.8125E-01,0.5055E-01,0.1376E+00,0.6744E-01
-0.1963E+02,0.3000E+03,-0.2007E+00,0.8590E-01,0.5535E-01,0.1301E+00,0.7004E-01
-0.1921E+02,0.3000E+03,-0.2007E+00,0.8846E-01,0.5733E-01,0.1472E+00,0.7368E-01
-0.1883E+02,0.3000E+03,-0.2007E+00,0.9487E-01,0.6298E-01,0.1440E+00,0.7959E-01
-0.1817E+02,0.3000E+03,0.4463E+00,0.1030E+00,0.7080E-01,0.1572E+00,0.8843E-01
-0.1789E+02,0.3000E+03,0.3143E+00,0.9934E-01,0.7015E-01,0.1657E+00,0.8669E-01
-0.1738E+02,0.3001E+03,0.1221E+01,0.1025E+00,0.7588E-01,0.1750E+00,0.9497E-01
-0.1712E+02,0.3002E+03,0.2695E+01,0.1191E+00,0.8747E-01,0.1830E+00,0.1018E+00
-0.1662E+02,0.3009E+03,0.1410E+02,0.1264E+00,0.9551E-01,0.1956E+00,0.1081E+00
-0.1638E+02,0.3017E+03,0.2561E+02,0.1096E+00,0.9130E-01,0.2011E+00,0.1169E+00
-0.1588E+02,0.3042E+03,0.5081E+02,0.1169E+00,0.1013E+00,0.2183E+00,0.1280E+00
-0.1538E+02,0.3125E+03,0.9058E+02,0.1262E+00,0.1095E+00,0.2345E+00,0.1413E+00
-0.1512E+02,0.3220E+03,0.1339E+03,0.1425E+00,0.1166E+00,0.2334E+00,0.1463E+00
-0.1462E+02,0.3507E+03,0.2246E+03,0.1588E+00,0.1352E+00,0.2448E+00,0.1654E+00
-0.1437E+02,0.3703E+03,0.2599E+03,0.1666E+00,0.1502E+00,0.2550E+00,0.1785E+00
-0.1388E+02,0.4210E+03,0.3431E+03,0.2034E+00,0.1940E+00,0.2574E+00,0.2006E+00
-0.1338E+02,0.4918E+03,0.4197E+03,0.2506E+00,0.2379E+00,0.2570E+00,0.2221E+00
