cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3925E+03,0.2734E+03,0.1433E+00,0.2154E+00,0.1244E+00,0.3144E+00
-0.1963E+02,0.4107E+03,0.3051E+03,0.1767E+00,0.2513E+00,0.1177E+00,0.3354E+00
-0.1921E+02,0.4285E+03,0.3320E+03,0.2083E+00,0.2827E+00,0.1125E+00,0.3523E+00
-0.1883E+02,0.4451E+03,0.3563E+03,0.2402E+00,0.3105E+00,0.1078E+00,0.3654E+00
-0.1817E+02,0.4743E+03,0.3949E+03,0.3071E+00,0.3602E+00,0.9821E-01,0.3885E+00
-0.1789E+02,0.4848E+03,0.4068E+03,0.3392E+00,0.3834E+00,0.9253E-01,0.3992E+00
-0.1738E+02,0.4988E+03,0.4188E+03,0.3954E+00,0.4237E+00,0.8219E-01,0.4169E+00
-0.1712E+02,0.5049E+03,0.4218E+03,0.4215E+00,0.4401E+00,0.7853E-01,0.4239E+00
-0.1662E+02,0.5199E+03,0.4311E+03,0.4740E+00,0.4647E+00,0.7356E-01,0.4352E+00
-0.1638E+02,0.5284E+03,0.4365E+03,0.5002E+00,0.4746E+00,0.7193E-01,0.4397E+00
-0.1588E+02,0.5490E+03,0.4484E+03,0.5562E+00,0.4881E+00,0.7046E-01,0.4470E+00
-0.1538E+02,0.5700E+03,0.4650E+03,0.6193E+00,0.5045E+00,0.7086E-01,0.4541E+00
-0.1512E+02,0.5789E+03,0.4707E+03,0.6517E+00,0.5151E+00,0.7138E-01,0.4581E+00
-0.1462E+02,0.5950E+03,0.4798E+03,0.7173E+00,0.5375E+00,0.7417E-01,0.4678E+00
-0.1437E+02,0.6035E+03,0.4858E+03,0.7506E+00,0.5497E+00,0.7605E-01,0.4734E+00
-0.1388E+02,0.6172E+03,0.4962E+03,0.8149E+00,0.5732E+00,0.8013E-01,0.4828E+00
-0.1338E+02,0.6290E+03,0.5042E+03,0.8782E+00,0.5972E+00,0.8446E-01,0.4910E+00
-0.1312E+02,0.6361E+03,0.5101E+03,0.9105E+00,0.6101E+00,0.8610E-01,0.4955E+00
-0.1262E+02,0.6529E+03,0.5224E+03,0.9753E+00,0.6360E+00,0.8907E-01,0.5062E+00
-0.1238E+02,0.6624E+03,0.5283E+03,0.1008E+01,0.6472E+00,0.9003E-01,0.5115E+00
-0.1188E+02,0.6792E+03,0.5359E+03,0.1071E+01,0.6652E+00,0.9280E-01,0.5215E+00
-0.1138E+02,0.6945E+03,0.5350E+03,0.1127E+01,0.6765E+00,0.9495E-01,0.5306E+00
-0.1112E+02,0.7038E+03,0.5351E+03,0.1155E+01,0.6811E+00,0.9491E-01,0.5353E+00
-0.1062E+02,0.7252E+03,0.5432E+03,0.1211E+01,0.6975E+00,0.9247E-01,0.5438E+00
-0.1038E+02,0.7345E+03,0.5481E+03,0.1237E+01,0.7058E+00,0.9013E-01,0.5473E+00
-0.9875E+01,0.7520E+03,0.5548E+03,0.1293E+01,0.7184E+00,0.8445E-01,0.5546E+00
-0.9375E+01,0.7695E+03,0.5611E+03,0.1353E+01,0.7391E+00,0.7612E-01,0.5624E+00
-0.9125E+01,0.7802E+03,0.5638E+03,0.1386E+01,0.7546E+00,0.7076E-01,0.5666E+00
-0.8625E+01,0.8099E+03,0.5675E+03,0.1460E+01,0.7933E+00,0.5804E-01,0.5745E+00
-0.8125E+01,0.8427E+03,0.5701E+03,0.1535E+01,0.8223E+00,0.3649E-01,0.5812E+00
-0.7875E+01,0.8590E+03,0.5695E+03,0.1571E+01,0.8285E+00,0.2412E-01,0.5836E+00
-0.7375E+01,0.8901E+03,0.5674E+03,0.1637E+01,0.8399E+00,-0.8092E-03,0.5845E+00
-0.7125E+01,0.9053E+03,0.5667E+03,0.1672E+01,0.8536E+00,-0.1133E-01,0.5836E+00
-0.6625E+01,0.9348E+03,0.5583E+03,0.1739E+01,0.8922E+00,-0.3220E-01,0.5780E+00
-0.6125E+01,0.9695E+03,0.5469E+03,0.1818E+01,0.9398E+00,-0.5260E-01,0.5698E+00
-0.5875E+01,0.9846E+03,0.5425E+03,0.1856E+01,0.9675E+00,-0.6117E-01,0.5649E+00
-0.5375E+01,0.1003E+04,0.5352E+03,0.1913E+01,0.1019E+01,-0.7576E-01,0.5529E+00
-0.5125E+01,0.1009E+04,0.5340E+03,0.1937E+01,0.1052E+01,-0.8448E-01,0.5468E+00
-0.4625E+01,0.1015E+04,0.5337E+03,0.1974E+01,0.1110E+01,-0.9758E-01,0.5367E+00
-0.4125E+01,0.1018E+04,0.5365E+03,0.2000E+01,0.1147E+01,-0.1027E+00,0.5174E+00
-0.3875E+01,0.1017E+04,0.5356E+03,0.2013E+01,0.1161E+01,-0.1007E+00,0.5072E+00
-0.3375E+01,0.1017E+04,0.5292E+03,0.2042E+01,0.1177E+01,-0.9383E-01,0.4873E+00
-0.3125E+01,0.1022E+04,0.5274E+03,0.2064E+01,0.1184E+01,-0.8980E-01,0.4763E+00
-0.2625E+01,0.1039E+04,0.5257E+03,0.2119E+01,0.1212E+01,-0.8219E-01,0.4466E+00
-0.2125E+01,0.1066E+04,0.5214E+03,0.2182E+01,0.1247E+01,-0.6680E-01,0.4083E+00
-0.1875E+01,0.1087E+04,0.5161E+03,0.2223E+01,0.1267E+01,-0.5301E-01,0.3851E+00
-0.1375E+01,0.1135E+04,0.5088E+03,0.2315E+01,0.1317E+01,-0.2004E-01,0.3322E+00
-0.1125E+01,0.1156E+04,0.5034E+03,0.2360E+01,0.1335E+01,-0.5102E-02,0.3072E+00
-0.6250E+00,0.1185E+04,0.4940E+03,0.2439E+01,0.1352E+01,0.1550E-01,0.2738E+00
-0.1250E+00,0.1191E+04,0.4683E+03,0.2494E+01,0.1342E+01,0.1800E-01,0.2585E+00
0.1250E+00,0.1194E+04,0.4648E+03,0.2506E+01,0.1334E+01,0.1469E-01,0.2575E+00
0.6250E+00,0.1197E+04,0.4773E+03,0.2481E+01,0.1330E+01,0.8503E-02,0.2717E+00
0.1125E+01,0.1174E+04,0.4967E+03,0.2390E+01,0.1315E+01,0.1660E-01,0.3011E+00
0.1375E+01,0.1146E+04,0.5061E+03,0.2333E+01,0.1302E+01,0.2661E-01,0.3211E+00
0.1875E+01,0.1086E+04,0.5189E+03,0.2230E+01,0.1274E+01,0.4895E-01,0.3695E+00
0.2125E+01,0.1064E+04,0.5208E+03,0.2189E+01,0.1261E+01,0.5740E-01,0.3937E+00
0.2625E+01,0.1034E+04,0.5218E+03,0.2116E+01,0.1227E+01,0.7199E-01,0.4333E+00
0.3125E+01,0.1017E+04,0.5229E+03,0.2062E+01,0.1194E+01,0.8309E-01,0.4633E+00
0.3375E+01,0.1017E+04,0.5262E+03,0.2047E+01,0.1178E+01,0.8473E-01,0.4777E+00
0.3875E+01,0.1017E+04,0.5322E+03,0.2021E+01,0.1135E+01,0.8446E-01,0.5008E+00
0.4125E+01,0.1015E+04,0.5337E+03,0.2005E+01,0.1110E+01,0.8246E-01,0.5095E+00
0.4625E+01,0.1008E+04,0.5417E+03,0.1970E+01,0.1079E+01,0.7436E-01,0.5263E+00
0.5125E+01,0.9986E+03,0.5505E+03,0.1933E+01,0.1051E+01,0.6785E-01,0.5395E+00
0.5375E+01,0.9947E+03,0.5550E+03,0.1912E+01,0.1029E+01,0.6415E-01,0.5458E+00
0.5875E+01,0.9804E+03,0.5534E+03,0.1866E+01,0.9813E+00,0.5110E-01,0.5583E+00
0.6125E+01,0.9667E+03,0.5510E+03,0.1838E+01,0.9595E+00,0.4217E-01,0.5636E+00
0.6625E+01,0.9399E+03,0.5560E+03,0.1776E+01,0.9238E+00,0.2287E-01,0.5714E+00
