cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2081E+02,0.3386E+03,0.1840E+03,0.7234E-01,0.1489E+00,0.1230E+00,0.2069E+00
-0.2010E+02,0.3575E+03,0.2267E+03,0.1014E+00,0.1939E+00,0.1189E+00,0.2330E+00
-0.1944E+02,0.3809E+03,0.2745E+03,0.1269E+00,0.2303E+00,0.1181E+00,0.2588E+00
-0.1883E+02,0.4049E+03,0.3150E+03,0.1620E+00,0.2590E+00,0.1113E+00,0.2769E+00
-0.1827E+02,0.4295E+03,0.3477E+03,0.1949E+00,0.2888E+00,0.1103E+00,0.2964E+00
-0.1775E+02,0.4502E+03,0.3726E+03,0.2368E+00,0.3233E+00,0.1023E+00,0.3171E+00
-0.1725E+02,0.4688E+03,0.3925E+03,0.2740E+00,0.3592E+00,0.9846E-01,0.3393E+00
-0.1675E+02,0.4857E+03,0.4047E+03,0.3176E+00,0.3932E+00,0.8974E-01,0.3596E+00
-0.1625E+02,0.5037E+03,0.4182E+03,0.3567E+00,0.4278E+00,0.8763E-01,0.3813E+00
-0.1575E+02,0.5197E+03,0.4295E+03,0.4051E+00,0.4599E+00,0.7931E-01,0.4019E+00
-0.1525E+02,0.5342E+03,0.4363E+03,0.4494E+00,0.4888E+00,0.7541E-01,0.4223E+00
-0.1475E+02,0.5486E+03,0.4422E+03,0.4975E+00,0.5119E+00,0.7015E-01,0.4387E+00
-0.1425E+02,0.5625E+03,0.4487E+03,0.5449E+00,0.5291E+00,0.6965E-01,0.4519E+00
-0.1375E+02,0.5748E+03,0.4571E+03,0.5935E+00,0.5475E+00,0.6649E-01,0.4606E+00
-0.1325E+02,0.5855E+03,0.4640E+03,0.6393E+00,0.5655E+00,0.6858E-01,0.4666E+00
-0.1275E+02,0.5936E+03,0.4692E+03,0.6871E+00,0.5822E+00,0.6655E-01,0.4710E+00
-0.1225E+02,0.6002E+03,0.4739E+03,0.7294E+00,0.6003E+00,0.6800E-01,0.4778E+00
-0.1175E+02,0.6080E+03,0.4786E+03,0.7773E+00,0.6140E+00,0.6450E-01,0.4813E+00
-0.1125E+02,0.6178E+03,0.4823E+03,0.8216E+00,0.6327E+00,0.6857E-01,0.4824E+00
-0.1075E+02,0.6347E+03,0.4929E+03,0.8745E+00,0.6573E+00,0.6750E-01,0.4807E+00
-0.1025E+02,0.6542E+03,0.5036E+03,0.9283E+00,0.6874E+00,0.6544E-01,0.4805E+00
-0.9750E+01,0.6728E+03,0.5133E+03,0.9803E+00,0.7175E+00,0.6501E-01,0.4803E+00
-0.9250E+01,0.6893E+03,0.5215E+03,0.1026E+01,0.7458E+00,0.6960E-01,0.4769E+00
-0.8750E+01,0.7034E+03,0.5231E+03,0.1073E+01,0.7724E+00,0.6800E-01,0.4706E+00
-0.8250E+01,0.7248E+03,0.5218E+03,0.1128E+01,0.7931E+00,0.6668E-01,0.4657E+00
-0.7750E+01,0.7561E+03,0.5292E+03,0.1197E+01,0.8176E+00,0.5879E-01,0.4617E+00
-0.7250E+01,0.7856E+03,0.5376E+03,0.1273E+01,0.8512E+00,0.4561E-01,0.4558E+00
-0.6750E+01,0.8181E+03,0.5428E+03,0.1360E+01,0.8879E+00,0.3069E-01,0.4558E+00
-0.6250E+01,0.8616E+03,0.5554E+03,0.1461E+01,0.9305E+00,0.1555E-01,0.4557E+00
-0.5750E+01,0.9156E+03,0.5633E+03,0.1571E+01,0.9728E+00,-0.1221E-02,0.4506E+00
-0.5250E+01,0.9795E+03,0.5644E+03,0.1691E+01,0.1008E+01,-0.1308E-01,0.4375E+00
-0.4750E+01,0.1039E+04,0.5584E+03,0.1806E+01,0.1035E+01,-0.2913E-01,0.4177E+00
-0.4250E+01,0.1084E+04,0.5451E+03,0.1910E+01,0.1055E+01,-0.4185E-01,0.3957E+00
-0.3750E+01,0.1134E+04,0.5201E+03,0.2015E+01,0.1066E+01,-0.5180E-01,0.3711E+00
-0.3250E+01,0.1194E+04,0.4883E+03,0.2125E+01,0.1071E+01,-0.5285E-01,0.3412E+00
-0.2750E+01,0.1261E+04,0.4526E+03,0.2238E+01,0.1066E+01,-0.4122E-01,0.2958E+00
-0.2250E+01,0.1329E+04,0.4097E+03,0.2355E+01,0.1047E+01,-0.1731E-01,0.2447E+00
