cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3291E+03,0.1411E+03,0.5209E-01,0.1490E+00,0.1604E+00,0.2185E+00
-0.1963E+02,0.3480E+03,0.2015E+03,0.6704E-01,0.1488E+00,0.1588E+00,0.2396E+00
-0.1921E+02,0.3641E+03,0.2420E+03,0.8625E-01,0.1561E+00,0.1555E+00,0.2609E+00
-0.1883E+02,0.3777E+03,0.2703E+03,0.1084E+00,0.1752E+00,0.1492E+00,0.2821E+00
-0.1817E+02,0.4044E+03,0.3117E+03,0.1506E+00,0.2208E+00,0.1372E+00,0.3190E+00
-0.1789E+02,0.4202E+03,0.3363E+03,0.1707E+00,0.2393E+00,0.1323E+00,0.3336E+00
-0.1738E+02,0.4522E+03,0.3871E+03,0.2118E+00,0.2774E+00,0.1222E+00,0.3582E+00
-0.1712E+02,0.4664E+03,0.4057E+03,0.2341E+00,0.2958E+00,0.1170E+00,0.3691E+00
-0.1662E+02,0.4943E+03,0.4360E+03,0.2820E+00,0.3307E+00,0.1075E+00,0.3899E+00
-0.1638E+02,0.5106E+03,0.4514E+03,0.3073E+00,0.3468E+00,0.1029E+00,0.3998E+00
-0.1588E+02,0.5476E+03,0.4860E+03,0.3618E+00,0.3759E+00,0.9327E-01,0.4188E+00
-0.1538E+02,0.5779E+03,0.5100E+03,0.4220E+00,0.4066E+00,0.8294E-01,0.4385E+00
-0.1512E+02,0.5913E+03,0.5174E+03,0.4528E+00,0.4231E+00,0.7871E-01,0.4479E+00
-0.1462E+02,0.6193E+03,0.5327E+03,0.5187E+00,0.4494E+00,0.7234E-01,0.4641E+00
-0.1437E+02,0.6319E+03,0.5383E+03,0.5536E+00,0.4607E+00,0.6946E-01,0.4713E+00
-0.1388E+02,0.6556E+03,0.5473E+03,0.6256E+00,0.4831E+00,0.6475E-01,0.4839E+00
-0.1338E+02,0.6749E+03,0.5542E+03,0.6979E+00,0.5040E+00,0.6117E-01,0.4940E+00
-0.1312E+02,0.6820E+03,0.5573E+03,0.7325E+00,0.5141E+00,0.5966E-01,0.4981E+00
-0.1262E+02,0.6955E+03,0.5601E+03,0.7992E+00,0.5381E+00,0.5721E-01,0.5058E+00
-0.1238E+02,0.7018E+03,0.5611E+03,0.8319E+00,0.5508E+00,0.5601E-01,0.5091E+00
-0.1188E+02,0.7154E+03,0.5597E+03,0.8941E+00,0.5721E+00,0.5511E-01,0.5134E+00
-0.1138E+02,0.7321E+03,0.5613E+03,0.9609E+00,0.5997E+00,0.5480E-01,0.5150E+00
-0.1112E+02,0.7409E+03,0.5637E+03,0.9948E+00,0.6159E+00,0.5405E-01,0.5157E+00
-0.1062E+02,0.7657E+03,0.5726E+03,0.1063E+01,0.6482E+00,0.5209E-01,0.5188E+00
-0.1038E+02,0.7830E+03,0.5794E+03,0.1098E+01,0.6591E+00,0.5176E-01,0.5209E+00
-0.9875E+01,0.8182E+03,0.5868E+03,0.1163E+01,0.6759E+00,0.4920E-01,0.5224E+00
-0.9375E+01,0.8554E+03,0.5917E+03,0.1226E+01,0.6936E+00,0.4307E-01,0.5192E+00
-0.9125E+01,0.8730E+03,0.5917E+03,0.1260E+01,0.7029E+00,0.3887E-01,0.5162E+00
-0.8625E+01,0.9142E+03,0.5933E+03,0.1333E+01,0.7373E+00,0.2766E-01,0.5125E+00
-0.8125E+01,0.9668E+03,0.5933E+03,0.1415E+01,0.7737E+00,0.1429E-01,0.5131E+00
-0.7875E+01,0.9896E+03,0.5896E+03,0.1452E+01,0.7842E+00,0.7542E-02,0.5122E+00
-0.7375E+01,0.1024E+04,0.5744E+03,0.1518E+01,0.7952E+00,-0.1083E-01,0.5100E+00
-0.7125E+01,0.1039E+04,0.5677E+03,0.1543E+01,0.7996E+00,-0.2060E-01,0.5099E+00
-0.6625E+01,0.1071E+04,0.5632E+03,0.1590E+01,0.8128E+00,-0.4092E-01,0.5095E+00
-0.6125E+01,0.1085E+04,0.5583E+03,0.1635E+01,0.8590E+00,-0.6444E-01,0.5087E+00
-0.5875E+01,0.1086E+04,0.5535E+03,0.1649E+01,0.8842E+00,-0.7553E-01,0.5088E+00
-0.5375E+01,0.1089E+04,0.5429E+03,0.1669E+01,0.9236E+00,-0.9380E-01,0.5051E+00
-0.5125E+01,0.1097E+04,0.5392E+03,0.1678E+01,0.9375E+00,-0.1025E+00,0.5010E+00
-0.4625E+01,0.1111E+04,0.5366E+03,0.1694E+01,0.9584E+00,-0.1166E+00,0.4882E+00
-0.4125E+01,0.1118E+04,0.5322E+03,0.1710E+01,0.9870E+00,-0.1262E+00,0.4681E+00
-0.3875E+01,0.1125E+04,0.5312E+03,0.1722E+01,0.1004E+01,-0.1301E+00,0.4567E+00
-0.3375E+01,0.1144E+04,0.5303E+03,0.1751E+01,0.1032E+01,-0.1320E+00,0.4339E+00
-0.3125E+01,0.1157E+04,0.5274E+03,0.1767E+01,0.1039E+01,-0.1272E+00,0.4210E+00
-0.2625E+01,0.1187E+04,0.5176E+03,0.1808E+01,0.1046E+01,-0.1067E+00,0.3901E+00
-0.2125E+01,0.1221E+04,0.5029E+03,0.1865E+01,0.1052E+01,-0.8071E-01,0.3432E+00
-0.1875E+01,0.1239E+04,0.4894E+03,0.1900E+01,0.1052E+01,-0.6619E-01,0.3136E+00
-0.1375E+01,0.1280E+04,0.4600E+03,0.1978E+01,0.1044E+01,-0.2708E-01,0.2565E+00
-0.1125E+01,0.1293E+04,0.4492E+03,0.2014E+01,0.1038E+01,-0.7640E-02,0.2316E+00
-0.6250E+00,0.1286E+04,0.4274E+03,0.2058E+01,0.1011E+01,0.1643E-01,0.2021E+00
-0.1250E+00,0.1266E+04,0.4042E+03,0.2074E+01,0.9696E+00,0.1392E-01,0.1986E+00
0.1250E+00,0.1265E+04,0.3977E+03,0.2079E+01,0.9588E+00,0.6656E-02,0.2029E+00
0.6250E+00,0.1282E+04,0.4099E+03,0.2071E+01,0.9647E+00,-0.6338E-02,0.2129E+00
0.1125E+01,0.1286E+04,0.4338E+03,0.2034E+01,0.9992E+00,-0.9056E-03,0.2321E+00
0.1375E+01,0.1277E+04,0.4541E+03,0.2002E+01,0.1014E+01,0.9547E-02,0.2518E+00
0.1875E+01,0.1229E+04,0.4945E+03,0.1919E+01,0.1040E+01,0.3713E-01,0.3036E+00
0.2125E+01,0.1201E+04,0.5108E+03,0.1875E+01,0.1051E+01,0.5248E-01,0.3309E+00
0.2625E+01,0.1151E+04,0.5283E+03,0.1803E+01,0.1058E+01,0.7965E-01,0.3809E+00
0.3125E+01,0.1114E+04,0.5332E+03,0.1749E+01,0.1042E+01,0.1002E+00,0.4194E+00
0.3375E+01,0.1104E+04,0.5339E+03,0.1730E+01,0.1030E+01,0.1073E+00,0.4357E+00
0.3875E+01,0.1092E+04,0.5331E+03,0.1699E+01,0.9984E+00,0.1147E+00,0.4607E+00
0.4125E+01,0.1088E+04,0.5338E+03,0.1688E+01,0.9811E+00,0.1150E+00,0.4693E+00
0.4625E+01,0.1089E+04,0.5353E+03,0.1676E+01,0.9474E+00,0.1093E+00,0.4845E+00
0.5125E+01,0.1094E+04,0.5437E+03,0.1671E+01,0.9204E+00,0.9816E-01,0.4961E+00
0.5375E+01,0.1092E+04,0.5463E+03,0.1662E+01,0.9120E+00,0.9014E-01,0.5010E+00
0.5875E+01,0.1081E+04,0.5513E+03,0.1643E+01,0.8802E+00,0.7429E-01,0.5101E+00
0.6125E+01,0.1075E+04,0.5540E+03,0.1629E+01,0.8567E+00,0.6689E-01,0.5138E+00
0.6625E+01,0.1058E+04,0.5571E+03,0.1593E+01,0.8168E+00,0.5109E-01,0.5203E+00
0.7125E+01,0.1039E+04,0.5662E+03,0.1552E+01,0.7873E+00,0.3680E-01,0.5237E+00
0.7375E+01,0.1030E+04,0.5736E+03,0.1527E+01,0.7807E+00,0.2945E-01,0.5246E+00
0.7875E+01,0.1003E+04,0.5891E+03,0.1472E+01,0.7683E+00,0.1397E-01,0.5248E+00
0.8125E+01,0.9858E+03,0.5935E+03,0.1439E+01,0.7578E+00,0.5809E-02,0.5229E+00
0.8625E+01,0.9440E+03,0.5866E+03,0.1359E+01,0.7133E+00,-0.1285E-01,0.5172E+00
0.9125E+01,0.8953E+03,0.5838E+03,0.1270E+01,0.6813E+00,-0.2743E-01,0.5130E+00
0.9375E+01,0.8697E+03,0.5819E+03,0.1231E+01,0.6731E+00,-0.3437E-01,0.5135E+00
0.9875E+01,0.8282E+03,0.5883E+03,0.1163E+01,0.6583E+00,-0.4354E-01,0.5144E+00
0.1012E+02,0.8143E+03,0.5870E+03,0.1135E+01,0.6497E+00,-0.4653E-01,0.5154E+00
0.1062E+02,0.7878E+03,0.5804E+03,0.1073E+01,0.6349E+00,-0.5042E-01,0.5163E+00
0.1112E+02,0.7628E+03,0.5749E+03,0.1003E+01,0.6245E+00,-0.5426E-01,0.5136E+00
0.1138E+02,0.7502E+03,0.5727E+03,0.9669E+00,0.6143E+00,-0.5694E-01,0.5103E+00
0.1188E+02,0.7236E+03,0.5652E+03,0.8935E+00,0.5819E+00,-0.6126E-01,0.5037E+00
0.1238E+02,0.7046E+03,0.5614E+03,0.8256E+00,0.5516E+00,-0.6319E-01,0.4991E+00
0.1262E+02,0.6984E+03,0.5595E+03,0.7926E+00,0.5372E+00,-0.6395E-01,0.4964E+00
0.1312E+02,0.6859E+03,0.5566E+03,0.7275E+00,0.5127E+00,-0.6639E-01,0.4897E+00
0.1338E+02,0.6788E+03,0.5542E+03,0.6938E+00,0.5010E+00,-0.6773E-01,0.4859E+00
0.1388E+02,0.6642E+03,0.5527E+03,0.6237E+00,0.4741E+00,-0.7052E-01,0.4767E+00
0.1437E+02,0.6482E+03,0.5495E+03,0.5534E+00,0.4456E+00,-0.7351E-01,0.4657E+00
0.1462E+02,0.6378E+03,0.5456E+03,0.5185E+00,0.4316E+00,-0.7598E-01,0.4590E+00
0.1512E+02,0.6081E+03,0.5276E+03,0.4494E+00,0.4029E+00,-0.8348E-01,0.4437E+00
0.1538E+02,0.5896E+03,0.5134E+03,0.4167E+00,0.3881E+00,-0.8777E-01,0.4361E+00
0.1588E+02,0.5516E+03,0.4852E+03,0.3572E+00,0.3582E+00,-0.9618E-01,0.4207E+00
0.1638E+02,0.5205E+03,0.4626E+03,0.3047E+00,0.3269E+00,-0.1047E+00,0.4026E+00
