cm,K
z,T_mean
0.1250E+00,0.4568E+03
0.8750E+00,0.7558E+03
0.1750E+01,0.9454E+03
0.2686E+01,0.1019E+04
0.3717E+01,0.1054E+04
0.4557E+01,0.1074E+04
0.5459E+01,0.1100E+04
0.6429E+01,0.1128E+04
0.7115E+01,0.1148E+04
0.8208E+01,0.1185E+04
0.8981E+01,0.1204E+04
0.9792E+01,0.1219E+04
0.1075E+02,0.1233E+04
0.1175E+02,0.1248E+04
0.1275E+02,0.1260E+04
0.1375E+02,0.1264E+04
0.1425E+02,0.1265E+04
0.1525E+02,0.1264E+04
0.1625E+02,0.1253E+04
0.1725E+02,0.1239E+04
0.1825E+02,0.1225E+04
0.1875E+02,0.1218E+04
0.1975E+02,0.1203E+04
0.2075E+02,0.1185E+04
0.2175E+02,0.1167E+04
0.2275E+02,0.1150E+04
0.2375E+02,0.1131E+04
0.2425E+02,0.1119E+04
0.2525E+02,0.1097E+04
0.2625E+02,0.1074E+04
0.2725E+02,0.1049E+04
0.2825E+02,0.1026E+04
0.2875E+02,0.1014E+04
0.2975E+02,0.9922E+03
0.3075E+02,0.9706E+03
0.3175E+02,0.9484E+03
0.3275E+02,0.9268E+03
0.3325E+02,0.9160E+03
0.3425E+02,0.8946E+03
0.3525E+02,0.8746E+03
0.3625E+02,0.8549E+03
0.3725E+02,0.8351E+03
0.3775E+02,0.8260E+03
0.3875E+02,0.8080E+03
0.3975E+02,0.7917E+03
0.4077E+02,0.7742E+03
0.4133E+02,0.7649E+03
0.4259E+02,0.7437E+03
0.4329E+02,0.7325E+03
0.4405E+02,0.7220E+03
0.4487E+02,0.7109E+03
0.4575E+02,0.6990E+03
0.4671E+02,0.6872E+03
0.4774E+02,0.6764E+03
0.4885E+02,0.6645E+03
0.5005E+02,0.6536E+03
0.5134E+02,0.6419E+03
0.5274E+02,0.6301E+03
0.5424E+02,0.6179E+03
0.5587E+02,0.6063E+03
0.5762E+02,0.5935E+03
0.5951E+02,0.5793E+03
0.6155E+02,0.5656E+03
0.6376E+02,0.5519E+03
0.6613E+02,0.5388E+03
0.6870E+02,0.5275E+03
0.7146E+02,0.5154E+03
0.7445E+02,0.5045E+03
0.7767E+02,0.4930E+03
0.8115E+02,0.4840E+03
0.8490E+02,0.4751E+03
0.8894E+02,0.4663E+03
0.9331E+02,0.4568E+03
0.9802E+02,0.4486E+03
0.1031E+03,0.4412E+03
0.1086E+03,0.4335E+03
0.1145E+03,0.4265E+03
0.1209E+03,0.4204E+03
0.1278E+03,0.4144E+03
0.1352E+03,0.4088E+03
0.1432E+03,0.4030E+03
0.1519E+03,0.3977E+03
0.1612E+03,0.3922E+03
0.1713E+03,0.3865E+03
0.1822E+03,0.3804E+03
