cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3000E+03,0.3155E+00,0.8973E-01,0.3947E-01,0.1128E+00,0.4945E-01
-0.1963E+02,0.3000E+03,-0.2005E+00,0.9921E-01,0.4469E-01,0.1097E+00,0.4842E-01
-0.1921E+02,0.3000E+03,0.4467E+00,0.1013E+00,0.4459E-01,0.1208E+00,0.5406E-01
-0.1883E+02,0.3000E+03,-0.2004E+00,0.1108E+00,0.5036E-01,0.1175E+00,0.5201E-01
-0.1817E+02,0.3000E+03,-0.2004E+00,0.1224E+00,0.5608E-01,0.1253E+00,0.5542E-01
-0.1789E+02,0.3000E+03,0.4468E+00,0.1242E+00,0.5510E-01,0.1374E+00,0.6245E-01
-0.1738E+02,0.3000E+03,-0.3004E+00,0.1354E+00,0.6020E-01,0.1467E+00,0.6723E-01
-0.1712E+02,0.3000E+03,0.3157E+00,0.1464E+00,0.6845E-01,0.1398E+00,0.6062E-01
-0.1662E+02,0.3000E+03,-0.3003E+00,0.1608E+00,0.7640E-01,0.1482E+00,0.6313E-01
-0.1638E+02,0.3000E+03,-0.3240E-03,0.1632E+00,0.7311E-01,0.1746E+00,0.8122E-01
-0.1588E+02,0.3000E+03,0.7055E+00,0.1786E+00,0.8479E-01,0.1923E+00,0.8838E-01
-0.1538E+02,0.3007E+03,0.1197E+02,0.1819E+00,0.9517E-01,0.2067E+00,0.9065E-01
-0.1512E+02,0.3023E+03,0.3463E+02,0.2527E+00,0.1218E+00,0.2366E+00,0.1052E+00
-0.1462E+02,0.3129E+03,0.9280E+02,0.2628E+00,0.1300E+00,0.2651E+00,0.9952E-01
-0.1437E+02,0.3348E+03,0.1506E+03,0.2419E+00,0.1414E+00,0.3411E+00,0.1526E+00
-0.1388E+02,0.5143E+03,0.4055E+03,0.1700E+00,0.1085E+00,0.3280E+00,0.1837E+00
-0.1338E+02,0.8200E+03,0.5965E+03,0.1421E+00,0.1134E+00,0.2768E+00,0.1916E+00
-0.1312E+02,0.9274E+03,0.6185E+03,0.1463E+00,0.1231E+00,0.2474E+00,0.1958E+00
-0.1262E+02,0.1027E+04,0.5929E+03,0.1597E+00,0.1372E+00,0.2191E+00,0.2198E+00
-0.1238E+02,0.1054E+04,0.5647E+03,0.1686E+00,0.1432E+00,0.2072E+00,0.2373E+00
-0.1188E+02,0.1091E+04,0.5208E+03,0.1876E+00,0.1561E+00,0.1760E+00,0.2709E+00
-0.1138E+02,0.1108E+04,0.4832E+03,0.2042E+00,0.1654E+00,0.1407E+00,0.3054E+00
-0.1112E+02,0.1112E+04,0.4667E+03,0.2126E+00,0.1700E+00,0.1204E+00,0.3230E+00
-0.1062E+02,0.1122E+04,0.4462E+03,0.2284E+00,0.1804E+00,0.7708E-01,0.3591E+00
-0.1038E+02,0.1128E+04,0.4417E+03,0.2335E+00,0.1826E+00,0.5486E-01,0.3760E+00
-0.9875E+01,0.1126E+04,0.4418E+03,0.2392E+00,0.1862E+00,0.1332E-01,0.4046E+00
-0.9375E+01,0.1125E+04,0.4378E+03,0.2440E+00,0.1912E+00,-0.1809E-01,0.4230E+00
-0.9125E+01,0.1122E+04,0.4307E+03,0.2460E+00,0.1935E+00,-0.3023E-01,0.4288E+00
-0.8625E+01,0.1122E+04,0.4288E+03,0.2498E+00,0.2013E+00,-0.4911E-01,0.4337E+00
-0.8125E+01,0.1124E+04,0.4310E+03,0.2509E+00,0.2156E+00,-0.6267E-01,0.4324E+00
-0.7875E+01,0.1125E+04,0.4303E+03,0.2496E+00,0.2222E+00,-0.6613E-01,0.4310E+00
-0.7375E+01,0.1133E+04,0.4308E+03,0.2468E+00,0.2337E+00,-0.6562E-01,0.4258E+00
-0.7125E+01,0.1136E+04,0.4334E+03,0.2466E+00,0.2408E+00,-0.6263E-01,0.4214E+00
-0.6625E+01,0.1144E+04,0.4330E+03,0.2495E+00,0.2559E+00,-0.5294E-01,0.4089E+00
-0.6125E+01,0.1150E+04,0.4396E+03,0.2507E+00,0.2690E+00,-0.3824E-01,0.3924E+00
-0.5875E+01,0.1152E+04,0.4419E+03,0.2499E+00,0.2741E+00,-0.2927E-01,0.3819E+00
-0.5375E+01,0.1149E+04,0.4425E+03,0.2480E+00,0.2838E+00,-0.8826E-02,0.3556E+00
-0.5125E+01,0.1146E+04,0.4383E+03,0.2480E+00,0.2890E+00,0.2648E-02,0.3403E+00
-0.4625E+01,0.1146E+04,0.4275E+03,0.2508E+00,0.2964E+00,0.2745E-01,0.3085E+00
-0.4125E+01,0.1154E+04,0.4253E+03,0.2574E+00,0.2959E+00,0.5586E-01,0.2784E+00
-0.3875E+01,0.1157E+04,0.4239E+03,0.2613E+00,0.2929E+00,0.6983E-01,0.2640E+00
-0.3375E+01,0.1161E+04,0.4200E+03,0.2672E+00,0.2852E+00,0.9479E-01,0.2376E+00
-0.3125E+01,0.1166E+04,0.4184E+03,0.2686E+00,0.2811E+00,0.1051E+00,0.2261E+00
-0.2625E+01,0.1173E+04,0.4135E+03,0.2698E+00,0.2680E+00,0.1190E+00,0.2065E+00
-0.2125E+01,0.1159E+04,0.4240E+03,0.2653E+00,0.2589E+00,0.1204E+00,0.1888E+00
-0.1875E+01,0.1141E+04,0.4272E+03,0.2614E+00,0.2536E+00,0.1168E+00,0.1797E+00
-0.1375E+01,0.1092E+04,0.4091E+03,0.2487E+00,0.2321E+00,0.1014E+00,0.1562E+00
-0.1125E+01,0.1063E+04,0.4004E+03,0.2366E+00,0.2202E+00,0.8934E-01,0.1419E+00
-0.6250E+00,0.1006E+04,0.3801E+03,0.2029E+00,0.2038E+00,0.5211E-01,0.1178E+00
-0.1250E+00,0.9756E+03,0.3731E+03,0.1813E+00,0.1997E+00,0.5743E-02,0.1109E+00
0.1250E+00,0.9720E+03,0.3671E+03,0.1809E+00,0.2021E+00,-0.1493E-01,0.1135E+00
0.6250E+00,0.1000E+04,0.3763E+03,0.1946E+00,0.2026E+00,-0.5864E-01,0.1236E+00
0.1125E+01,0.1032E+04,0.3856E+03,0.2150E+00,0.2139E+00,-0.9132E-01,0.1424E+00
0.1375E+01,0.1052E+04,0.3961E+03,0.2262E+00,0.2233E+00,-0.1016E+00,0.1544E+00
0.1875E+01,0.1083E+04,0.4047E+03,0.2475E+00,0.2394E+00,-0.1141E+00,0.1779E+00
0.2125E+01,0.1094E+04,0.4064E+03,0.2565E+00,0.2486E+00,-0.1160E+00,0.1885E+00
0.2625E+01,0.1118E+04,0.4125E+03,0.2722E+00,0.2620E+00,-0.1110E+00,0.2088E+00
0.3125E+01,0.1142E+04,0.4218E+03,0.2838E+00,0.2686E+00,-0.9769E-01,0.2270E+00
0.3375E+01,0.1149E+04,0.4248E+03,0.2875E+00,0.2713E+00,-0.8953E-01,0.2364E+00
0.3875E+01,0.1150E+04,0.4217E+03,0.2885E+00,0.2765E+00,-0.7060E-01,0.2594E+00
0.4125E+01,0.1147E+04,0.4182E+03,0.2858E+00,0.2791E+00,-0.5947E-01,0.2731E+00
0.4625E+01,0.1147E+04,0.4262E+03,0.2763E+00,0.2823E+00,-0.3644E-01,0.3040E+00
0.5125E+01,0.1142E+04,0.4317E+03,0.2633E+00,0.2814E+00,-0.1708E-01,0.3355E+00
0.5375E+01,0.1137E+04,0.4334E+03,0.2573E+00,0.2792E+00,-0.8694E-02,0.3502E+00
0.5875E+01,0.1131E+04,0.4301E+03,0.2502E+00,0.2716E+00,0.7437E-02,0.3761E+00
0.6125E+01,0.1130E+04,0.4293E+03,0.2493E+00,0.2668E+00,0.1568E-01,0.3868E+00
0.6625E+01,0.1134E+04,0.4351E+03,0.2504E+00,0.2537E+00,0.3174E-01,0.4036E+00
0.7125E+01,0.1145E+04,0.4385E+03,0.2525E+00,0.2379E+00,0.4514E-01,0.4170E+00
0.7375E+01,0.1150E+04,0.4374E+03,0.2539E+00,0.2310E+00,0.5029E-01,0.4222E+00
0.7875E+01,0.1149E+04,0.4385E+03,0.2563E+00,0.2187E+00,0.5503E-01,0.4289E+00
0.8125E+01,0.1144E+04,0.4396E+03,0.2567E+00,0.2127E+00,0.5369E-01,0.4310E+00
0.8625E+01,0.1134E+04,0.4352E+03,0.2541E+00,0.2028E+00,0.4568E-01,0.4327E+00
0.9125E+01,0.1137E+04,0.4358E+03,0.2521E+00,0.1986E+00,0.3110E-01,0.4290E+00
0.9375E+01,0.1140E+04,0.4359E+03,0.2514E+00,0.1972E+00,0.2006E-01,0.4238E+00
0.9875E+01,0.1139E+04,0.4384E+03,0.2473E+00,0.1920E+00,-0.1135E-01,0.4046E+00
0.1012E+02,0.1136E+04,0.4399E+03,0.2437E+00,0.1885E+00,-0.3130E-01,0.3907E+00
0.1062E+02,0.1122E+04,0.4423E+03,0.2299E+00,0.1819E+00,-0.7558E-01,0.3576E+00
0.1112E+02,0.1105E+04,0.4615E+03,0.2105E+00,0.1732E+00,-0.1182E+00,0.3220E+00
0.1138E+02,0.1100E+04,0.4789E+03,0.2010E+00,0.1686E+00,-0.1380E+00,0.3043E+00
0.1188E+02,0.1086E+04,0.5167E+03,0.1835E+00,0.1570E+00,-0.1728E+00,0.2699E+00
0.1238E+02,0.1057E+04,0.5655E+03,0.1654E+00,0.1403E+00,-0.2034E+00,0.2381E+00
0.1262E+02,0.1039E+04,0.5964E+03,0.1578E+00,0.1338E+00,-0.2150E+00,0.2220E+00
0.1312E+02,0.9350E+03,0.6168E+03,0.1464E+00,0.1237E+00,-0.2436E+00,0.1984E+00
0.1338E+02,0.8231E+03,0.5956E+03,0.1422E+00,0.1144E+00,-0.2737E+00,0.1937E+00
0.1388E+02,0.5164E+03,0.4111E+03,0.1707E+00,0.1097E+00,-0.3258E+00,0.1854E+00
0.1437E+02,0.3363E+03,0.1526E+03,0.2429E+00,0.1424E+00,-0.3398E+00,0.1538E+00
0.1462E+02,0.3124E+03,0.9073E+02,0.2640E+00,0.1313E+00,-0.2646E+00,0.1000E+00
0.1512E+02,0.3021E+03,0.3429E+02,0.2539E+00,0.1224E+00,-0.2365E+00,0.1054E+00
0.1538E+02,0.3006E+03,0.1138E+02,0.1832E+00,0.9572E-01,-0.2064E+00,0.9129E-01
0.1588E+02,0.3000E+03,0.4450E+00,0.1799E+00,0.8520E-01,-0.1922E+00,0.8888E-01
0.1638E+02,0.3000E+03,-0.3240E-03,0.1643E+00,0.7356E-01,-0.1743E+00,0.8166E-01
0.1662E+02,0.3000E+03,-0.3003E+00,0.1618E+00,0.7693E-01,-0.1482E+00,0.6348E-01
0.1712E+02,0.3000E+03,0.3157E+00,0.1474E+00,0.6896E-01,-0.1397E+00,0.6098E-01
0.1738E+02,0.3000E+03,-0.3004E+00,0.1364E+00,0.6067E-01,-0.1466E+00,0.6767E-01
0.1789E+02,0.3000E+03,0.5474E+00,0.1253E+00,0.5556E-01,-0.1372E+00,0.6286E-01
0.1817E+02,0.3000E+03,-0.2004E+00,0.1234E+00,0.5656E-01,-0.1252E+00,0.5573E-01
0.1883E+02,0.3000E+03,-0.2004E+00,0.1118E+00,0.5083E-01,-0.1175E+00,0.5230E-01
0.1921E+02,0.3000E+03,0.4467E+00,0.1023E+00,0.4501E-01,-0.1206E+00,0.5442E-01
