cm ,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2008E+02,0.3030E+03,0.4170E+02,0.4820E-01,0.1043E+00,0.1593E+00,0.1375E+00
-0.1963E+02,0.3056E+03,0.7425E+02,0.5322E-01,0.1117E+00,0.1637E+00,0.1487E+00
-0.1921E+02,0.3082E+03,0.9568E+02,0.5441E-01,0.1189E+00,0.1697E+00,0.1607E+00
-0.1883E+02,0.3112E+03,0.1110E+03,0.5942E-01,0.1285E+00,0.1728E+00,0.1725E+00
-0.1817E+02,0.3208E+03,0.1471E+03,0.6689E-01,0.1444E+00,0.1803E+00,0.1954E+00
-0.1789E+02,0.3293E+03,0.1684E+03,0.7112E-01,0.1493E+00,0.1838E+00,0.2061E+00
-0.1738E+02,0.3566E+03,0.2298E+03,0.8666E-01,0.1542E+00,0.1861E+00,0.2265E+00
-0.1712E+02,0.3741E+03,0.2683E+03,0.9863E-01,0.1576E+00,0.1845E+00,0.2373E+00
-0.1662E+02,0.4076E+03,0.3361E+03,0.1272E+00,0.1748E+00,0.1795E+00,0.2619E+00
-0.1638E+02,0.4208E+03,0.3548E+03,0.1426E+00,0.1870E+00,0.1771E+00,0.2746E+00
-0.1588E+02,0.4485E+03,0.3851E+03,0.1782E+00,0.2171E+00,0.1708E+00,0.2992E+00
-0.1538E+02,0.4841E+03,0.4200E+03,0.2214E+00,0.2542E+00,0.1623E+00,0.3250E+00
-0.1512E+02,0.5054E+03,0.4387E+03,0.2464E+00,0.2724E+00,0.1568E+00,0.3389E+00
-0.1462E+02,0.5549E+03,0.4835E+03,0.3022E+00,0.3074E+00,0.1447E+00,0.3686E+00
-0.1437E+02,0.5804E+03,0.5040E+03,0.3342E+00,0.3253E+00,0.1381E+00,0.3842E+00
-0.1388E+02,0.6266E+03,0.5400E+03,0.4069E+00,0.3684E+00,0.1226E+00,0.4141E+00
-0.1338E+02,0.6581E+03,0.5560E+03,0.4793E+00,0.3993E+00,0.1086E+00,0.4375E+00
-0.1312E+02,0.6730E+03,0.5592E+03,0.5165E+00,0.4101E+00,0.1024E+00,0.4455E+00
-0.1262E+02,0.7000E+03,0.5700E+03,0.5944E+00,0.4395E+00,0.9015E-01,0.4557E+00
-0.1238E+02,0.7085E+03,0.5712E+03,0.6331E+00,0.4579E+00,0.8442E-01,0.4586E+00
-0.1188E+02,0.7204E+03,0.5645E+03,0.7076E+00,0.4928E+00,0.7575E-01,0.4606E+00
-0.1138E+02,0.7460E+03,0.5738E+03,0.7795E+00,0.5308E+00,0.6891E-01,0.4612E+00
-0.1112E+02,0.7633E+03,0.5794E+03,0.8144E+00,0.5505E+00,0.6561E-01,0.4618E+00
-0.1062E+02,0.8110E+03,0.5890E+03,0.8864E+00,0.5788E+00,0.6195E-01,0.4604E+00
-0.1038E+02,0.8376E+03,0.5957E+03,0.9232E+00,0.5938E+00,0.5983E-01,0.4587E+00
-0.9875E+01,0.8908E+03,0.5970E+03,0.9988E+00,0.6195E+00,0.5568E-01,0.4558E+00
-0.9375E+01,0.9544E+03,0.6003E+03,0.1072E+01,0.6395E+00,0.5549E-01,0.4515E+00
-0.9125E+01,0.9783E+03,0.5999E+03,0.1107E+01,0.6495E+00,0.5535E-01,0.4484E+00
-0.8625E+01,0.1011E+04,0.5931E+03,0.1165E+01,0.6644E+00,0.5105E-01,0.4421E+00
-0.8125E+01,0.1050E+04,0.5897E+03,0.1217E+01,0.6789E+00,0.4425E-01,0.4387E+00
-0.7875E+01,0.1066E+04,0.5861E+03,0.1237E+01,0.6858E+00,0.3912E-01,0.4378E+00
