cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2081E+02,0.3001E+03,-0.1025E+00,0.3281E-01,0.7381E-01,0.1230E+00,0.9454E-01
-0.2010E+02,0.3001E+03,0.6260E+00,0.7013E-01,0.8310E-01,0.1389E+00,0.1003E+00
-0.1944E+02,0.3003E+03,0.1900E+01,0.4162E-01,0.8978E-01,0.1453E+00,0.1160E+00
-0.1883E+02,0.3010E+03,0.7001E+01,0.6987E-01,0.1018E+00,0.1525E+00,0.1251E+00
-0.1827E+02,0.3044E+03,0.3315E+02,0.4923E-01,0.1079E+00,0.1640E+00,0.1409E+00
-0.1775E+02,0.3123E+03,0.8266E+02,0.7337E-01,0.1175E+00,0.1661E+00,0.1526E+00
-0.1725E+02,0.3243E+03,0.1405E+03,0.6255E-01,0.1214E+00,0.1786E+00,0.1686E+00
-0.1675E+02,0.3364E+03,0.1803E+03,0.8843E-01,0.1332E+00,0.1755E+00,0.1835E+00
-0.1625E+02,0.3518E+03,0.2119E+03,0.8699E-01,0.1465E+00,0.1877E+00,0.2044E+00
-0.1575E+02,0.3732E+03,0.2457E+03,0.1184E+00,0.1681E+00,0.1805E+00,0.2244E+00
-0.1525E+02,0.4038E+03,0.2917E+03,0.1331E+00,0.1877E+00,0.1897E+00,0.2480E+00
-0.1475E+02,0.4381E+03,0.3292E+03,0.1823E+00,0.2137E+00,0.1745E+00,0.2713E+00
-0.1425E+02,0.4765E+03,0.3665E+03,0.2235E+00,0.2406E+00,0.1738E+00,0.2980E+00
-0.1375E+02,0.5139E+03,0.4022E+03,0.2900E+00,0.2766E+00,0.1498E+00,0.3245E+00
-0.1325E+02,0.5481E+03,0.4331E+03,0.3454E+00,0.3155E+00,0.1461E+00,0.3486E+00
-0.1275E+02,0.5769E+03,0.4557E+03,0.4093E+00,0.3565E+00,0.1271E+00,0.3658E+00
-0.1225E+02,0.6045E+03,0.4752E+03,0.4564E+00,0.3914E+00,0.1308E+00,0.3773E+00
-0.1175E+02,0.6341E+03,0.4962E+03,0.5094E+00,0.4277E+00,0.1186E+00,0.3845E+00
-0.1125E+02,0.6633E+03,0.5088E+03,0.5550E+00,0.4654E+00,0.1216E+00,0.3896E+00
-0.1075E+02,0.6952E+03,0.5205E+03,0.6091E+00,0.5013E+00,0.1108E+00,0.3922E+00
-0.1025E+02,0.7246E+03,0.5320E+03,0.6554E+00,0.5370E+00,0.1087E+00,0.3916E+00
-0.9750E+01,0.7474E+03,0.5376E+03,0.7040E+00,0.5662E+00,0.9785E-01,0.3895E+00
-0.9250E+01,0.7659E+03,0.5441E+03,0.7449E+00,0.5906E+00,0.9801E-01,0.3799E+00
-0.8750E+01,0.7860E+03,0.5464E+03,0.7849E+00,0.6059E+00,0.9199E-01,0.3688E+00
-0.8250E+01,0.8210E+03,0.5494E+03,0.8332E+00,0.6133E+00,0.9773E-01,0.3535E+00
-0.7750E+01,0.8637E+03,0.5482E+03,0.8926E+00,0.6198E+00,0.1016E+00,0.3400E+00
-0.7250E+01,0.9102E+03,0.5524E+03,0.9502E+00,0.6345E+00,0.1077E+00,0.3243E+00
-0.6750E+01,0.9521E+03,0.5455E+03,0.1009E+01,0.6479E+00,0.1100E+00,0.3104E+00
-0.6250E+01,0.1010E+04,0.5284E+03,0.1079E+01,0.6457E+00,0.1135E+00,0.3033E+00
-0.5750E+01,0.1075E+04,0.5241E+03,0.1148E+01,0.6448E+00,0.1067E+00,0.2992E+00
-0.5250E+01,0.1130E+04,0.5117E+03,0.1209E+01,0.6460E+00,0.9956E-01,0.2972E+00
-0.4750E+01,0.1181E+04,0.4881E+03,0.1261E+01,0.6393E+00,0.9617E-01,0.2996E+00
-0.4250E+01,0.1234E+04,0.4624E+03,0.1309E+01,0.6321E+00,0.9646E-01,0.3005E+00
-0.3750E+01,0.1282E+04,0.4384E+03,0.1344E+01,0.6280E+00,0.9296E-01,0.2934E+00
-0.3250E+01,0.1326E+04,0.4133E+03,0.1365E+01,0.6204E+00,0.9616E-01,0.2698E+00
-0.2750E+01,0.1353E+04,0.3846E+03,0.1377E+01,0.6034E+00,0.1070E+00,0.2345E+00
-0.2250E+01,0.1370E+04,0.3373E+03,0.1392E+01,0.5623E+00,0.1274E+00,0.1964E+00
-0.1750E+01,0.1374E+04,0.3046E+03,0.1411E+01,0.5095E+00,0.1367E+00,0.1528E+00
-0.1250E+01,0.1330E+04,0.2961E+03,0.1418E+01,0.4668E+00,0.1197E+00,0.1123E+00
-0.7500E+00,0.1223E+04,0.2864E+03,0.1386E+01,0.4420E+00,0.6832E-01,0.8326E-01
-0.2500E+00,0.1132E+04,0.2576E+03,0.1346E+01,0.4392E+00,0.8395E-02,0.6992E-01
0.2500E+00,0.1133E+04,0.2631E+03,0.1350E+01,0.4430E+00,-0.1860E-01,0.6374E-01
0.7500E+00,0.1216E+04,0.2883E+03,0.1394E+01,0.4456E+00,-0.7126E-01,0.7401E-01
0.1250E+01,0.1316E+04,0.2936E+03,0.1431E+01,0.4549E+00,-0.1257E+00,0.1049E+00
0.1750E+01,0.1365E+04,0.3043E+03,0.1423E+01,0.4903E+00,-0.1469E+00,0.1499E+00
0.2250E+01,0.1360E+04,0.3302E+03,0.1396E+01,0.5416E+00,-0.1388E+00,0.1934E+00
0.2750E+01,0.1340E+04,0.3830E+03,0.1368E+01,0.5939E+00,-0.1122E+00,0.2313E+00
0.3250E+01,0.1309E+04,0.4158E+03,0.1346E+01,0.6265E+00,-0.9289E-01,0.2660E+00
0.3750E+01,0.1264E+04,0.4437E+03,0.1323E+01,0.6414E+00,-0.8414E-01,0.2902E+00
0.4250E+01,0.1217E+04,0.4715E+03,0.1291E+01,0.6478E+00,-0.8729E-01,0.2993E+00
0.4750E+01,0.1173E+04,0.4883E+03,0.1244E+01,0.6499E+00,-0.8934E-01,0.3012E+00
0.5250E+01,0.1120E+04,0.5064E+03,0.1186E+01,0.6550E+00,-0.9599E-01,0.2966E+00
0.5750E+01,0.1061E+04,0.5215E+03,0.1124E+01,0.6600E+00,-0.1021E+00,0.2960E+00
0.6250E+01,0.9996E+03,0.5359E+03,0.1061E+01,0.6599E+00,-0.1091E+00,0.3007E+00
0.6750E+01,0.9469E+03,0.5493E+03,0.9991E+00,0.6527E+00,-0.1069E+00,0.3102E+00
0.7250E+01,0.9031E+03,0.5505E+03,0.9388E+00,0.6350E+00,-0.1052E+00,0.3253E+00
0.7750E+01,0.8551E+03,0.5458E+03,0.8814E+00,0.6199E+00,-0.9622E-01,0.3422E+00
0.8250E+01,0.8175E+03,0.5483E+03,0.8283E+00,0.6151E+00,-0.9181E-01,0.3552E+00
0.8750E+01,0.7913E+03,0.5509E+03,0.7885E+00,0.6072E+00,-0.8765E-01,0.3703E+00
0.9250E+01,0.7726E+03,0.5457E+03,0.7536E+00,0.5932E+00,-0.9524E-01,0.3825E+00
0.9750E+01,0.7545E+03,0.5380E+03,0.7159E+00,0.5737E+00,-0.9400E-01,0.3918E+00
0.1025E+02,0.7349E+03,0.5358E+03,0.6738E+00,0.5485E+00,-0.1061E+00,0.3939E+00
0.1075E+02,0.7091E+03,0.5267E+03,0.6266E+00,0.5171E+00,-0.1087E+00,0.3932E+00
0.1125E+02,0.6738E+03,0.5108E+03,0.5692E+00,0.4780E+00,-0.1209E+00,0.3896E+00
0.1175E+02,0.6412E+03,0.4967E+03,0.5185E+00,0.4370E+00,-0.1184E+00,0.3839E+00
0.1225E+02,0.6080E+03,0.4771E+03,0.4622E+00,0.4004E+00,-0.1301E+00,0.3761E+00
0.1275E+02,0.5794E+03,0.4573E+03,0.4148E+00,0.3638E+00,-0.1266E+00,0.3636E+00
0.1325E+02,0.5513E+03,0.4351E+03,0.3523E+00,0.3209E+00,-0.1459E+00,0.3467E+00
0.1375E+02,0.5175E+03,0.4043E+03,0.2961E+00,0.2800E+00,-0.1496E+00,0.3231E+00
0.1425E+02,0.4771E+03,0.3647E+03,0.2286E+00,0.2412E+00,-0.1747E+00,0.2980E+00
0.1475E+02,0.4381E+03,0.3310E+03,0.1870E+00,0.2114E+00,-0.1761E+00,0.2711E+00
0.1525E+02,0.4041E+03,0.2917E+03,0.1366E+00,0.1842E+00,-0.1920E+00,0.2485E+00
0.1575E+02,0.3729E+03,0.2454E+03,0.1207E+00,0.1650E+00,-0.1831E+00,0.2253E+00
0.1625E+02,0.3510E+03,0.2128E+03,0.8916E-01,0.1435E+00,-0.1902E+00,0.2056E+00
0.1675E+02,0.3366E+03,0.1810E+03,0.8965E-01,0.1305E+00,-0.1778E+00,0.1843E+00
0.1725E+02,0.3239E+03,0.1345E+03,0.6364E-01,0.1191E+00,-0.1808E+00,0.1694E+00
0.1775E+02,0.3106E+03,0.6848E+02,0.7405E-01,0.1155E+00,-0.1677E+00,0.1532E+00
0.1827E+02,0.3035E+03,0.2235E+02,0.5002E-01,0.1059E+00,-0.1656E+00,0.1414E+00
0.1883E+02,0.3008E+03,0.5204E+01,0.7031E-01,0.1003E+00,-0.1538E+00,0.1251E+00
0.1944E+02,0.3003E+03,0.1528E+01,0.4195E-01,0.8839E-01,-0.1465E+00,0.1162E+00
0.2010E+02,0.3001E+03,0.4405E+00,0.7020E-01,0.8193E-01,-0.1394E+00,0.1002E+00
0.2081E+02,0.3000E+03,-0.1019E+00,0.3300E-01,0.7260E-01,-0.1239E+00,0.9465E-01
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
