cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2010E+02,0.3000E+03,0.4469E+00,0.8230E-01,0.5878E-01,0.9857E-01,0.7414E-01
-0.1944E+02,0.3000E+03,0.5475E+00,0.6462E-01,0.5443E-01,0.1482E+00,0.5780E-01
-0.1883E+02,0.3000E+03,0.5475E+00,0.1014E+00,0.7075E-01,0.1332E+00,0.8708E-01
-0.1827E+02,0.3000E+03,-0.1003E+00,0.6221E-01,0.6035E-01,0.1492E+00,0.6956E-01
-0.1775E+02,0.3000E+03,0.5473E+00,0.1212E+00,0.8082E-01,0.1688E+00,0.9082E-01
-0.1725E+02,0.3000E+03,0.4446E+00,0.6152E-01,0.7037E-01,0.1632E+00,0.8972E-01
-0.1675E+02,0.3001E+03,0.6929E+00,0.1344E+00,0.9237E-01,0.1921E+00,0.9759E-01
-0.1625E+02,0.3007E+03,0.4343E+01,0.7273E-01,0.8568E-01,0.1979E+00,0.1120E+00
-0.1575E+02,0.3021E+03,0.1412E+02,0.1346E+00,0.1037E+00,0.2040E+00,0.1156E+00
-0.1525E+02,0.3081E+03,0.5192E+02,0.9883E-01,0.1014E+00,0.2385E+00,0.1346E+00
-0.1475E+02,0.3203E+03,0.1100E+03,0.1409E+00,0.1161E+00,0.2234E+00,0.1419E+00
-0.1425E+02,0.3410E+03,0.1861E+03,0.1342E+00,0.1413E+00,0.2636E+00,0.1654E+00
-0.1375E+02,0.3696E+03,0.2350E+03,0.1774E+00,0.1770E+00,0.2446E+00,0.1737E+00
-0.1325E+02,0.4235E+03,0.2990E+03,0.2028E+00,0.2115E+00,0.2767E+00,0.1953E+00
-0.1275E+02,0.5033E+03,0.3708E+03,0.2587E+00,0.2422E+00,0.2538E+00,0.2109E+00
-0.1225E+02,0.5905E+03,0.4354E+03,0.3097E+00,0.2721E+00,0.2677E+00,0.2333E+00
-0.1175E+02,0.6497E+03,0.4679E+03,0.3577E+00,0.2913E+00,0.2394E+00,0.2572E+00
-0.1125E+02,0.6932E+03,0.4833E+03,0.3912E+00,0.3048E+00,0.2410E+00,0.2758E+00
-0.1075E+02,0.7135E+03,0.4752E+03,0.4166E+00,0.3176E+00,0.2131E+00,0.2940E+00
-0.1025E+02,0.7366E+03,0.4705E+03,0.4390E+00,0.3310E+00,0.2074E+00,0.3048E+00
-0.9750E+01,0.7767E+03,0.4712E+03,0.4654E+00,0.3468E+00,0.1845E+00,0.3159E+00
-0.9250E+01,0.8389E+03,0.4813E+03,0.5018E+00,0.3608E+00,0.1821E+00,0.3229E+00
-0.8750E+01,0.9117E+03,0.4974E+03,0.5432E+00,0.3737E+00,0.1687E+00,0.3300E+00
-0.8250E+01,0.9718E+03,0.4956E+03,0.5818E+00,0.3816E+00,0.1664E+00,0.3293E+00
-0.7750E+01,0.1017E+04,0.4716E+03,0.6138E+00,0.3785E+00,0.1603E+00,0.3250E+00
-0.7250E+01,0.1062E+04,0.4506E+03,0.6449E+00,0.3727E+00,0.1647E+00,0.3172E+00
-0.6750E+01,0.1097E+04,0.4317E+03,0.6737E+00,0.3730E+00,0.1658E+00,0.3099E+00
-0.6250E+01,0.1143E+04,0.4076E+03,0.6989E+00,0.3732E+00,0.1753E+00,0.3054E+00
-0.5750E+01,0.1197E+04,0.3813E+03,0.7213E+00,0.3711E+00,0.1833E+00,0.3025E+00
-0.5250E+01,0.1247E+04,0.3693E+03,0.7390E+00,0.3717E+00,0.1930E+00,0.2940E+00
-0.4750E+01,0.1268E+04,0.3538E+03,0.7464E+00,0.3737E+00,0.1987E+00,0.2788E+00
-0.4250E+01,0.1277E+04,0.3470E+03,0.7423E+00,0.3740E+00,0.2042E+00,0.2596E+00
-0.3750E+01,0.1277E+04,0.3442E+03,0.7290E+00,0.3735E+00,0.2064E+00,0.2397E+00
-0.3250E+01,0.1275E+04,0.3458E+03,0.7112E+00,0.3696E+00,0.2110E+00,0.2161E+00
-0.2750E+01,0.1269E+04,0.3452E+03,0.6943E+00,0.3599E+00,0.2115E+00,0.1922E+00
-0.2250E+01,0.1250E+04,0.3299E+03,0.6828E+00,0.3376E+00,0.2050E+00,0.1624E+00
-0.1750E+01,0.1235E+04,0.3105E+03,0.6828E+00,0.2984E+00,0.1809E+00,0.1265E+00
-0.1250E+01,0.1171E+04,0.2971E+03,0.6731E+00,0.2804E+00,0.1402E+00,0.9253E-01
-0.7500E+00,0.1059E+04,0.2510E+03,0.6258E+00,0.2778E+00,0.7376E-01,0.6628E-01
-0.2500E+00,0.9806E+03,0.2100E+03,0.5826E+00,0.2698E+00,0.4652E-02,0.5500E-01
0.2500E+00,0.9859E+03,0.2119E+03,0.5863E+00,0.2763E+00,-0.2038E-01,0.4955E-01
0.7500E+00,0.1069E+04,0.2675E+03,0.6320E+00,0.2969E+00,-0.7760E-01,0.5636E-01
0.1250E+01,0.1172E+04,0.3139E+03,0.6799E+00,0.3031E+00,-0.1399E+00,0.8196E-01
0.1750E+01,0.1231E+04,0.3205E+03,0.6920E+00,0.3083E+00,-0.1820E+00,0.1148E+00
0.2250E+01,0.1244E+04,0.3317E+03,0.6898E+00,0.3276E+00,-0.2095E+00,0.1551E+00
0.2750E+01,0.1254E+04,0.3444E+03,0.6958E+00,0.3481E+00,-0.2163E+00,0.1894E+00
0.3250E+01,0.1267E+04,0.3497E+03,0.7099E+00,0.3616E+00,-0.2132E+00,0.2160E+00
0.3750E+01,0.1280E+04,0.3480E+03,0.7269E+00,0.3737E+00,-0.2053E+00,0.2398E+00
0.4250E+01,0.1284E+04,0.3475E+03,0.7381E+00,0.3809E+00,-0.2010E+00,0.2594E+00
0.4750E+01,0.1273E+04,0.3551E+03,0.7389E+00,0.3840E+00,-0.1941E+00,0.2784E+00
0.5250E+01,0.1242E+04,0.3721E+03,0.7289E+00,0.3832E+00,-0.1887E+00,0.2929E+00
0.5750E+01,0.1194E+04,0.3903E+03,0.7104E+00,0.3830E+00,-0.1796E+00,0.3017E+00
0.6250E+01,0.1144E+04,0.4121E+03,0.6882E+00,0.3845E+00,-0.1733E+00,0.3058E+00
0.6750E+01,0.1094E+04,0.4373E+03,0.6617E+00,0.3843E+00,-0.1637E+00,0.3105E+00
0.7250E+01,0.1053E+04,0.4540E+03,0.6322E+00,0.3833E+00,-0.1603E+00,0.3156E+00
0.7750E+01,0.1001E+04,0.4702E+03,0.6024E+00,0.3844E+00,-0.1546E+00,0.3217E+00
0.8250E+01,0.9572E+03,0.4960E+03,0.5741E+00,0.3849E+00,-0.1613E+00,0.3251E+00
0.8750E+01,0.9114E+03,0.5033E+03,0.5410E+00,0.3767E+00,-0.1637E+00,0.3282E+00
0.9250E+01,0.8442E+03,0.4830E+03,0.5041E+00,0.3632E+00,-0.1774E+00,0.3238E+00
0.9750E+01,0.7832E+03,0.4748E+03,0.4709E+00,0.3505E+00,-0.1795E+00,0.3184E+00
0.1025E+02,0.7438E+03,0.4741E+03,0.4473E+00,0.3366E+00,-0.2027E+00,0.3084E+00
0.1075E+02,0.7220E+03,0.4809E+03,0.4264E+00,0.3245E+00,-0.2090E+00,0.2974E+00
0.1125E+02,0.7040E+03,0.4893E+03,0.4013E+00,0.3117E+00,-0.2386E+00,0.2784E+00
0.1175E+02,0.6565E+03,0.4705E+03,0.3655E+00,0.2961E+00,-0.2381E+00,0.2590E+00
0.1225E+02,0.5943E+03,0.4368E+03,0.3146E+00,0.2751E+00,-0.2670E+00,0.2346E+00
0.1275E+02,0.5060E+03,0.3715E+03,0.2624E+00,0.2457E+00,-0.2535E+00,0.2114E+00
0.1325E+02,0.4253E+03,0.3030E+03,0.2058E+00,0.2149E+00,-0.2767E+00,0.1953E+00
0.1375E+02,0.3705E+03,0.2372E+03,0.1793E+00,0.1776E+00,-0.2448E+00,0.1735E+00
0.1425E+02,0.3407E+03,0.1839E+03,0.1353E+00,0.1406E+00,-0.2637E+00,0.1653E+00
0.1475E+02,0.3197E+03,0.1076E+03,0.1420E+00,0.1161E+00,-0.2238E+00,0.1419E+00
0.1525E+02,0.3079E+03,0.5289E+02,0.9986E-01,0.1013E+00,-0.2390E+00,0.1347E+00
0.1575E+02,0.3020E+03,0.1512E+02,0.1357E+00,0.1036E+00,-0.2045E+00,0.1157E+00
0.1625E+02,0.3006E+03,0.4349E+01,0.7376E-01,0.8539E-01,-0.1987E+00,0.1123E+00
0.1675E+02,0.3001E+03,0.9390E+00,0.1355E+00,0.9170E-01,-0.1930E+00,0.9754E-01
0.1725E+02,0.3000E+03,0.4450E+00,0.6213E-01,0.6995E-01,-0.1637E+00,0.9009E-01
0.1775E+02,0.3000E+03,-0.2004E+00,0.1223E+00,0.8043E-01,-0.1700E+00,0.9096E-01
0.1827E+02,0.3000E+03,-0.2003E+00,0.6265E-01,0.5918E-01,-0.1496E+00,0.6938E-01
0.1883E+02,0.3000E+03,0.4469E+00,0.1017E+00,0.7088E-01,-0.1336E+00,0.8746E-01
0.1944E+02,0.3000E+03,0.5475E+00,0.6552E-01,0.5354E-01,-0.1494E+00,0.5751E-01
0.2010E+02,0.3000E+03,0.4469E+00,0.8274E-01,0.5828E-01,-0.9864E-01,0.7446E-01
0.2081E+02,0.3000E+03,0.5475E+00,0.6459E-01,0.4487E-01,-0.1457E+00,0.6088E-01
