cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.4696970E+000, 6.2038437E+000, 3.2660739E+000, 4.3000000E+000, 6.8879351E+002, 7.3114061E+002, 7.1849705E+002, 6.7550258E+002, 6.6089321E+002, 6.1296764E+002, 4.5698480E+002, 4.6150655E+002, 4.5633593E+002, 4.1751631E+002, 3.9192065E+002, 3.2965719E+002,-1.5560241E+001, 6.6182556E-018, 4.3068765E-012, 2.9119558E-007, 2.3433047E-003, 7.8979199E-003, 2.6575701E-017, 2.6113515E-011, 2.5066373E-006, 1.6207649E-002, 2.8945204E-002
 5.9666667E+000, 5.9953378E+000, 3.4463551E+000, 4.7800000E+000, 6.7178093E+002, 6.8126045E+002, 6.6345106E+002, 6.2867334E+002, 6.2065407E+002, 5.7838986E+002, 4.6316999E+002, 4.4412858E+002, 4.2955738E+002, 3.8946530E+002, 3.6652712E+002, 3.0375218E+002,-1.5066265E+001, 6.6182556E-018, 4.3068765E-012, 2.9119558E-007, 2.3433047E-003, 7.8979199E-003, 2.6575701E-017, 2.6113515E-011, 2.5066373E-006, 1.6207649E-002, 2.8945204E-002
 6.4636364E+000, 5.8585680E+000, 3.6669937E+000, 5.2600000E+000, 6.4050217E+002, 6.5221504E+002, 6.2231311E+002, 5.9162010E+002, 5.8125369E+002, 5.5160642E+002, 4.6344899E+002, 4.4209553E+002, 4.0021889E+002, 3.6222542E+002, 3.3955549E+002, 2.8673197E+002,-1.4572289E+001, 3.7927121E-016, 2.8401250E-010, 7.6563317E-006, 4.7080200E-003, 1.2009109E-002, 2.0575426E-015, 1.5525201E-009, 6.1618625E-005, 2.5767144E-002, 3.3764184E-002
 6.9606061E+000, 5.7877056E+000, 3.9199003E+000, 5.7400000E+000, 6.0725858E+002, 6.3664169E+002, 5.9300426E+002, 5.6023925E+002, 5.4246410E+002, 5.2568376E+002, 4.5935488E+002, 4.5046043E+002, 3.8131255E+002, 3.4074875E+002, 3.1117871E+002, 2.6168306E+002,-1.4078313E+001, 3.7927121E-016, 2.8401250E-010, 7.6563317E-006, 4.7080200E-003, 1.2009109E-002, 2.0575426E-015, 1.5525201E-009, 6.1618625E-005, 2.5767144E-002, 3.3764184E-002
 7.4575758E+000, 5.7715941E+000, 4.1924404E+000, 6.2200000E+000, 5.7539097E+002, 6.2246364E+002, 5.7328945E+002, 5.3769767E+002, 5.1218451E+002, 4.9619396E+002, 4.5153095E+002, 4.5351332E+002, 3.7147417E+002, 3.2369786E+002, 2.8563410E+002, 2.3113541E+002,-1.3584337E+001, 4.6223983E-014, 1.3945872E-008, 1.4087011E-004, 9.1327994E-003, 1.7768458E-002, 2.9393716E-013, 6.7866309E-008, 1.0671044E-003, 3.2992429E-002, 3.8834801E-002
 7.9545455E+000, 5.7919731E+000, 4.4621631E+000, 6.7000000E+000, 5.4218252E+002, 6.1075284E+002, 5.5404556E+002, 5.1334292E+002, 4.8936746E+002, 4.7370178E+002, 4.3249305E+002, 4.5359921E+002, 3.5826454E+002, 3.0364832E+002, 2.6318354E+002, 2.1265026E+002,-1.3090361E+001, 4.6223983E-014, 1.3945872E-008, 1.4087011E-004, 9.1327994E-003, 1.7768458E-002, 2.9393716E-013, 6.7866309E-008, 1.0671044E-003, 3.2992429E-002, 3.8834801E-002
 8.4515152E+000, 5.8369960E+000, 4.7176205E+000, 7.1800000E+000, 5.0136233E+002, 5.9817529E+002, 5.3515882E+002, 4.9170419E+002, 4.7181514E+002, 4.6177247E+002, 4.0166512E+002, 4.5378882E+002, 3.4277022E+002, 2.8775961E+002, 2.4509406E+002, 2.0887973E+002,-1.2596386E+001, 5.4884995E-012, 5.2770105E-007, 1.5239373E-003, 1.6858693E-002, 2.7425321E-002, 3.7999897E-011, 3.5735876E-006, 1.0348766E-002, 4.3403912E-002, 4.4078115E-002
 8.9484848E+000, 5.9021646E+000, 4.9518418E+000, 7.6600000E+000, 4.5559757E+002, 5.7565767E+002, 5.1071154E+002, 4.6825570E+002, 4.5370871E+002, 4.4645632E+002, 3.5595951E+002, 4.4212166E+002, 3.2985313E+002, 2.6263069E+002, 2.2583866E+002, 2.0235830E+002,-1.2102410E+001, 5.4884995E-012, 5.2770105E-007, 1.5239373E-003, 1.6858693E-002, 2.7425321E-002, 3.7999897E-011, 3.5735876E-006, 1.0348766E-002, 4.3403912E-002, 4.4078115E-002
 9.4454545E+000, 5.9784027E+000, 5.1551264E+000, 8.1400000E+000, 4.0389027E+002, 5.4256644E+002, 4.8720821E+002, 4.4313721E+002, 4.3679703E+002, 4.2881734E+002, 2.8764404E+002, 4.1887460E+002, 3.2086716E+002, 2.3264301E+002, 2.0828654E+002, 1.8990453E+002,-1.1608434E+001, 4.2782448E-010, 4.3657187E-005, 3.6122011E-003, 2.3878422E-002, 3.6605167E-002, 2.9061359E-009, 5.1586463E-004, 2.0054769E-002, 5.0830816E-002, 5.1777478E-002
 9.9424242E+000, 6.0672136E+000, 5.3446688E+000, 8.6200000E+000, 3.5902545E+002, 5.0609292E+002, 4.6576446E+002, 4.2248487E+002, 4.2130979E+002, 4.1042677E+002, 2.2052831E+002, 3.9661609E+002, 3.0712577E+002, 2.1127538E+002, 1.9220448E+002, 1.7429559E+002,-1.1114458E+001, 2.1123546E-008, 2.9876145E-004, 7.9741277E-003, 3.2164944E-002, 4.4821810E-002, 1.4135295E-007, 3.3821504E-003, 3.7765610E-002, 5.9904219E-002, 5.8612983E-002
 1.0439394E+001, 6.1703340E+000, 5.5226745E+000, 9.1000000E+000, 3.3054602E+002, 4.7354999E+002, 4.4338672E+002, 4.0708365E+002, 4.0589921E+002, 3.9563625E+002, 1.6554510E+002, 3.7518822E+002, 2.9443647E+002, 1.9819325E+002, 1.8115897E+002, 1.5676973E+002,-1.0620482E+001, 7.5082908E-007, 9.4080815E-004, 1.3364525E-002, 3.9658408E-002, 5.2036430E-002, 4.9269525E-006, 8.2821911E-003, 5.6479531E-002, 6.4487344E-002, 6.3307779E-002
 1.0936364E+001, 6.2926177E+000, 5.7026211E+000, 9.5800000E+000, 3.1279831E+002, 4.4042200E+002, 4.2046183E+002, 3.9094188E+002, 3.8936517E+002, 3.8140889E+002, 1.1246532E+002, 3.4950588E+002, 2.7855356E+002, 1.8364868E+002, 1.6810813E+002, 1.3708692E+002,-1.0126506E+001, 1.7181296E-005, 2.0820851E-003, 1.8604406E-002, 4.6390049E-002, 5.8866784E-002, 1.0835786E-004, 1.2940126E-002, 6.7163406E-002, 6.7574799E-002, 6.5721705E-002
 1.1433333E+001, 6.4383305E+000, 5.9189607E+000, 1.0060000E+001, 3.0515396E+002, 4.0696965E+002, 3.9995987E+002, 3.7537528E+002, 3.7164853E+002, 3.6826364E+002, 9.7095670E+001, 3.1309911E+002, 2.6142841E+002, 1.6636195E+002, 1.5261005E+002, 1.1674232E+002,-9.6325301E+000, 2.6168793E-004, 3.7906547E-003, 2.4677792E-002, 5.3658459E-002, 6.6650978E-002, 1.5206918E-003, 1.9280594E-002, 7.3546748E-002, 7.0530764E-002, 6.7961016E-002
 1.1930303E+001, 6.6037993E+000, 6.1760252E+000, 1.0540000E+001, 3.0245479E+002, 3.7234171E+002, 3.8181591E+002, 3.6030619E+002, 3.5611002E+002, 3.5677330E+002, 9.0429031E+001, 2.5599029E+002, 2.4465612E+002, 1.5233040E+002, 1.3757560E+002, 1.0439146E+002,-9.1385542E+000, 2.0463082E-003, 6.3270721E-003, 3.3577808E-002, 6.2187913E-002, 7.4834763E-002, 1.0082222E-002, 2.6791922E-002, 7.9750648E-002, 7.4440394E-002, 7.0596649E-002
 1.2427273E+001, 6.7778622E+000, 6.4405191E+000, 1.1020000E+001, 2.9910816E+002, 3.4359154E+002, 3.6629975E+002, 3.4738391E+002, 3.4211062E+002, 3.4645806E+002, 6.2111189E+001, 2.0550143E+002, 2.2643457E+002, 1.4345858E+002, 1.1580430E+002, 9.4301006E+001,-8.6445783E+000, 7.3521900E-003, 1.1070265E-002, 4.5948804E-002, 7.1122703E-002, 8.2706618E-002, 2.7054068E-002, 3.5475843E-002, 8.6640708E-002, 7.8874008E-002, 7.3286880E-002
 1.2924242E+001, 6.9557985E+000, 6.7091376E+000, 1.1500000E+001, 2.9548142E+002, 3.2281596E+002, 3.4621363E+002, 3.3547834E+002, 3.2737046E+002, 3.3412029E+002, 7.7822639E+000, 1.5673327E+002, 1.8903205E+002, 1.2949855E+002, 8.0937611E+001, 7.4634730E+001,-8.1506024E+000, 1.5024889E-002, 1.8304732E-002, 6.0672829E-002, 8.0625699E-002, 9.0611204E-002, 4.3051043E-002, 4.5529981E-002, 9.4487769E-002, 8.2731160E-002, 7.5567979E-002
 1.3421212E+001, 7.1382820E+000, 6.9819439E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.6566265E+000, 2.1941680E-002, 2.7240748E-002, 7.5734825E-002, 9.1555024E-002, 9.7141116E-002, 5.3626706E-002, 5.5207347E-002, 1.0282130E-001, 8.6876678E-002, 7.6860822E-002
 1.3918182E+001, 7.3190097E+000, 7.2370858E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.1626506E+000, 2.9338165E-002, 3.8530783E-002, 9.0746206E-002, 1.0297039E-001, 1.0268824E-001, 6.0345863E-002, 6.5058088E-002, 1.0990958E-001, 9.1995385E-002, 7.7272511E-002
 1.4415152E+001, 7.4887675E+000, 7.4537885E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6686747E+000, 3.7630042E-002, 5.3561889E-002, 1.0396157E-001, 1.1405059E-001, 1.0799001E-001, 6.5477408E-002, 8.1346846E-002, 1.1559478E-001, 9.6078834E-002, 7.9526166E-002
 1.4912121E+001, 7.6409428E+000, 7.6277630E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1746988E+000, 4.6091778E-002, 6.6876852E-002, 1.1497487E-001, 1.2349276E-001, 1.1280170E-001, 6.9698964E-002, 9.1486349E-002, 1.1906974E-001, 9.8236771E-002, 8.2077893E-002
 1.5409091E+001, 7.7672535E+000, 7.7445063E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.6807229E+000, 5.6844679E-002, 8.0036222E-002, 1.2559234E-001, 1.3240926E-001, 1.1695414E-001, 7.4602582E-002, 9.8174746E-002, 1.2142188E-001, 1.0084379E-001, 8.4680126E-002
 1.5906061E+001, 7.8641278E+000, 7.8093135E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.1867470E+000, 6.8971809E-002, 9.3939694E-002, 1.3735458E-001, 1.4164977E-001, 1.2203875E-001, 7.8828287E-002, 1.0336628E-001, 1.2382980E-001, 1.0264568E-001, 8.7823074E-002
 1.6403030E+001, 7.9436225E+000, 7.8503241E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6927711E+000, 7.9986314E-002, 1.0873644E-001, 1.5009713E-001, 1.5152265E-001, 1.2818854E-001, 8.2544023E-002, 1.0835513E-001, 1.2568126E-001, 1.0746009E-001, 9.0698125E-002
 1.6900000E+001, 8.0027152E+000, 7.8693060E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1987952E+000, 9.0706920E-002, 1.2703299E-001, 1.6733628E-001, 1.6249623E-001, 1.3518591E-001, 8.6880129E-002, 1.1588348E-001, 1.2995095E-001, 1.1435486E-001, 9.4208580E-002
 1.7396970E+001, 8.0465646E+000, 7.8762434E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7048193E+000, 1.0925970E-001, 1.5463424E-001, 1.9175168E-001, 1.7540371E-001, 1.4214970E-001, 9.9648494E-002, 1.3160333E-001, 1.3846461E-001, 1.2020787E-001, 9.7305594E-002
 1.7893939E+001, 8.0721487E+000, 7.8596252E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2108434E+000, 1.4955512E-001, 1.9944700E-001, 2.2949879E-001, 1.9229190E-001, 1.4959639E-001, 1.2565788E-001, 1.5448015E-001, 1.5162094E-001, 1.2883999E-001, 1.0104336E-001
 1.8390909E+001, 8.0873985E+000, 7.8347074E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7168675E+000, 2.2735264E-001, 2.6186712E-001, 2.7770033E-001, 2.0990242E-001, 1.5617508E-001, 1.5521863E-001, 1.6947467E-001, 1.6441620E-001, 1.3699845E-001, 1.0435260E-001
 1.8887879E+001, 8.0965140E+000, 7.8205662E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2228916E+000, 3.4942486E-001, 3.4396049E-001, 3.2995509E-001, 2.2748401E-001, 1.6036613E-001, 1.6217664E-001, 1.6949603E-001, 1.6571711E-001, 1.4297950E-001, 1.0475832E-001
