s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.0500403E+001, 1.5086888E+001,-4.4022545E+000,-1.1012254E+001,-6.0007317E-002, 4.2381624E-003, 0.0000000E+000, 0.0000000E+000,-6.4407946E-001,-3.8338882E-001, 7.0570757E-002, 3.2631501E-004,-2.8900308E-049,-7.7299774E-046
 1.1000246E+001, 1.4487670E+001,-4.1549223E+000,-1.0381359E+001,-5.7925743E-002, 4.3883945E-003, 0.0000000E+000, 0.0000000E+000,-3.3159122E-001,-1.0214928E-001, 7.0570757E-002, 3.2631501E-004,-1.4671912E-048,-3.6835156E-045
 1.1500242E+001, 1.5029447E+001,-4.1205907E+000,-1.1825502E+001,-5.3442855E-002, 4.6045425E-003, 0.0000000E+000, 0.0000000E+000,-1.1805535E+000,-9.6548429E-001, 7.0570757E-002, 3.2631501E-004,-5.7853648E-048,-1.3742360E-044
 1.2000180E+001, 1.5308879E+001,-4.4676710E+000,-8.8365362E+000,-5.6707066E-002, 4.7320246E-003, 0.0000000E+000, 0.0000000E+000, 1.7139790E+000, 1.9526964E+000, 7.0570757E-002, 3.2631501E-004,-1.8355721E-047,-4.1681912E-044
 1.2500257E+001, 1.4530018E+001,-3.9982925E+000,-1.1212340E+001,-5.3201044E-002, 4.8604589E-003, 0.0000000E+000, 0.0000000E+000,-9.7831680E-001,-7.2895580E-001, 7.0570757E-002, 3.2631501E-004,-4.9413003E-047,-1.0841894E-043
 1.3000299E+001, 1.4849792E+001,-4.1187697E+000,-9.8625753E+000,-4.4334383E-002, 4.9593530E-003, 0.0000000E+000, 0.0000000E+000, 6.5170739E-001, 8.2907194E-001, 7.0570757E-002, 3.2631501E-004,-1.2145784E-046,-2.5976932E-043
 1.3500225E+001, 1.4562167E+001,-4.2888721E+000,-1.0347324E+001,-4.8154046E-002, 5.0784796E-003, 0.0000000E+000, 0.0000000E+000,-3.7775665E-001,-1.1710460E-001, 7.0570757E-002, 3.2631501E-004,-2.7412060E-046,-5.7569623E-043
 1.4000152E+001, 1.4941999E+001,-4.2364133E+000,-9.4751266E+000,-5.2183004E-002, 5.2998004E-003, 0.0000000E+000, 0.0000000E+000, 8.2225030E-001, 1.1835759E+000, 7.0570757E-002, 3.2631501E-004,-5.4696035E-046,-1.1311698E-042
 1.4500151E+001, 1.4742280E+001,-4.4497378E+000,-1.0356167E+001,-5.2966863E-002, 5.3909361E-003, 0.0000000E+000, 0.0000000E+000,-4.2951219E-001,-1.1120102E-001, 7.0570757E-002, 3.2631501E-004,-1.0012870E-045,-2.0401842E-042
 1.5000152E+001, 1.5012244E+001,-4.1415810E+000,-1.0763106E+001,-5.0456829E-002, 5.5638680E-003, 0.0000000E+000, 0.0000000E+000,-2.5918830E-001, 6.2664445E-002, 7.0570757E-002, 3.2631501E-004,-1.7720749E-045,-3.5668169E-042
 1.5500166E+001, 1.5259258E+001,-4.1289572E+000,-1.0273570E+001,-5.4243914E-002, 5.5645284E-003, 0.0000000E+000, 0.0000000E+000, 5.8681003E-001, 8.0805173E-001, 7.0570757E-002, 3.2631501E-004,-2.9856945E-045,-5.9575744E-042
 1.6000208E+001, 1.4296641E+001,-4.1442168E+000,-1.0009479E+001,-5.2385261E-002, 5.7379178E-003, 0.0000000E+000, 0.0000000E+000,-2.7651641E-001, 9.6297693E-002, 7.0570757E-002, 3.2631501E-004,-4.6232581E-045,-9.1596782E-042
 1.6500059E+001, 1.5187395E+001,-4.0808040E+000,-1.1349995E+001,-5.8210171E-002, 5.9445334E-003, 0.0000000E+000, 0.0000000E+000,-5.7476970E-001,-2.9566949E-001, 7.0570757E-002, 3.2631501E-004,-6.6253745E-045,-1.3042473E-041
 1.7000311E+001, 1.5144925E+001,-4.0866101E+000,-1.0285978E+001,-4.8655652E-002, 5.9481293E-003, 0.0000000E+000, 0.0000000E+000, 5.1202892E-001, 7.2962949E-001, 7.0570757E-002, 3.2631501E-004,-8.8651708E-045,-1.7354459E-041
 1.7500193E+001, 1.4452709E+001,-3.9392728E+000,-1.1196058E+001,-5.8724389E-002, 6.1419216E-003, 0.0000000E+000, 0.0000000E+000,-9.8265770E-001,-7.3520366E-001, 7.0570757E-002, 3.2631501E-004,-1.1239702E-044,-2.2061372E-041
 1.8000053E+001, 1.5036032E+001,-4.0879198E+000,-9.6696917E+000,-5.1273324E-002, 6.2190848E-003, 0.0000000E+000, 0.0000000E+000, 9.9115663E-001, 1.2333667E+000, 7.0570757E-002, 3.2631501E-004,-1.5398000E-044,-3.5212215E-041
 1.8500250E+001, 1.4891220E+001,-4.1084858E+000,-1.0705759E+001,-5.2617628E-002, 6.2742602E-003, 0.0000000E+000, 0.0000000E+000,-2.1989767E-001, 3.0631205E-002, 7.0570757E-002, 3.2631501E-004,-5.4219214E-044,-1.8239351E-040
 1.9000370E+001, 1.4688531E+001,-4.0059666E+000,-1.0605411E+001,-5.0870632E-002, 6.5293278E-003, 0.0000000E+000, 0.0000000E+000,-1.9847714E-001, 3.2812107E-002, 7.0570757E-002, 3.2631501E-004,-3.8574970E-043,-1.5028200E-039
 1.9500076E+001, 1.5136075E+001,-4.1781554E+000,-1.0737097E+001,-5.6589431E-002, 6.4696044E-003, 0.0000000E+000, 0.0000000E+000,-2.5154034E-002, 1.7070240E-001, 7.0570757E-002, 3.2631501E-004,-1.9120175E-042,-1.4210411E-038
 2.0000000E+001, 1.4660243E+001,-3.9459786E+000,-1.0507623E+001,-5.6767382E-002, 6.7017930E-003, 0.0000000E+000, 0.0000000E+000,-1.3673085E-001, 1.5657569E-001, 7.0570757E-002, 3.2631501E-004,-6.2545350E-042,-1.5639707E-037
