r (cm),T,TMean,TMean w/ 2cm filter,TMean w/ 4cm filter
0.00,1052.7331,1172.3721,1185.972633,1221.094171
0.12,1055.8676,1168.2726,1194.2952,1232.945278
0.24,1059.0021,1164.1731,1203.682309,1240.339837
0.36,1067.9911,1165.1627,1213.852308,1243.44816
0.48,1084.3319,1171.5393,1224.624531,1242.772319
0.61,1100.4568,1178.1619,1235.440586,1238.603741
0.73,1134.2611,1197.229,1246.075307,1231.398
0.85,1168.0653,1216.2962,1256.351075,1221.830613
0.97,1217.3863,1240.5468,1265.109047,1210.285075
1.09,1280.6514,1269.1983,1278.498076,1197.221105
1.21,1345.413,1297.5534,1290.883018,1183.257774
1.33,1443.9272,1325.7223,1301.776341,1168.491441
1.45,1542.4415,1353.8912,1310.783418,1153.394082
1.58,1589.3836,1376.0493,1317.128382,1138.037185
1.70,1603.0026,1394.9614,1320.796759,1122.583801
1.82,1605.4132,1410.4876,1320.669876,1107.167798
1.94,1507.0366,1405.2366,1316.604706,1091.806489
2.06,1408.66,1399.9856,1308.230953,1078.637725
2.18,1318.6097,1378.8166,1295.112647,1064.500572
2.30,1227.0421,1349.3596,1277.265162,1049.397249
2.42,1143.2268,1318.283,1255.043282,1033.194521
2.55,1085.8638,1279.4037,1228.482355,1015.833555
2.67,1028.5007,1240.5243,1198.062431,997.3982252
2.79,984.12397,1195.072,1164.140352,977.5149688
2.91,943.82362,1147.1883,1126.923118,956.1864876
3.03,904.13207,1098.193,1087.891508,933.1780197
3.15,866.46059,1046.1871,1047.045523,908.2017879
3.27,828.72712,994.14615,1005.505022,881.2042409
3.39,800.66334,947.95035,963.8451641,851.702813
3.52,773.59801,902.35543,922.2893129,819.7509455
3.64,751.87703,858.9106,881.5749624,786.02905
3.76,736.04998,818.28606,841.7021182,751.0569906
3.88,719.59844,777.79461,803.0531412,715.2106827
4.00,703.53926,741.69923,765.8348541,680.3605052
4.12,687.48008,705.60386,730.1126453,646.513497
4.24,665.02216,672.62808,696.0636088,614.4333124
4.36,640.87105,641.14202,663.8886847,584.4227109
4.48,615.59215,611.83353,633.3234653,556.55185
4.61,589.50336,587.25974,604.3326047,531.0031164
4.73,563.41457,562.68595,576.9485047,507.7867585
4.85,536.88322,538.03939,551.2499424,486.6875973
4.97,506.26298,514.47742,527.2290882,467.6369661
5.09,475.64274,490.91545,504.6359894,450.4614188
5.21,445.0225,467.35348,483.7690382,434.7924824
5.33,418.79765,447.17244,464.4447288,420.6329088
5.45,395.456,428.34162,446.5754306,407.6474442
5.58,372.11434,409.5108,430.1271965,395.8011927
5.70,353.1624,393.3809,414.8730988,384.9649461
5.82,343.72878,381.4105,400.8131382,375.0186412
5.94,334.29516,369.44009,387.9865347,365.9436239
6.06,324.77521,357.61655,376.3894165,357.5933139
6.18,321.34915,350.86569,366.0217835,349.9734009
6.30,317.92309,344.11482,356.9042647,343.084833
6.42,314.49704,337.36395,348.8935194,336.9383555
6.55,312.23979,332.21355,341.9101224,331.4816558
6.67,310.57717,327.94008,335.9544582,326.6176533
6.79,308.91454,323.66662,330.8730488,322.3466679
6.91,307.46394,319.98713,326.4281559,318.6675003
7.03,306.41378,317.32641,322.6369459,315.455567
7.15,305.36361,314.66569,319.4958741,312.7125342
7.27,304.40098,312.35566,316.7138041,310.4385721
7.39,303.78607,310.98977,314.2969406,308.5198991
7.52,303.17116,309.62387,312.2517124,306.9083264
7.64,302.56509,308.26451,310.4872235,305.6038539
7.76,302.10985,306.99694,308.9565124,304.5576967
7.88,301.71411,305.84732,307.6598488,303.6860515
8.00,301.43465,304.98952,306.5645053,302.988967
8.12,301.19578,304.21833,305.6112376,302.4612848
8.24,300.99947,303.5705,304.8020812,302.0143852
8.36,300.816,303.02814,304.1173612,301.6474515
8.48,300.65484,302.59507,303.5053918,301.3604839
8.61,300.52381,302.21724,302.9660359,301.1208352
8.73,300.42199,301.91799,302.5032588,300.9182579
8.85,300.34334,301.62334,302.1117476,300.7527533
8.97,300.28793,301.36629,301.7850576,300.6171579
9.09,300.24096,301.12086,301.5065706,300.5025473
9.21,300.20936,300.91003,301.2711829,300.4089221
9.33,300.1803,300.71542,301.07224,300.3335312
9.45,300.16077,300.58629,300.9035324,300.2698621
9.58,300.14131,300.45482,300.7591982,300.2179145
9.70,300.12751,300.3973,300.6361329,300.1773236
9.82,300.1138,300.34125,300.5298576,300.1471109
9.94,300.10271,300.29359,300.4403635,300.1252206
10.06,300.09327,300.25524,300.3654388,300.1076779
10.18,300.08507,300.21674,300.3044841,300.09522
10.30,300.08082,300.18847,300.2555876,300.0850726
10.42,300.07653,300.16011,300.2177212,300.076824
10.55,300.07441,300.14139,300.1872065,300.0702172
10.67,300.07292,300.12513,300.1641818,300.0648807
10.79,300.07159,300.11131,300.1443012,300.0605644
10.91,300.07102,300.10194,300.1275647,300.0571019
11.03,300.07045,300.09257,300.1134788,300.0543756
11.15,300.06999,300.08463,300.1046188,300.0522842
11.27,300.06968,300.07879,300.097144,300.0506661
11.39,300.06934,300.07169,300.0906207,300.0494977
11.52,300.06921,300.06754,300.0852754,300.0485943
11.64,300.06908,300.0634,300.0805992,300.047996
11.76,300.06896,300.05933,300.0765509,300.04753
11.88,300.06892,300.05673,300.073075,300.0472233
12.00,300.06888,300.05413,300.0698678,300.04701
