r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,,
-22,1.76E-30,3.10E-28,1.62E-27,2.87E-27,,,
-21.56,9.00E-30,1.62E-27,2.27E-27,5.85E-27,,,
-21.11,1.62E-29,2.93E-27,2.87E-27,3.64E-26,,,
-20.67,2.35E-29,4.24E-27,6.96E-27,8.41E-26,,,
-20.22,2.93E-29,5.27E-27,5.06E-26,1.43E-25,,,
-19.78,9.06E-29,2.07E-26,1.34E-25,2.32E-25,,,
-19.33,8.73E-28,2.20E-25,2.56E-25,3.24E-25,,,
-18.89,1.66E-27,4.18E-25,4.15E-25,1.66E-24,,,
-18.44,2.44E-27,6.17E-25,5.76E-25,4.34E-24,,,
-18,3.16E-27,8.00E-25,2.95E-24,8.36E-24,,,
-17.56,3.29E-27,8.26E-25,7.68E-24,1.37E-23,,,
-17.11,3.35E-26,1.21E-23,1.48E-23,1.93E-23,,,
-16.67,6.58E-26,2.41E-23,2.43E-23,8.55E-23,,,
-16.22,9.82E-26,3.61E-23,3.42E-23,9.82E-22,,,
-15.78,1.31E-25,4.82E-23,1.51E-22,1.17E-20,,,
-15.33,1.38E-25,5.06E-23,1.76E-21,1.33E-19,,,
-14.89,1.32E-24,5.96E-22,2.10E-20,2.37E-18,,,
-14.44,1.51E-23,8.07E-21,2.38E-19,2.86E-17,,,
-14,1.53E-22,9.62E-20,4.27E-18,2.64E-16,,,
-13.56,1.49E-21,1.09E-18,5.14E-17,1.88E-15,,,
-13.11,2.30E-20,2.02E-17,4.75E-16,1.51E-14,,,
-12.67,2.39E-19,2.36E-16,3.38E-15,1.11E-13,,,
-12.22,1.96E-18,2.12E-15,2.72E-14,5.49E-13,,,
-11.78,1.27E-17,1.45E-14,2.00E-13,3.27E-12,,,
-11.33,9.85E-17,1.19E-13,9.88E-13,1.40E-11,,,
-10.89,6.93E-16,8.66E-13,5.89E-12,5.95E-11,,,
-10.44,3.14E-15,3.94E-12,2.52E-11,2.07E-10,,,
-10,2.03E-14,2.45E-11,1.07E-10,6.19E-10,,,
-9.56,8.25E-14,9.68E-11,3.72E-10,1.96E-09,,,
-9.11,3.76E-13,4.09E-10,1.11E-09,7.74E-09,,,
-8.67,1.34E-12,1.33E-09,3.52E-09,3.05E-08,,,
-8.22,4.63E-12,3.71E-09,1.39E-08,1.84E-07,,,
-7.78,5.09E-11,1.20E-08,5.48E-08,1.62E-06,,,
-7.33,9.77E-10,5.20E-08,3.30E-07,1.10E-05,,,
-6.89,1.28E-08,2.05E-07,2.91E-06,5.69E-05,,,
-6.44,2.23E-07,1.38E-06,1.98E-05,1.95E-04,,,
-6,3.49E-06,1.29E-05,1.02E-04,4.26E-04,,,
-5.56,2.36E-05,8.46E-05,3.52E-04,6.39E-04,,,
-5.11,9.16E-05,4.13E-04,7.67E-04,7.65E-04,,,
-4.67,2.39E-04,1.25E-03,1.15E-03,8.21E-04,,,
-4.22,5.39E-04,2.08E-03,1.36E-03,3.23E-03,,,
-3.78,7.97E-04,1.92E-03,1.38E-03,6.72E-02,,,
-3.33,5.61E-04,1.13E-03,5.47E-03,2.57E-01,,,
-2.89,1.89E-04,5.10E-04,1.20E-01,5.12E-01,,,
-2.44,4.38E-03,2.17E-02,4.62E-01,7.76E-01,,,
-2,7.10E-01,5.76E-01,9.20E-01,1.05E+00,,,
-1.56,1.86E+00,1.71E+00,1.40E+00,1.34E+00,,,
-1.11,2.33E+00,2.29E+00,1.88E+00,1.63E+00,,,
-0.67,2.36E+00,2.38E+00,2.28E+00,1.89E+00,,,
-0.22,2.39E+00,2.45E+00,2.47E+00,2.06E+00,,,
0.22,2.57E+00,2.59E+00,2.49E+00,2.04E+00,,,
0.67,2.60E+00,2.65E+00,2.31E+00,1.85E+00,,,
1.11,2.21E+00,2.36E+00,1.90E+00,1.59E+00,,,
1.56,1.19E+00,1.49E+00,1.38E+00,1.33E+00,,,
2,1.55E-01,4.10E-01,8.53E-01,1.06E+00,,,
2.44,6.88E-06,6.24E-03,3.82E-01,7.69E-01,,,
2.89,5.17E-05,4.52E-04,8.41E-02,4.76E-01,,,
3.33,2.57E-04,1.26E-03,3.17E-03,2.14E-01,,,
3.78,7.91E-04,2.93E-03,3.19E-03,4.91E-02,,,
4.22,1.86E-03,4.94E-03,4.32E-03,3.84E-03,,,
4.67,3.11E-03,6.35E-03,4.93E-03,3.20E-03,,,
5.11,3.28E-03,6.09E-03,4.74E-03,3.16E-03,,,
5.56,2.36E-03,4.31E-03,3.85E-03,3.02E-03,,,
6,1.15E-03,2.01E-03,2.59E-03,2.70E-03,,,
6.44,3.52E-04,4.70E-04,1.37E-03,2.15E-03,,,
6.89,6.37E-05,7.58E-05,5.13E-04,1.44E-03,,,
7.33,7.20E-06,9.65E-06,1.12E-04,7.64E-04,,,
7.78,4.10E-07,1.68E-06,1.76E-05,2.85E-04,,,
8.22,1.70E-08,5.52E-07,2.43E-06,6.20E-05,,,
8.67,2.80E-09,2.10E-07,5.07E-07,9.78E-06,,,
9.11,7.93E-10,7.13E-08,1.72E-07,1.35E-06,,,
9.56,1.93E-10,1.95E-08,6.14E-08,2.82E-07,,,
10,5.13E-11,5.55E-09,1.95E-08,9.55E-08,,,
10.44,8.57E-12,1.00E-09,5.27E-09,3.41E-08,,,
10.89,2.00E-12,2.41E-10,1.37E-09,1.08E-08,,,
11.33,2.98E-13,3.62E-11,2.57E-10,2.93E-09,,,
11.78,3.96E-14,4.70E-12,5.65E-11,7.59E-10,,,
12.22,6.10E-15,6.91E-13,8.33E-12,1.43E-10,,,
12.67,7.25E-16,7.68E-14,1.10E-12,3.14E-11,,,
13.11,6.70E-17,6.47E-15,1.55E-13,4.63E-12,,,
13.56,3.98E-18,3.31E-16,1.67E-14,6.09E-13,,,
14,3.77E-19,2.78E-17,1.37E-15,8.60E-14,,,
14.44,3.45E-20,2.25E-18,7.23E-17,9.29E-15,,,
14.89,2.77E-21,1.58E-19,6.05E-18,7.59E-16,,,
15.33,2.64E-22,1.29E-20,4.89E-19,4.02E-17,,,
15.78,2.49E-22,1.22E-20,3.96E-20,3.36E-18,,,
16.22,1.86E-22,9.16E-21,8.67E-21,2.73E-19,,,
16.67,1.23E-22,6.07E-21,6.11E-21,2.24E-20,,,
17.11,6.04E-23,2.97E-21,3.67E-21,4.85E-21,,,
17.56,1.66E-24,8.64E-23,1.85E-21,3.42E-21,,,
18,1.59E-24,8.34E-23,6.50E-22,2.06E-21,,,
