r (cm),T,TMean,TMean w/ 2cm filter,TMean w/ 4cm filter
0.00,945.98412,930.62792,990.8610844,1128.250656
0.12,959.17507,942.56858,1001.925996,1156.249659
0.24,972.51267,954.55595,1013.957324,1184.262456
0.36,989.06645,968.65557,1027.820372,1210.942828
0.48,1008.571,984.74324,1043.170982,1235.100593
0.61,1028.2789,1001.0134,1060.690754,1252.690735
0.73,1054.7796,1022.1227,1080.656064,1264.354311
0.85,1081.7492,1043.3857,1102.872929,1269.501111
0.97,1114.228,1070.0767,1128.250656,1268.598458
1.09,1151.7567,1101.5102,1169.521526,1262.632268
1.21,1191.001,1134.2706,1213.399421,1252.735909
1.33,1246.515,1180.3139,1258.300242,1239.386598
1.45,1303.31,1227.3783,1302.394379,1223.789844
1.58,1378.3361,1288.4478,1339.884994,1206.333759
1.70,1467.1126,1360.1704,1370.469676,1187.596049
1.82,1557.0067,1436.1259,1391.984665,1168.128921
1.94,1647.2158,1534.2943,1403.958141,1148.083435
2.06,1732.4669,1632.2327,1406.511129,1134.044829
2.18,1741.3567,1688.4928,1400.271152,1118.494068
2.30,1704.5442,1717.8699,1385.252598,1101.748995
2.42,1642.5303,1718.2559,1362.121237,1083.9023
2.55,1501.2086,1622.0837,1331.105295,1065.017676
2.67,1358.3248,1520.953,1292.106291,1045.333063
2.79,1221.9255,1387.8775,1245.310854,1024.708018
2.91,1090.3869,1246.9348,1190.634499,1003.139348
3.03,968.5869,1113.4775,1127.873301,980.5957248
3.15,866.28138,995.43058,1057.118053,956.9336691
3.27,765.75803,878.95519,981.4401553,932.1130391
3.39,689.08121,787.08076,902.7251388,905.7925448
3.52,616.64735,700.10729,822.9189471,877.9677991
3.64,555.21773,625.46473,748.1740924,848.2137303
3.76,505.84516,564.64796,678.7942818,816.2255673
3.88,458.61578,506.62787,616.6614635,781.9050279
4.00,426.56743,467.35394,562.4968953,744.5784933
4.12,395.89889,429.39348,515.8607106,704.254143
4.24,373.6362,401.96854,475.8465476,662.2148709
4.36,355.90643,379.71462,442.4808065,619.2747776
4.48,341.67582,361.55064,414.36792,576.3122636
4.61,334.17219,351.42117,391.2182871,536.2594039
4.73,327.01892,341.49622,372.3415982,499.2684821
4.85,319.90392,331.61959,356.9827829,466.3074094
4.97,316.26934,326.13714,344.9763588,437.6155445
5.09,312.66542,320.66236,335.2219588,412.9673585
5.21,309.07045,315.18981,327.6809788,391.8958285
5.33,306.90364,311.73759,321.7326424,374.3534591
5.45,305.37467,309.16169,317.0725435,359.5950955
5.58,303.85187,306.56353,313.4718782,347.4722145
5.70,302.67577,304.56102,310.4619612,337.6111612
5.82,302.07866,303.5481,308.0305424,329.5930267
5.94,301.49077,302.51866,306.1766406,323.3330661
6.06,300.92564,301.52914,304.6443006,318.2632227
6.18,300.73527,301.19682,303.4329906,314.3436955
6.30,300.54142,300.84682,302.5428253,311.255227
6.42,300.34681,300.49294,301.8556,308.8411197
6.55,300.2573,300.33933,301.3197488,306.9774364
6.67,300.20363,300.25258,300.9365982,305.4207067
6.79,300.14877,300.1621,300.6712159,304.1647333
6.91,300.11247,300.10326,300.4653965,303.2080521
7.03,300.10147,300.08736,300.3201288,302.4175061
7.15,300.08998,300.07009,300.2330665,301.7928627
7.27,300.08118,300.057,300.1655524,301.3340545
7.39,300.07933,300.05476,300.1186265,300.9798594
7.52,300.07736,300.05222,300.0925176,300.7037218
7.64,300.07559,300.04997,300.0754447,300.5063167
7.76,300.07516,300.04952,300.0634753,300.3695936
7.88,300.07484,300.04917,300.0568288,300.2635655
8.00,300.07477,300.04911,300.0536441,300.1887327
8.12,300.07473,300.04908,300.0513953,300.1438858
8.24,300.07472,300.04908,300.0501629,300.1091091
8.36,300.07472,300.04908,300.0497012,300.0849388
8.48,300.07473,300.04909,300.0493712,300.0714921
8.61,300.07473,300.04909,300.0491912,300.0627006
8.73,300.07474,300.0491,300.0491435,300.0565382
8.85,300.07475,300.04911,300.0491229,300.0531179
8.97,300.07476,300.04912,300.0491235,300.0514809
9.09,300.07476,300.04913,300.0491282,300.0503261
9.21,300.07477,300.04914,300.0491347,300.0496948
9.33,300.07477,300.04915,300.0491418,300.0494606
9.45,300.07477,300.04915,300.0491488,300.0492945
9.58,300.07478,300.04916,300.0491559,300.0492058
9.70,300.07479,300.04916,300.0491635,300.0491855
9.82,300.07479,300.04917,300.0491712,300.0491788
9.94,300.0748,300.04918,300.0491788,300.049183
10.06,300.0748,300.04919,300.0491865,300.0491894
10.18,300.07481,300.04919,300.0491941,300.0491928
10.30,300.07481,300.0492,300.0492018,300.0491965
10.42,300.07481,300.0492,300.0492094,300.0492003
10.55,300.07482,300.04921,300.0492176,300.0492041
10.67,300.07482,300.04922,300.0492259,300.0492082
10.79,300.07483,300.04923,300.0492341,300.0492122
10.91,300.07484,300.04924,300.0492424,300.0492162
11.03,300.07484,300.04925,300.0492506,300.04922
11.15,300.07485,300.04926,300.0492544,300.0492238
11.27,300.07486,300.04927,300.0492587,300.0492274
11.39,300.07487,300.04928,300.0492629,300.0492309
11.52,300.07488,300.04929,300.0492677,300.0492348
11.64,300.07488,300.0493,300.0492725,300.0492385
11.76,300.07489,300.0493,300.0492773,300.0492426
11.88,300.07489,300.04931,300.049282,300.0492467
12.00,300.0749,300.04932,300.0492867,300.0492506
