r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,,
-22,6.78E-15,1.99E-12,7.68E-12,1.31E-11,,,
-21.56,2.35E-14,7.82E-12,1.04E-11,3.42E-11,,,
-21.11,3.84E-14,1.32E-11,1.31E-11,1.94E-10,,,
-20.67,5.32E-14,1.86E-11,4.06E-11,4.21E-10,,,
-20.22,6.81E-14,2.40E-11,2.70E-10,6.91E-10,,,
-19.78,2.40E-13,1.39E-10,6.69E-10,1.10E-09,,,
-19.33,1.57E-12,1.16E-09,1.24E-09,1.61E-09,,,
-18.89,2.62E-12,2.01E-09,1.97E-09,2.24E-09,,,
-18.44,3.67E-12,2.86E-09,2.86E-09,2.97E-09,,,
-18,4.72E-12,3.71E-09,3.76E-09,3.80E-09,,,
-17.56,5.76E-12,4.56E-09,4.68E-09,4.72E-09,,,
-17.11,8.11E-12,5.67E-09,5.60E-09,5.62E-09,,,
-16.67,9.86E-12,6.58E-09,6.54E-09,6.60E-09,,,
-16.22,1.16E-11,7.50E-09,7.50E-09,8.36E-09,,,
-15.78,1.33E-11,8.41E-09,8.52E-09,1.33E-08,,,
-15.33,1.51E-11,9.32E-09,1.09E-08,2.83E-08,,,
-14.89,2.03E-11,1.08E-08,1.90E-08,7.73E-08,,,
-14.44,3.28E-11,1.87E-08,4.53E-08,2.22E-07,,,
-14,6.36E-11,4.79E-08,1.33E-07,6.09E-07,,,
-13.56,1.56E-10,1.40E-07,3.93E-07,1.49E-06,,,
-13.11,4.99E-10,4.47E-07,1.09E-06,3.22E-06,,,
-12.67,1.55E-09,1.31E-06,2.66E-06,6.37E-06,,,
-12.22,4.39E-09,3.49E-06,5.75E-06,1.17E-05,,,
-11.78,1.15E-08,7.92E-06,1.13E-05,2.14E-05,,,
-11.33,3.06E-08,1.56E-05,2.06E-05,3.98E-05,,,
-10.89,7.47E-08,2.83E-05,3.75E-05,8.03E-05,,,
-10.44,1.60E-07,4.77E-05,6.90E-05,1.53E-04,,,
-10,3.47E-07,8.78E-05,1.39E-04,2.50E-04,,,
-9.56,7.33E-07,1.66E-04,2.65E-04,4.06E-04,,,
-9.11,1.64E-06,3.65E-04,4.31E-04,6.36E-04,,,
-8.67,2.95E-06,6.57E-04,6.96E-04,9.02E-04,,,
-8.22,5.27E-06,8.79E-04,1.08E-03,1.18E-03,,,
-7.78,1.08E-05,1.41E-03,1.49E-03,1.46E-03,,,
-7.33,1.95E-05,2.08E-03,1.87E-03,1.71E-03,,,
-6.89,3.56E-05,2.43E-03,2.22E-03,1.90E-03,,,
-6.44,7.96E-05,2.56E-03,2.41E-03,2.11E-03,,,
-6,2.03E-04,2.61E-03,2.42E-03,2.36E-03,,,
-5.56,2.83E-04,2.37E-03,2.43E-03,2.59E-03,,,
-5.11,3.02E-04,2.13E-03,2.54E-03,2.78E-03,,,
-4.67,3.18E-04,2.48E-03,2.73E-03,3.60E-03,,,
-4.22,3.15E-04,3.12E-03,3.00E-03,1.12E-02,,,
-3.78,3.22E-04,3.55E-03,4.55E-03,3.80E-02,,,
-3.33,3.10E-04,3.73E-03,1.83E-02,1.01E-01,,,
-2.89,3.58E-04,9.88E-03,6.64E-02,2.18E-01,,,
-2.44,5.32E-04,7.10E-02,1.80E-01,3.86E-01,,,
-2,1.24E-02,2.44E-01,3.90E-01,5.86E-01,,,
-1.56,2.75E-01,5.69E-01,6.91E-01,7.98E-01,,,
-1.11,1.03E+00,1.06E+00,1.04E+00,1.00E+00,,,
-0.67,1.76E+00,1.51E+00,1.37E+00,1.18E+00,,,
-0.22,2.23E+00,1.80E+00,1.63E+00,1.29E+00,,,
0.22,2.41E+00,1.91E+00,1.73E+00,1.32E+00,,,
0.67,2.23E+00,1.85E+00,1.64E+00,1.28E+00,,,
1.11,1.47E+00,1.57E+00,1.39E+00,1.17E+00,,,
1.56,3.80E-01,1.07E+00,1.05E+00,9.99E-01,,,
2,9.99E-03,5.42E-01,6.84E-01,7.99E-01,,,
2.44,1.27E-04,1.99E-01,3.71E-01,5.87E-01,,,
2.89,5.38E-04,3.87E-02,1.57E-01,3.82E-01,,,
3.33,1.15E-03,3.26E-03,4.98E-02,2.09E-01,,,
3.78,1.70E-03,3.29E-03,1.14E-02,9.13E-02,,,
4.22,2.58E-03,4.78E-03,5.63E-03,3.31E-02,,,
4.67,3.55E-03,6.88E-03,7.80E-03,1.33E-02,,,
5.11,4.28E-03,9.93E-03,1.08E-02,1.13E-02,,,
5.56,5.34E-03,1.41E-02,1.40E-02,1.30E-02,,,
6,6.49E-03,1.83E-02,1.67E-02,1.43E-02,,,
6.44,7.11E-03,2.06E-02,1.84E-02,1.49E-02,,,
6.89,6.68E-03,2.04E-02,1.85E-02,1.49E-02,,,
7.33,5.58E-03,1.84E-02,1.69E-02,1.42E-02,,,
7.78,4.04E-03,1.50E-02,1.41E-02,1.29E-02,,,
8.22,2.58E-03,1.03E-02,1.09E-02,1.10E-02,,,
8.67,1.53E-03,6.68E-03,7.62E-03,8.73E-03,,,
9.11,8.05E-04,4.06E-03,4.86E-03,6.50E-03,,,
9.56,4.01E-04,2.14E-03,2.92E-03,4.47E-03,,,
10,1.85E-04,1.15E-03,1.64E-03,2.82E-03,,,
10.44,6.77E-05,5.60E-04,8.61E-04,1.69E-03,,,
10.89,2.84E-05,2.97E-04,4.48E-04,9.45E-04,,,
11.33,1.05E-05,1.56E-04,2.27E-04,4.95E-04,,,
11.78,3.38E-06,8.10E-05,1.19E-04,2.57E-04,,,
12.22,1.21E-06,4.06E-05,6.09E-05,1.29E-04,,,
12.67,4.40E-07,1.90E-05,3.04E-05,6.73E-05,,,
13.11,1.39E-07,8.29E-06,1.44E-05,3.43E-05,,,
13.56,3.36E-08,2.91E-06,6.33E-06,1.70E-05,,,
14,1.08E-08,1.01E-06,2.56E-06,8.06E-06,,,
14.44,4.04E-09,4.19E-07,9.14E-07,3.56E-06,,,
14.89,1.81E-09,1.59E-07,3.44E-07,1.45E-06,,,
15.33,1.15E-09,7.46E-08,1.54E-07,5.29E-07,,,
