r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,
-22,1.12E-44,4.83E-44,2.62E-43,4.36E-43,,
-21.555556,6.04E-44,2.62E-43,3.69E-43,1.88E-42,,
-21.111111,1.10E-43,4.75E-43,4.36E-43,1.85E-41,,
-20.666667,1.59E-43,6.89E-43,2.25E-42,4.45E-41,,
-20.222222,1.63E-43,7.03E-43,2.58E-41,7.69E-41,,
-19.777778,1.54E-42,9.10E-42,7.11E-41,1.17E-40,,
-19.333333,1.94E-41,1.18E-40,1.38E-40,1.57E-40,,
-18.888889,3.72E-41,2.27E-40,2.10E-40,4.49E-39,,
-18.444444,5.50E-41,3.36E-40,2.81E-40,1.34E-38,,
-18,5.90E-41,3.58E-40,8.06E-39,2.70E-38,,
-17.555556,6.06E-41,3.65E-40,2.41E-38,4.21E-38,,
-17.111111,4.50E-39,3.90E-38,4.84E-38,5.74E-38,,
-16.666667,9.25E-39,8.04E-38,7.55E-38,3.84E-37,,
-16.222222,1.40E-38,1.22E-37,1.03E-37,8.71E-36,,
-15.777778,1.58E-38,1.36E-37,6.84E-37,1.98E-34,,
-15.333333,1.63E-38,1.39E-37,1.56E-35,4.96E-33,,
-14.888889,2.67E-37,2.94E-36,3.56E-34,3.14E-31,,
-14.444444,5.37E-36,7.49E-35,8.93E-33,8.75E-30,,
-14,1.02E-34,1.70E-33,5.66E-31,1.77E-28,,
-13.555556,2.38E-33,4.29E-32,1.58E-29,2.37E-27,,
-13.111111,1.69E-31,2.78E-30,3.18E-28,8.83E-26,,
-12.666667,7.27E-30,7.59E-29,4.26E-27,2.86E-24,,
-12.222222,2.78E-28,1.51E-27,1.59E-25,7.66E-23,,
-11.777778,1.05E-26,1.97E-26,5.15E-24,9.75E-21,,
-11.333333,1.17E-24,7.73E-25,1.38E-22,5.93E-19,,
-10.888889,6.08E-23,2.50E-23,1.75E-20,3.94E-17,,
-10.444444,2.05E-21,6.64E-22,1.07E-18,3.52E-15,,
-10,2.41E-19,8.71E-20,7.09E-17,2.62E-13,,
-9.5555556,1.22E-17,5.25E-18,6.33E-15,2.09E-11,,
-9.1111111,6.78E-16,3.49E-16,4.71E-13,6.46E-10,,
-8.6666667,4.74E-14,3.13E-14,3.76E-11,9.70E-09,,
-8.2222222,2.67E-12,2.32E-12,1.16E-09,1.41E-07,,
-7.7777778,1.57E-10,1.86E-10,1.75E-08,1.84E-06,,
-7.3333333,3.69E-09,5.63E-09,2.53E-07,1.58E-05,,
-6.8888889,4.28E-08,8.15E-08,3.32E-06,8.09E-05,,
-6.4444444,4.63E-07,1.18E-06,2.84E-05,2.39E-04,,
-6,4.58E-06,1.53E-05,1.46E-04,4.40E-04,,
-5.5555556,3.02E-05,1.26E-04,4.30E-04,5.54E-04,,
-5.1111111,1.28E-04,5.85E-04,7.93E-04,5.85E-04,,
-4.6666667,3.15E-04,1.42E-03,9.93E-04,6.12E-04,,
-4.2222222,4.35E-04,1.81E-03,1.02E-03,1.50E-02,,
-3.7777778,2.52E-04,1.02E-03,9.57E-04,1.47E-01,,
-3.3333333,6.15E-05,2.79E-04,2.65E-02,3.92E-01,,
-2.8888889,1.40E-04,2.49E-04,2.64E-01,6.48E-01,,
-2.4444444,1.10E-01,1.29E-01,7.04E-01,8.90E-01,,
-2,1.19E+00,1.19E+00,1.17E+00,1.13E+00,,
-1.5555556,2.13E+00,2.20E+00,1.60E+00,1.39E+00,,
-1.1111111,2.16E+00,2.31E+00,2.01E+00,1.67E+00,,
-0.6666667,2.14E+00,2.17E+00,2.24E+00,1.95E+00,,
-0.2222222,2.23E+00,2.19E+00,2.30E+00,2.18E+00,,
0.2222222,2.38E+00,2.33E+00,2.35E+00,2.16E+00,,
0.6666667,2.52E+00,2.50E+00,2.35E+00,1.92E+00,,
1.1111111,2.43E+00,2.55E+00,2.12E+00,1.67E+00,,
1.5555556,1.83E+00,2.17E+00,1.66E+00,1.43E+00,,
2,6.25E-01,1.03E+00,1.16E+00,1.18E+00,,
2.4444444,8.87E-04,7.43E-02,6.54E-01,9.25E-01,,
2.8888889,8.40E-06,1.18E-04,2.20E-01,6.47E-01,,
3.3333333,5.91E-05,8.26E-05,1.53E-02,3.64E-01,,
3.7777778,2.05E-04,4.20E-04,1.06E-03,1.24E-01,,
4.2222222,5.83E-04,1.52E-03,1.78E-03,9.72E-03,,
4.6666667,1.08E-03,3.16E-03,2.32E-03,1.50E-03,,
5.1111111,1.24E-03,3.75E-03,2.50E-03,1.50E-03,,
5.5555556,9.33E-04,2.78E-03,2.28E-03,1.49E-03,,
6,4.61E-04,1.32E-03,1.66E-03,1.44E-03,,
6.4444444,1.41E-04,3.77E-04,9.11E-04,1.27E-03,,
6.8888889,3.14E-05,7.20E-05,3.55E-04,9.23E-04,,
7.3333333,5.25E-06,9.92E-06,9.19E-05,5.06E-04,,
7.7777778,4.34E-07,6.21E-07,1.65E-05,1.97E-04,,
8.2222222,1.64E-08,1.57E-08,2.11E-06,5.11E-05,,
8.6666667,5.27E-10,3.51E-10,1.27E-07,9.17E-06,,
9.1111111,1.11E-11,5.41E-12,3.21E-09,1.17E-06,,
9.5555556,2.48E-13,9.81E-14,7.14E-11,7.08E-08,,
10,6.17E-15,1.97E-15,1.10E-12,1.78E-09,,
10.444444,5.22E-17,1.37E-17,2.00E-14,3.96E-11,,
10.888889,1.82E-18,4.24E-19,3.98E-16,6.13E-13,,
11.333333,3.43E-20,7.27E-21,2.82E-18,1.11E-14,,
11.777778,2.72E-22,5.12E-23,8.63E-20,2.21E-16,,
12.222222,7.24E-24,1.32E-24,1.47E-21,1.56E-18,,
12.666667,1.55E-25,2.93E-26,1.05E-23,4.79E-20,,
13.111111,2.41E-27,5.39E-28,2.70E-25,8.14E-22,,
13.555556,1.37E-29,4.70E-30,5.98E-27,5.84E-24,,
14,2.38E-31,1.44E-31,1.09E-28,1.50E-25,,
14.444444,5.83E-33,5.76E-33,9.71E-31,3.32E-27,,
14.888889,1.61E-34,2.18E-34,2.99E-32,6.04E-29,,
15.333333,7.13E-36,1.03E-35,1.20E-33,5.39E-31,,
15.777778,6.57E-36,1.01E-35,5.07E-35,1.66E-32,,
16.222222,5.62E-36,9.01E-36,7.64E-36,6.68E-34,,
16.666667,3.71E-36,5.94E-36,5.58E-36,2.85E-35,,
17.111111,1.80E-36,2.88E-36,3.57E-36,4.25E-36,,
17.555556,1.36E-38,2.03E-38,1.78E-36,3.11E-36,,
18,1.30E-38,1.99E-38,5.90E-37,1.99E-36,,
18.444444,1.18E-38,1.87E-38,1.56E-38,9.89E-37,,
18.888889,7.99E-39,1.26E-38,1.16E-38,3.29E-37,,
19.333333,4.16E-39,6.55E-39,7.67E-39,8.73E-39,,
19.777778,3.19E-40,4.99E-40,3.94E-39,6.48E-39,,
20.222222,2.33E-41,3.22E-41,1.43E-39,4.27E-39,,
20.666667,2.25E-41,3.16E-41,1.19E-40,2.47E-39,,
21.111111,1.55E-41,2.18E-41,2.00E-41,1.02E-39,,
21.555556,8.55E-42,1.20E-41,1.69E-41,9.98E-41,,
22,1.58E-42,2.21E-42,1.20E-41,2.00E-41,,
