r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,,
-22.00,2.17E-10,1.16E-09,4.80E-09,7.66E-09,,,
-21.56,6.68E-10,4.95E-09,6.28E-09,9.95E-09,,,
-21.11,1.04E-09,8.28E-09,7.66E-09,2.26E-08,,,
-20.67,1.27E-09,1.07E-08,1.17E-08,4.17E-08,,,
-20.22,1.50E-09,1.32E-08,3.05E-08,6.43E-08,,,
-19.78,2.81E-09,2.14E-08,6.38E-08,9.93E-08,,,
-19.33,1.70E-08,9.88E-08,1.11E-07,1.42E-07,,,
-18.89,3.12E-08,1.75E-07,1.71E-07,2.05E-07,,,
-18.44,4.55E-08,2.45E-07,2.44E-07,2.90E-07,,,
-18.00,5.97E-08,3.16E-07,3.40E-07,3.94E-07,,,
-17.56,7.39E-08,3.86E-07,4.60E-07,5.18E-07,,,
-17.11,1.19E-07,5.76E-07,6.01E-07,6.53E-07,,,
-16.67,1.65E-07,7.74E-07,7.65E-07,8.57E-07,,,
-16.22,2.12E-07,9.55E-07,9.51E-07,1.26E-06,,,
-15.78,2.59E-07,1.14E-06,1.24E-06,2.17E-06,,,
-15.33,3.05E-07,1.32E-06,1.86E-06,3.99E-06,,,
-14.89,5.32E-07,2.01E-06,3.37E-06,8.50E-06,,,
-14.44,1.07E-06,3.89E-06,6.50E-06,1.90E-05,,,
-14.00,2.12E-06,8.49E-06,1.45E-05,3.98E-05,,,
-13.56,4.14E-06,1.68E-05,3.31E-05,7.70E-05,,,
-13.11,9.30E-06,4.11E-05,7.01E-05,1.50E-04,,,
-12.67,2.11E-05,9.53E-05,1.36E-04,2.89E-04,,,
-12.22,3.56E-05,1.89E-04,2.63E-04,5.40E-04,,,
-11.78,4.76E-05,3.36E-04,5.06E-04,9.57E-04,,,
-11.33,6.53E-05,6.54E-04,9.39E-04,1.48E-03,,,
-10.89,1.12E-04,1.26E-03,1.65E-03,2.13E-03,,,
-10.44,1.98E-04,2.26E-03,2.52E-03,2.94E-03,,,
-10.00,2.69E-04,3.76E-03,3.57E-03,3.88E-03,,,
-9.56,2.98E-04,4.69E-03,4.81E-03,4.94E-03,,,
