r (cm),T,TMean,TMean w/ 2cm filter,TMean w/ 4cm filter
0.00,962.23605,1010.755,1067.073878,1221.094171
0.12,971.82031,1018.4895,1081.85052,1232.945278
0.24,981.47611,1026.1422,1098.595864,1240.339837
0.36,994.68835,1037.8563,1118.45785,1243.44816
0.48,1011.3531,1053.2514,1140.704323,1242.772319
0.61,1028.3082,1069.0976,1163.220493,1238.603741
0.73,1054.209,1097.2714,1184.916327,1231.398
0.85,1080.2722,1125.403,1205.34315,1221.830613
0.97,1114.3619,1165.3985,1221.094171,1210.285075
1.09,1155.5399,1214.8403,1246.015294,1197.221105
1.21,1198.4786,1266.0493,1266.894847,1183.257774
1.33,1264.1153,1336.9397,1283.151559,1168.491441
1.45,1329.9823,1407.662,1294.410335,1153.394082
1.58,1411.0165,1455.9307,1300.163994,1138.037185
1.70,1501.4691,1488.658,1300.386,1122.583801
1.82,1584.3961,1511.7455,1294.7689,1107.167798
1.94,1606.6141,1473.1105,1283.462381,1091.806489
2.06,1628.0748,1434.4141,1266.122578,1078.637725
2.18,1571.8063,1373.4419,1242.909099,1064.500572
2.30,1475.0163,1302.5063,1213.717991,1049.397249
2.42,1370.3144,1229.2555,1178.054951,1033.194521
2.55,1240.0351,1151.0636,1135.997609,1015.833555
2.67,1109.7559,1072.8717,1089.11829,997.3982252
2.79,994.86592,1001.7807,1038.566155,977.5149688
2.91,885.4063,933.19217,984.9484547,956.1864876
3.03,787.12126,870.62186,932.1881776,933.1780197
3.15,712.30584,820.21116,880.2793165,908.2017879
3.27,637.49043,769.80045,830.5317065,881.2042409
3.39,594.27574,730.66803,783.5117059,851.702813
3.52,555.25102,692.68719,739.4578241,819.7509455
3.64,526.17838,658.98227,698.8500665,786.02905
3.76,509.26502,629.27171,661.6884335,751.0569906
3.88,492.86877,600.24459,627.5579876,715.2106827
4.00,483.55686,576.18579,596.5536871,680.3605052
4.12,474.45542,551.96346,568.3185571,646.513497
4.24,464.19536,527.73253,542.1373271,614.4333124
4.36,453.60082,503.16629,518.2309818,584.4227109
4.48,442.04072,480.33951,496.0299429,556.55185
4.61,427.84987,460.73172,475.46647,531.0031164
4.73,413.65902,441.12394,456.3839859,507.7867585
4.85,399.48227,421.56312,438.7101994,486.6875973
4.97,386.11333,406.11906,422.4049082,467.6369661
5.09,372.58898,390.62465,407.1859106,450.4614188
5.21,359.06463,375.13025,393.2348724,434.7924824
5.33,349.37548,363.39258,380.5539265,420.6329088
5.45,341.21253,353.25037,369.1627971,407.6474442
5.58,333.04959,343.10815,359.0225547,395.8011927
5.70,326.15609,334.58004,349.9637412,384.9649461
5.82,321.14034,328.81734,341.9863553,375.0186412
5.94,316.12459,323.05464,335.1015447,365.9436239
6.06,311.28517,317.46283,329.0844706,357.5933139
6.18,309.29201,314.79581,323.9380947,349.9734009
6.30,307.28451,312.15645,319.6677576,343.084833
6.42,305.27701,309.51709,316.0651176,336.9383555
6.55,304.17385,307.95539,313.0363247,331.4816558
6.67,303.33626,306.73189,310.5820882,326.6176533
6.79,302.49868,305.50838,308.6093594,322.3466679
6.91,301.86564,304.52134,306.9594582,318.6675003
7.03,301.48344,303.8288,305.6401006,315.455567
7.15,301.10124,303.13626,304.6426594,312.7125342
7.27,300.78622,302.53452,303.7964229,310.4385721
7.39,300.64312,302.1477,303.1008982,308.5198991
7.52,300.50001,301.76089,302.5568588,306.9083264
7.64,300.36577,301.38613,302.1018147,305.6038539
7.76,300.27293,301.04365,301.7164929,304.5576967
7.88,300.19914,300.76902,301.4013288,303.6860515
8.00,300.16161,300.62556,301.1427359,302.988967
8.12,300.1339,300.50633,300.9236635,302.4612848
8.24,300.1169,300.40979,300.7444424,302.0143852
8.36,300.10447,300.33253,300.5998453,301.6474515
8.48,300.09545,300.26842,300.4775376,301.3604839
8.61,300.08884,300.21964,300.3775182,301.1208352
8.73,300.08371,300.18142,300.2993253,300.9182579
8.85,300.08003,300.15059,300.2410547,300.7527533
8.97,300.07753,300.12526,300.1988094,300.6171579
9.09,300.07558,300.10457,300.1649129,300.5025473
9.21,300.07433,300.0895,300.1379594,300.4089221
9.33,300.07323,300.07637,300.1166565,300.3335312
9.45,300.07256,300.06847,300.09987,300.2698621
9.58,300.07189,300.06056,300.0868441,300.2179145
9.70,300.0716,300.05685,300.0766794,300.1773236
9.82,300.0713,300.05305,300.0687565,300.1471109
9.94,300.07114,300.05085,300.0626447,300.1252206
10.06,300.07103,300.04932,300.0580206,300.1076779
10.18,300.07095,300.04812,300.0546124,300.09522
10.30,300.07092,300.04764,300.05209,300.0850726
10.42,300.07089,300.04716,300.05034,300.076824
10.55,300.07088,300.04698,300.0490547,300.0702172
10.67,300.07087,300.04684,300.0482353,300.0648807
10.79,300.07087,300.04673,300.0476341,300.0605644
10.91,300.07087,300.04669,300.0472571,300.0571019
11.03,300.07086,300.04665,300.04701,300.0543756
11.15,300.07086,300.04663,300.0468656,300.0522842
11.27,300.07086,300.04662,300.046782,300.0506661
11.39,300.07086,300.04662,300.0467207,300.0494977
11.52,300.07086,300.04662,300.0466869,300.0485943
11.64,300.07087,300.04663,300.0466625,300.047996
11.76,300.07087,300.04663,300.0466464,300.04753
11.88,300.07088,300.04664,300.046638,300.0472233
12.00,300.07088,300.04665,300.0466322,300.04701
