r (cm),T,TMean,TMean w/ 2cm filter,TMean w/ 4cm filter
0.00,946.8587,952.17526,1016.346619,1184.87151
0.12,965.16848,963.51934,1030.137197,1208.674243
0.24,983.12009,974.77968,1045.46667,1227.951662
0.36,1003.1179,989.02449,1063.812489,1241.727084
0.48,1024.7125,1006.1014,1084.532005,1250.274594
0.61,1046.5747,1023.4977,1107.693912,1252.639521
0.73,1075.9959,1049.9169,1133.010818,1249.652077
0.85,1105.1171,1076.5405,1159.680154,1242.378511
0.97,1143.9242,1111.5643,1184.87151,1231.520717
1.09,1189.6033,1154.2524,1223.762418,1217.796921
1.21,1237.7011,1198.7614,1259.728645,1202.172992
1.33,1313.9985,1265.6165,1290.827494,1184.871322
1.45,1389.7816,1333.1662,1316.251041,1166.731617
1.58,1480.9861,1408.7987,1333.674665,1147.933854
1.70,1582.9866,1487.4475,1343.111759,1128.850876
1.82,1672.1955,1559.7202,1344.592324,1109.849912
1.94,1683.801,1587.9332,1338.380156,1090.964725
2.06,1697.4544,1613.3207,1324.447081,1076.217271
2.18,1626.5563,1574.9452,1303.370518,1060.496801
2.30,1519.428,1503.4601,1275.074332,1043.903639
2.42,1408.1514,1421.2248,1239.380412,1026.394762
2.55,1283.6903,1302.303,1196.41762,1007.941998
2.67,1159.9174,1183.9283,1146.274258,988.6481112
2.79,1053.8887,1075.0865,1089.413818,968.2358906
2.91,952.63362,970.93365,1026.29138,946.6999497
3.03,860.63559,874.70203,960.2664424,923.8548876
3.15,785.37579,795.95083,891.5266276,899.4566612
3.27,709.76405,717.72623,824.0125171,873.4500915
3.39,653.24953,658.81987,759.7637788,845.2072227
3.52,597.37399,602.79873,699.5246853,814.7194467
3.64,549.4594,556.36154,645.6715335,781.7412961
3.76,508.16362,520.82002,598.1647876,746.2208182
3.88,468.17024,486.63876,556.4452553,708.4127948
4.00,440.79885,465.50926,520.3713494,669.6499124
4.12,412.95613,444.74385,489.4542259,630.0216473
4.24,393.18728,427.20532,462.6656241,591.5226882
4.36,375.94182,411.23155,440.0700712,555.1541182
4.48,361.81094,397.16021,420.5553488,521.2417009
4.61,353.61021,386.79942,403.9507018,490.9162221
4.73,345.10083,376.31362,389.7689482,464.1669288
4.85,336.62802,365.85445,377.4886782,440.7049382
4.97,331.40417,357.67725,367.0251088,420.3912718
5.09,325.96348,349.11093,357.6179729,402.9897258
5.21,320.5228,340.5446,349.3671318,387.9704148
5.33,316.55033,333.60183,342.0784241,375.3182424
5.45,313.33923,327.06959,335.6598053,364.4498733
5.58,310.13447,320.51973,330.0363929,355.2777521
5.70,307.56403,315.27173,325.0012282,347.5115897
5.82,306.06988,312.05543,320.5616512,340.8220015
5.94,304.58739,308.75808,316.7221341,335.1678755
6.06,303.15307,305.58795,313.3558847,330.153967
6.18,302.51748,304.47955,310.4854518,325.7692697
6.30,301.8939,303.29729,308.1125071,321.9160282
6.42,301.27033,302.11503,306.1455576,318.5468324
6.55,300.92694,301.5622,304.5602129,315.6040373
6.67,300.69704,301.20162,303.3577688,312.9752036
6.79,300.46726,300.84081,302.4631735,310.6641206
6.91,300.30817,300.58266,301.7571247,308.6699815
7.03,300.24333,300.45101,301.2449012,306.9236361
7.15,300.17738,300.31357,300.9190712,305.4368758
7.27,300.12623,300.20454,300.6584124,304.2097012
7.39,300.11227,300.16369,300.4672829,303.1929136
7.52,300.0974,300.11873,300.3456912,302.374073
7.64,300.08395,300.07818,300.2566153,301.753713
7.76,300.07893,300.06361,300.1887482,301.2923836
7.88,300.07507,300.0526,300.1421041,300.9285179
8.00,300.07401,300.05028,300.1106447,300.6645721
8.12,300.07333,300.04884,300.0869288,300.4966909
8.24,300.07309,300.04835,300.0712976,300.3623979
8.36,300.07296,300.04809,300.06208,300.2639312
8.48,300.07291,300.04797,300.0552659,300.2012906
8.61,300.07289,300.04791,300.0510965,300.1554027
8.73,300.07288,300.04788,300.0493129,300.1204415
8.85,300.07288,300.04786,300.0483865,300.0964142
8.97,300.07288,300.04785,300.0481082,300.0802097
9.09,300.07288,300.04784,300.0479665,300.0679948
9.21,300.07288,300.04784,300.04791,300.0599448
9.33,300.07288,300.04784,300.0478829,300.0551991
9.45,300.07289,300.04785,300.0478712,300.0516912
9.58,300.07289,300.04785,300.0478671,300.0495461
9.70,300.07289,300.04786,300.0478665,300.0486297
9.82,300.07289,300.04786,300.0478682,300.0481552
9.94,300.0729,300.04787,300.0478712,300.0480142
10.06,300.0729,300.04787,300.0478753,300.0479439
10.18,300.0729,300.04788,300.04788,300.0479159
10.30,300.07291,300.04789,300.0478853,300.0479019
10.42,300.07291,300.04789,300.0478906,300.0478957
10.55,300.07292,300.0479,300.0478959,300.0478931
10.67,300.07292,300.0479,300.0479012,300.0478925
10.79,300.07293,300.04791,300.0479065,300.047893
10.91,300.07293,300.04791,300.0479118,300.0478942
11.03,300.07293,300.04792,300.0479171,300.047896
11.15,300.07294,300.04792,300.04792,300.0478983
11.27,300.07294,300.04793,300.0479227,300.0479009
11.39,300.07294,300.04793,300.047925,300.0479036
11.52,300.07295,300.04794,300.0479277,300.0479062
11.64,300.07295,300.04794,300.04793,300.047909
11.76,300.07296,300.04795,300.0479327,300.0479116
11.88,300.07296,300.04795,300.047935,300.0479144
12.00,300.07296,300.04796,300.0479378,300.0479171
