r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,
-22,2.34E-43,3.31E-44,1.79E-43,3.62E-43,,
-21.56,1.27E-42,1.79E-43,2.66E-43,2.22E-42,,
-21.11,2.30E-42,3.25E-43,3.62E-43,2.31E-41,,
-20.67,3.68E-42,5.27E-43,2.66E-42,5.59E-41,,
-20.22,5.17E-42,7.47E-43,3.23E-41,1.01E-40,,
-19.78,7.64E-41,1.15E-41,8.94E-41,1.76E-40,,
-19.33,9.84E-40,1.49E-40,1.82E-40,2.74E-40,,
-18.89,1.89E-39,2.86E-40,3.17E-40,1.03E-38,,
-18.44,3.05E-39,4.65E-40,4.90E-40,3.11E-38,,
-18,4.36E-39,6.73E-40,1.86E-38,6.50E-38,,
-17.56,5.67E-39,8.80E-40,5.58E-38,1.15E-37,,
-17.11,5.60E-37,9.05E-38,1.17E-37,1.81E-37,,
-16.67,1.15E-36,1.87E-37,2.07E-37,1.82E-36,,
-16.22,1.87E-36,3.06E-37,3.26E-37,6.49E-35,,
-15.78,2.73E-36,4.51E-37,3.25E-36,2.38E-33,,
-15.33,3.58E-36,5.97E-37,1.17E-34,9.61E-32,,
-14.89,8.38E-35,1.47E-35,4.28E-33,8.57E-30,,
-14.44,3.04E-33,5.68E-34,1.73E-31,3.79E-28,,
-14,1.04E-31,2.08E-32,1.54E-29,1.35E-26,,
-13.56,3.94E-30,8.44E-31,6.81E-28,4.21E-25,,
-13.11,3.29E-28,7.63E-29,2.43E-26,2.65E-23,,
-12.67,1.35E-26,3.33E-27,7.58E-25,1.06E-21,,
-12.22,4.44E-25,1.18E-25,4.77E-23,2.95E-20,,
-11.78,1.28E-23,3.67E-24,1.91E-21,1.88E-18,,
-11.33,7.57E-22,2.35E-22,5.30E-20,7.00E-17,,
-10.89,2.79E-20,9.29E-21,3.38E-18,2.88E-15,,
-10.44,7.06E-19,2.56E-19,1.26E-16,1.18E-13,,
-10,4.22E-17,1.66E-17,5.19E-15,4.58E-12,,
-9.56,1.39E-15,6.13E-16,2.12E-13,1.88E-10,,
-9.11,5.13E-14,2.53E-14,8.24E-12,3.20E-09,,
-8.67,1.84E-12,1.03E-12,3.39E-10,2.43E-08,,
