r (cm),T,TMean,TMean w/ 2cm filter,TMean w/ 4cm filter
0.00,1456.2146,1484.9089,1493.085233,1221.094171
0.12,1512.3762,1490.6271,1488.44722,1232.945278
0.24,1572.5509,1497.6528,1482.578264,1240.339837
0.36,1628.0877,1502.4845,1475.56385,1243.44816
0.48,1674.1957,1503.6059,1467.728269,1242.772319
0.61,1673.0045,1505.2973,1459.340336,1238.603741
0.73,1642.2635,1496.235,1450.535107,1231.398
0.85,1574.2092,1487.0153,1441.396538,1221.830613
0.97,1457.6989,1469.9403,1431.907165,1210.285075
1.09,1337.3313,1446.7051,1418.427724,1197.221105
1.21,1204.7108,1423.8887,1403.392229,1183.257774
1.33,1074.2412,1398.4053,1386.8262,1168.491441
1.45,961.19786,1373.7013,1368.953871,1153.394082
1.58,871.00747,1350.2972,1350.338482,1138.037185
1.70,785.70143,1327.2619,1330.933329,1122.583801
1.82,725.68559,1304.318,1311.324941,1107.167798
1.94,675.08448,1280.0772,1291.512847,1091.806489
2.06,632.49169,1255.7584,1271.8529,1078.637725
2.18,600.84951,1235.0237,1252.488635,1064.500572
2.30,572.46069,1216.0303,1233.4019,1049.397249
2.42,551.69946,1198.6549,1214.690506,1033.194521
2.55,535.80623,1187.1443,1196.289965,1015.833555
2.67,521.64397,1175.4097,1178.217,997.3982252
2.79,513.92548,1162.8924,1160.565494,977.5149688
2.91,508.1062,1150.2097,1143.288371,956.1864876
3.03,504.30547,1135.7212,1126.536592,933.1780197
3.15,502.60262,1117.5126,1110.301364,908.2017879
3.27,501.73545,1099.4142,1094.107984,881.2042409
3.39,497.4241,1080.3116,1077.773294,851.702813
3.52,493.22715,1060.8921,1061.211528,819.7509455
3.64,487.75724,1043.0568,1043.880185,786.02905
3.76,480.22542,1027.1863,1025.814915,751.0569906
3.88,474.04665,1010.6069,1007.138644,715.2106827
4.00,467.556,995.29696,987.7421247,680.3605052
4.12,461.92834,979.75952,967.73158,646.513497
4.24,457.50322,959.73625,947.2593482,614.4333124
4.36,453.32107,938.34056,926.5718694,584.4227109
4.48,451.20494,917.10489,905.8433382,556.55185
4.61,453.28093,892.51147,885.0366106,531.0031164
4.73,455.16723,868.3001,864.10863,507.7867585
4.85,456.41623,845.3958,843.0925794,486.6875973
4.97,459.735,820.46887,822.0219906,467.6369661
5.09,463.05376,795.54194,800.8099188,450.4614188
5.21,466.63979,769.48466,779.6320535,434.7924824
5.33,465.76161,747.72706,758.7522665,420.6329088
5.45,462.89341,727.92657,738.2503847,407.6474442
5.58,460.0891,707.17773,718.2114771,395.8011927
5.70,456.01998,687.28113,698.8663782,384.9649461
5.82,449.76923,669.91344,680.2059312,375.0186412
5.94,443.32209,652.40689,662.1802676,365.9436239
6.06,436.45307,634.69174,644.9348918,357.5933139
6.18,431.39726,619.73581,628.48046,349.9734009
6.30,426.34145,604.77987,612.9348824,343.084833
6.42,420.11347,589.80857,598.1414894,336.9383555
6.55,415.36308,576.44346,583.9861794,331.4816558
6.67,411.15448,563.64479,570.5173047,326.6176533
6.79,406.51373,551.0725,557.6205494,322.3466679
6.91,401.06479,538.95952,545.1787606,318.6675003
7.03,394.84926,527.29748,533.3058165,315.455567
7.15,389.07635,515.8166,522.0496176,312.7125342
7.27,383.58282,505.20984,511.3086747,310.4385721
7.39,377.27201,496.23938,501.1122241,308.5198991
7.52,371.27899,487.2863,491.4918788,306.9083264
7.64,365.70365,478.20686,482.3625918,305.6038539
7.76,357.65942,468.03629,473.7020788,304.5576967
7.88,351.16343,458.40303,465.4941947,303.6860515
8.00,345.51214,450.56684,457.7201076,302.988967
8.12,340.95442,443.33636,450.34152,302.4612848
8.24,337.24323,437.13978,443.3489576,302.0143852
8.36,334.04607,431.44021,436.6805812,301.6474515
8.48,331.3654,426.2627,430.2558659,301.3604839
8.61,328.98734,421.24558,424.0591741,301.1208352
8.73,326.90118,416.41607,418.1519994,300.9182579
8.85,325.11698,411.53847,412.5894535,300.7527533
8.97,323.60977,406.80004,407.3656176,300.6171579
9.09,322.23053,401.86149,402.3887353,300.5025473
9.21,320.97782,396.94304,397.6109453,300.4089221
9.33,319.73681,391.84744,392.9741588,300.3335312
9.45,318.66726,387.01922,388.4380918,300.2698621
9.58,317.58886,381.94254,383.96393,300.2179145
9.70,316.62701,377.78489,379.5385182,300.1773236
9.82,315.70836,373.47301,375.1491659,300.1471109
9.94,314.89239,369.59782,370.8139182,300.1252206
10.06,314.10624,365.95984,366.5181206,300.1076779
10.18,313.34876,362.11393,362.2928912,300.09522
10.30,312.66962,358.31441,358.1453829,300.0850726
10.42,311.85104,354.32707,354.0743753,300.076824
10.55,310.9028,350.20195,350.0991247,300.0702172
10.67,309.87762,346.01358,346.2323124,300.0648807
10.79,308.69841,341.79708,342.4312229,300.0605644
10.91,307.59358,337.83926,338.7470141,300.0571019
11.03,306.34666,333.77148,335.1561159,300.0543756
11.15,305.39361,330.03259,333.2308831,300.0522842
11.27,304.57626,326.4354,331.3053467,300.0506661
11.39,303.62192,322.64031,329.3761279,300.0494977
11.52,303.12126,319.43996,327.4568246,300.0485943
11.64,302.60067,316.20673,325.5613975,300.047996
11.76,302.1036,313.16637,323.7021082,300.04753
11.88,301.79679,310.84146,321.892611,300.0472233
12.00,301.49535,308.55255,320.1207611,300.04701
