r (cm),T,TMean,TMean w/ 2cm filter,TMean w/ 4cm filter
0.00,1002.1664,1395.7976,1324.387067,1221.094171
0.12,989.89379,1367.5009,1323.38782,1232.945278
0.24,977.98312,1339.1341,1323.275509,1240.339837
0.36,975.28189,1318.1512,1323.945217,1243.44816
0.48,975.65275,1305.142,1325.215062,1242.772319
0.61,978.329,1291.6371,1327.319964,1238.603741
0.73,986.15611,1295.9628,1330.319333,1231.398
0.85,994.12772,1300.1405,1334.032544,1221.830613
0.97,1006.1523,1306.0174,1337.986624,1210.285075
1.09,1020.3221,1314.3946,1338.975094,1197.221105
1.21,1034.7646,1322.1524,1340.973241,1183.257774
1.33,1054.8371,1331.312,1343.368459,1168.491441
1.45,1074.5966,1340.4532,1345.317206,1153.394082
1.58,1097.4795,1354.6837,1345.246218,1138.037185
1.70,1123.6257,1372.3105,1343.180653,1122.583801
1.82,1148.5556,1389.7307,1338.112671,1107.167798
1.94,1181.9856,1401.2519,1330.065459,1091.806489
2.06,1214.057,1412.6016,1319.105141,1078.637725
2.18,1250.9366,1401.4694,1305.2645,1064.500572
2.30,1292.552,1379.8528,1288.631065,1049.397249
2.42,1331.4031,1351.2799,1268.983468,1033.194521
2.55,1380.6552,1303.9352,1246.305455,1015.833555
2.67,1427.451,1256.5225,1220.353073,997.3982252
2.79,1480.7401,1209.8071,1190.882757,977.5149688
2.91,1537.5081,1163.3379,1158.009932,956.1864876
3.03,1588.8548,1119.692,1122.574969,933.1780197
3.15,1638.1573,1079.1037,1084.605794,908.2017879
3.27,1690.8165,1039.384,1045.780809,881.2042409
3.39,1685.5054,997.30286,1006.840394,851.702813
3.52,1673.9849,954.92698,968.3686741,819.7509455
3.64,1606.5881,913.4932,931.7321765,786.02905
3.76,1491.8212,871.31513,896.9349006,751.0569906
3.88,1346.6947,830.89267,863.9611459,715.2106827
4.00,1190.9361,798.85753,832.9412259,680.3605052
4.12,1031.6855,767.12562,803.7090641,646.513497
4.24,881.37573,741.44467,776.0972341,614.4333124
4.36,739.8864,717.86573,750.1743047,584.4227109
4.48,646.98848,697.26067,726.1244476,556.55185
4.61,579.88371,681.11474,703.9663776,531.0031164
4.73,512.77894,664.96881,683.62499,507.7867585
4.85,466.99127,649.25327,665.09008,486.6875973
4.97,449.33616,635.99926,648.2583765,467.6369661
5.09,431.68104,622.74525,632.5988435,450.4614188
5.21,416.22742,609.70259,618.0011376,434.7924824
5.33,404.74265,598.6942,604.1093206,420.6329088
5.45,393.64427,588.45529,590.7759882,407.6474442
5.58,382.60598,578.23979,577.9108394,395.8011927
5.70,373.20501,567.68961,565.2911606,384.9649461
5.82,365.60639,556.22166,552.9150688,375.0186412
5.94,358.00777,544.75371,540.8059712,365.9436239
6.06,351.36399,532.64547,528.9013018,357.5933139
6.18,347.67134,518.96462,517.2010606,349.9734009
6.30,343.9787,505.28378,505.7208441,343.084833
6.42,340.45263,491.19908,494.4575906,336.9383555
6.55,337.9679,478.55314,483.3660365,331.4816558
6.67,335.78183,466.5802,472.4209859,326.6176533
6.79,333.51112,454.57525,461.6480124,322.3466679
6.91,331.07318,443.39861,451.1355294,318.6675003
7.03,329.09609,433.61988,440.9742188,315.455567
7.15,327.11901,423.84115,431.2171847,312.7125342
7.27,324.88338,414.53891,421.9655959,310.4385721
7.39,322.96904,407.21889,413.2171129,308.5198991
7.52,321.0547,399.89887,404.9883241,306.9083264
7.64,319.06324,392.17393,397.2046647,305.6038539
7.76,316.9268,384.54906,389.8503159,304.5576967
7.88,314.91892,377.50945,382.9427447,303.6860515
8.00,313.25634,372.01143,376.4945,302.988967
8.12,311.74871,366.77589,370.4224441,302.4612848
8.24,310.52731,361.68761,364.7815682,302.0143852
8.36,309.37256,356.55957,359.5344676,301.6474515
8.48,308.40574,351.30967,354.5925882,301.3604839
8.61,307.58366,346.23093,349.9485359,301.1208352
8.73,306.99102,341.55627,345.6380471,300.9182579
8.85,306.42837,337.14654,341.6559412,300.7527533
8.97,305.99337,333.77845,337.9840753,300.6171579
9.09,305.45182,330.39493,334.5387235,300.5025473
9.21,304.97298,327.94626,331.3141647,300.4089221
9.33,304.41945,325.3382,328.3127741,300.3335312
9.45,303.99994,323.20694,325.5350718,300.2698621
9.58,303.49613,320.94998,322.9965853,300.2179145
9.70,303.10693,318.89562,320.68924,300.1773236
9.82,302.69513,316.85326,318.5923065,300.1471109
9.94,302.29375,315.08773,316.7085941,300.1252206
10.06,301.95422,313.44045,314.9759494,300.1076779
10.18,301.62489,311.95839,313.4105535,300.09522
10.30,301.40835,310.66397,311.9640988,300.0850726
10.42,301.19514,309.33863,310.6436694,300.076824
10.55,301.09054,308.1554,309.4334335,300.0702172
10.67,301.00416,307.00606,308.3407859,300.0648807
10.79,300.90444,305.9084,307.3504776,300.0605644
10.91,300.83802,305.12343,306.4667794,300.0571019
11.03,300.75508,304.32349,305.6731624,300.0543756
11.15,300.65749,303.7832,305.1877069,300.0522842
11.27,300.56981,303.35653,304.736328,300.0506661
11.39,300.46385,302.8909,304.312925,300.0494977
11.52,300.39376,302.63293,303.9263323,300.0485943
11.64,300.32367,302.37497,303.57391,300.047996
11.76,300.25631,302.06038,303.2618964,300.04753
11.88,300.22236,301.83039,302.997246,300.0472233
12.00,300.18832,301.59624,302.7610033,300.04701
