cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,351,0.010303077,0,0.000198943,0.002455962,0.023403251,0.939035909,0.035104877,0
2,964.1661654,0.277431448,86.21251357,0.117824011,0.011982036,0.072315862,0.265680167,0.108473793,0.541548142
4,1088.400355,0.675466639,76.31599855,0.164206114,0.018927322,0.077413453,0.184878599,0.11612018,0.602660445
6,1151.319004,1.075971801,73.96397428,0.22636567,0.023914529,0.079006117,0.146228491,0.118509176,0.632341687
8,1188.981267,1.439717306,76.44161492,0.295297369,0.028273115,0.0793846,0.121944502,0.1190769,0.651320882
10,1213.286526,1.75580023,84.98548068,0.365606474,0.03252403,0.079138892,0.104020387,0.118708338,0.665608353
12,1228.395898,2.025150913,99.14967836,0.436758506,0.036855841,0.078462696,0.089742681,0.117694044,0.677244739
14,1236.620187,2.254432375,117.1298141,0.506801859,0.041331594,0.077460272,0.077835245,0.116190408,0.687182481
16,1239.199981,2.450389096,137.3729733,0.575194773,0.045973003,0.076189045,0.067657982,0.114283568,0.695896402
18,1237.084772,2.617627469,158.6387378,0.641684285,0.050763333,0.074699508,0.058816954,0.112049262,0.703670944
20,1230.91043,2.760634306,179.9721752,0.70549218,0.055657393,0.073036872,0.051103116,0.109555309,0.71064731
22,1221.171768,2.8827245,200.9599515,0.767421774,0.060622192,0.071235001,0.044356734,0.106852501,0.716933572
24,1208.491848,2.986194205,221.3231874,0.828119584,0.065614672,0.069330911,0.038436121,0.103996367,0.722621929
26,1193.056989,3.073077895,240.819869,0.887355466,0.070648673,0.067329236,0.033231275,0.100993854,0.727796962
28,1174.83474,3.145516789,259.2314219,0.944477673,0.075754416,0.065222574,0.02866744,0.097833861,0.732521708
30,1154.171905,3.20478103,276.3702272,0.998929913,0.080908776,0.063030797,0.024669667,0.094546195,0.736844565
32,1131.46875,3.252263837,291.9679563,1.050619066,0.086093862,0.060771688,0.02115591,0.091157532,0.740821009
34,1107.165801,3.289382296,305.6075003,1.098732194,0.091280282,0.058466466,0.018067337,0.0876997,0.744486214
36,1081.695501,3.318242416,317.1456085,1.143361532,0.096427917,0.056140779,0.015354798,0.084211169,0.747865336
38,1055.346828,3.33914496,326.4774858,1.183539204,0.10151628,0.053809349,0.012977332,0.080714023,0.750983016
40,1028.680362,3.355249913,333.2645812,1.216672229,0.106480983,0.051507882,0.010907686,0.077261822,0.753841627
42,1002.262505,3.36779774,337.6118833,1.24379669,0.111247976,0.049276625,0.009120893,0.073914938,0.756439569
44,976.2997019,3.377549427,339.8327737,1.264464976,0.115795485,0.047128977,0.007594656,0.070693465,0.758787417
46,950.9186705,3.384583616,340.1075949,1.280031228,0.12012416,0.045068177,0.006295506,0.067602266,0.760909891
48,925.977338,3.387589039,338.6364954,1.292498471,0.124275936,0.043076943,0.005186302,0.064615415,0.762845404
50,901.2907371,3.386680417,335.4610997,1.302361805,0.128297754,0.041134483,0.004237986,0.061701724,0.764628053
52,876.8279213,3.381456853,330.6227181,1.310397574,0.132207302,0.039233797,0.00343217,0.058850695,0.766276036
54,852.5677852,3.372747785,324.4803129,1.315846657,0.136006563,0.037375137,0.002757612,0.056062705,0.767797983
56,828.5125944,3.359476885,317.2375249,1.318507729,0.139701017,0.035557695,0.002196077,0.053336542,0.769208669
58,804.8326837,3.34237335,309.0401558,1.318490053,0.143275794,0.033790623,0.001732474,0.050685935,0.770515173
60,781.7856763,3.322832046,300.2337981,1.315853618,0.14669878,0.032091536,0.00135409,0.048137305,0.771718289
62,759.436773,3.300222909,290.8604617,1.310571617,0.149967657,0.030462873,0.001049262,0.04569431,0.772825899
64,737.9193196,3.276322826,280.8515022,1.304251532,0.153073618,0.028910217,0.000808002,0.043365325,0.773842838
66,717.4427903,3.251884758,270.3443387,1.296038915,0.155994634,0.027445679,0.000620636,0.041168518,0.774770533
68,698.1402053,3.227039568,259.7254538,1.287113503,0.15871887,0.026076894,0.000476753,0.039115341,0.775612141
70,679.8809616,3.202617044,249.2145039,1.276300583,0.161261967,0.024796468,0.000366957,0.037194702,0.776379906
72,662.5170757,3.178136157,238.8833931,1.263061384,0.163651867,0.023590617,0.000282845,0.035385925,0.777088746
74,646.1701591,3.154091216,229.0177139,1.249399864,0.165882392,0.022463713,0.000218352,0.033695569,0.777739974
76,630.9485364,3.130596092,219.7951263,1.234555678,0.167937812,0.021424202,0.000169223,0.032136303,0.778332461
78,616.6057423,3.106693531,211.0237323,1.220855874,0.169857918,0.020452321,0.000130999,0.030678481,0.778880281
80,602.821216,3.081766703,202.4440729,1.207958978,0.171690732,0.019523891,0.000100806,0.029285836,0.779398735
82,589.4909223,3.055783649,193.9156495,1.195610099,0.173453513,0.018630423,7.69E-05,0.027945634,0.779893523
84,576.6490032,3.028093713,185.4549141,1.183810235,0.175143211,0.017773511,5.83E-05,0.026660267,0.78036472
86,564.3712704,2.9993676,177.1290214,1.170681923,0.176750845,0.01695777,4.40E-05,0.025436655,0.780810684
88,552.7257118,2.970103715,169.1098794,1.157093423,0.178267055,0.016188148,3.32E-05,0.024282223,0.781229351
90,541.8253464,2.940444283,161.6007378,1.143513333,0.179677254,0.015472123,2.50E-05,0.023208184,0.781617445
92,531.714214,2.911220744,154.6176959,1.129514861,0.180977433,0.014811761,1.88E-05,0.022217642,0.781974376
94,522.4234714,2.883156921,148.1088815,1.115753419,0.182165508,0.01420818,1.42E-05,0.021312269,0.782299892
96,513.8607104,2.856298443,141.954486,1.102222037,0.183256222,0.013653935,1.07E-05,0.020480902,0.782598276
98,505.8722206,2.830773423,136.0720604,1.088811828,0.184270602,0.013138403,8.03E-06,0.019707605,0.78287536
100,498.3142262,2.805695704,130.3887725,1.076299486,0.18522784,0.012651829,6.03E-06,0.018977743,0.783136556
102,491.0777571,2.781249687,124.8850564,1.063853256,0.186141815,0.012187183,4.52E-06,0.018280775,0.78338571
104,484.1277516,2.758496639,119.5810221,1.048752491,0.187016893,0.011742248,3.37E-06,0.017613373,0.783624115
106,477.5058124,2.736037585,114.5129039,1.032388711,0.187848047,0.011319579,2.51E-06,0.016979369,0.783850499
108,471.216891,2.712741535,109.7050701,1.018197104,0.188634592,0.010919542,1.86E-06,0.016379313,0.784064692
110,465.208562,2.689531625,105.1369398,1.00559285,0.189383613,0.01053854,1.38E-06,0.015807809,0.784268659
112,459.5038505,2.666317422,100.7534759,0.993740199,0.190093207,0.010177567,1.02E-06,0.015266351,0.784461852
114,454.1062714,2.642821905,96.56665496,0.982782921,0.190763347,0.009836657,7.60E-07,0.014754986,0.78464425
116,449.0086968,2.620033955,92.6007519,0.972782021,0.191394969,0.009515333,5.64E-07,0.014273,0.784816133
118,444.2194437,2.597295192,88.81187163,0.963769864,0.191987187,0.009214051,4.18E-07,0.013821076,0.784977267
120,439.6811502,2.573796108,85.17535936,0.956250819,0.19254737,0.008929065,3.09E-07,0.013393598,0.785129658
122,435.2786663,2.550114186,81.73160081,0.950484138,0.19308948,0.008653262,2.28E-07,0.012979893,0.785277137
124,430.9519786,2.526432105,78.4993146,0.946939787,0.193620627,0.008383015,1.69E-07,0.012574523,0.785421667
126,426.7178966,2.503762946,75.47232043,0.944754184,0.19413893,0.008119291,1.26E-07,0.012178936,0.785562718
128,422.6558281,2.483177538,72.65446123,0.940534472,0.194634918,0.007866901,9.45E-08,0.011800351,0.785697736
130,418.791569,2.463881024,70.02069369,0.934883608,0.195105812,0.007627269,7.16E-08,0.011440903,0.785825945
132,415.0743643,2.444510239,67.53467884,0.928798451,0.195558147,0.007397085,5.45E-08,0.011095628,0.785949085
134,411.5207092,2.42464942,65.12930242,0.923081436,0.195990355,0.007177131,4.15E-08,0.010765697,0.786066775
136,408.120206,2.404059815,62.78437063,0.917988791,0.196403835,0.006966686,3.16E-08,0.010450029,0.786179418
138,404.8551572,2.384251102,60.55926064,0.911965444,0.196800574,0.006764746,2.41E-08,0.01014712,0.786287536
140,401.7885972,2.366542467,58.5290953,0.905208078,0.197172661,0.006575344,1.84E-08,0.009863016,0.786388961
142,398.9564463,2.351411419,56.6888608,0.896812275,0.197515641,0.006400744,1.42E-08,0.009601117,0.786482484
144,396.3589264,2.339324222,54.99790319,0.886159072,0.197829691,0.00624086,1.10E-08,0.00936129,0.786568148
146,393.9957727,2.329651632,53.40471627,0.874763145,0.198115263,0.006095491,8.56E-09,0.009143237,0.786646
148,391.8127109,2.321803638,51.89604733,0.863653711,0.198378753,0.005961338,6.66E-09,0.008942006,0.786717897
150,389.7424527,2.314524673,50.48055051,0.85395582,0.198628359,0.005834238,5.20E-09,0.008751358,0.78678604
152,387.7657491,2.307058536,49.18891589,0.846815779,0.198866526,0.005712971,4.09E-09,0.008569456,0.786851043
154,385.8639712,2.299555992,48.04174182,0.84089179,0.199095244,0.005596495,3.24E-09,0.008394743,0.786913515
156,384.0330645,2.292398483,46.99997943,0.83586754,0.19931502,0.005484575,2.57E-09,0.008226863,0.78697354
158,382.2732045,2.285492353,46.01723692,0.831250654,0.1995259,0.005377183,2.05E-09,0.008065774,0.78703114
160,380.5791039,2.278835215,45.06937637,0.826578439,0.199728707,0.005273899,1.63E-09,0.007910849,0.787086543
162,378.9448036,2.27224317,44.16068406,0.821870111,0.199924186,0.005174349,1.29E-09,0.007761523,0.787139941
164,377.3494103,2.265568732,43.25462026,0.817107723,0.200114953,0.005077198,1.01E-09,0.007615797,0.787192051
166,375.7747133,2.257875626,42.29714118,0.81373099,0.200303327,0.004981268,7.86E-10,0.007471902,0.787243501
168,374.2181465,2.248970851,41.29868634,0.811473313,0.200489572,0.004886427,6.06E-10,0.00732964,0.78729436
170,372.6913908,2.239760894,40.29177599,0.808614828,0.200672194,0.004793427,4.64E-10,0.00719014,0.787344239
172,371.1987303,2.2313529,39.31073018,0.803709998,0.200850588,0.004702575,3.54E-10,0.007053863,0.787392974
174,369.7379461,2.223590092,38.37195356,0.797544008,0.201024994,0.00461375,2.70E-10,0.006920625,0.787440631
176,368.3032181,2.21539928,37.44738408,0.792027876,0.201196194,0.004526554,2.06E-10,0.006789831,0.787487421
178,366.8743013,2.20707909,36.53429546,0.786357586,0.201366669,0.004439728,1.58E-10,0.006659592,0.78753401
180,365.4606381,2.198771949,35.65776441,0.780295029,0.201535293,0.004353847,1.21E-10,0.006530771,0.787580089
182,364.0921466,2.19061223,34.82121964,0.773634504,0.201698483,0.004270732,9.38E-11,0.006406099,0.787624686
184,362.7839621,2.182167691,34.01843366,0.766939445,0.201854469,0.004191287,7.30E-11,0.006286931,0.787667313
186,361.5388519,2.173763642,33.25362005,0.760776783,0.202002928,0.004115672,5.72E-11,0.006173507,0.787707893
188,360.3334045,2.166242993,32.51735624,0.753769049,0.202146627,0.004042481,4.52E-11,0.006063721,0.787747171
190,359.161381,2.159391914,31.80418716,0.7459867,0.202286282,0.003971351,3.58E-11,0.005957026,0.787785341
192,358.0072145,2.152301866,31.1103335,0.737283754,0.2024237,0.003901357,2.86E-11,0.005852035,0.787822907
194,356.860052,2.144191136,30.42003729,0.728255784,0.202560223,0.003831819,2.29E-11,0.005747729,0.787860228
196,355.7390851,2.134491158,29.72642419,0.720650934,0.202693611,0.00376388,1.82E-11,0.00564582,0.787896689
198,354.6477055,2.122918288,29.0324174,0.715276874,0.202823463,0.00369774,1.44E-11,0.005546611,0.787932186
200,353.5925522,2.110537563,28.35505471,0.711639839,0.20294896,0.003633818,1.13E-11,0.005450727,0.787966494
