cm,K,K,K,K,K,K,K,K,K,K
r,T_20          ,T_60          ,T_100         ,T_140         ,T_180         ,T_20_RMS      ,T_60_RMS      ,T_100_RMS     ,T_140_RMS     ,T_180_RMS     
-10,1379.580876,1059.034106,818.6373836,653.1448725,552.1602687,272.67856,404.5485507,361.5036445,270.9281871,191.7283112
-5.882352941,1441.396181,1223.10341,916.2819978,701.0864943,579.9408709,178.9588328,366.8553342,372.6158261,286.8651157,199.4380547
-1.764705882,1433.698863,1290.967959,963.3976484,725.670054,593.709591,132.2214437,327.0481905,377.087695,292.8728211,200.0724603
2.352941177,1440.248077,1259.779921,946.8489926,721.1730532,588.4886763,136.038321,341.7665903,384.2191078,294.3432231,198.1885616
6.470588235,1436.41711,1150.456625,880.1667247,689.4598135,567.7599062,194.4623957,390.3655521,382.9235704,288.6957151,195.4257333
10.58823529,1339.482741,992.5462008,787.2363416,640.1871428,540.5111992,296.1034038,416.6077621,364.9877991,274.1016645,189.8441641
14.70588235,1153.105249,822.1821385,688.7046428,584.9203715,511.6031099,379.8969711,399.9273739,334.4805267,254.718844,181.2140703
18.82352941,938.3721587,671.5907473,597.90716,532.6649815,481.372611,401.8422448,350.4016662,294.9099098,232.2898099,169.0227886
22.94117647,741.6038974,557.0895132,520.0539663,486.2165449,448.2992343,362.6126537,287.2735136,248.7330357,205.9393284,151.9498185
27.05882353,596.4541766,476.4478399,457.8898282,443.8340122,416.6210223,299.4054119,226.4527852,203.8506198,176.9174195,133.421807
31.17647059,496.2560814,417.5214344,409.6719502,404.4518199,390.0066421,235.6039576,173.2602839,164.4577383,144.7523903,116.7748033
35.29411765,420.1801288,374.4229154,372.1189216,370.7515618,368.6062869,172.3722662,132.4771088,129.4439483,111.1116317,101.838698
39.41176471,359.9487108,343.2583664,343.3779505,345.4529599,351.3631095,114.2407604,101.7427105,97.21908237,82.97258072,87.63355935
43.52941176,317.9529912,321.5747694,322.1357833,327.1029139,337.2004994,62.45696625,75.80468851,68.62741892,62.0452783,73.16254844
47.64705882,298.801101,308.3432735,308.6206364,314.0293174,325.8159746,24.58478785,53.66207162,47.29166584,45.97326863,59.12912539
51.76470588,293.8416918,300.3898491,301.8186017,305.7699517,316.8397781,5.25288269,34.30560607,34.99751365,33.93408966,47.10791638
55.88235294,293.1950837,295.939637,298.6091911,300.8714064,309.3945619,0.34169486,18.53649361,27.04517157,25.03518368,36.09772192
60,293.1446337,294.0675917,296.4588998,297.8358132,303.3825197,0.022361761,7.951245091,18.94040302,18.11145471,25.44687584
