cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,338,0.011644238,1.70598E-05,8.22E-05,0.003361557,0.019069254,0.939430681,0.038138508,0
2,1224.063735,0.426115862,89.16491725,0.207550834,0.017901433,0.077616768,0.24420264,0.155233536,0.505045622
4,1328.595099,0.898247011,86.7272007,0.258203126,0.02681792,0.081419265,0.168916401,0.162838531,0.560007884
6,1372.903928,1.344199008,100.7755471,0.331017626,0.033685533,0.082049772,0.130786628,0.164099543,0.589378524
8,1390.65647,1.738018587,126.2181143,0.449873321,0.04021585,0.081370555,0.105578323,0.16274111,0.610094161
10,1393.407192,2.063641855,157.442715,0.555216838,0.046731531,0.079980561,0.086581012,0.159961123,0.626745774
12,1384.924659,2.327998731,190.3913851,0.629191187,0.053437113,0.078041862,0.071419885,0.156083723,0.641017417
14,1367.180981,2.542949024,222.5873576,0.696421368,0.060430613,0.075632024,0.058958965,0.151264048,0.65371435
16,1341.828435,2.712317981,252.4201539,0.78513779,0.067669737,0.072843763,0.048599169,0.145687526,0.665199806
18,1310.687282,2.845073088,279.0169805,0.846257514,0.074998403,0.069800961,0.040012289,0.139601922,0.675586426
20,1275.204135,2.950250945,302.0889472,0.898398058,0.082318513,0.06659327,0.032890062,0.13318654,0.685011615
22,1236.7499,3.030633523,321.448392,0.968592457,0.089542747,0.06329909,0.026970492,0.12659818,0.693589491
24,1196.835457,3.092859637,336.787394,1.013607462,0.096557123,0.06000541,0.022044162,0.120010821,0.701382483
26,1156.243299,3.140683895,348.1441865,1.056007779,0.103330995,0.056749684,0.017933419,0.113499367,0.708486535
28,1115.428811,3.174324744,355.9962222,1.10146479,0.109842603,0.053557614,0.014520364,0.107115227,0.714964192
30,1074.799503,3.196536845,360.7484462,1.141591667,0.116070816,0.050452174,0.011707189,0.100904349,0.720865472
32,1034.715358,3.210182538,362.4947656,1.175260273,0.122015496,0.047446157,0.009384242,0.094892314,0.726261791
34,995.6665797,3.216088864,361.3301598,1.203631634,0.127643024,0.044566419,0.00747944,0.089132838,0.731178279
36,958.0162164,3.215191451,357.4916643,1.22667705,0.132928631,0.041832886,0.005938974,0.083665772,0.735633737
38,922.0954524,3.210069157,351.4277274,1.243815915,0.13785703,0.039261449,0.004698238,0.078522898,0.739660386
40,888.2059889,3.201935397,343.6178644,1.256868646,0.142416267,0.036865249,0.003699649,0.073730499,0.743288335
42,856.4631479,3.190703291,334.1521773,1.266740001,0.146616036,0.034643834,0.002901987,0.069287668,0.746550474
44,826.6898968,3.17713523,323.2689119,1.273555668,0.150493125,0.032580854,0.002271458,0.065161708,0.749492855
46,798.7380141,3.161306794,311.6423354,1.276685243,0.154071783,0.030666526,0.00177686,0.061333051,0.75215178
48,772.5023363,3.145012913,299.7065484,1.274827533,0.157375733,0.028891092,0.001389668,0.057782184,0.754561323
