cm,K,K,K,K,K,K,K,K,K,K
r,T_20          ,T_60          ,T_100         ,T_140         ,T_180         ,T_20_RMS      ,T_60_RMS      ,T_100_RMS     ,T_140_RMS     ,T_180_RMS     
-10,1173.871821,885.7592327,720.4725556,606.2486886,515.5757477,391.5690697,455.3531455,405.7937226,312.0084306,211.2701991
-9,1201.678138,929.2240551,744.9391508,618.5165951,520.7777136,370.3930458,453.0639791,410.6963605,318.7423161,216.5080729
-8,1223.481499,973.4314732,769.9009602,629.8333711,525.9796795,343.0935774,447.8727439,415.605694,324.010582,221.622188
-7,1236.424262,1018.330324,795.1047964,640.1275161,530.1667486,316.5443794,442.2260134,420.5042827,329.3921562,226.411281
-6,1242.668889,1057.938363,818.8763006,650.4680703,534.3538176,295.3180615,435.200823,424.3850961,336.3766092,231.1011513
-5,1248.24927,1088.494945,841.3817879,659.8306604,536.2379074,276.1661608,426.467328,428.8135162,342.4536229,233.3220358
-4,1255.173564,1114.877826,863.1902135,666.1016581,538.1219971,256.6626692,416.7288319,433.8299322,344.5403594,235.5219791
-3,1259.580128,1138.533381,880.9163923,668.703774,537.7479062,241.4568689,408.9312286,437.1353579,343.540932,235.5059588
-2,1256.991096,1154.573227,892.322516,668.765718,537.3738153,233.7164926,404.3808291,439.6871239,341.4653247,235.4899375
-1,1251.609919,1161.009194,897.1937502,667.0608262,536.127215,232.0414833,401.678048,441.2238626,339.1550118,235.2905813
0,1247.584011,1163.548863,896.1224866,665.4125032,534.8806148,239.3080101,401.833794,440.0620022,338.5482031,235.0910561
1,1247.623295,1163.031207,890.1236829,664.1597461,533.8275203,248.6118579,404.4592945,436.9509108,340.0070537,235.6864013
2,1252.558301,1156.96875,881.0873032,660.5954927,532.7744259,251.4227997,408.8838276,433.4309875,341.1444413,236.2802465
3,1262.450696,1145.762631,868.7654249,653.9457523,532.0918769,252.6881933,416.9129507,430.8755357,339.6963314,236.7979736
4,1272.823332,1124.102841,851.438181,644.9476974,531.4093279,260.9222739,427.8568405,427.965707,335.5549366,237.3145712
5,1272.983672,1089.715517,829.9933357,634.7949687,529.6728317,278.1685847,440.3563551,423.3615074,330.7180738,236.0169425
6,1259.43671,1051.268717,806.0517737,625.6824275,527.9363356,303.0814395,451.8999673,417.5581916,327.46739,234.7121397
7,1239.784096,1014.858857,781.7494569,617.816533,524.1615965,332.7054311,459.4639102,411.9867543,325.651105,231.9165166
8,1219.732387,977.2359194,757.7915984,609.1734534,520.3868573,359.4918552,462.7476433,406.6165206,323.1011139,229.08678
9,1193.571196,936.7155271,733.5292582,598.8777675,515.1234611,383.3417216,464.5869224,401.2960897,317.9354203,225.6093885
10,1161.073037,895.1423402,709.2848436,587.4396722,509.8600648,408.060971,466.5634483,394.7659285,310.6181396,222.077553
11,1126.222413,853.6181651,685.2754939,575.6515607,504.0679541,429.1797194,465.2019714,384.6375823,303.7822162,218.0022605
12,1089.697685,812.562884,662.1101887,564.4827027,498.2758433,443.5446144,457.6609923,373.3278546,299.1386106,213.8493198
13,1054.20374,773.4772474,641.2631143,554.3638219,492.7668992,453.9177379,448.0120638,365.0552824,295.8072763,210.1424286
14,1023.749469,739.6158449,623.3190373,544.8952421,487.257955,462.4820436,440.4450042,361.2710101,291.1151776,206.3689633
15,997.8590266,711.438617,608.3934163,535.6354566,481.66379,468.6710853,433.2064579,360.505501,283.6323743,202.7433031
16,969.390595,687.6364096,596.299635,526.0414085,476.0696251,474.0454572,424.8153364,358.9532146,273.7940889,199.0516137
17,935.9075842,667.3074011,585.8433031,516.0689034,470.3836688,480.532942,416.8619235,354.4498066,262.8313096,195.083421
18,901.646525,649.4963301,576.8130389,506.7076758,464.6977125,484.3734696,411.316878,349.149862,253.4594607,191.0328176
19,868.4762482,635.580205,568.7772763,499.7680876,459.3298409,482.6815959,407.8827688,344.4284554,248.3269088,186.8212466
20,834.7063593,624.6364876,560.920637,495.2213622,453.9619694,476.8907869,405.3229843,339.3453722,245.8234971,182.5125174
21,797.4788003,613.2094726,553.4310354,491.0219864,448.4658472,468.4390612,402.4822654,334.7022134,243.2849229,178.0721379
22,757.1416382,600.8212442,546.827016,486.4374332,442.9732343,456.6398389,398.9091911,332.2334424,240.7797498,173.5363158
23,715.8116839,589.4993632,539.7559304,481.3465607,437.8076118,441.5480963,393.4173198,330.5031424,238.4345053,169.6836075
24,674.9459965,580.348554,531.3100815,475.538321,432.6419893,424.8474444,387.409773,327.4827983,234.8671832,165.7413659
25,637.1350773,571.8989506,522.8981619,469.6916613,427.723709,407.9241876,382.1731541,323.2497198,230.5303153,161.7021576
26,605.6768053,562.0630054,515.2952907,464.2310933,422.8254443,391.1979327,375.2322569,318.9988604,226.2922034,157.532316
27,579.8921322,551.8676294,508.1973412,458.5741386,418.3064976,374.8963329,366.8732628,314.7791702,221.7665442,152.6899086
28,554.2738611,542.0618199,501.1130415,452.0340402,413.7890734,356.873567,359.5580099,310.0999691,216.5477528,147.6843967
29,524.1445023,531.7200273,493.0558121,445.0913184,409.3341587,332.9478408,353.8170137,304.6054348,211.0896012,142.3150785
30,495.0523046,520.7657106,484.4515783,438.8121581,404.9261671,310.3705988,347.667936,297.7979184,206.1517583,136.8746892
31,472.1394372,509.9078825,477.6160751,433.2952735,401.1289024,295.9265925,340.5903624,292.2359972,201.6624905,133.0900109
32,453.9962249,499.7715955,472.6940436,428.2689997,397.3403349,284.7679702,334.0413703,289.2366994,198.5201302,129.286389
33,438.0430189,489.6451447,467.6645212,423.4460544,393.7135125,273.6349578,327.7191797,286.5425007,196.2471868,127.1166972
