cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,329,0.009035978,3.23688E-05,0.000164391,0.004335752,0.012367408,0.970929431,0.012367408,0
4,1138.319825,0.625201908,39.19612233,0.263216232,0.034162812,0.092364792,0.114475144,0.092364792,0.66663246
8,1218.501125,1.37947159,46.88953528,0.249611637,0.038658368,0.094531896,0.076228132,0.094531896,0.696049707
12,1263.412823,1.946111484,50.03561886,0.303615493,0.04160982,0.095256885,0.056602985,0.095256885,0.711273424
16,1293.208119,2.406988006,58.31999065,0.368913984,0.044682442,0.095190101,0.0426022,0.095190101,0.722335156
20,1303.228585,2.780566713,74.42753226,0.446957195,0.049528028,0.093624688,0.031895073,0.093624688,0.731327523
24,1296.187689,3.066646205,100.0332861,0.519081012,0.056126078,0.090722408,0.023303238,0.090722408,0.739125868
28,1272.124288,3.290215401,128.085225,0.580606528,0.064297686,0.086615823,0.016617636,0.086615823,0.745853031
32,1234.287708,3.464553571,153.1879572,0.632434988,0.073527278,0.081648698,0.011610171,0.081648698,0.751565155
36,1183.709342,3.586243488,178.4532973,0.70771261,0.083683356,0.075940124,0.008002516,0.075940124,0.756433881
40,1124.174873,3.65383019,199.8931362,0.791079622,0.094331206,0.069791609,0.005474752,0.069791609,0.760610825
44,1061.224829,3.692197043,214.2869389,0.886634549,0.10482982,0.063631176,0.003736268,0.063631176,0.764171559
48,997.7470781,3.692309633,221.4344199,0.976903412,0.114922202,0.057647063,0.002539367,0.057647063,0.767244306
52,937.1267154,3.679289506,222.1814774,1.047230712,0.124233657,0.052088327,0.001721275,0.052088327,0.769868414
56,880.3440892,3.642187168,218.4595762,1.110287299,0.132713716,0.047000951,0.001162867,0.047000951,0.772121515
60,827.7021873,3.592966381,211.8288567,1.171790645,0.140385055,0.042381386,0.000783252,0.042381386,0.77406892
64,780.1329966,3.535530649,203.5806189,1.225890852,0.147170355,0.038283672,0.000528802,0.038283672,0.775733498
68,738.1616692,3.472946162,194.6171264,1.270932772,0.153049165,0.034726191,0.000359771,0.034726191,0.777138682
72,701.0772949,3.41921327,185.1502575,1.308911674,0.158165946,0.031625682,0.000246428,0.031625682,0.778336262
76,668.3590279,3.368956574,174.9831953,1.331597684,0.162630897,0.028917657,0.000168499,0.028917657,0.77936529
80,640.7972704,3.341723225,163.3725291,1.327928523,0.166369316,0.026649142,0.000114932,0.026649142,0.780217468
84,616.7859093,3.309232032,151.6342994,1.319389987,0.169599199,0.024687799,7.85E-05,0.024687799,0.78094671
88,595.4068146,3.290015386,140.4369549,1.301563451,0.172448562,0.022956276,5.40E-05,0.022956276,0.781584845
92,576.4158623,3.261615843,130.7085471,1.28667597,0.17494936,0.021435899,3.74E-05,0.021435899,0.782141445
