cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,343,0.0116346,0,0.000179855,0.001765678,0.013556351,0.848967164,0.027114025,0.108596781
1.829268293,836.6339198,0.04649328,158.9281225,0.09914061,0.008610847,0.041382887,0.523662843,0.082765774,0.343577648
3.658536585,1009.565826,0.354858064,178.2355456,0.189130129,0.015825228,0.050905927,0.389134709,0.101811855,0.442322281
5.487804878,1082.797084,0.755685209,176.6848289,0.284125139,0.020743575,0.054182758,0.331247128,0.108365517,0.485461022
7.317073171,1129.820729,1.161573951,173.6382405,0.388119866,0.025385881,0.055930448,0.290761295,0.111860896,0.516061479
9.146341463,1164.704246,1.532430255,176.6192762,0.491162975,0.030025398,0.056961141,0.257832259,0.113922282,0.541258919
10.97560976,1191.472164,1.856194525,184.4362398,0.591737273,0.034842887,0.057509103,0.229134995,0.115018206,0.563494808
12.80487805,1212.347785,2.13193608,193.4827312,0.68911128,0.039667271,0.057736519,0.203777594,0.115473039,0.583345576
14.63414634,1227.476286,2.364893349,203.1704151,0.783344029,0.044483506,0.057690977,0.181330839,0.115381953,0.601112725
16.46341463,1235.668868,2.561416003,214.8658549,0.873302501,0.049425013,0.05733572,0.161546731,0.114671439,0.617021097
18.29268293,1236.56898,2.728001896,229.6096956,0.958339827,0.054557032,0.056668939,0.144133308,0.113337879,0.631302842
20.12195122,1231.725911,2.870635261,246.7945246,1.036579482,0.059792341,0.055764423,0.128729588,0.111528846,0.644184803
21.95121951,1223.038804,2.994028201,264.9272029,1.1057311,0.064999552,0.054709744,0.115039792,0.109419489,0.655831422
23.7804878,1211.514584,3.101673699,282.8415018,1.165057605,0.07012366,0.053551155,0.102839499,0.107102309,0.666383376
25.6097561,1197.01386,3.194835366,300.1455105,1.21740689,0.075241824,0.052272829,0.09192977,0.104545659,0.676009918
27.43902439,1180.075077,3.274711428,316.1577254,1.263320836,0.080366723,0.050889365,0.082102903,0.101778731,0.684862278
29.26829268,1162.452318,3.345914006,331.1718551,1.301922313,0.085328786,0.049495491,0.073147652,0.098990982,0.693037088
31.09756098,1144.535088,3.409624375,345.0065794,1.333925101,0.090071747,0.048117821,0.065063471,0.096235643,0.700511317
32.92682927,1126.420774,3.465645514,357.1439857,1.36058123,0.094600238,0.0467603,0.057788784,0.0935206,0.707330079
34.75609756,1107.540344,3.514058768,367.4915573,1.382217661,0.099010407,0.045385612,0.051257962,0.090771224,0.713574795
36.58536585,1087.527747,3.554407268,376.4021584,1.399962775,0.103386179,0.043966607,0.045357924,0.087933213,0.719356078
38.41463415,1066.05236,3.587422476,384.7643976,1.414824646,0.107786995,0.042487607,0.039969779,0.084975215,0.724780403
40.24390244,1043.787995,3.614134258,392.9993835,1.426876584,0.112101782,0.040998898,0.035093512,0.081997795,0.729808013
42.07317073,1021.398582,3.636025665,400.5369214,1.435185118,0.116227263,0.039543602,0.030766876,0.079087204,0.734375056
43.90243902,999.4503122,3.653976242,407.1477518,1.440087999,0.120115956,0.038147946,0.026939574,0.076295892,0.738500631
45.73170732,978.0016948,3.668210554,412.3611404,1.442570901,0.123781755,0.036807749,0.023589883,0.073615497,0.742205116
47.56097561,956.8058135,3.678872271,415.5466176,1.442548318,0.127307579,0.035495253,0.020615015,0.070990505,0.745591648
49.3902439,935.9131893,3.687201282,416.7359758,1.44043883,0.13068305,0.034214616,0.018022945,0.068429233,0.748650156
51.2195122,915.3351796,3.693970824,416.3440563,1.436848209,0.13390247,0.032971067,0.015782056,0.065942133,0.751402275
53.04878049,894.9131684,3.69734329,415.0117877,1.433359983,0.13700352,0.031754278,0.013816965,0.063508556,0.753916682
54.87804878,874.3925856,3.696530776,412.7175659,1.432713221,0.140040945,0.030543352,0.012098008,0.061086704,0.756230992
56.70731707,854.4526699,3.693500686,409.5970612,1.430917747,0.142939228,0.029375462,0.010588891,0.058750923,0.758345496
