cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,329,0.008850047,2.01855E-05,0.000174429,0.00224794,0.022405473,0.952941113,0.022405474,0
2,903.4161036,0.220010621,85.15757517,0.130777526,0.012990052,0.084710439,0.274841527,0.08471044,0.542747542
4,1034.038906,0.585887245,75.82179355,0.176790298,0.02008295,0.091560408,0.187442173,0.091560408,0.60935406
6,1099.23168,0.962019682,74.80954389,0.237967775,0.024616159,0.093740333,0.148802486,0.093740333,0.639100689
8,1139.799079,1.312250192,75.27380691,0.309025219,0.0283146,0.094533801,0.124996644,0.094533801,0.657621154
10,1166.9166,1.621744304,78.72155022,0.376582539,0.032010989,0.094508543,0.107613938,0.094508543,0.671357986
12,1185.197074,1.891108729,87.10602289,0.440924083,0.035877007,0.093934634,0.093721299,0.093934634,0.682532426
14,1196.579139,2.123058463,100.5238355,0.504062373,0.039949824,0.092939697,0.082140383,0.092939698,0.692030397
16,1202.402168,2.323860098,117.4607265,0.564078323,0.04421822,0.091613112,0.072224007,0.091613112,0.70033155
18,1203.765607,2.497785508,136.8322435,0.617881454,0.048618368,0.090041294,0.063599757,0.090041294,0.707699287
20,1201.264073,2.648217277,157.5120068,0.668756353,0.05315121,0.088257111,0.056005003,0.088257111,0.714329565
22,1195.54439,2.778445557,178.7701121,0.721242815,0.057778471,0.086308168,0.049249229,0.086308168,0.720355964
24,1187.130164,2.889589371,200.0625135,0.774399297,0.06243473,0.084246042,0.043240737,0.084246043,0.725832448
26,1176.312611,2.984752077,220.6357244,0.830865254,0.06709494,0.082094653,0.037911566,0.082094653,0.730804189
28,1163.582946,3.064543104,240.0636812,0.887442298,0.071718528,0.079889658,0.033175328,0.079889659,0.735326827
30,1149.499862,3.133294727,258.0178926,0.937384077,0.076243984,0.077676322,0.028970533,0.077676322,0.739432839
32,1134.292225,3.193283555,274.1862787,0.984735772,0.080658062,0.075468273,0.025254313,0.075468274,0.743151078
34,1118.030301,3.244301811,288.3296229,1.028976445,0.084981781,0.073260046,0.021969732,0.073260047,0.746528394
36,1100.668445,3.288487052,300.2045034,1.07123275,0.089253189,0.071034849,0.01906733,0.07103485,0.749609782
38,1082.377747,3.325458382,309.8939683,1.110234648,0.093464743,0.068801498,0.016512816,0.068801499,0.752419444
40,1063.076668,3.357023412,317.833739,1.145864692,0.097635566,0.066552056,0.01427744,0.066552057,0.754982881
42,1042.614593,3.38201175,324.2803176,1.177973141,0.101811148,0.064265105,0.012313443,0.064265105,0.757345198
44,1021.084098,3.401528207,329.3211255,1.207443288,0.105995838,0.061942585,0.010584703,0.061942585,0.759534288
46,998.7427246,3.415291912,333.0050055,1.23410819,0.110159951,0.059604851,0.009073248,0.059604851,0.761557099
48,976.1900027,3.425387989,335.5202775,1.256121909,0.11422389,0.057303118,0.007756573,0.057303118,0.763413301
50,953.7154277,3.430927133,337.0854375,1.275680965,0.118153609,0.055060716,0.006613268,0.055060715,0.765111692
52,931.3680043,3.433175239,337.5784749,1.291323302,0.121954013,0.052877027,0.005624812,0.052877026,0.766667122
54,909.1024014,3.431559904,336.8234596,1.304941383,0.125648737,0.050740112,0.00477237,0.050740111,0.76809867
56,887.0248929,3.427496333,334.9942338,1.315360011,0.129234782,0.048653953,0.004038882,0.048653952,0.769418431
58,865.3375079,3.420827104,332.4096853,1.324088874,0.132689157,0.046634777,0.003407691,0.046634776,0.770633598
60,844.1307602,3.412684548,329.1089032,1.330088949,0.136008264,0.044686507,0.002864535,0.044686506,0.771754188
62,823.2404366,3.402752761,324.9242736,1.334271009,0.139229548,0.042788044,0.002396554,0.042788043,0.772797812
64,802.5434161,3.389184581,319.672342,1.339730727,0.142382014,0.040923265,0.00199277,0.040923264,0.773778686
66,782.0469059,3.372118048,313.2586354,1.346184639,0.145471054,0.039089803,0.001645655,0.039089802,0.774703687
68,761.7431612,3.351426354,305.656145,1.350952945,0.148504126,0.037284086,0.001347859,0.037284085,0.775579843
70,741.815577,3.329018406,297.0170456,1.35298995,0.151455784,0.035522176,0.00109477,0.035522175,0.776405094
72,722.2678922,3.304143981,287.3686184,1.353319948,0.154324548,0.033805391,0.000882728,0.03380539,0.777181943
74,702.9048619,3.276133984,276.9122173,1.350996067,0.157134512,0.032119466,0.000708422,0.032119465,0.777918134
76,683.8864001,3.244086255,266.2188017,1.347065129,0.159857924,0.030481798,0.000568017,0.030481797,0.778610464
78,665.2666108,3.205695649,255.7929403,1.350281475,0.162485897,0.028898538,0.000455683,0.028898537,0.779261346
80,647.1125351,3.162665927,245.9358022,1.357387137,0.165014534,0.027372854,0.000365278,0.027372854,0.77987448
82,629.7862716,3.118062087,236.4315887,1.363205668,0.167401782,0.025930468,0.000292137,0.025930467,0.780445146
84,613.4205643,3.074426949,227.0503367,1.36940581,0.16963828,0.024578073,0.000232164,0.02457807,0.780973413
86,598.1263894,3.033360862,217.6653664,1.390795838,0.171717778,0.023320215,0.00018236,0.023320212,0.781459435
88,583.8986204,2.993097937,208.1265573,1.412039855,0.173645456,0.022153383,0.000141189,0.022153379,0.781906593
90,570.7498463,2.954368718,198.6781339,1.402141994,0.175419718,0.021078856,0.000107155,0.021078852,0.78231542
92,558.8138153,2.918919087,189.4989743,1.385335747,0.177021823,0.020108111,8.01E-05,0.020108106,0.782681841
94,547.9496053,2.886273407,180.618445,1.376339684,0.178471888,0.01922898,5.93E-05,0.019228974,0.783010841
96,537.8517446,2.858714692,171.9071044,1.44005828,0.17981315,0.018415342,4.36E-05,0.018415337,0.783312611
98,528.3674546,2.833825711,163.2493727,1.422249815,0.181069233,0.017652976,3.18E-05,0.017652972,0.783593068
100,519.450309,2.810723392,154.8874829,1.367943792,0.182244765,0.016939198,2.30E-05,0.016939193,0.783853863
102,510.9462061,2.789040427,147.1294212,1.353490041,0.183357676,0.016263174,1.67E-05,0.016263169,0.78409924
104,502.8318626,2.766543743,140.1514584,1.304000303,0.18441147,0.015622845,1.24E-05,0.015622841,0.784330453
106,495.1793426,2.741037804,134.0016738,1.303053972,0.185397784,0.015023369,9.34E-06,0.015023365,0.78454614
108,488.0383965,2.714000962,128.5947371,1.309509695,0.186311938,0.014467631,7.18E-06,0.014467628,0.784745622
110,481.4828612,2.687071426,123.7415744,1.31818597,0.187146967,0.013959938,5.61E-06,0.013959935,0.784927547
112,475.3984823,2.661650155,119.3212626,1.319386527,0.187918503,0.013490805,4.43E-06,0.013490803,0.785095456
114,469.5975918,2.641419956,115.2965054,1.313388207,0.188650715,0.013045555,3.54E-06,0.013045553,0.785254639
116,464.1256414,2.622640763,111.5824389,1.305442748,0.189338636,0.012627224,2.87E-06,0.012627223,0.785404051
