cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,343,0.0120652,0,0.000478717,0.005466597,0.009457639,0.874483414,0.018915529,0.091676822
4,1457.843832,0.827682679,45.21848418,0.290855112,0.026090182,0.071960789,0.118813178,0.143921578,0.639214274
8,1506.977402,1.622832717,53.33537447,0.361546875,0.034204184,0.072354811,0.076054153,0.144709623,0.672677229
12,1521.807874,2.308753966,80.29616126,0.476252283,0.041033075,0.071542385,0.052112349,0.143084771,0.692227419
16,1506.705199,2.786649276,119.3407153,0.58528084,0.049568649,0.069282449,0.035297847,0.138564897,0.707286158
20,1459.709006,3.130632791,158.9703796,0.662307116,0.060680983,0.065396411,0.023337811,0.130792822,0.719791973
24,1388.698672,3.351827687,188.7334697,0.718793596,0.073589629,0.060341436,0.015132902,0.120682873,0.73025316
28,1305.131301,3.505700246,207.3527951,0.77115043,0.086979328,0.054806439,0.009683863,0.109612878,0.738917492
32,1217.175355,3.596164181,215.9541309,0.827715275,0.100009632,0.049248067,0.006183577,0.098496135,0.746062588
36,1131.882323,3.652285405,215.9798652,0.877368974,0.112000139,0.044037052,0.003963532,0.088074104,0.751925174
40,1052.636494,3.680096193,211.3252792,0.92043679,0.122702543,0.039330658,0.002558815,0.078661315,0.756746669
44,980.7172054,3.689181311,204.2770461,0.960016406,0.132104749,0.035164991,0.001650432,0.070329982,0.760749846
48,917.535092,3.686855848,196.7518758,1.002711248,0.140133797,0.031589,0.001068356,0.063178,0.764030847
52,862.0984129,3.6759201,188.427754,1.043300388,0.147016109,0.028510664,0.000697486,0.057021328,0.766754413
56,813.2658385,3.653885955,179.7479845,1.093235673,0.152954453,0.02584621,0.000458327,0.051692421,0.769048589
60,770.8678352,3.639704768,170.6819625,1.116473108,0.158024674,0.023566359,0.00030376,0.047132719,0.770972488
64,734.2006448,3.630449698,160.6046919,1.116239386,0.162354714,0.021616244,0.000202618,0.043232489,0.772593934
68,701.5192359,3.612718653,150.4538064,1.117287508,0.166168155,0.019896585,0.000135068,0.039793169,0.774007023
72,671.9046257,3.586969349,140.821146,1.12042357,0.169580275,0.018356292,8.97E-05,0.036712584,0.775261163
76,644.9794256,3.559177043,131.5481368,1.117977019,0.172650018,0.016969527,5.97E-05,0.033939054,0.776381721
80,620.3721139,3.527859264,122.9985184,1.114267078,0.175426912,0.015714256,3.97E-05,0.031428512,0.77739058
84,597.8867256,3.494115963,115.8156323,1.105994834,0.177938381,0.014578447,2.65E-05,0.029156895,0.778299759
88,577.6427733,3.452226026,108.9715699,1.108780391,0.180184763,0.013562187,1.77E-05,0.027124375,0.779110963
92,559.4253927,3.411338259,102.3277364,1.110179026,0.182193948,0.012653052,1.18E-05,0.025306104,0.779835113
96,542.5610873,3.371537254,95.97311593,1.105799125,0.184043323,0.01181609,7.83E-06,0.02363218,0.780500575
100,527.1415476,3.336863747,90.28436401,1.096016707,0.185722995,0.011055709,5.18E-06,0.022111419,0.781104698
104,512.9756227,3.290695904,85.11143026,1.094717904,0.187257579,0.010360868,3.44E-06,0.020721737,0.781656373
108,499.9429722,3.247072715,80.62631356,1.092499465,0.188660909,0.009725281,2.29E-06,0.019450563,0.78216096
112,487.7872712,3.194929763,76.56462059,1.090607541,0.189963753,0.009135106,1.52E-06,0.018270213,0.782629408
116,476.4318578,3.140692365,72.68309075,1.09722857,0.191176243,0.008585659,1.01E-06,0.017171318,0.783065767
120,466.0572352,3.0821591,69.14108815,1.104618644,0.192279874,0.008085525,6.77E-07,0.01617105,0.783462874
124,456.5097027,3.033791675,65.98950639,1.106873236,0.193291115,0.007627179,4.54E-07,0.015254358,0.783826894
128,447.9281993,2.989192204,63.20758721,1.09587037,0.194196718,0.007216653,3.08E-07,0.014433305,0.784153016
132,440.2729689,2.959996161,60.63375809,1.086519499,0.195002076,0.006851549,2.10E-07,0.013703099,0.784443066
136,433.3955638,2.922819583,57.8154167,1.075846052,0.195724717,0.006523853,1.44E-07,0.013047705,0.784703581
140,426.9241699,2.896603722,54.9584244,1.057595567,0.196403253,0.006216145,9.84E-08,0.012432291,0.784948212
144,420.7009409,2.859669478,52.37390842,1.036516427,0.197053801,0.00592111,6.71E-08,0.01184222,0.785182802
148,414.735742,2.829131782,50.13067795,1.024934332,0.197675901,0.00563894,4.56E-08,0.011277881,0.785407233
152,409.1367677,2.785803583,48.28063919,1.022286014,0.198257879,0.005374939,3.12E-08,0.010749879,0.785617272
156,403.8470343,2.755589706,46.51136113,1.014350949,0.198807105,0.005125763,2.17E-08,0.010251527,0.785815583
