cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,338,0.013406337,0,6.07E-05,0.001996075,0.010319982,0.967043978,0.020639965,0
1,685.3683852,0.00326173,202.2191399,0.090322314,0.009138398,0.03671408,0.639217576,0.07342816,0.241501786
2,881.5524881,-0.002490385,209.8832319,0.148054815,0.015256527,0.05195057,0.478419358,0.10390114,0.350472405
3,988.8254232,0.024252158,222.4595378,0.189358522,0.018894562,0.059239124,0.398115238,0.118478247,0.405272829
4,1053.454554,0.082285181,227.4334059,0.215773783,0.021471068,0.063194667,0.351669901,0.126389334,0.43727503
5,1096.15522,0.156504791,228.5466639,0.234573132,0.023473268,0.065679192,0.32067254,0.131358384,0.458816616
6,1127.270636,0.25107898,228.2288083,0.25422032,0.025070065,0.067452729,0.297750357,0.134905458,0.474821391
7,1150.680892,0.357291884,227.035634,0.279741606,0.02641936,0.068763191,0.280007442,0.137526382,0.487283625
8,1168.877561,0.475409567,226.1623622,0.309493699,0.027614247,0.069731574,0.265954948,0.139463149,0.497236082
9,1183.712717,0.601429291,223.991248,0.343638412,0.028686006,0.070474044,0.254440433,0.140948089,0.505451429
10,1195.712325,0.732630795,221.1398654,0.380627788,0.029681927,0.071039526,0.244816133,0.142079053,0.51238336
11,1205.925521,0.86825484,219.3113967,0.419553496,0.030555528,0.071504759,0.236639827,0.143009517,0.518290369
12,1214.966755,1.005992963,218.4417535,0.459914621,0.031415591,0.071884255,0.229269294,0.14376851,0.52366235
13,1222.772236,1.143888056,218.5515683,0.501422515,0.032315361,0.072177083,0.222458949,0.144354166,0.52869444
14,1229.289551,1.280336424,220.0721151,0.544136226,0.033269517,0.07238862,0.216092273,0.144777239,0.533472351
15,1234.643917,1.415256818,222.1929135,0.586405297,0.034304908,0.072522148,0.210012916,0.145044296,0.538115732
16,1238.89187,1.547399579,224.5833624,0.630188882,0.035455991,0.072573284,0.204094922,0.145146567,0.542729236
17,1241.425941,1.675369975,227.5433913,0.677205215,0.036822251,0.072497062,0.198253665,0.144994124,0.547432898
18,1243.003316,1.799924382,231.2839824,0.725069278,0.038249489,0.072363191,0.192620056,0.144726383,0.552040881
19,1244.864524,1.922843663,235.4994855,0.770449982,0.039549751,0.072265055,0.187281757,0.144530111,0.556373326
20,1247.584011,2.04411178,239.3080101,0.812875473,0.040697946,0.072227379,0.182144304,0.144454758,0.560475613
21,1250.892168,2.163654549,242.5560772,0.852443076,0.041736494,0.072230294,0.177177622,0.144460589,0.564395001
22,1254.292012,2.280812666,245.4414177,0.890273809,0.042737377,0.072238326,0.172345939,0.144476652,0.568201706
23,1257.487361,2.394529795,247.7501038,0.927843979,0.043751316,0.072225901,0.167629061,0.144451802,0.57194192
24,1260.336081,2.504767841,249.6488431,0.964843275,0.044798432,0.072183919,0.163009575,0.144367837,0.575640237
25,1262.573529,2.610880954,252.0311927,1.00226934,0.045901102,0.072099989,0.158487949,0.144199978,0.579310983
26,1264.268949,2.713661432,255.3389929,1.038499849,0.04705558,0.071978735,0.154042474,0.143957469,0.582965742
27,1265.703051,2.812458327,259.362374,1.075383533,0.048232935,0.071837144,0.149662332,0.143674288,0.586593301
28,1267.192027,2.907798751,263.3099725,1.111194168,0.049407738,0.071690495,0.14533749,0.143380989,0.590183288
29,1268.814984,3.00005923,266.7867594,1.145802629,0.050580534,0.071541224,0.141046219,0.143082448,0.593749575
