cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,329,0.00879563,3.75704E-05,0.000112965,0.001566138,0.016822302,0.964789258,0.016822302,0
1,669.6726708,-0.004055386,84.60878061,0.059675432,0.007016388,0.063255525,0.471596931,0.063255525,0.394875631
2,848.4961998,0.02956157,102.6674558,0.105552904,0.012699573,0.080091671,0.312809118,0.080091671,0.514307967
3,919.9991044,0.159107763,117.5082461,0.134028714,0.017733621,0.084026477,0.258094116,0.084026477,0.556119308
4,963.2303741,0.329416873,122.6883503,0.162634852,0.021639365,0.085793394,0.225713714,0.085793394,0.581060134
5,992.8373479,0.502054675,125.2365577,0.19825544,0.024239259,0.08688314,0.204839348,0.08688314,0.597155112
6,1016.255477,0.680530845,126.5263732,0.234319945,0.026340294,0.087648689,0.188868932,0.087648689,0.609493397
7,1035.683663,0.852300117,126.9612581,0.271663915,0.028319854,0.088146302,0.175567279,0.088146302,0.619820263
8,1052.135908,1.016775958,127.5044591,0.307534681,0.03015106,0.088480785,0.164244065,0.088480785,0.628643305
9,1066.720897,1.171629894,128.9414064,0.343764094,0.03183375,0.088731177,0.154282681,0.088731177,0.636421216
10,1079.895408,1.317236655,130.8744415,0.378623972,0.033429022,0.088909884,0.145295427,0.088909884,0.643455783
11,1091.812816,1.453972949,133.0247471,0.41249477,0.03497158,0.089019362,0.13709805,0.089019362,0.649891646
12,1102.716482,1.582048308,135.3253244,0.445633667,0.036509125,0.089058637,0.129472708,0.089058637,0.655900892
13,1112.569821,1.701878214,137.7277078,0.478393263,0.038106961,0.089007082,0.122269435,0.089007082,0.66160944
14,1121.233174,1.814100378,140.5419915,0.511136349,0.039783646,0.088857228,0.115458852,0.088857228,0.667043045
15,1128.80238,1.919318445,144.301145,0.544199765,0.041531037,0.088619353,0.10899899,0.088619353,0.672231266
16,1135.134994,2.017812374,149.4798164,0.578125774,0.043396241,0.088273051,0.10282533,0.088273051,0.677232325
17,1140.108311,2.109811546,155.8280959,0.612932717,0.045408972,0.087803255,0.09691497,0.087803255,0.682069549
18,1143.920538,2.196032534,162.8566039,0.648049694,0.047543467,0.087228734,0.091243612,0.087228734,0.686755454
19,1146.505138,2.276813615,170.5892448,0.683680068,0.049797854,0.086549982,0.085816726,0.086549982,0.691285456
20,1147.75611,2.352685716,178.973322,0.719701521,0.052172208,0.085765501,0.080645393,0.085765501,0.695651397
21,1147.807051,2.423938815,187.872426,0.755768285,0.054633542,0.084894957,0.07573311,0.084894957,0.699843434
22,1146.715312,2.490975203,197.197167,0.791280245,0.057166834,0.083948026,0.071075631,0.083948026,0.703861482
23,1144.510425,2.554050978,206.7583809,0.825935157,0.059765803,0.082929626,0.06666438,0.082929626,0.707710565
24,1141.287817,2.612809177,216.3693286,0.859905471,0.062414629,0.081850068,0.062495113,0.081850068,0.711390122
25,1137.056304,2.667673634,225.9086932,0.892892956,0.06511466,0.080709874,0.05855729,0.080709874,0.714908302
26,1131.736851,2.717836299,235.2723612,0.925691744,0.067880507,0.079501658,0.054839201,0.079501658,0.718276975
27,1125.293931,2.764526734,244.2992328,0.956804325,0.070715925,0.0782237,0.051336266,0.0782237,0.72150041
28,1117.831372,2.807363448,253.0288127,0.986873736,0.073598706,0.076890221,0.048042927,0.076890221,0.724577923
29,1109.449488,2.847235293,261.7294361,1.015286642,0.076506583,0.075515239,0.044955435,0.075515239,0.727507503
30,1100.254536,2.883808753,270.4204955,1.042592527,0.079424477,0.074109106,0.042063949,0.074109106,0.73029336
31,1090.487955,2.917808785,279.0736571,1.068606715,0.082324889,0.072691411,0.039346869,0.072691411,0.73294542
32,1080.43835,2.949215688,287.6057455,1.093438616,0.08517247,0.071285423,0.036790151,0.071285423,0.735466534
33,1070.187986,2.978864567,295.7842589,1.116188075,0.087960179,0.069896659,0.034383924,0.069896659,0.737862579
34,1059.874674,3.006606851,303.368182,1.1373487,0.090685679,0.068529277,0.03210791,0.068529277,0.740147858
35,1049.365654,3.032727969,310.2787791,1.156409061,0.09337138,0.067170002,0.029955144,0.067170001,0.742333473
36,1038.525882,3.057475896,316.5969943,1.173158399,0.096032424,0.065809089,0.027930496,0.065809089,0.744418901
