cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,351,0.010497034,2.15792E-05,0.000207959,0.004899084,0.01153367,0.966266741,0.017300505,0
4,1195.636684,0.686981235,46.76632569,0.293777624,0.035740537,0.077648545,0.103168081,0.116472817,0.66697002
8,1263.626714,1.45034115,56.8369116,0.294683898,0.041052079,0.078821376,0.067132662,0.118232063,0.69476182
12,1298.066574,2.02913736,71.38525114,0.375152541,0.0448976,0.078876414,0.048431413,0.118314621,0.709479953
16,1309.100887,2.468150997,98.40194088,0.46363879,0.050251517,0.077603771,0.034954302,0.116405657,0.720784753
20,1293.383588,2.813669911,130.950547,0.543957885,0.058237357,0.074601246,0.025113478,0.111901869,0.730146051
24,1258.131051,3.050223348,161.093767,0.623090338,0.068102987,0.070394372,0.017578743,0.105591558,0.73833234
28,1208.731211,3.235371101,185.5438655,0.68634945,0.079014994,0.065445542,0.012008502,0.098168313,0.74536265
32,1147.000849,3.34943451,205.5208056,0.755594817,0.090690782,0.059929849,0.008089993,0.089894773,0.751394603
36,1078.629305,3.424433857,219.2789986,0.836739035,0.102425154,0.054249801,0.005415724,0.081374702,0.756534619
40,1009.959181,3.456330125,226.5011475,0.925981794,0.113512498,0.048804162,0.003625681,0.073206244,0.760851416
44,943.2052669,3.457885719,226.726544,1.015937729,0.123853359,0.043676471,0.002408502,0.065514707,0.764546961
48,881.5827242,3.434227471,220.6232413,1.082371019,0.133118992,0.039052192,0.001585304,0.058578288,0.767665223
52,825.7519165,3.401296376,210.7338406,1.134228433,0.141293162,0.034952413,0.001039134,0.052428619,0.770286673
56,775.9476303,3.359734224,198.626393,1.178670869,0.148423536,0.031363023,0.000679967,0.047044535,0.772488939
60,731.9526597,3.316017698,185.2272565,1.204352384,0.154601401,0.028244601,0.000444935,0.042366901,0.774342162
64,693.3578727,3.273973758,171.787919,1.209423457,0.159919368,0.025554615,0.000292067,0.038331923,0.775902027
68,659.5174356,3.227619342,159.1177142,1.209908733,0.164497246,0.023235308,0.000192842,0.034852963,0.777221641
72,629.1787105,3.175378666,147.2899854,1.214137207,0.168535826,0.021186629,1.28E-04,0.031779944,0.778369393
76,601.5606915,3.121524635,136.7014604,1.213703712,0.172162117,0.019345111,8.50E-05,0.029017667,0.779390067
80,577.4384856,3.064112875,127.2290026,1.210466597,0.175293591,0.01775344,5.68E-05,0.02663016,0.780266041
84,556.4313097,3.006352507,118.5970452,1.2153816,0.177992425,0.016380701,3.85E-05,0.024571052,0.781017296
88,538.0810402,2.960424404,110.9371538,1.208366381,0.180329628,0.015191486,2.64E-05,0.022787228,0.781665266
92,521.5301074,2.919133352,104.0316797,1.208160172,0.182420462,0.014127038,1.82E-05,0.021190558,0.782243761
96,506.3311417,2.883489749,97.5903312,1.193080867,0.184329804,0.013154239,1.26E-05,0.019731359,0.782772042
100,492.9181411,2.852565244,91.13649018,1.170989525,0.186009402,0.012298553,8.65E-06,0.01844783,0.783235561
104,480.961296,2.826431563,84.82363941,1.145481345,0.187500233,0.011538658,5.93E-06,0.017307987,0.783647189
108,470.0417649,2.797329025,78.92810537,1.116827902,0.188855131,0.010847742,4.04E-06,0.016271613,0.784021473
112,459.7565916,2.768145833,73.76039218,1.08725611,0.190124754,0.01020021,2.74E-06,0.015300315,0.78437198
116,450.1781023,2.733991614,69.10878208,1.062563684,0.191302558,0.009599519,1.83E-06,0.014399278,0.784696818
120,441.3900663,2.694820322,64.81371836,1.038348881,0.192379881,0.009050019,1.20E-06,0.013575029,0.78499387
124,433.2983387,2.653643659,60.93577341,1.01539634,0.193368786,0.008545549,7.87E-07,0.012818324,0.785266554
128,425.8792328,2.612468676,57.4743584,0.994671483,0.194272832,0.008084348,5.18E-07,0.012126522,0.78551578
132,419.0889128,2.571650929,54.39319875,0.970801628,0.195097894,0.007663412,3.41E-07,0.011495117,0.785743236
136,412.6593175,2.528115858,51.75918976,0.950798384,0.195876471,0.007266138,2.25E-07,0.010899207,0.785957959
140,406.4948835,2.481584559,49.53145849,0.941872881,0.196620669,0.00688635,1.49E-07,0.010329525,0.786163307
144,400.5971555,2.429862521,47.58918358,0.939530397,0.197330907,0.006523822,9.97E-08,0.009785733,0.786359438
148,395.1214269,2.383431319,45.7200069,0.936701098,0.197988967,0.006187873,6.72E-08,0.009281809,0.786541284
152,390.1256442,2.329504903,44.03700936,0.941714039,0.19858794,0.005881989,4.61E-08,0.008822984,0.786707041
156,385.7564856,2.288478995,42.24917371,0.94643343,0.199111031,0.005614791,3.19E-08,0.008422186,0.786851959
160,381.9472778,2.251131702,40.2415279,0.943097377,0.199567098,0.00538177,2.23E-08,0.008072655,0.786978454
164,378.5887555,2.23294313,38.30588819,0.947625729,0.199968725,0.005176514,1.57E-08,0.007764771,0.787089973
168,375.7295017,2.225264987,36.34209936,0.919950975,0.200310811,0.005001668,1.11E-08,0.007502502,0.787185009
172,373.0383009,2.218981936,34.58693538,0.905838233,0.200632592,0.004837179,7.91E-09,0.007255769,0.787274452
176,370.4694014,2.215811097,33.04229205,0.892019809,0.200939471,0.004680276,5.65E-09,0.007020414,0.787359833
180,368.0253588,2.212600025,31.55619117,0.88195306,0.201231249,0.004531093,4.05E-09,0.006796639,0.787441015
184,365.6565669,2.212093776,30.02440483,0.869185202,0.201513902,0.004386595,2.90E-09,0.006579892,0.787519608
188,363.3450376,2.213752423,28.47836237,0.851248067,0.20178956,0.004245681,2.07E-09,0.006368521,0.787596236
