cm,K,K,K,K,K,K,K,K,K,K
r,T_20          ,T_60          ,T_100         ,T_140         ,T_180         ,T_20_RMS      ,T_60_RMS      ,T_100_RMS     ,T_140_RMS     ,T_180_RMS     
-10,1304.865951,917.9659386,701.9737743,585.1439963,513.1609975,257.2124543,283.3567994,204.8817838,144.3217772,108.3441757
-2.222222222,1496.814673,1090.846552,783.6595684,629.1560827,539.4815593,155.2118904,269.802247,208.9965099,149.7347953,113.6505075
5.555555556,1477.143939,1080.506279,773.6462579,618.9665014,534.3301753,171.4620442,269.9271562,205.9220209,148.3742352,114.9997286
13.33333333,1239.411697,849.8254126,664.5506948,560.483013,500.1925884,291.3321803,291.8772555,200.8191472,145.432742,110.9108118
21.11111111,829.0257457,596.9537385,533.2360018,487.1289074,454.2356481,299.9204463,232.0504925,170.9642031,131.7064166,98.63071134
28.88888889,524.9685877,434.3735305,428.3165542,422.739498,409.2556993,202.151419,151.2010116,125.5095318,107.6403216,84.69075643
36.66666667,386.62217,356.7794458,365.2749134,374.5093274,373.748167,116.4005955,91.46730292,83.73085328,83.52268405,72.23113667
44.44444444,320.8750851,320.0465962,326.3922336,339.106466,345.1607371,53.54102547,54.44502825,53.04038735,60.27937672,57.30522806
52.22222222,297.8398792,302.4711638,305.931134,315.4347263,325.1086489,16.42810327,28.35251361,29.22928075,39.27627647,44.22795012
60,293.4794803,295.2609311,296.7187704,302.245574,310.8725955,2.467582564,10.84980784,12.03238623,21.63215004,30.66558898
