cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
82.31707317,610.2448828,3.395718525,264.7507441,1.24681024,0.173531299,0.020185618,0.00042285,0.026914157,0.778946076
84.14634146,598.4094493,3.370934248,256.0182142,1.240275891,0.175027972,0.019364473,0.000359438,0.025819298,0.779428819
85.97560976,587.6109192,3.349207378,248.2821094,1.231927991,0.176376732,0.018624083,0.000305759,0.02483211,0.779861316
87.80487805,577.5907311,3.330684292,240.9656278,1.222570645,0.177621096,0.017940746,0.000258601,0.023920995,0.780258562
89.63414634,568.0056838,3.313431576,233.5011172,1.213749553,0.17880972,0.017287588,0.000217227,0.023050117,0.780635349
91.46341463,558.5894253,3.295295857,225.8224265,1.206723572,0.179976522,0.016646082,0.000181373,0.022194776,0.781001248
93.29268293,549.5191355,3.274956502,218.5453927,1.200981578,0.181087619,0.016034773,0.000151029,0.021379697,0.781346881
95.12195122,540.8716445,3.253959001,211.8166798,1.194196874,0.182138287,0.015456196,0.000124599,0.020608262,0.781672656
96.95121951,532.7614911,3.233443568,205.3402218,1.184822217,0.183117652,0.01491671,0.000101561,0.019888946,0.781975131
98.7804878,525.2475368,3.215047867,198.8257558,1.173510279,0.184023077,0.014417816,8.15E-05,0.019223754,0.782253897
100.6097561,518.2063193,3.198913456,192.0506044,1.160867702,0.184872693,0.013949489,6.38E-05,0.018599318,0.782514654
102.4390244,511.2481357,3.181093643,184.7422982,1.149805625,0.185713275,0.013485831,4.95E-05,0.017981108,0.782770285
104.2682927,504.1101226,3.159915493,177.0684764,1.138999718,0.186573261,0.013011056,3.84E-05,0.017348074,0.783029171
106.097561,496.9423492,3.136303838,169.2119401,1.127067801,0.187435903,0.012534581,2.93E-05,0.016712774,0.783287427
107.9268293,489.9662513,3.111828416,161.2309618,1.113810796,0.188276008,0.012070396,2.18E-05,0.016093861,0.783537956
109.7560976,483.2783558,3.087292403,153.4284583,1.100590956,0.18907834,0.01162688,1.60E-05,0.015502507,0.783776238
111.5853659,476.8849869,3.062270635,145.921256,1.090307955,0.189840642,0.011205369,1.19E-05,0.014940491,0.784001609
